"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.006355000E-3,1.892722726E0,5.024927616E0,7.786244869E0
6.855730000E-3,2.017149448E0,5.213960648E0,7.776673794E0
1.170510500E-2,1.990828395E0,5.254638672E0,7.814958572E0
1.655463600E-2,1.844866276E0,4.953142643E0,7.783852100E0
2.140411500E-2,1.856830359E0,5.094319344E0,8.066205025E0
2.625354200E-2,1.904686809E0,5.175675392E0,8.245666504E0
3.110302100E-2,1.990828395E0,5.154139996E0,8.188239098E0
3.595244900E-2,1.907079697E0,5.053641319E0,7.975277901E0
4.080192800E-2,1.744367719E0,4.957928658E0,7.831708431E0
4.565135500E-2,1.562513232E0,4.917250633E0,7.767102242E0
5.050078200E-2,1.462014675E0,4.852644444E0,7.755138397E0
5.535026100E-2,1.383051515E0,4.737788677E0,7.640282631E0
6.019968800E-2,1.308874011E0,4.735395908E0,7.757531166E0
6.504916700E-2,1.261017561E0,4.804787636E0,8.059026718E0
6.989859400E-2,1.308874011E0,4.795216560E0,8.377271652E0
7.474807400E-2,1.301695466E0,4.704289436E0,8.554341316E0
7.959750100E-2,1.251446247E0,4.618147850E0,8.693124771E0
8.444698000E-2,1.057627559E0,4.532006264E0,8.614161491E0
8.929640700E-2,8.566305041E-1,4.546362877E0,8.626125336E0
9.414583400E-2,7.824530005E-1,4.630111694E0,8.793622971E0
9.899531300E-2,7.848458290E-1,4.582255363E0,8.872586250E0
1.038447400E-1,7.609176040E-1,4.474578381E0,8.932407379E0
1.086942190E-1,7.633104324E-1,4.400400639E0,8.901300430E0
1.135436460E-1,7.513462901E-1,4.395615101E0,8.784051895E0
1.183931260E-1,6.963114142E-1,4.431507587E0,8.609375954E0
1.232425530E-1,6.915257573E-1,4.460221291E0,8.449056625E0
1.280920320E-1,7.106683254E-1,4.469792843E0,8.341380119E0
1.329414590E-1,7.441678643E-1,4.476971149E0,8.233702660E0
1.377908860E-1,7.728816867E-1,4.453042984E0,8.169096947E0
1.426403650E-1,8.638089895E-1,4.419543266E0,8.075776100E0
1.474897920E-1,8.901300430E-1,4.481756687E0,8.149953842E0
1.523392710E-1,9.379864931E-1,4.634897232E0,8.303094864E0
1.571886990E-1,1.024128079E0,4.608576298E0,8.370093346E0
1.620381780E-1,1.074377418E0,4.603790760E0,8.367700577E0
1.668876050E-1,1.043270707E0,4.567898273E0,8.355736732E0
1.717370840E-1,1.007378340E0,4.532006264E0,8.379665375E0
1.765865110E-1,1.055234790E0,4.548755646E0,8.389236450E0
1.814359900E-1,1.071984529E0,4.548755646E0,8.468199730E0
1.862854170E-1,1.117448211E0,4.570291042E0,8.506484032E0
1.911348960E-1,1.155733347E0,4.587040901E0,8.568697929E0
1.959843240E-1,1.186840057E0,4.577469826E0,8.633303642E0
2.008337510E-1,1.196411371E0,4.560719967E0,8.688339233E0
2.056832300E-1,1.232303619E0,4.548755646E0,8.752944946E0
2.105326570E-1,1.215553880E0,4.546362877E0,8.836693764E0
2.153821360E-1,1.112662554E0,4.457828522E0,8.760123253E0
2.202315630E-1,1.083948612E0,4.479363918E0,8.831908226E0
2.250810420E-1,1.155733347E0,4.534399033E0,8.922835350E0
2.299304690E-1,1.194018483E0,4.534399033E0,8.958727837E0
2.347799490E-1,1.160519004E0,4.546362877E0,8.975478172E0
2.396293760E-1,1.179661512E0,4.579862595E0,8.958727837E0
2.444788030E-1,1.213161111E0,4.622933388E0,8.901300430E0
2.492351570E-1,1.217946768E0,4.680361271E0,8.839086533E0
2.539895320E-1,1.203589797E0,4.733003139E0,8.755337715E0
