"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-2.470051186E1,5.324925200E1,1.042236540E1,2.246705370E1,0.000000000E0,0.000000000E0,4.250000000E1,3.777276278E0
1.967248814E1,5.324925180E1,1.042236830E1,2.246705247E1,0.000000000E0,0.000000000E0,4.559999847E1,4.058780670E0
2.143548814E1,5.324924680E1,1.042235190E1,2.246705009E1,0.000000000E0,0.000000000E0,7.759999847E1,1.237760353E1
2.263072882E1,5.324918756E1,1.042238520E1,-1.686530293E1,0.000000000E0,0.000000000E0,5.192867661E1,1.129261246E2
2.362940387E1,5.324918378E1,1.042238659E1,-1.555268704E1,0.000000000E0,0.000000000E0,5.593099594E1,1.185922928E2
2.462909933E1,5.324918509E1,1.042238389E1,-1.019947374E1,0.000000000E0,0.000000000E0,7.260552216E1,1.488808441E2
2.562850891E1,5.324918873E1,1.042237246E1,-3.332480028E1,0.000000000E0,0.000000000E0,6.975195312E1,1.283880005E2
2.663109385E1,5.324918694E1,1.042237608E1,-4.102127631E1,0.000000000E0,0.000000000E0,6.676538849E1,1.186701202E2
2.762838442E1,5.324918837E1,1.042237043E1,-4.389471595E1,0.000000000E0,0.000000000E0,5.516150284E1,9.645087433E1
2.862846962E1,5.324918775E1,1.042237518E1,-3.414603066E1,0.000000000E0,0.000000000E0,3.982061386E1,7.513787079E1
2.962836743E1,5.324918722E1,1.042238479E1,-5.153174619E1,0.000000000E0,0.000000000E0,3.812030792E1,6.921852112E1
3.062932503E1,5.324918164E1,1.042239763E1,-1.398769136E1,0.000000000E0,0.000000000E0,3.896111298E1,6.731068420E1
3.163140711E1,5.324918147E1,1.042239773E1,-1.389790893E1,0.000000000E0,0.000000000E0,4.021097946E1,6.696154022E1
3.262886909E1,5.324918144E1,1.042239777E1,-1.384914190E1,0.000000000E0,0.000000000E0,4.239068604E1,6.791336823E1
3.363037945E1,5.324918103E1,1.042239285E1,-7.006916837E0,0.000000000E0,0.000000000E0,4.361397171E1,6.680038452E1
3.463161377E1,5.324918108E1,1.042239297E1,-5.237202443E0,0.000000000E0,0.000000000E0,4.486270142E1,6.069939804E1
3.563274439E1,5.324918063E1,1.042239318E1,-5.053792549E0,0.000000000E0,0.000000000E0,4.820430374E1,6.282905197E1
3.662824485E1,5.324918044E1,1.042239332E1,-4.922811436E0,0.000000000E0,0.000000000E0,5.183708191E1,6.502351379E1
