"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.947183000E-3,-5.991627693E0,4.388436794E0,7.462615490E0
1.272327700E-2,-5.964110374E0,3.896711588E0,9.382257462E0
1.748603700E-2,-5.858826160E0,3.443271875E0,1.158963680E1
2.227546400E-2,-5.411368370E0,3.043072224E0,1.374676609E1
2.705150600E-2,-4.709074974E0,2.788834810E0,1.564906025E1
3.181426600E-2,-4.151547432E0,2.510071039E0,1.723430443E1
3.660369300E-2,-3.620340586E0,2.274976015E0,1.841217232E1
4.137973500E-2,-3.122633457E0,2.149951220E0,1.966301918E1
4.614249600E-2,-3.036491871E0,1.986042738E0,1.960977936E1
5.093187100E-2,-2.900100946E0,1.895115495E0,1.930170441E1
5.570796400E-2,-2.844467878E0,1.770090580E0,1.897986984E1
6.047072500E-2,-2.904886723E0,1.650449395E0,1.767039680E1
6.526010000E-2,-3.319443226E0,1.399801254E0,1.576271915E1
7.003619300E-2,-3.973282099E0,1.018146038E0,1.368814182E1
7.479895400E-2,-4.198207378E0,9.894321561E-1,1.193779182E1
7.958832900E-2,-4.296911240E0,1.207179070E0,1.060857964E1
8.436442300E-2,-4.281357765E0,1.549352646E0,9.437292099E0
8.912718300E-2,-4.185046673E0,1.834696770E0,8.251050949E0
9.391655800E-2,-4.011567116E0,2.100300074E0,7.194619656E0
9.869265200E-2,-3.594019651E0,2.237289190E0,6.232704639E0
1.034554120E-1,-2.971885681E0,2.229512453E0,5.288736343E0
1.082447870E-1,-2.139781713E0,2.164308071E0,4.439882278E0
1.130208810E-1,-1.110867858E0,2.089532375E0,3.767499208E0
1.177836410E-1,2.811566554E-2,2.087737799E0,3.315255880E0
1.225730160E-1,1.149751306E0,2.230708838E0,3.165704250E0
1.273491100E-1,2.186441660E0,2.488535643E0,3.212962627E0
1.321118710E-1,3.199802160E0,2.697907448E0,3.303291559E0
1.369012460E-1,4.103690624E0,2.786442041E0,3.384647608E0
1.416773390E-1,4.427918434E0,2.777468920E0,3.479164124E0
1.464401000E-1,4.037290096E0,2.757728100E0,3.490530014E0
1.512294750E-1,3.784847260E0,2.718246460E0,3.376870871E0
1.560055680E-1,3.604787350E0,2.578266382E0,3.378067255E0
1.607683290E-1,3.083750248E0,2.629712105E0,3.745365620E0
1.655577040E-1,1.975275040E0,2.964108944E0,4.753940582E0
1.703337980E-1,1.211964726E0,2.263011932E0,6.413960934E0
1.750965580E-1,3.457628787E-1,1.411765337E0,8.276175499E0
1.798859330E-1,2.147558331E-1,5.730810165E-1,8.959325790E0
1.846620270E-1,4.157529473E-1,-1.154536903E-1,8.804988861E0
1.894247870E-1,3.212364316E-1,-5.922235847E-1,8.695517540E0
1.942141620E-1,-1.525424421E-1,-9.984052777E-1,8.693722725E0
1.989902560E-1,-9.517452121E-1,-1.265205026E0,8.640482903E0
2.037530160E-1,-1.886142492E0,-1.411765337E0,8.265407562E0
2.085423910E-1,-1.968096614E0,-8.392825127E-1,9.105886459E0
2.133184850E-1,-1.751546144E0,1.148554832E-1,1.011147022E1
2.180812460E-1,-1.165304661E0,3.672982752E-1,9.533005714E0
2.228706210E-1,-1.385444283E0,2.656033039E-1,9.312865257E0
2.276467140E-1,-1.587039590E0,2.267199457E-1,9.093324661E0
2.324227560E-1,-1.310070395E0,-1.316052489E-2,8.228319168E0
2.371988500E-1,-1.020538807E0,-4.893322289E-1,7.142575741E0
2.419749430E-1,-6.999006271E-1,-3.870390654E-1,6.732804775E0
2.467377040E-1,-3.678964674E-1,-1.836491376E-1,6.586842537E0
2.515270790E-1,1.304088384E-1,1.549352705E-1,6.570092678E0
2.563031730E-1,7.519445419E-1,5.126622319E-1,6.466004848E0
2.610659330E-1,1.193420291E0,7.351947427E-1,6.492326260E0
2.658553080E-1,1.509272933E0,8.464609981E-1,6.854838848E0
2.706314020E-1,1.840080619E0,6.598208547E-1,7.135995388E0
2.753941620E-1,2.541177750E0,2.183450609E-1,7.190432072E0
2.801835370E-1,4.139583111E0,-3.798605800E-1,6.769893646E0
2.849596310E-1,6.262615204E0,-7.597211599E-1,6.126224041E0
2.897223910E-1,8.019545555E0,-5.676971674E-1,5.554937840E0
2.945117660E-1,8.654241562E0,3.978067636E-1,5.627918720E0
2.992878600E-1,7.721638680E0,1.609173179E0,6.189035892E0
3.040506210E-1,5.856433392E0,2.274377823E0,6.572485447E0
3.088399960E-1,4.030111313E0,2.018944025E0,6.591628075E0
3.136160890E-1,2.751745939E0,1.071984529E0,6.320641041E0
3.183788500E-1,2.211566210E0,-8.554340899E-2,5.968895912E0
3.231682250E-1,2.080559254E0,-1.034895778E0,5.879165173E0
3.279443180E-1,2.059023857E0,-1.468594909E0,6.008975983E0
3.327070790E-1,1.581655741E0,-1.493719578E0,5.776273727E0
3.374964540E-1,1.057627559E0,-1.692323804E0,5.496313572E0
3.422724960E-1,1.341775298E0,-1.932802439E0,5.931209087E0
3.470353080E-1,1.866401672E0,-1.864008784E0,6.135197163E0
3.518246830E-1,2.215753794E0,-1.752144337E0,5.067998409E0
3.566007250E-1,2.769093990E0,-1.726421595E0,3.774079561E0
3.613635370E-1,3.274577856E0,-1.734198213E0,3.085544825E0
3.661529120E-1,3.593421459E0,-1.762313843E0,3.131606579E0
3.709289540E-1,3.828516245E0,-1.838884234E0,3.403790236E0
3.756917660E-1,3.951746702E0,-2.031506538E0,3.269193888E0
3.804811410E-1,4.344169617E0,-2.420938253E0,2.638087034E0
3.852571830E-1,4.599005222E0,-2.882154942E0,2.042274237E0
3.900199960E-1,4.265206337E0,-3.296711445E0,1.626521230E0
3.948093710E-1,3.897309780E0,-3.750749588E0,1.259821177E0
3.995854120E-1,4.067798615E0,-4.173680782E0,7.459624410E-1
4.043482250E-1,4.564907551E0,-4.456632137E0,2.919243574E-1
4.091376000E-1,5.520840168E0,-4.410570145E0,2.003988922E-1
4.139136410E-1,6.467201233E0,-4.268795490E0,1.956132501E-1
4.186764540E-1,7.003791809E0,-4.051048756E0,1.734796464E-1
4.234658290E-1,6.707081795E0,-3.839882135E0,4.546362907E-2
4.282418710E-1,8.050651550E0,-4.491328239E0,-4.247260094E-2
4.330046310E-1,9.011968613E0,-5.240880013E0,3.655036688E-1
4.377940580E-1,9.728020668E0,-5.952744484E0,1.201795220E0
4.425701000E-1,1.015155029E1,-6.463014126E0,2.557927370E0
4.473329120E-1,1.027119160E1,-6.766304016E0,4.036093712E0
4.521222870E-1,9.945767403E0,-6.796812534E0,5.304887772E0
4.568983290E-1,9.546165466E0,-6.866204739E0,6.064609051E0
4.616610890E-1,9.363713264E0,-7.107281685E0,6.445665836E0
4.664505160E-1,9.257830620E0,-7.469195843E0,6.801000118E0
4.712265580E-1,9.266803741E0,-7.748558044E0,7.358527660E0
4.759893180E-1,9.474381447E0,-7.960920811E0,7.789236069E0
4.807787460E-1,1.007019424E1,-8.099106789E0,7.814958572E0
4.855547870E-1,1.112961674E1,-7.980661869E0,7.660621643E0
4.903175480E-1,1.210768223E1,-7.765905857E0,7.434499741E0
4.951069750E-1,1.287637711E1,-7.677371502E0,7.142575741E0
4.998830160E-1,1.366959763E1,-7.694121361E0,6.979863644E0
5.046457770E-1,1.451665688E1,-7.668398380E0,6.942176819E0
5.094352040E-1,1.524826241E1,-7.435098171E0,6.990631580E0
5.142112460E-1,1.544866085E1,-6.948757172E0,7.200601578E0
5.189740060E-1,1.626222038E1,-7.100701332E0,7.205985546E0
5.237633810E-1,1.604327774E1,-6.619145870E0,6.669394970E0
5.285394750E-1,1.521236992E1,-6.510272026E0,6.242276192E0
5.333022350E-1,1.575255013E1,-6.976274490E0,5.620141983E0
5.380916100E-1,1.574417496E1,-7.505686283E0,5.534598827E0
5.428677040E-1,1.568136311E1,-7.862216949E0,5.885147095E0
5.476304640E-1,1.578425503E1,-7.944170952E0,6.379265308E0
5.524198910E-1,1.599482250E1,-7.818548203E0,6.684948444E0
5.571959330E-1,1.611266899E1,-7.548757076E0,6.665207386E0
5.619586930E-1,1.615394592E1,-7.408777237E0,6.424728870E0
5.667480680E-1,1.626102448E1,-7.470990658E0,6.016154289E0
5.715241620E-1,1.638844299E1,-7.653443336E0,5.833103180E0
5.762869230E-1,1.673181152E1,-7.739584923E0,5.769095421E0
5.810762980E-1,1.779063606E1,-7.500900745E0,5.614758492E0
5.858523910E-1,1.927837372E1,-6.422934055E0,5.956333637E0
5.906151520E-1,1.995554352E1,-5.751747608E0,5.760720730E0
5.954045270E-1,2.117229271E1,-5.319244862E0,4.981258392E0
6.001806210E-1,2.290409851E1,-4.814359188E0,4.578666210E0
6.049433810E-1,2.472563553E1,-4.385445595E0,4.612165451E0
6.097327560E-1,2.610509682E1,-4.016352654E0,4.791627407E0
6.145088500E-1,2.603211594E1,-3.279363394E0,4.930410862E0
6.192716100E-1,2.441815758E1,-1.804188251E0,4.760520458E0
6.240609850E-1,2.221735764E1,-3.110669553E-1,4.276572227E0
6.288370790E-1,2.047418785E1,3.888336718E-1,3.603590965E0
6.335998390E-1,1.940997887E1,3.667000830E-1,3.033500910E0
6.383892140E-1,1.889612007E1,-3.888336942E-2,2.834896564E0
6.431653080E-1,1.864487457E1,-3.960121572E-1,2.779263496E0
6.479280680E-1,1.834397697E1,-2.907279432E-1,2.698505640E0
6.527174430E-1,1.753221130E1,-1.094716340E-1,2.199003935E0
6.574935370E-1,1.671984863E1,2.452643216E-1,1.804786444E0
6.622562980E-1,1.649492264E1,6.885347366E-1,1.061815023E0
6.670456730E-1,1.622812271E1,1.136590719E0,4.815555513E-1
6.718217660E-1,1.612164307E1,1.444068432E0,4.199403822E-1
6.765845270E-1,1.609891129E1,1.622333765E0,6.891329288E-1
6.813739020E-1,1.565384579E1,1.630110383E0,1.751546144E0
6.861499960E-1,1.573579979E1,1.697707653E0,2.793022156E0
6.909127560E-1,1.598644829E1,1.765304923E0,2.560320139E0
6.957021310E-1,1.607976723E1,1.919641972E0,2.397010088E0
7.004782250E-1,1.615334702E1,2.200200319E0,2.041675806E0
7.052409850E-1,1.626162338E1,2.566900492E0,1.329811215E0
7.100303600E-1,1.616411591E1,2.976073265E0,3.846462369E-1
7.148064540E-1,1.582433414E1,3.197409153E0,-6.215356588E-1
7.195692140E-1,1.532842159E1,3.308077335E0,-1.650449395E0
7.243585890E-1,1.472662735E1,3.345764160E0,-2.736790895E0
7.291346830E-1,1.434915924E1,3.345165968E0,-3.785445452E0
7.338974430E-1,1.410987663E1,3.210569859E0,-7.148557663E0
7.386868180E-1,1.401775360E1,3.125026464E0,-9.859625816E0
7.434629120E-1,1.358525085E1,3.148954630E0,-1.216092300E1
7.482256730E-1,1.307498074E1,3.163311481E0,-1.393819237E1
7.530150480E-1,1.291705513E1,3.288336515E0,-1.399980736E1
7.577911410E-1,1.253480148E1,3.397209883E0,-1.184387398E1
7.625539020E-1,1.172004509E1,3.046063185E0,-7.553543091E0
7.673432770E-1,1.032562828E1,2.830111027E0,-5.372485161E0
7.721193710E-1,9.485747337E0,2.350948334E0,-4.475176334E0
7.768821310E-1,9.396614075E0,1.820339799E0,-5.285147190E0
7.816715060E-1,9.073583603E0,1.448854089E0,-5.484947681E0
7.864476000E-1,7.718647480E0,1.277169108E0,-5.444269657E0
7.912103600E-1,6.179464340E0,1.384247899E0,-4.951348305E0
7.959997350E-1,5.251049519E0,1.366899967E0,-3.592823267E0
8.007758290E-1,4.986642361E0,1.057029366E0,-1.695913076E0
8.055385890E-1,4.532604218E0,8.769695163E-1,-1.381256819E0
8.103279640E-1,5.212165833E0,6.185446382E-1,-9.290133715E-1
8.151040580E-1,5.294718266E0,4.935196638E-1,-1.548156261E0
8.198668180E-1,5.612365723E0,7.788637877E-1,-2.303689957E0
8.246561930E-1,6.097510338E0,1.405783296E0,-3.487538993E-1
8.294322870E-1,7.202994347E0,1.412363529E0,2.227717876E0
8.341950480E-1,6.994818687E0,1.035493970E0,3.011367321E0
8.389844230E-1,7.185646534E0,4.193421602E-1,2.809173822E0
8.437605160E-1,6.425925255E0,-1.274178028E-1,2.659622431E0
8.485232770E-1,6.372684956E0,-9.074779749E-1,2.843271494E0
8.533126520E-1,5.468796253E0,-9.672985673E-1,2.857628345E0
8.580887460E-1,4.728815556E0,-7.908278704E-1,2.611167669E0
8.628515060E-1,4.010969162E0,-1.848455518E-1,6.568298340E-1
8.676408810E-1,3.830909014E0,5.682953820E-2,-1.439282775E0
8.724169750E-1,4.317250252E0,2.901297510E-1,-3.530011654E0
8.771797350E-1,5.242076397E0,-2.279163599E-1,-5.065007210E0
8.819691100E-1,5.692524910E0,-6.592226624E-1,-6.324828625E0
8.867452040E-1,6.101697922E0,-1.308275819E0,-7.406384468E0
8.915079640E-1,6.151947021E0,-1.688136339E0,-9.469595909E0
8.962973390E-1,5.830710411E0,-1.814357758E0,-8.402397156E0
9.010734330E-1,5.618347645E0,-2.245065928E0,-5.234299660E0
9.058361930E-1,6.649055958E0,-2.552543640E0,-1.860419631E0
9.106255680E-1,7.118647575E0,-2.210369825E0,1.265803218E0
