"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.350987246E0,5.323014650E1,1.039612940E1,3.754622632E1,0.000000000E0,0.000000000E0,1.656699944E1,1.000000000E0
2.326030998E0,5.323069515E1,1.039761958E1,4.173480551E1,0.000000000E0,0.000000000E0,3.200000000E1,2.788641930E1
3.335228536E0,5.323046409E1,1.039729949E1,4.783922161E1,6.173279509E-2,4.563916206E0,3.200000000E1,2.745477295E1
4.347264650E0,5.323041610E1,1.039712324E1,3.922487368E1,6.145087481E-1,4.563916206E0,3.200000000E1,2.561566353E1
5.346230996E0,5.323040082E1,1.039698341E1,3.539755635E1,1.255526781E0,2.903990173E1,3.200000000E1,2.400170326E1
6.344447457E0,5.323018730E1,1.039623982E1,4.084509477E1,1.842503786E0,3.598478394E2,8.000000000E0,1.469460487E1
7.354559533E0,5.323021985E1,1.039622845E1,3.816207302E1,2.663229704E0,1.075597477E1,8.000000000E0,1.277867222E1
8.342009032E0,5.323025331E1,1.039623771E1,3.869225982E1,3.106180191E0,7.785591125E0,8.000000000E0,1.107930660E1
9.345933839E0,5.323029582E1,1.039624647E1,3.854755784E1,3.587304592E0,7.811403751E0,6.000000000E0,1.010397148E1
1.037274365E1,5.323032896E1,1.039625553E1,3.866787614E1,3.604568005E0,9.604826927E0,6.000000000E0,9.114789963E0
1.134965042E1,5.323035899E1,1.039626660E1,3.811730554E1,3.584542751E0,9.172197342E0,6.000000000E0,8.331978798E0
1.233867091E1,5.323039785E1,1.039628421E1,3.805821302E1,3.776482105E0,9.863981247E0,6.000000000E0,7.734599590E0
1.335324691E1,5.323043995E1,1.039630009E1,3.784681789E1,3.932454348E0,7.813572407E0,4.000000000E0,7.106765270E0
1.436285449E1,5.323047256E1,1.039631052E1,3.729980144E1,3.909615993E0,1.624060631E1,4.000000000E0,6.693520546E0
1.534408007E1,5.323050640E1,1.039632522E1,3.684164101E1,3.903749943E0,9.472651482E0,4.000000000E0,6.197772503E0
1.634665499E1,5.323054288E1,1.039634110E1,3.723920020E1,3.940144539E0,1.030758667E1,4.000000000E0,5.861675739E0
1.735059964E1,5.323057636E1,1.039635766E1,3.732784305E1,3.967193365E0,1.361589241E1,4.000000000E0,5.547817230E0
1.834826395E1,5.323061151E1,1.039637724E1,3.759017426E1,3.937007189E0,1.408399963E1,4.000000000E0,5.322383404E0
1.935287256E1,5.323063847E1,1.039639900E1,3.732868110E1,3.853723526E0,3.633647156E1,4.000000000E0,5.206421375E0
2.033980502E1,5.323066543E1,1.039644343E1,3.732747381E1,3.867365360E0,4.309325790E1,4.000000000E0,5.111054897E0
2.135097864E1,5.323068585E1,1.039649300E1,3.756353392E1,3.861784697E0,6.151845551E1,4.000000000E0,5.043521404E0
2.236300891E1,5.323069628E1,1.039655753E1,3.777020758E1,3.895691633E0,6.696840668E1,4.000000000E0,4.962138653E0
2.335501791E1,5.323070274E1,1.039662246E1,3.765620177E1,3.889035702E0,7.052175140E1,4.000000000E0,4.830692291E0
2.433934421E1,5.323070823E1,1.039667244E1,3.746367025E1,3.812864780E0,6.913129425E1,4.000000000E0,4.672026634E0
2.534211602E1,5.323071550E1,1.039672508E1,3.792615533E1,3.777235031E0,7.399759674E1,4.000000000E0,4.516520023E0
2.633639710E1,5.323072094E1,1.039678221E1,3.833586953E1,3.754279375E0,7.539672852E1,4.000000000E0,4.408511639E0
2.733462679E1,5.323072471E1,1.039683761E1,3.871149883E1,3.725376129E0,8.060671997E1,4.000000000E0,4.276168823E0
2.834767029E1,5.323073032E1,1.039689206E1,3.831278301E1,3.699504375E0,8.459355927E1,4.000000000E0,4.161161423E0
2.935236075E1,5.323072947E1,1.039694759E1,3.836968228E1,3.704220533E0,9.654253387E1,4.000000000E0,4.068665504E0
3.035390844E1,5.323072624E1,1.039700772E1,3.881924771E1,3.727660656E0,9.304514313E1,4.000000000E0,3.961879253E0
3.136117725E1,5.323072382E1,1.039706959E1,3.852962995E1,3.730374336E0,8.398952484E1,4.000000000E0,3.864145994E0
3.236614655E1,5.323072289E1,1.039712707E1,3.751841403E1,3.710619450E0,9.680458069E1,4.000000000E0,3.779698849E0
3.333634505E1,5.323071653E1,1.039718846E1,3.739610263E1,3.717233181E0,9.328114319E1,4.000000000E0,3.684656858E0
3.435058244E1,5.323071570E1,1.039723395E1,3.726257213E1,3.624572277E0,9.033578491E1,4.000000000E0,3.643736362E0
3.533882778E1,5.323071680E1,1.039725450E1,3.800751703E1,2.693614244E0,9.033578491E1,4.000000000E0,3.610341787E0
3.633567647E1,5.323071890E1,1.039724992E1,3.817312421E1,5.713899061E-2,9.033578491E1,4.000000000E0,3.591778755E0
3.735836928E1,5.323071906E1,1.039725519E1,3.874485057E1,1.713702798E0,9.033578491E1,4.000000000E0,3.525501490E0
3.834435463E1,5.323072227E1,1.039725050E1,3.873209954E1,1.092327952E0,9.030247498E1,4.000000000E0,3.478891134E0
