Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00188608,3.248931646,-15.1822319,0.8140285611
10.00688604,3.440467834,-14.08538818,-0.9648633003
10.01188604,3.244143248,-12.68956852,-1.091755986
10.01688604,2.918531895,-10.78378391,-0.8355764151
10.02188608,2.691082716,-9.646537781,-0.6631938815
10.02688611,2.250549555,-7.805397034,-0.2705447972
10.03188614,1.9321208,-6.620266914,0.4405331016
10.03688614,1.505952835,-4.30956316,3.871424198
10.04188614,1.280897856,-2.334346771,7.642591
10.04688611,1.271321058,-0.8978256583,9.967360497
10.05188611,1.323993564,-0.2130839527,9.560346603
10.05688611,1.288080573,0.1604115069,8.540416718
10.06188614,1.053448796,0.5099649429,8.08791256
10.06688614,0.5937620401,0.9074024558,7.977779388
10.07188614,0.2777273953,1.010353088,7.424718857
10.07688611,-0.1675941199,0.7781155705,5.461473465
10.08188641,-0.457292527,0.5602431893,4.060565948
10.08688637,-0.9097966552,0.08619125932,3.394978046
10.09188637,-1.180341482,-0.5147533417,2.667140722
10.09688641,-1.170764685,-1.297657371,1.905784607
10.10188644,-1.060631394,-2.300827742,1.297657371
10.10688647,-0.7733271718,-3.315969467,0.6464344859
10.11188647,-0.6105214357,-4.292803764,0.3998316824
10.11688647,-0.2250549644,-5.636250019,0.6488286853
10.12188644,0.1532289088,-6.871658325,1.529894829
10.12688644,0.806845963,-10.10143661,5.011363506
10.13188644,1.048660398,-12.69914532,8.6074543
10.13688647,1.046266198,-16.53016663,14.96196461
10.1418865,1.391031146,-18.85733032,17.22209167
10.1468865,2.683900118,-21.0049305,16.90845108
10.1518865,5.332186222,-24.46694565,14.75845814
10.1568865,11.05432892,-31.02017593,10.52521038
10.1618865,14.94041729,-35.5191803,7.721599579
10.1668865,22.29301071,-43.69777298,3.462015629
10.17188647,25.70025826,-48.22311401,1.295263171
10.17688647,27.04819489,-53.65795135,-1.276109457
10.18188647,25.56378937,-54.84337997,-2.422932148
10.1868865,23.79417419,-55.8968277,-4.367023945
10.1918865,19.72163773,-55.74599457,-7.046434879
10.1968865,15.72571564,-52.87744141,-8.801384926
10.20188647,10.63294888,-47.21754837,-7.987356186
10.20688644,4.635174274,-38.38982773,-6.457461357
10.2118864,4.252102375,-31.88448143,-5.250783443
