"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.026627000E-3,-2.987963676E0,5.866093636E0,6.507739544E0
1.202662700E-2,-2.952050686E0,5.885247231E0,5.983409405E0
1.702662700E-2,-2.964021683E0,5.894824028E0,5.736806393E0
2.202062700E-2,-3.007117271E0,5.906795025E0,5.722441196E0
2.702062700E-2,-3.083731890E0,5.916371822E0,5.880458832E0
3.202062700E-2,-3.210624456E0,5.942708015E0,6.124667168E0
3.702082700E-2,-3.315969467E0,5.954679012E0,6.400000572E0
4.202099300E-2,-3.327940464E0,5.921160221E0,6.634632111E0
4.702113500E-2,-3.253720045E0,5.878064632E0,6.744765282E0
5.202113500E-2,-3.160346270E0,5.844545841E0,6.761524677E0
5.702113500E-2,-3.150769472E0,5.801449776E0,6.644208908E0
6.202113500E-2,-3.351882458E0,5.724835396E0,6.225223541E0
6.702122500E-2,-3.557783842E0,5.657797813E0,5.674557209E0
7.202130800E-2,-3.562572241E0,5.650615215E0,5.279513836E0
7.702138400E-2,-3.462015629E0,5.688922405E0,5.042488098E0
8.202145500E-2,-3.315969467E0,5.717652798E0,4.963479519E0
8.702145500E-2,-3.162740469E0,5.693710804E0,5.016151905E0
9.202145500E-2,-3.021482468E0,5.595548630E0,5.164592266E0
9.702145500E-2,-2.873042107E0,5.423166275E0,5.399224281E0
1.020214550E-1,-2.695871115E0,5.236418247E0,5.662586212E0
1.070214550E-1,-2.480392933E0,5.068824291E0,5.925948620E0
1.120214550E-1,-2.257732153E0,4.946720123E0,6.148609161E0
1.170215020E-1,-2.044648170E0,4.857835293E0,6.316203594E0
1.220215470E-1,-1.843535304E0,4.788403511E0,6.445490360E0
1.270215900E-1,-1.644816518E0,4.704606533E0,6.569988728E0
1.320215900E-1,-1.467645645E0,4.604049683E0,6.692092896E0
1.370215900E-1,-1.300051570E0,4.469974518E0,6.823774338E0
1.420215900E-1,-1.154005170E0,4.326322556E0,6.969820499E0
1.470216270E-1,-1.051054597E0,4.225766182E0,7.091924667E0
1.520216620E-1,-9.888052940E-1,4.163516521E0,7.197269440E0
1.570216960E-1,-9.600749016E-1,4.120420933E0,7.297826290E0
1.620216960E-1,-9.720458984E-1,4.077325344E0,7.403171062E0
1.670216960E-1,-1.015141487E0,4.010287762E0,7.515698433E0
1.720220960E-1,-1.063025594E0,3.907337189E0,7.652167797E0
1.770220960E-1,-1.115697980E0,3.782838583E0,7.822156429E0
1.820220960E-1,-1.175553083E0,3.629609823E0,8.016086578E0
1.870220620E-1,-1.228225470E0,3.450044632E0,8.262689590E0
1.920220620E-1,-1.237802267E0,3.265691042E0,8.554781914E0
1.970220620E-1,-1.185129881E0,3.074155092E0,8.887576103E0
2.020220950E-1,-1.065419793E0,2.880224705E0,9.229947090E0
2.070221280E-1,-8.834604025E-1,2.652775526E0,9.557952881E0
2.120221280E-1,-8.571242094E-1,2.229001760E0,9.964966774E0
2.170220940E-1,-1.096544385E0,1.699883223E0,1.039831734E1
2.220213940E-1,-1.067813993E0,1.343147159E0,1.060900688E1
2.270213940E-1,-1.048660398E0,1.307234168E0,1.061858368E1
2.320213940E-1,-1.240196466E0,1.628057122E0,1.030015469E1
2.370207600E-1,-1.505952835E0,2.161964178E0,9.598653793E0
2.420200930E-1,-1.881842494E0,2.726995707E0,8.779836655E0
2.470200930E-1,-2.114080191E0,3.136404276E0,8.317755699E0
2.520194260E-1,-2.267308950E0,3.397372246E0,8.164526939E0
2.570187590E-1,-2.377442360E0,3.574543238E0,8.162133217E0
2.620178590E-1,-2.382230759E0,3.703830004E0,8.195652008E0
2.670171590E-1,-2.269703150E0,3.751713991E0,8.181286812E0
2.720162590E-1,-2.145204782E0,3.691859007E0,8.159738541E0
2.770153590E-1,-2.128445387E0,3.541024208E0,8.272266388E0
2.820144920E-1,-2.252943754E0,3.332728863E0,8.506897926E0
2.870138250E-1,-2.564189911E0,3.090914488E0,8.775048256E0
2.920138250E-1,-2.882618904E0,2.894589901E0,8.949825287E0
2.970131250E-1,-3.248931646E0,2.810792685E0,8.846874237E0
3.020131250E-1,-3.701435804E0,2.844311714E0,8.463802338E0
3.070124580E-1,-4.331110954E0,2.935291290E0,7.822156429E0
3.120124910E-1,-4.975450516E0,3.035847664E0,7.283460617E0
3.170124910E-1,-5.569212437E0,3.035847664E0,6.948272705E0
3.220124910E-1,-5.952284813E0,2.947262287E0,6.754342079E0
3.270124910E-1,-5.952284813E0,2.813186884E0,6.625055313E0
3.320124910E-1,-5.411195278E0,2.638410330E0,6.862081528E0
3.370124910E-1,-4.618414879E0,2.375048161E0,7.221211433E0
3.420124570E-1,-4.084507942E0,2.006340981E0,7.381623268E0
3.470124230E-1,-3.871424198E0,1.539471745E0,7.374440670E0
3.520124230E-1,-4.450820923E0,1.091755986E0,7.489362240E0
3.570117560E-1,-5.238812447E0,7.158663273E-1,7.848492622E0
3.620117890E-1,-5.483021259E0,4.932055473E-1,8.387187958E0
3.670117890E-1,-4.826710701E0,2.753331959E-1,8.691251755E0
3.720115550E-1,-4.417302132E0,7.182604820E-2,8.715193748E0
3.770108550E-1,-4.338293552E0,-6.224924326E-2,8.497321129E0
3.820107550E-1,-4.422090530E0,-1.412578970E-1,7.965808392E0
3.870117210E-1,-4.529829502E0,-1.556231081E-1,7.343316078E0
3.920132540E-1,-4.570530891E0,-8.619125932E-2,6.833351135E0
3.970132870E-1,-4.496310711E0,-2.394201700E-3,6.510133743E0
4.020130870E-1,-4.326322556E0,2.154781483E-2,6.361693382E0
4.070137870E-1,-4.170699596E0,-1.915361360E-2,6.258742332E0
4.120146870E-1,-3.986345768E0,-2.011129409E-1,6.081571579E0
4.170153530E-1,-3.816357613E0,-4.405331016E-1,5.832574844E0
4.220155530E-1,-3.591302633E0,-8.188169599E-1,5.420772076E0
4.270164530E-1,-3.268085241E0,-1.261744261E0,4.915595531E0
4.320173530E-1,-2.789244890E0,-1.790862918E0,4.347870350E0
4.370180530E-1,-2.200271368E0,-2.396595955E0,3.766079187E0
4.420180530E-1,-1.630451322E0,-3.021482468E0,3.244143248E0
4.470187190E-1,-1.175553083E0,-3.622427225E0,2.849100113E0
4.520186850E-1,-8.571242094E-1,-4.194641590E0,2.597708941E0
4.570193180E-1,-6.344634295E-1,-4.697423935E0,2.461239338E0
4.620192840E-1,-5.458779931E-1,-5.104737282E0,2.523488522E0
4.670192840E-1,-5.626373887E-1,-5.399224281E0,2.659958124E0
4.720192840E-1,-7.302315235E-1,-5.612308025E0,2.856282711E0
4.770193170E-1,-1.017535686E0,-5.813420773E0,3.014299870E0
4.820193500E-1,-1.426944256E0,-6.002563000E0,3.148375273E0
4.870193830E-1,-1.915361404E0,-6.198887348E0,3.289633036E0
4.920193830E-1,-2.480392933E0,-6.431125164E0,3.502717018E0
4.970193830E-1,-3.145981073E0,-6.672939301E0,3.804386616E0
5.020193490E-1,-3.945644379E0,-6.888417721E0,4.156333923E0
5.070200150E-1,-4.721365929E0,-7.044040680E0,4.474762917E0
5.120200150E-1,-5.475838661E0,-7.099107265E0,4.738125324E0
5.170200480E-1,-6.115090370E0,-7.108684063E0,4.929960728E0
5.220209480E-1,-6.653785706E0,-7.101501465E0,5.054459095E0
5.270216140E-1,-7.111078262E0,-7.106289864E0,5.104737282E0
5.320216800E-1,-7.489362240E0,-7.127837658E0,5.097554684E0
5.370213460E-1,-7.841310024E0,-7.154173851E0,5.083189487E0
5.420204790E-1,-8.214805603E0,-7.158962250E0,5.097554684E0
5.470204450E-1,-8.602665901E0,-7.127837658E0,5.140650272E0
5.520213450E-1,-9.019257545E0,-7.051223278E0,5.171774864E0
5.570213450E-1,-9.416694641E0,-6.960243702E0,5.195716858E0
5.620213780E-1,-9.869198799E0,-6.809409142E0,5.253177643E0
5.670213780E-1,-1.036719227E1,-6.634632111E0,5.370493889E0
5.720220440E-1,-1.090588760E1,-6.414365768E0,5.528511047E0
5.770220100E-1,-1.145176601E1,-6.158185959E0,5.676951408E0
5.820219760E-1,-1.198567295E1,-5.937919617E0,5.863699436E0
5.870214090E-1,-1.250042629E1,-5.765536785E0,6.136638165E0
5.920214420E-1,-1.299123764E1,-5.619490623E0,6.498162746E0
5.970214750E-1,-1.339825153E1,-5.480627060E0,6.874052525E0
6.020214750E-1,-1.378371811E1,-5.356128693E0,7.326556683E0
6.070214750E-1,-1.415721416E1,-5.284302235E0,7.841310024E0
6.120214750E-1,-1.454986286E1,-5.222053051E0,8.391976357E0
6.170214750E-1,-1.495478249E1,-5.147832870E0,8.933065414E0
6.220208080E-1,-1.546474743E1,-4.985027313E0,9.553164482E0
6.270207740E-1,-1.600344276E1,-4.735731125E0,1.019959831E1
6.320207740E-1,-1.653495598E1,-4.429273129E0,1.080772591E1
6.370207740E-1,-1.703294945E1,-4.089296341E0,1.134881496E1
6.420208070E-1,-1.749742508E1,-3.708618402E0,1.178934860E1
6.470208070E-1,-1.787331390E1,-3.349488258E0,1.211974812E1
6.520208070E-1,-1.810076332E1,-3.004723072E0,1.234719753E1
6.570207730E-1,-1.824680901E1,-2.703053713E0,1.252197456E1
6.620207390E-1,-1.836412621E1,-2.387019157E0,1.264647293E1
6.670207050E-1,-1.843595123E1,-2.070984364E0,1.270632744E1
6.720207050E-1,-1.841440392E1,-1.776497602E0,1.269435692E1
6.770207380E-1,-1.825399208E1,-1.529894829E0,1.264168453E1
6.820207710E-1,-1.794514084E1,-1.364694953E0,1.256028175E1
6.870208040E-1,-1.751418304E1,-1.285686255E0,1.245014858E1
6.920208040E-1,-1.699224854E1,-1.300051570E0,1.230170727E1
6.970208040E-1,-1.650143623E1,-1.345541358E0,1.216284370E1
7.020207700E-1,-1.601780701E1,-1.434126854E0,1.195933723E1
7.070207360E-1,-1.556530380E1,-1.539471745E0,1.177977180E1
7.120207360E-1,-1.513913631E1,-1.625662923E0,1.168879223E1
7.170207690E-1,-1.455225754E1,-1.759738207E0,1.208622932E1
7.220208020E-1,-1.378132439E1,-1.970427990E0,1.285955620E1
7.270208020E-1,-1.294814205E1,-2.197877169E0,1.357781696E1
7.320208020E-1,-1.224424648E1,-2.363077164E0,1.392737103E1
7.370213350E-1,-1.175343513E1,-2.427720547E0,1.390342808E1
7.420213010E-1,-1.140388203E1,-2.317587137E0,1.351796246E1
7.470212670E-1,-1.111178970E1,-2.169146776E0,1.297208405E1
7.520212670E-1,-1.078857231E1,-2.032677174E0,1.221072769E1
7.570213000E-1,-1.046296024E1,-1.944091797E0,1.137754536E1
7.620213330E-1,-1.012059021E1,-1.853112102E0,1.041028786E1
7.670213660E-1,-9.751882553E0,-1.905784607E0,9.354445457E0
7.720220320E-1,-9.385569572E0,-2.049436569E0,8.289025307E0
7.770220320E-1,-9.028834343E0,-2.200271368E0,7.237970829E0
7.820219980E-1,-8.674491882E0,-2.322375536E0,6.555623531E0
7.870219980E-1,-8.380004883E0,-2.264914751E0,6.062417984E0
7.920219980E-1,-8.047211647E0,-2.257732153E0,5.420772076E0
7.970220310E-1,-7.807791233E0,-2.214636564E0,4.797980309E0
8.020220310E-1,-7.735964775E0,-1.819593310E0,4.453215122E0
8.070220310E-1,-7.671321392E0,-1.319205165E0,4.010287762E0
8.120220310E-1,-7.664138794E0,-7.230489254E-1,3.256114244E0
8.170220310E-1,-7.795820236E0,-4.357447028E-1,2.643198729E0
8.220213640E-1,-7.666532993E0,-5.434837937E-1,2.178723574E0
8.270213300E-1,-7.661744595E0,-6.440402865E-1,1.771709204E0
8.320212960E-1,-7.872434616E0,-5.219359994E-1,7.757213712E-1
8.370212960E-1,-8.035240173E0,-9.648633003E-1,1.436520964E-1
8.420213290E-1,-8.171710014E0,-1.544260144E0,-2.130839527E-1
8.470213620E-1,-8.085518837E0,-2.236184359E0,-4.453215301E-1
8.520213620E-1,-8.018480301E0,-2.798821688E0,-9.552865028E-1
8.570213620E-1,-7.886799812E0,-3.411737442E0,-1.572990537E0
8.620213280E-1,-7.723993778E0,-3.983951569E0,-2.418143749E0
8.670213280E-1,-7.463026047E0,-4.673481941E0,-3.172317266E0
8.720213280E-1,-7.024887085E0,-5.394435883E0,-3.907337189E0
8.770213610E-1,-6.450278759E0,-6.071994781E0,-4.572925091E0
8.820213610E-1,-5.815814972E0,-6.608295918E0,-5.035305500E0
8.870213610E-1,-5.281908035E0,-6.984185696E0,-5.250783443E0
8.920213610E-1,-4.925172329E0,-7.123049259E0,-5.049670696E0
8.970213610E-1,-4.695029736E0,-7.137414455E0,-4.611232281E0
9.020213610E-1,-4.589684486E0,-6.974608898E0,-3.847482204E0
9.070213270E-1,-4.594472885E0,-6.704063892E0,-2.990357876E0
9.120213270E-1,-4.680664539E0,-6.344933987E0,-2.099714994E0
9.170213270E-1,-4.764461517E0,-5.942708015E0,-1.247379065E0
9.220213600E-1,-4.809951305E0,-5.377676487E0,-4.381389022E-1
9.270213600E-1,-4.896441936E0,-4.771644115E0,2.825157940E-1
9.320213600E-1,-5.145438671E0,-4.137180328E0,1.058237195E0
9.370213260E-1,-5.212476254E0,-3.521870613E0,1.649604917E0
9.420212920E-1,-5.126285076E0,-3.055001259E0,2.169146776E0
9.470212580E-1,-4.915595531E0,-2.779668093E0,2.602497339E0
9.520212580E-1,-4.759673119E0,-2.801215887E0,3.090914488E0
9.570212580E-1,-4.733336926E0,-3.105279684E0,3.502717018E0
9.620212910E-1,-4.745307922E0,-3.706224203E0,3.770867586E0
9.670213240E-1,-4.766855717E0,-4.508281708E0,3.914519787E0
9.720220240E-1,-4.809951305E0,-5.387253284E0,3.902548790E0
9.770220240E-1,-4.910807133E0,-6.275501728E0,3.809175014E0
9.820220240E-1,-5.313032627E0,-7.271489620E0,3.385401249E0
9.870219900E-1,-5.873276234E0,-8.181286812E0,2.837129116E0
9.920219900E-1,-6.543652534E0,-9.019257545E0,2.099714994E0
9.970219900E-1,-7.254730225E0,-9.713575363E0,1.443703651E0
1.002022023E0,-7.963414192E0,-1.024269390E1,8.810662031E-1
1.007022023E0,-8.518868446E0,-1.062576675E1,4.620809257E-1
1.012022023E0,-8.918700218E0,-1.087955189E1,1.173158810E-1
1.017021989E0,-9.246706009E0,-1.098729134E1,-1.604115069E-1
1.022021289E0,-9.531616211E0,-1.089152241E1,-3.615244627E-1
1.027021255E0,-9.783007622E0,-1.060900688E1,-6.105214357E-1
1.032021255E0,-9.962572098E0,-1.024987698E1,-9.002198577E-1
1.037021288E0,-1.003918743E1,-9.981725693E0,-1.144428372E0
1.042021321E0,-9.941024780E0,-9.929053307E0,-1.323993564E0
1.047021354E0,-9.816526413E0,-9.787796021E0,-1.328781962E0
1.052021354E0,-9.522039413E0,-9.206005096E0,-1.283292055E0
1.057021354E0,-9.062353134E0,-8.801384926E0,-1.278503656E0
1.062021320E0,-8.456619263E0,-8.413523674E0,-1.515529633E0
1.067021320E0,-7.853281021E0,-8.047211647E0,-1.810016513E0
1.072021320E0,-7.343316078E0,-7.685686588E0,-1.996764183E0
1.077021353E0,-6.907571316E0,-7.278672218E0,-2.070984364E0
1.082021386E0,-6.483797550E0,-6.859687328E0,-1.795651317E0
1.087021386E0,-6.107907772E0,-6.498162746E0,-1.122880578E0
1.092021386E0,-5.736806393E0,-6.177339554E0,1.005564705E-1
1.097021386E0,-5.334580898E0,-5.894824028E0,1.340752959E0
1.102021386E0,-4.872200489E0,-5.643432617E0,2.334346771E0
1.107021386E0,-4.352658749E0,-5.389647484E0,3.002328873E0
1.112021352E0,-3.809175014E0,-5.138256073E0,3.366247654E0
1.117021352E0,-3.272873640E0,-4.867412090E0,3.488351822E0
1.122021352E0,-2.750937700E0,-4.517858505E0,3.485957623E0
1.127021385E0,-2.296039343E0,-4.146757126E0,3.435679436E0
1.132021385E0,-1.939303398E0,-3.801992416E0,3.356670856E0
1.137021385E0,-1.649604917E0,-3.572149038E0,3.296815634E0
1.142021351E0,-1.417367458E0,-3.447650433E0,3.189076662E0
1.147021351E0,-1.235408068E0,-3.368641853E0,3.016694069E0
1.152021351E0,-1.098938584E0,-3.296815634E0,2.748543501E0
1.157021384E0,-9.720458984E-1,-3.205836058E0,2.406172752E0
1.162021384E0,-8.547300100E-1,-3.069366693E0,2.032677174E0
1.167021384E0,-7.374141216E-1,-2.887407303E0,1.649604917E0
1.172022050E0,-6.200982332E-1,-2.669534922E0,1.237802267E0
1.177022050E0,-5.123591423E-1,-2.473210335E0,8.906430602E-1
1.182022050E0,-4.165911078E-1,-2.276885748E0,6.033388376E-1
1.187022016E0,-3.447650373E-1,-2.097320795E0,3.830722570E-1
1.192022016E0,-2.801215947E-1,-1.934514999E0,2.035071403E-1
1.197022016E0,-2.322375625E-1,-1.795651317E0,1.197100803E-2
1.202022049E0,-1.987187415E-1,-1.680729628E0,-1.580173075E-1
1.207022082E0,-1.244984865E-1,-1.671152830E0,-2.298433632E-1
1.212022082E0,3.112462163E-2,-1.903390408E0,-3.040636182E-1
1.217022048E0,2.154781520E-1,-2.387019157E0,-3.806780577E-1
1.222021348E0,4.453215301E-1,-3.287238836E0,-5.674257874E-1
1.227021314E0,7.278373241E-1,-4.426878929E0,-7.733271718E-1
1.232021280E0,1.070208192E0,-6.151003361E0,-1.024718285E0
1.237020613E0,1.410184860E0,-8.178892136E0,-1.316810966E0
1.242019979E0,1.910573006E0,-1.125544167E1,-1.697489023E0
1.247019112E0,2.815581083E0,-1.499069500E1,-2.066195965E0
1.252019145E0,3.979163170E0,-1.916378975E1,-2.432508945E0
1.257018478E0,5.272331238E0,-2.341110229E1,-2.801215887E0
1.262017811E0,6.572382927E0,-2.737141228E1,-3.088520288E0
1.267017111E0,7.656956196E0,-3.085497475E1,-3.210624456E0
1.272016244E0,8.277054787E0,-3.364182663E1,-3.047818661E0
1.277015344E0,8.365639687E0,-3.547847748E1,-2.695871115E0
1.282014477E0,7.704840183E0,-3.561494827E1,-1.960851192E0
1.287013810E0,6.756736279E0,-3.456867981E1,-8.499416113E-1
1.292013810E0,5.720046997E0,-3.276554871E1,5.410895944E-1
1.297013110E0,4.697423935E0,-3.049105644E1,1.980004787E0
1.302013076E0,3.746925592E0,-2.796038437E1,3.244143248E0
1.307012376E0,2.928108692E0,-2.531958008E1,4.256890774E0
1.312011709E0,2.226607561E0,-2.256834412E1,4.963479519E0
1.317011742E0,1.628057122E0,-2.003527832E1,5.514145851E0
1.322011775E0,1.046266198E0,-1.751178932E1,6.098330975E0
1.327012108E0,5.386953950E-1,-1.526363468E1,6.558017731E0
1.332012141E0,5.746084079E-2,-1.297447872E1,6.953061104E0
1.337011907E0,-2.753331959E-1,-1.084842682E1,6.953061104E0
1.342010973E0,-4.261679053E-1,-9.002497673E0,6.469432354E0
1.347010939E0,-4.477157295E-1,-7.472602844E0,5.657797813E0
1.352010939E0,-3.854664862E-1,-6.258742332E0,4.666299343E0
1.357010939E0,-2.896983922E-1,-5.308244228E0,3.651157618E0
1.362010972E0,-1.699883193E-1,-4.580107689E0,2.750937700E0
1.367010972E0,-6.224924326E-2,-4.019864559E0,2.023100376E0
1.372011638E0,3.351882473E-2,-3.598485231E0,1.422155857E0
1.377011638E0,1.101332754E-1,-3.282450438E0,9.409212470E-1
1.382011638E0,1.795651317E-1,-3.076549292E0,5.722141862E-1
1.387012304E0,2.394201756E-1,-2.961627483E0,2.873041928E-1
1.392012937E0,2.825157940E-1,-2.932897091E0,5.506663769E-2
1.397013837E0,2.968810201E-1,-2.992752075E0,-1.340752989E-1
1.402013837E0,2.849099934E-1,-3.148375273E0,-2.944868207E-1
1.407014537E0,2.801215947E-1,-3.409343243E0,-4.477157295E-1
1.412015203E0,2.920926213E-1,-3.825934410E0,-6.153098345E-1
1.417015869E0,3.040636182E-1,-4.309563160E0,-7.757213712E-1
1.422016035E0,3.208230138E-1,-4.963479519E0,-9.504981041E-1
1.427016935E0,3.423708379E-1,-5.700893402E0,-1.113303781E0
1.432017835E0,3.447650373E-1,-6.526893139E0,-1.261744261E0
1.437017868E0,3.447650373E-1,-7.427113056E0,-1.393425345E0
1.442017868E0,3.447650373E-1,-8.380004883E0,-1.498770237E0
1.449684960E0,3.280056417E-1,-9.352050781E0,-1.572990537E0
1.454685493E0,2.825157940E-1,-1.036719227E1,-1.594538331E0
1.459686159E0,2.274491638E-1,-1.129614258E1,-1.577778935E0
1.464686825E0,1.340752989E-1,-1.225142956E1,-1.309628367E0
1.469686791E0,-4.070143029E-2,-1.317319679E1,-2.705447972E-1
1.474686757E0,-3.998316824E-1,-1.387469769E1,8.858546019E-1
1.479686457E0,-7.948749661E-1,-1.430325985E1,1.608903527E0
1.484686457E0,-1.127668977E0,-1.439423943E1,1.829170108E0
1.489686723E0,-1.369483352E0,-1.425777054E1,1.738190413E0
1.494687623E0,-1.515529633E0,-1.396807194E1,1.470039845E0
1.499687623E0,-1.604115129E0,-1.358978844E1,1.130063176E0
1.504687589E0,-1.659181833E0,-1.310376549E1,7.900865674E-1
1.509687589E0,-1.709460020E0,-1.259858894E1,5.315127969E-1
1.514687589E0,-1.762132406E0,-1.200482655E1,3.974374831E-1
1.519687622E0,-1.838746905E0,-1.140627575E1,3.854664862E-1
1.524687622E0,-1.980004787E0,-1.072153473E1,6.033388376E-1
1.529687622E0,-2.164358377E0,-1.001763916E1,9.648633003E-1
1.534687622E0,-2.353500366E0,-9.332897186E0,1.393425345E0
1.539687622E0,-2.523488522E0,-8.715193748E0,1.821987510E0
1.544687622E0,-2.650381327E0,-8.207622528E0,2.173935175E0
1.549687588E0,-2.700659513E0,-7.860463619E0,2.389413357E0
1.554687588E0,-2.662352324E0,-7.743147373E0,2.432508945E0
1.559687588E0,-2.583343744E0,-7.762300968E0,2.382230759E0
1.564687621E0,-2.437297344E0,-7.989750385E0,2.190694571E0
1.569687621E0,-2.279279947E0,-8.272266388E0,1.965639591E0
1.574688287E0,-2.094926596E0,-8.612242699E0,1.709460020E0
