"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.259181023E-1,5.324700801E1,1.044102424E1,4.532730650E1,1.033947091E0,1.243748575E2,4.824403982E0,4.824403982E0
1.425303340E0,5.324701073E1,1.044102014E1,4.516813452E1,3.991700596E-1,1.249307300E2,4.829872619E0,4.829872619E0
2.425298452E0,5.324701543E1,1.044102009E1,4.518952848E1,0.000000000E0,1.249307287E2,4.842892549E0,4.842892549E0
3.425294042E0,5.324701677E1,1.044102238E1,4.497632172E1,0.000000000E0,1.249307300E2,4.877905551E0,4.877905551E0
4.425289035E0,5.324701520E1,1.044102281E1,4.486685507E1,0.000000000E0,1.249307307E2,4.891618135E0,4.891618135E0
5.425285101E0,5.324700551E1,1.044105205E1,4.549437770E1,1.111769691E0,1.083900854E2,4.899960426E0,4.899960426E0
6.425280452E0,5.324699281E1,1.044109235E1,4.541836792E1,2.179637626E0,1.138969672E2,4.909938841E0,4.909938841E0
7.425275683E0,5.324697433E1,1.044113059E1,4.583770927E1,2.872617040E0,1.232184609E2,4.909216134E0,4.909216134E0
8.425271392E0,5.324696196E1,1.044118622E1,4.541273388E1,3.517912266E0,1.212209173E2,4.904807367E0,4.904807367E0
9.425266743E0,5.324696535E1,1.044122623E1,4.593064726E1,3.137074963E0,1.089623378E2,4.900018940E0,4.900018940E0
1.042526269E1,5.324694581E1,1.044127913E1,4.653904954E1,3.819690345E0,1.119590509E2,4.887663487E0,4.887663487E0
1.142525768E1,5.324693100E1,1.044134403E1,4.667394811E1,4.354919939E0,1.110305865E2,4.904446015E0,4.904446015E0
1.242525291E1,5.324691890E1,1.044138333E1,4.767465620E1,3.745889558E0,1.115107554E2,4.925160708E0,4.925160708E0
1.342524874E1,5.324689755E1,1.044142927E1,4.726503289E1,3.769626622E0,1.159004835E2,4.943281955E0,4.943281955E0
1.442524445E1,5.324688322E1,1.044146999E1,4.749433084E1,3.692526608E0,1.196734734E2,4.951758509E0,4.951758509E0
1.542523956E1,5.324687311E1,1.044152435E1,4.686131053E1,3.878946883E0,1.137875439E2,4.970611247E0,4.970611247E0
1.642523515E1,5.324686980E1,1.044158078E1,4.669978853E1,3.971160390E0,1.062534711E2,4.985895615E0,4.985895615E0
1.742523062E1,5.324685712E1,1.044162394E1,4.666970985E1,3.830155936E0,1.068505710E2,4.999393568E0,4.999393568E0
1.842522633E1,5.324683522E1,1.044166932E1,4.679846153E1,3.911794371E0,1.122752486E2,4.999039184E0,4.999039184E0
1.942522085E1,5.324682021E1,1.044171219E1,4.603404163E1,3.775960779E0,1.126696407E2,5.018393547E0,5.018393547E0
2.042521632E1,5.324680440E1,1.044175131E1,4.702619521E1,3.549674016E0,1.145559776E2,5.002780747E0,5.002780747E0
2.142521203E1,5.324678508E1,1.044179354E1,4.668172499E1,3.503071872E0,1.154793202E2,4.999629499E0,4.999629499E0
2.242520809E1,5.324677225E1,1.044185133E1,4.695543179E1,3.739112973E0,1.094804775E2,4.980371777E0,4.980371777E0
2.342520332E1,5.324676225E1,1.044188978E1,4.660050683E1,3.295576123E0,1.102737445E2,4.971290784E0,4.971290784E0
2.442519867E1,5.324674035E1,1.044192951E1,4.641534518E1,3.439684416E0,1.189977112E2,4.989895400E0,4.989895400E0
2.542519343E1,5.324672526E1,1.044197030E1,4.588712310E1,3.432729488E0,1.223754421E2,4.983960492E0,4.983960492E0
2.642518961E1,5.324672666E1,1.044201486E1,4.623808500E1,3.092035478E0,1.130391111E2,4.971709349E0,4.971709349E0
2.742518485E1,5.324671687E1,1.044203683E1,4.783868188E1,2.607557749E0,1.151577278E2,4.954936425E0,4.954936425E0
2.842518067E1,5.324669919E1,1.044207736E1,4.728328784E1,3.002186648E0,1.126541811E2,4.937376265E0,4.937376265E0
2.942517543E1,5.324667585E1,1.044212919E1,4.731425887E1,3.695039149E0,1.149269512E2,4.923888953E0,4.923888953E0
3.042517149E1,5.324666478E1,1.044216624E1,4.769954491E1,3.534855531E0,1.159581868E2,4.911780712E0,4.911780712E0
3.142516625E1,5.324664899E1,1.044219383E1,4.672029463E1,3.088425047E0,1.225534407E2,4.902938065E0,4.902938065E0
3.242516184E1,5.324664223E1,1.044223668E1,4.761658930E1,2.885254698E0,1.158920740E2,4.893702654E0,4.893702654E0
