Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
10.00916292,-5.833968201,5.724545746,22.70508453
10.01908892,-5.962850189,-0.2005828857,17.67359756
10.02901592,-7.62783783,-4.784799957,12.85466858
10.03894292,-10.13901581,-7.848479004,12.12269073
10.04886892,-11.45268402,-9.766590271,11.93513077
10.05879592,-12.09350143,-11.54908356,10.46922913
10.06872192,-11.11289062,-12.38389755,10.04067032
10.07864892,-9.019493866,-14.13480652,10.44527893
10.08857492,-7.928263092,-17.15357895,11.51046387
10.09850192,-7.767497406,-19.13381104,13.66882553
10.10842792,-6.962920532,-21.15730316,16.31098114
10.11835492,-4.528682556,-24.75132935,20.36155792
10.12828092,0.9436376953,-30.74681168,25.69376953
10.13820792,8.670419769,-39.71496231,27.63328629
10.14813392,19.25610672,-48.01595032,24.78755402
10.15806092,28.92180679,-53.37809967,17.20986191
10.16798792,35.72381195,-52.62471634,1.079405365
10.17791392,35.08823364,-40.6798558,-54.78277863
10.18784092,26.93588654,-28.09118408,0.7345225525
10.19776354,33.53940445,-15.7953035,25.6849379
10.20769054,37.48460037,-2.230960693,-47.03623764
10.21761654,24.95310974,-2.207160187,-12.69539978
10.22754354,15.450271,-5.708529053,8.746611328
10.23746954,10.71756271,-1.368154907,-6.238427124
10.24739654,9.140142975,0.6580316162,-4.408033447
10.25732254,8.325836334,-0.8683442688,7.719597015
10.26724954,7.258106689,1.727407837,7.268734589
10.27717654,6.152505798,4.587510223,4.068689117
10.28710254,5.890700226,7.327262878,0.8322692871
10.29702954,5.346731415,9.392967224,-0.3212319946
10.30695554,4.317771149,10.62340851,-0.7427554321
10.31688254,3.317850494,12.77533356,-2.828218689
10.32680854,1.943708038,14.98099686,-4.879702606
10.33673554,0.214354248,14.03047348,-1.368454285
10.34666154,-1.026415558,10.80408279,0.7072792053
10.35658854,-1.058748322,6.426585846,0.6830296326
10.36651454,1.51410141,1.875899048,1.63460083
10.37644154,4.38782547,-2.430495758,5.354066162
10.38636754,6.708300018,-8.228838043,4.467908936
10.39629454,9.654024353,-18.02761139,-3.256927185
10.40622054,16.57787613,-21.7340538,-3.890409851
10.41614754,30.73094467,-20.43071411,-1.315314789
10.42607454,51.36463669,-18.81242935,2.745740204
10.43600054,64.71088303,-25.3292775,4.737947388
10.44592754,62.2428154,-38.99136703,6.152056732
10.45585354,44.09111206,-48.34047546,7.484436035
10.46578054,22.05453735,-46.55423996,5.942791901
10.47570654,7.820936279,-34.49980728,2.066452789
10.48563354,1.428479462,-22.58204041,0.1348695374
10.49555954,-0.8086184692,-14.31802551,0.916993103
10.50548654,-1.221759338,-8.825197906,1.974094849
10.51541254,-1.568588104,-5.722300415,1.839524689
10.52533954,-1.429078217,-4.119732971,1.078507233
10.53526554,-1.07416626,-2.941832428,0.6050418091
10.54519254,-2.347717896,-1.617236938,1.459165649
10.55511854,-4.862189026,0.1327738953,3.544928284
10.56504554,-7.327562256,2.384541321,6.920109558
10.57497154,-10.05129822,4.704566803,12.48194366
10.58489854,-12.37162308,4.925058289,13.52617218
10.59482454,-13.80638947,5.604345703,10.08422974
10.60475154,-15.00120483,8.743168488,8.548124084
10.61467854,-17.11271393,12.05503143,6.664441223
10.62460454,-19.41238174,12.43658798,3.857328644
10.63453154,-19.06076294,11.18548965,1.288370819
10.64445754,-16.39136398,9.051976318,-3.579057312
10.65438454,-9.665251007,4.237088928,-16.04258926
10.66431054,0.7494914246,-6.308182068,-51.41373459
10.67423754,2.107467499,-6.305487671,-42.35098068
10.68416354,-1.903441772,2.305355988,4.405039673
10.69409054,-1.082399139,5.514532471,13.75040588
10.70401654,-2.027384033,1.909429321,12.20442078
10.71394354,-4.033063202,-4.597090302,7.565267944
10.72386954,-5.684878235,-8.143216095,7.566166077
10.73379654,-7.285799103,-12.31878296,10.17718643
10.74372254,-10.0674646,-18.90643387,12.33794312
10.75364954,-13.50686234,-22.58698013,12.36279144
10.76357554,-12.2491777,-24.51497086,13.46195572
10.77350254,-9.112749939,-24.29762283,14.65482513
10.78342854,-6.749464417,-23.57732071,14.46172668
