"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.066500001E-2,-4.805457001E0,5.671855316E0,7.868986359E0
2.059099998E-2,-4.424199829E0,5.316045227E0,7.883356476E0
3.051700001E-2,-3.956572266E0,4.646337891E0,8.162076874E0
4.044299998E-2,-3.590433655E0,4.392166443E0,8.227041779E0
5.036900000E-2,-3.338058472E0,4.527784424E0,8.199049988E0
6.029499997E-2,-3.177891541E0,4.620890808E0,8.391699371E0
7.022100000E-2,-3.041974182E0,4.645589447E0,8.608748016E0
8.014699997E-2,-2.929707642E0,4.298760681E0,8.677455139E0
9.007300000E-2,-2.734363861E0,4.218677216E0,8.731492767E0
9.999999998E-2,-2.488275604E0,4.555327148E0,9.018446045E0
1.099260000E-1,-2.194436646E0,4.561165009E0,9.492510223E0
1.198520000E-1,-1.675465851E0,4.136498108E0,1.005099884E1
1.297780000E-1,-1.820364532E0,3.454965363E0,9.559570770E0
1.397040000E-1,-9.815089417E-1,3.257376251E0,9.825417938E0
1.496300000E-1,-1.435365143E0,3.528612213E0,1.357796448E1
1.595560000E-1,-4.463717651E-1,4.055666199E0,1.218256622E1
1.694820000E-1,-1.954934692E-1,4.075574799E0,9.943372650E0
1.794080000E-1,-3.222798157E-1,4.317172394E0,7.994724884E0
1.893340000E-1,1.829196167E-1,4.633764038E0,7.565866699E0
1.992600000E-1,1.155596924E-1,4.078867950E0,7.739355927E0
2.091870000E-1,7.298822021E-1,2.843187561E0,7.530240784E0
2.191130000E-1,1.008602600E0,1.104553070E0,7.246580658E0
2.290390000E-1,3.483256531E-1,-4.872367859E-1,7.519313507E0
2.389650000E-1,-2.549198914E-1,-9.644444275E-1,7.948620758E0
2.488910000E-1,-3.549119568E-1,-7.352709961E-1,8.224347382E0
2.588170000E-1,-3.376977539E-1,9.116043091E-2,8.173752594E0
2.687430000E-1,-3.769161987E-1,1.192570038E0,7.732320557E0
2.786690000E-1,8.640032959E-1,4.282594299E-1,8.927285614E0
2.885950000E-1,2.439028015E0,-5.619314575E-1,1.003258713E1
2.985210000E-1,2.026635590E0,5.334906006E-1,9.201665039E0
3.084470000E-1,-5.014572144E-1,1.312021637E0,8.729097748E0
3.183730000E-1,-2.521207123E0,1.573677521E0,8.201445007E0
3.283000000E-1,-2.949616241E0,1.819017334E0,7.552694092E0
3.382260000E-1,-9.726773071E-1,1.769021301E0,8.272696838E0
3.481520000E-1,7.788304138E-1,1.466500397E0,8.279582520E0
3.580780000E-1,1.318757629E0,1.279838562E0,7.815547485E0
3.680040000E-1,2.150428162E0,1.511706390E0,7.424859924E0
3.779300000E-1,2.351759491E0,1.336720276E0,7.604486389E0
3.878560000E-1,2.684966583E0,8.340655518E-1,7.823480988E0
3.977820000E-1,3.730242920E0,1.924996948E-1,7.403604126E0
4.077080000E-1,4.931494904E0,-8.032296753E-1,6.106251984E0
4.176340000E-1,4.441563721E0,-1.840871887E0,3.553161163E0
4.275642500E-1,-9.554631042E-1,-8.307723999E-1,-1.115180969E-1
4.374912500E-1,-7.807763672E-1,1.969005432E0,2.027384033E0
4.474172500E-1,4.368515625E0,-2.019899597E0,5.243595886E0
4.573432500E-1,3.431164856E0,-3.663332062E0,5.934858398E0
4.672692500E-1,2.383942566E0,-2.801723785E0,4.481231232E0
4.771952500E-1,2.430495758E0,-3.210823059E0,3.063529358E0
4.871212500E-1,3.099604340E0,-3.703149261E0,2.485132141E0
4.970472500E-1,3.646866302E0,-3.824247437E0,2.207908630E0
5.069732500E-1,4.077969818E0,-4.194427643E0,1.996847534E0
5.168992500E-1,4.934638367E0,-4.928501129E0,1.856289825E0
