"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.319442000E-3,1.718046665E0,9.427721500E-1,7.133004189E0
1.016959800E-2,1.895115495E0,9.834501147E-1,6.955935478E0
1.501975400E-2,2.165504456E0,9.786644578E-1,7.034898758E0
1.987032700E-2,2.797209740E0,8.733802438E-1,7.286144733E0
2.472079600E-2,3.333201885E0,7.633104324E-1,7.456035137E0
2.957131700E-2,3.220739365E0,7.154539824E-1,7.439285755E0
3.442178500E-2,3.213560820E0,6.747759581E-1,7.503891945E0
3.927230600E-2,3.215953588E0,6.005984545E-1,7.563712597E0
4.412277500E-2,3.242274761E0,4.570291340E-1,7.719245911E0
4.897329600E-2,3.318845034E0,3.230310678E-1,7.980063438E0
5.382376500E-2,3.321237803E0,2.297109663E-1,8.171489716E0
5.867428500E-2,3.349951744E0,1.746760458E-1,8.484949112E0
6.352475400E-2,3.337987661E0,2.392822690E-2,8.697910309E0
6.837522300E-2,3.297309637E0,-1.148554832E-1,8.944371223E0
7.322574400E-2,3.275774240E0,-2.368894368E-1,9.195617676E0
7.807621200E-2,3.294916868E0,-3.684946895E-1,9.303294182E0
8.292673300E-2,3.220739365E0,-3.684946895E-1,9.257830620E0
8.777720200E-2,3.074777126E0,-2.967100143E-1,9.090332985E0
9.262772300E-2,2.955136061E0,-3.014956415E-1,8.867800713E0
9.747819200E-2,2.861815929E0,-2.679961324E-1,8.602197647E0
1.023287120E-1,2.778067112E0,-2.129612118E-1,8.365307808E0
1.071791810E-1,2.648854733E0,-1.076770201E-1,8.197810173E0
1.120297020E-1,2.378465652E0,1.435693540E-2,8.126026154E0
1.168801710E-1,2.105684042E0,1.339980662E-1,8.003992081E0
1.217306920E-1,1.964507341E0,2.057827413E-1,7.989634991E0
1.265811600E-1,1.923829436E0,1.579262912E-1,8.047062874E0
1.314316810E-1,1.976471543E0,5.024927482E-2,8.197810173E0
1.362821500E-1,2.036292076E0,3.110669367E-2,8.427521706E0
1.411326710E-1,2.141576290E0,-4.785645287E-3,8.760123253E0
1.459831400E-1,2.277967215E0,-5.264209956E-2,9.030512810E0
1.508336080E-1,2.282752752E0,-1.004985496E-1,9.154939651E0
1.556841290E-1,2.323430777E0,-1.292124242E-1,9.260223389E0
1.605345980E-1,2.361716032E0,-1.100698411E-1,9.346364975E0
1.653851190E-1,2.397608280E0,-7.417750359E-2,9.310472488E0
1.702355870E-1,2.450250387E0,-1.172483116E-1,9.274580956E0
1.750861080E-1,2.562713146E0,-2.464607358E-1,9.288937569E0
1.799365770E-1,2.727817774E0,-3.613162339E-1,9.310472488E0
1.847870980E-1,2.847458839E0,-3.924229145E-1,9.274580956E0
1.896375670E-1,2.880958557E0,-3.661018610E-1,9.121439934E0
1.944880350E-1,2.780459881E0,-2.751746178E-1,8.970691681E0
1.993385560E-1,2.627319336E0,-1.746760458E-1,8.798408508E0
2.041890250E-1,2.495713949E0,-1.507478207E-1,8.681160927E0
2.090395460E-1,2.457428932E0,-1.363908947E-1,8.662017822E0
2.138900150E-1,2.455035925E0,-5.024927482E-2,8.700303078E0
2.187405350E-1,2.431107759E0,8.374879509E-2,8.788837433E0
2.235910040E-1,2.404786825E0,1.890329868E-1,8.906085968E0
2.284415250E-1,2.098505497E0,3.684946895E-1,9.217152596E0
2.332919940E-1,2.074577332E0,3.038884699E-1,9.475577354E0
2.381425150E-1,2.112862349E0,2.297109663E-1,9.786644936E0
2.429929830E-1,2.177468538E0,9.571290761E-2,9.999606133E0
2.478435040E-1,2.167897224E0,-2.871387079E-2,1.023888779E1
2.525999100E-1,2.110469580E0,-1.220339537E-1,1.046859932E1
2.573553270E-1,1.981257200E0,-2.009970993E-1,1.052124119E1
2.621106920E-1,1.971685886E0,-2.847459018E-1,1.048534870E1
2.668660560E-1,1.983649969E0,-3.254238665E-1,1.036331463E1
2.716214730E-1,1.887937069E0,-2.775674164E-1,1.027717304E1
2.763768370E-1,1.875972986E0,-2.608176768E-1,1.020060253E1
2.811322540E-1,2.014756680E0,-2.297109663E-1,1.007139015E1
2.858876190E-1,2.182254314E0,-8.853443712E-2,9.992427826E0
2.906430350E-1,2.469393015E0,2.153540403E-2,9.954142570E0
2.953984000E-1,2.751745939E0,2.871387079E-2,9.877572060E0
3.001538170E-1,3.012563705E0,2.871387079E-2,9.868000984E0
3.049091810E-1,3.177668571E0,5.264209956E-2,1.001635551E1
3.096645980E-1,3.278167009E0,1.172483116E-1,1.015992451E1
3.144199620E-1,3.378665686E0,1.028913707E-1,1.030827999E1
3.191753790E-1,3.550948858E0,9.332008660E-2,1.046620655E1
3.239307440E-1,3.641875982E0,1.076770201E-1,1.052363396E1
3.286861080E-1,3.711267948E0,9.571290761E-2,1.060259724E1
3.334415250E-1,3.627519131E0,1.124626622E-1,1.055713367E1
3.381969420E-1,3.498306751E0,1.722832322E-1,1.046381378E1
3.429523060E-1,3.536591768E0,1.268195957E-1,1.031067276E1
3.477077230E-1,3.651447296E0,1.435693540E-2,1.013121128E1
3.524630870E-1,3.830909014E0,-8.853443712E-2,9.966106415E0
3.572184520E-1,4.019941807E0,-1.627119333E-1,9.789037704E0
3.619738690E-1,4.101297855E0,-1.938186288E-1,9.669396400E0
3.667292330E-1,4.156332970E0,-1.986042857E-1,9.650253296E0
3.714846500E-1,4.149154663E0,-2.033899277E-1,9.714859962E0
3.762400150E-1,4.065405846E0,-2.608176768E-1,9.791430473E0
3.809954310E-1,3.890729666E0,-3.182454109E-1,9.934999466E0
3.857507960E-1,3.816552162E0,-4.594219327E-1,9.966106415E0
3.905062120E-1,3.570091486E0,-5.192425251E-1,1.002353382E1
3.952615770E-1,3.335594654E0,-5.790630579E-1,1.013838959E1
4.000169940E-1,3.290131092E0,-6.891329288E-1,1.013360405E1
4.047723580E-1,3.189632654E0,-7.657032609E-1,1.015992451E1
4.095277750E-1,3.199203968E0,-8.973084688E-1,1.013360405E1
4.142831400E-1,3.139383316E0,-8.997012973E-1,1.003310490E1
4.190385040E-1,3.493520975E0,-9.451649189E-1,9.535398483E0
4.237939210E-1,3.433700562E0,-1.172483087E0,9.358329773E0
4.285492850E-1,3.218346357E0,-1.442872047E0,9.221938133E0
4.333047020E-1,2.945564747E0,-1.739582062E0,9.073583603E0
4.380600670E-1,2.701496840E0,-2.000399828E0,8.884550095E0
4.428154830E-1,2.632104874E0,-2.136790514E0,8.729017258E0
4.475708480E-1,2.605783939E0,-2.091326952E0,8.590232849E0
4.523262650E-1,2.849851847E0,-1.765903115E0,8.315058708E0
4.570816290E-1,3.163311481E0,-1.351944804E0,8.068597794E0
4.618370460E-1,3.421736479E0,-1.012163997E0,7.874779224E0
4.665924100E-1,3.661018610E0,-8.590233326E-1,7.592426300E0
4.713478270E-1,3.814159393E0,-9.092726111E-1,7.312466145E0
4.761031920E-1,3.907479286E0,-9.667003751E-1,7.092326164E0
4.808586080E-1,3.909872293E0,-1.093519926E0,7.003791809E0
4.856139730E-1,3.905086517E0,-1.246660590E0,7.030112743E0
4.903693900E-1,3.902693748E0,-1.418943882E0,7.156932354E0
4.951247540E-1,3.840480328E0,-1.567298889E0,7.269395351E0
4.998801710E-1,3.716053486E0,-1.665404558E0,7.398607731E0
5.046355350E-1,3.653840065E0,-1.830509305E0,7.585247993E0
5.093909520E-1,3.708875179E0,-1.978864312E0,7.764709473E0
