"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.143406000E-3,7.644209266E-1,-8.277981281E-1,-4.196641147E-1
5.993562000E-3,7.051670551E-1,-8.870519996E-1,-4.648680985E-1
1.084403100E-2,5.836049318E-1,-1.052596331E0,-5.845975876E-1
1.569439500E-2,5.365683436E-1,-1.072754860E0,-6.462949514E-1
2.054476000E-2,4.944186807E-1,-1.009225011E0,-7.079922557E-1
2.539512400E-2,4.577668011E-1,-9.047670960E-1,-7.648026943E-1
3.024548900E-2,4.266127050E-1,-7.887027860E-1,-8.100066781E-1
3.509585400E-2,3.979020417E-1,-6.799688339E-1,-8.374956250E-1
3.994621800E-2,3.698022664E-1,-5.828413367E-1,-8.436042666E-1
4.479658300E-2,3.404807448E-1,-5.211440325E-1,-8.350521326E-1
4.964694700E-2,3.099375069E-1,-4.979311526E-1,-8.173370957E-1
5.449731200E-2,2.873355150E-1,-4.600575268E-1,-8.045089245E-1
5.934767700E-2,2.757290900E-1,-4.111883640E-1,-7.984002829E-1
6.419804100E-2,2.732856274E-1,-3.855320215E-1,-7.929024696E-1
6.904840600E-2,2.708421648E-1,-4.105774760E-1,-7.843503952E-1
7.389877000E-2,2.622900605E-1,-5.015963316E-1,-7.757982612E-1
7.874913500E-2,2.421315312E-1,-6.537016630E-1,-7.684679031E-1
8.359944700E-2,2.103665620E-1,-8.479566574E-1,-7.568614483E-1
8.844981200E-2,1.669951528E-1,-1.062981129E0,-7.348703146E-1
9.330017700E-2,1.107956022E-1,-1.288390160E0,-7.061597109E-1
9.815054100E-2,3.993528336E-2,-1.504025459E0,-6.737838387E-1
1.030009060E-1,-4.253146052E-2,-1.681176186E0,-6.407971382E-1
1.078512700E-1,-1.298851222E-1,-1.805792689E0,-6.090322137E-1
1.127016350E-1,-2.184605151E-1,-1.874820352E0,-5.852084756E-1
1.175519990E-1,-3.107011020E-1,-1.891924620E0,-5.717694163E-1
1.224023640E-1,-4.035525322E-1,-1.863824844E0,-5.674933791E-1
1.272527290E-1,-4.909062088E-1,-1.807625294E0,-5.668824911E-1
1.321030930E-1,-5.690969229E-1,-1.737986684E0,-5.687150955E-1
1.369534580E-1,-6.393463612E-1,-1.667126298E0,-5.790998340E-1
1.418038220E-1,-7.028762698E-1,-1.611537695E0,-5.931497216E-1
1.466541870E-1,-7.572432756E-1,-1.590157390E0,-6.114756465E-1
1.515045520E-1,-7.951168418E-1,-1.584659576E0,-6.377428174E-1
1.563549160E-1,-8.085559011E-1,-1.573664069E0,-6.737838387E-1
1.612052810E-1,-7.932842970E-1,-1.552894592E0,-7.147117853E-1
1.660556450E-1,-7.535780668E-1,-1.540066481E0,-7.513636947E-1
1.709059580E-1,-6.986002326E-1,-1.560225010E0,-7.782417536E-1
