"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.701513000E-1,5.323276100E1,1.040840190E1,1.864638275E1,0.000000000E0,0.000000000E0,9.840000153E1,1.032889652E1
2.181789634E0,5.323257601E1,1.040958030E1,1.105500782E1,3.750000000E0,2.408000031E2,1.199606133E1,1.481994820E1
3.182690936E0,5.323260148E1,1.040950539E1,1.304341229E1,2.849999905E0,2.491999969E2,1.015356159E1,1.251246834E1
4.182690467E0,5.323258373E1,1.040946821E1,1.196209806E1,2.900000095E0,2.306999969E2,7.316880703E0,8.981402397E0
5.182670936E0,5.323258300E1,1.040942926E1,1.443275122E1,1.629999995E0,2.413999939E2,7.110151291E0,8.566726685E0
6.182705154E0,5.323257470E1,1.040939990E1,1.519831172E1,2.289999962E0,2.416000061E2,5.577048779E0,6.761019230E0
7.182720987E0,5.323257029E1,1.040936252E1,1.783326542E1,2.420000076E0,2.376000061E2,5.062458515E0,6.093583107E0
8.182196039E0,5.323256224E1,1.040932667E1,1.787836936E1,2.180000067E0,2.415000000E2,4.605238438E0,5.346583843E0
9.182443434E0,5.323255353E1,1.040928528E1,2.016883534E1,2.609999895E0,2.396000061E2,4.584722042E0,5.259793758E0
1.018247104E1,5.323254286E1,1.040924212E1,1.887464314E1,2.470000029E0,2.388000031E2,4.519850254E0,5.103332520E0
1.118209713E1,5.323253395E1,1.040920055E1,2.039667626E1,2.390000105E0,2.393000031E2,4.461473942E0,4.988916874E0
1.218207333E1,5.323252003E1,1.040916251E1,1.998974557E1,2.450000048E0,2.218999939E2,4.418013096E0,4.968246937E0
1.318193739E1,5.323250245E1,1.040912779E1,1.858628727E1,2.250000000E0,2.225000000E2,4.342828751E0,4.838786125E0
1.418178958E1,5.323248523E1,1.040908777E1,1.804861488E1,3.059999943E0,2.273999939E2,4.222514153E0,4.581894875E0
1.518272161E1,5.323247053E1,1.040904542E1,1.917543679E1,2.220000029E0,2.385000000E2,4.211883068E0,4.519923687E0
1.618235176E1,5.323246154E1,1.040900406E1,1.899361230E1,2.079999924E0,2.458000031E2,4.234326839E0,4.562708378E0
1.718209223E1,5.323244831E1,1.040896138E1,1.848622024E1,2.519999981E0,2.370000000E2,4.232216835E0,4.600093365E0
1.818198281E1,5.323243405E1,1.040891964E1,1.905048159E1,2.259999990E0,2.348999939E2,4.299002647E0,4.658792496E0
1.918201989E1,5.323242100E1,1.040887914E1,1.934539626E1,2.220000029E0,2.363000031E2,4.703822613E0,4.916867256E0
2.018250140E1,5.323240846E1,1.040883659E1,1.942675033E1,2.349999905E0,2.408000031E2,4.512032032E0,4.787340164E0
