"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.199106200E-2,3.635625076E1,-1.175625038E1,-3.133125114E1
4.199106200E-2,3.645000076E1,-1.132500076E1,-3.163125038E1
5.199106200E-2,3.648750305E1,-1.126875019E1,-3.225000000E1
6.199106200E-2,3.652500153E1,-1.128750038E1,-3.213750076E1
7.199106200E-2,3.650625229E1,-1.123125076E1,-3.211875153E1
8.199106200E-2,3.650625229E1,-1.123125076E1,-3.226875305E1
9.199106200E-2,3.671250153E1,-1.132500076E1,-3.215625000E1
1.019910620E-1,3.669375229E1,-1.121250057E1,-3.217500305E1
1.119910620E-1,3.671250153E1,-1.102500057E1,-3.240000153E1
1.219910620E-1,3.669375229E1,-1.095000076E1,-3.255000305E1
1.319910620E-1,3.669375229E1,-1.091250038E1,-3.245625305E1
1.419910620E-1,3.652500153E1,-1.091250038E1,-3.271875000E1
1.519910620E-1,3.639375305E1,-1.104375076E1,-3.301875305E1
1.619910620E-1,3.607500076E1,-1.093125057E1,-3.324375153E1
1.719910620E-1,3.566250229E1,-1.081875038E1,-3.343125153E1
1.819910620E-1,3.525000000E1,-1.061250019E1,-3.380625153E1
1.919910620E-1,3.466875076E1,-1.033125019E1,-3.414375305E1
2.019910620E-1,3.395625305E1,-9.937500000E0,-3.468750000E1
2.119910620E-1,3.330000305E1,-9.281250000E0,-3.534375000E1
2.219910620E-1,3.270000076E1,-8.831250191E0,-3.575625229E1
2.319910620E-1,3.176250076E1,-8.062500000E0,-3.669375229E1
2.419910620E-1,3.097500038E1,-7.612500191E0,-3.736875153E1
2.519910620E-1,2.996250153E1,-6.975000381E0,-3.866250229E1
2.619910620E-1,2.915625191E1,-6.693750381E0,-3.909375000E1
2.719910620E-1,2.833125114E1,-6.693750381E0,-3.969375229E1
2.819910620E-1,2.754375076E1,-6.581250191E0,-4.008750153E1
2.919910620E-1,2.700000191E1,-6.975000381E0,-4.046250153E1
3.019910620E-1,2.638125038E1,-7.031250477E0,-4.091250229E1
3.119910620E-1,2.623125076E1,-7.218750477E0,-4.076250076E1
3.219910620E-1,2.568750191E1,-7.593750477E0,-4.091250229E1
3.319910620E-1,2.529375076E1,-7.987500191E0,-4.078125000E1
3.419910620E-1,2.469375038E1,-8.381250381E0,-4.143750000E1
3.519910620E-1,2.403750038E1,-8.606250763E0,-4.177500153E1
3.619910620E-1,2.343750000E1,-9.318750381E0,-4.216875076E1
3.719910620E-1,2.233125114E1,-9.881250381E0,-4.246875000E1
3.819910620E-1,2.130000114E1,-1.063125038E1,-4.260000229E1
3.919910620E-1,1.980000114E1,-1.171875000E1,-4.303125000E1
4.019910620E-1,1.869375038E1,-1.250625038E1,-4.312500000E1
4.119910620E-1,1.747500038E1,-1.348125076E1,-4.321875000E1
4.219910620E-1,1.646250153E1,-1.455000019E1,-4.299375153E1
4.319910620E-1,1.524375057E1,-1.580625057E1,-4.299375153E1
4.419910620E-1,1.391250038E1,-1.681875038E1,-4.293750000E1
4.519910620E-1,1.256250095E1,-1.777500153E1,-4.312500000E1
4.619910620E-1,1.149375057E1,-1.878750038E1,-4.336875153E1
4.719910620E-1,1.057500076E1,-1.948125076E1,-4.331250000E1
4.819910620E-1,9.187500000E0,-2.036250114E1,-4.327500153E1
4.919910620E-1,7.443750381E0,-2.131875038E1,-4.329375076E1
5.019910620E-1,5.681250095E0,-2.216250038E1,-4.329375076E1
5.119910620E-1,3.825000048E0,-2.276250076E1,-4.297500229E1
5.219910620E-1,2.156250000E0,-2.383125114E1,-4.260000229E1
5.319910620E-1,3.562500179E-1,-2.476875114E1,-4.183125305E1
5.419910620E-1,-1.893750072E0,-2.578125191E1,-4.108125305E1
5.519910620E-1,-4.406250000E0,-2.679375076E1,-3.997500229E1
5.619910620E-1,-6.918750286E0,-2.780625153E1,-3.896250153E1
5.719910620E-1,-9.356250763E0,-2.866875076E1,-3.750000000E1
5.819910620E-1,-1.213125038E1,-2.966250038E1,-3.615000153E1
5.919910620E-1,-1.451250076E1,-3.075000191E1,-3.431250000E1
6.019910620E-1,-1.721250153E1,-3.110625076E1,-3.249375153E1
6.119910620E-1,-1.985625076E1,-3.153750038E1,-3.071250153E1
6.219910620E-1,-2.253750038E1,-3.133125114E1,-2.891250038E1
6.319910620E-1,-2.463750076E1,-3.121875191E1,-2.741250038E1
6.419910620E-1,-2.658750153E1,-3.078750038E1,-2.606250191E1
6.519910620E-1,-2.859375191E1,-3.007500076E1,-2.480625153E1
6.619910620E-1,-3.018750191E1,-2.921250153E1,-2.340000153E1
6.719910620E-1,-3.189375114E1,-2.814375114E1,-2.268750000E1
6.819910620E-1,-3.330000305E1,-2.731875038E1,-2.203125000E1
6.919910620E-1,-3.466875076E1,-2.625000191E1,-2.111250114E1
7.019910620E-1,-3.571875000E1,-2.557500076E1,-2.028750038E1
7.119910620E-1,-3.686250305E1,-2.482500076E1,-1.951875114E1
7.219910620E-1,-3.785625076E1,-2.392500114E1,-1.833750153E1
7.319910620E-1,-3.894375229E1,-2.325000000E1,-1.747500038E1
7.419910620E-1,-4.003125000E1,-2.251875114E1,-1.640625000E1
7.519910620E-1,-4.070625305E1,-2.182500076E1,-1.520625019E1
7.619910620E-1,-4.156875229E1,-2.111250114E1,-1.374375057E1
7.719910620E-1,-4.222500229E1,-2.070000076E1,-1.256250095E1
7.819910620E-1,-4.308750153E1,-2.017500114E1,-1.113750076E1
7.919910620E-1,-4.391250229E1,-1.961250114E1,-9.562500000E0
8.019910620E-1,-4.475625229E1,-1.914375114E1,-8.550000191E0
8.119910620E-1,-4.488750076E1,-1.886250114E1,-7.331250191E0
8.219910620E-1,-4.522500229E1,-1.824375153E1,-6.356250286E0
8.319910620E-1,-4.565625000E1,-1.786875153E1,-5.775000095E0
8.419910620E-1,-4.582500076E1,-1.749375153E1,-5.156250000E0
8.519910620E-1,-4.629375076E1,-1.713750076E1,-5.025000095E0
8.619910620E-1,-4.635000229E1,-1.670625114E1,-4.950000286E0
8.719910620E-1,-4.650000000E1,-1.642500114E1,-5.118750095E0
8.819910620E-1,-4.620000076E1,-1.610625076E1,-5.250000000E0
8.919910620E-1,-4.648125076E1,-1.582500076E1,-5.775000095E0
9.019910620E-1,-4.655625153E1,-1.569375038E1,-6.468750477E0
9.119910620E-1,-4.638750076E1,-1.520625019E1,-6.825000286E0
9.219910620E-1,-4.627500153E1,-1.505625057E1,-7.537500381E0
9.319910620E-1,-4.578750229E1,-1.477500057E1,-8.306250572E0
9.419910620E-1,-4.552500153E1,-1.475625038E1,-9.075000763E0
