"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.205321360E-1,5.323980167E1,1.041277164E1,6.459240689E1,5.000000000E-1,1.641999969E2,7.011582375E0,9.475357056E0
1.166226615E0,5.323980007E1,1.041276851E1,6.480486882E1,5.000000000E-1,1.641999969E2,8.059784889E0,9.475357056E0
2.165587708E0,5.323978523E1,1.041280446E1,5.656746921E1,0.000000000E0,0.000000000E0,5.294010162E0,7.371571541E0
3.165732864E0,5.323979224E1,1.041283440E1,5.339773168E1,0.000000000E0,0.000000000E0,4.739902020E0,6.540108204E0
4.165016822E0,5.323982854E1,1.041285999E1,4.771766409E1,1.800000072E-1,1.913000031E2,4.213802814E0,5.750157356E0
5.165314165E0,5.323984651E1,1.041290983E1,4.157827144E1,8.600000143E-1,1.733999939E2,3.812158585E0,4.778295994E0
6.165732863E0,5.323984709E1,1.041292342E1,3.931746482E1,1.100000024E0,1.498999939E2,3.899159908E0,4.272786617E0
7.165730154E0,5.323986419E1,1.041297009E1,3.335965143E1,1.470000029E0,1.315000000E2,3.892041445E0,3.905071497E0
8.165725362E0,5.323985762E1,1.041295925E1,3.033040901E1,1.350000024E0,1.821000061E2,3.790092468E0,3.689479351E0
9.164838018E0,5.323984738E1,1.041296682E1,2.602338422E1,1.700000048E0,1.698000031E2,3.790092468E0,3.540182114E0
1.016496942E1,5.323984039E1,1.041297097E1,2.689196359E1,1.299999952E0,1.771999969E2,3.790092468E0,3.439373493E0
1.116515906E1,5.323981819E1,1.041297648E1,2.664009703E1,3.130000114E0,1.756000061E2,3.790092468E0,3.537886858E0
1.216573854E1,5.323978799E1,1.041298363E1,2.389181886E1,3.019999981E0,1.715000000E2,3.790092468E0,3.567442179E0
1.316541848E1,5.323976141E1,1.041298319E1,2.387090454E1,1.929999948E0,1.748999939E2,3.790092468E0,3.370595217E0
1.416494994E1,5.323974589E1,1.041298084E1,2.270694124E1,1.080000043E0,1.695000000E2,3.790092468E0,3.399318457E0
1.516511562E1,5.323971204E1,1.041298169E1,2.242008528E1,3.839999914E0,1.768000031E2,3.790092468E0,3.251393080E0
1.616573718E1,5.323967746E1,1.041297976E1,2.092625888E1,2.630000114E0,1.821000061E2,3.790092468E0,3.116751432E0
1.716539536E1,5.323965205E1,1.041298273E1,2.027259380E1,2.259999990E0,1.765000000E2,3.790092468E0,3.051395178E0
1.816483411E1,5.323961638E1,1.041299028E1,1.965162652E1,3.329999924E0,1.763999939E2,3.790092468E0,2.944090128E0
1.916535583E1,5.323957759E1,1.041299355E1,1.945875643E1,3.730000019E0,1.778999939E2,3.790092468E0,2.995432854E0
2.016576010E1,5.323954035E1,1.041299596E1,1.898018340E1,3.430000067E0,1.778999939E2,4.016496658E0,3.201037407E0
2.116517833E1,5.323950567E1,1.041299421E1,1.862106137E1,3.230000019E0,1.806999969E2,5.008281231E0,3.339590073E0
2.216559317E1,5.323946269E1,1.041299435E1,1.863735337E1,4.010000229E0,1.795000000E2,4.632835865E0,3.284443140E0
2.416552463E1,5.323937606E1,1.041298920E1,1.942189118E1,4.000000000E0,1.795000000E2,4.939103127E0,3.231771231E0
2.516508390E1,5.323933484E1,1.041298539E1,1.940364120E1,3.650000095E0,1.798000031E2,3.835554838E0,2.780429125E0
2.616509254E1,5.323929783E1,1.041299976E1,1.600715704E1,3.180000067E0,1.778000031E2,3.790092468E0,2.678076982E0
2.716540400E1,5.323925811E1,1.041301180E1,1.491560113E1,3.180000067E0,1.766000061E2,3.790092468E0,2.763051987E0
2.816559869E1,5.323921584E1,1.041302374E1,1.500128747E1,3.059999943E0,1.758000031E2,3.790092468E0,2.779784679E0
2.916512379E1,5.323916430E1,1.041302456E1,1.582512239E1,4.190000057E0,1.825000000E2,3.790092468E0,2.590312004E0
3.016541509E1,5.323912148E1,1.041302166E1,1.646641559E1,3.859999895E0,1.825000000E2,3.790092468E0,2.525713921E0
3.116517686E1,5.323907652E1,1.041302741E1,1.731937273E1,3.900000095E0,1.748000031E2,3.790092468E0,2.500000000E0
3.216558811E1,5.323903821E1,1.041302519E1,1.812919065E1,3.680000067E0,1.786000061E2,3.790092468E0,2.500000000E0
3.316504968E1,5.323900136E1,1.041300869E1,1.897679603E1,3.740000010E0,1.913999939E2,3.790092468E0,2.500000000E0
3.416552921E1,5.323896771E1,1.041300119E1,1.942663734E1,3.599999905E0,1.848000031E2,3.790092468E0,2.500000000E0
3.516500744E1,5.323893194E1,1.041299264E1,1.902466912E1,2.829999924E0,1.748000031E2,3.790092468E0,2.500000000E0
3.616545322E1,5.323890483E1,1.041298847E1,1.915432890E1,2.400000095E0,1.766999969E2,3.790092468E0,2.500000000E0
3.716524030E1,5.323887620E1,1.041298246E1,1.970104017E1,2.559999943E0,1.748000031E2,3.790092468E0,2.500000000E0
3.816499551E1,5.323883911E1,1.041297689E1,1.879949624E1,2.890000105E0,1.773999939E2,3.790092468E0,2.525898933E0
3.916572723E1,5.323880095E1,1.041296875E1,1.830957259E1,3.230000019E0,1.843999939E2,3.790092468E0,2.680554867E0
4.016520717E1,5.323876850E1,1.041295984E1,1.714161832E1,2.990000010E0,1.853000031E2,3.790092468E0,2.733931303E0
4.116559004E1,5.323874054E1,1.041296109E1,1.712942939E1,2.859999895E0,1.791999969E2,3.790092468E0,2.908406973E0
4.216508530E1,5.323870717E1,1.041295504E1,1.765519841E1,3.180000067E0,1.825000000E2,3.790092468E0,3.097106457E0
4.316555592E1,5.323867305E1,1.041294728E1,1.730267092E1,3.119999886E0,1.846000061E2,3.797841311E0,3.127233982E0
4.416508936E1,5.323862434E1,1.041293520E1,1.767308402E1,4.090000153E0,1.858000031E2,3.790092468E0,2.964133024E0
4.516556342E1,5.323858601E1,1.041291875E1,1.811364368E1,3.650000095E0,1.896000061E2,3.790092468E0,2.838820934E0
4.616543233E1,5.323856156E1,1.041291629E1,1.861592660E1,2.700000048E0,1.755000000E2,3.790092468E0,2.743544579E0
4.716486092E1,5.323853271E1,1.041290695E1,1.789707461E1,2.180000067E0,1.816999969E2,3.790092468E0,2.815919876E0
4.816534326E1,5.323850711E1,1.041289929E1,1.785474071E1,2.190000057E0,1.871000061E2,3.790092468E0,2.846654415E0
4.916574180E1,5.323848102E1,1.041289616E1,1.755147935E1,2.269999981E0,1.791999969E2,3.790092468E0,2.876512289E0
5.016527587E1,5.323844433E1,1.041289116E1,1.845590510E1,2.730000019E0,1.861999969E2,3.790092468E0,2.730867624E0
5.116533519E1,5.323840217E1,1.041288615E1,1.701773219E1,2.930000067E0,1.806000061E2,3.790092468E0,2.799965620E0
5.216575253E1,5.323836153E1,1.041288359E1,1.643246609E1,3.150000095E0,1.860000000E2,3.790092468E0,2.730698347E0
5.316501816E1,5.323831815E1,1.041288247E1,1.557809137E1,3.410000086E0,1.758000031E2,3.790092468E0,2.627997398E0
5.416534441E1,5.323827703E1,1.041287351E1,1.629739199E1,3.440000057E0,1.826999969E2,3.790092468E0,2.729872704E0
5.516499087E1,5.323824127E1,1.041285752E1,1.762424692E1,3.309999943E0,1.900000000E2,3.790092468E0,2.908648014E0
5.616557915E1,5.323820864E1,1.041284155E1,1.798492007E1,3.130000114E0,1.911999969E2,3.790092468E0,3.030606508E0
5.716521264E1,5.323817187E1,1.041282613E1,1.843921469E1,3.240000010E0,1.926000061E2,3.790092468E0,3.026885033E0
5.816584279E1,5.323814375E1,1.041281854E1,1.776595652E1,2.960000038E0,1.900000000E2,3.790092468E0,3.061835527E0
5.916546326E1,5.323810113E1,1.041281081E1,1.921694392E1,3.779999971E0,1.893000031E2,3.790092468E0,3.106216669E0
6.016505487E1,5.323805387E1,1.041280279E1,1.825764604E1,4.090000153E0,1.896000061E2,3.790092468E0,3.128369570E0
6.116513586E1,5.323801264E1,1.041279012E1,1.697383486E1,3.769999981E0,1.923000031E2,3.790092468E0,3.095160723E0
6.216502081E1,5.323797225E1,1.041277652E1,1.659078209E1,3.839999914E0,1.940000000E2,3.790092468E0,3.053206444E0
6.316574440E1,5.323793966E1,1.041276696E1,1.810062321E1,3.390000105E0,1.943999939E2,3.790092468E0,2.977196932E0
6.416527461E1,5.323790823E1,1.041275462E1,1.727636052E1,3.160000086E0,1.905000000E2,3.790092468E0,3.097846985E0
6.516573643E1,5.323788672E1,1.041275402E1,1.739717760E1,2.380000114E0,1.813000031E2,3.790092468E0,3.077263594E0
6.616526805E1,5.323788809E1,1.041275701E1,2.017134867E1,5.500000119E-1,1.698999939E2,3.790092468E0,2.874081612E0
6.716498935E1,5.323789827E1,1.041275805E1,2.067331695E1,0.000000000E0,0.000000000E0,3.790092468E0,2.844070673E0
6.816501414E1,5.323790105E1,1.041275821E1,2.067210043E1,0.000000000E0,0.000000000E0,3.790092468E0,2.846155643E0
6.916502617E1,5.323790233E1,1.041275800E1,2.067228555E1,0.000000000E0,0.000000000E0,3.790092468E0,2.879629374E0
7.016572065E1,5.323789914E1,1.041275716E1,1.933457344E1,0.000000000E0,0.000000000E0,3.790092468E0,2.862789392E0
7.116572414E1,5.323787766E1,1.041275977E1,1.830567031E1,0.000000000E0,0.000000000E0,3.790092468E0,2.823115587E0
