"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.193194000E-2,9.375000000E0,-2.458125114E1,-3.776250076E1
5.193194000E-2,9.093750000E0,-2.458125114E1,-3.870000076E1
6.193194000E-2,9.131250381E0,-2.366250038E1,-3.871875000E1
7.193194000E-2,9.318750381E0,-2.381250000E1,-3.875625229E1
8.193194000E-2,9.656250000E0,-2.341875076E1,-3.907500076E1
9.193194000E-2,9.900000572E0,-2.334375000E1,-3.916875076E1
1.019319400E-1,1.006875038E1,-2.328750038E1,-3.926250076E1
1.119319400E-1,1.055625057E1,-2.319375038E1,-3.900000000E1
1.219319400E-1,1.111875057E1,-2.272500038E1,-3.930000305E1
1.319319400E-1,1.183125019E1,-2.235000038E1,-3.930000305E1
1.419319400E-1,1.226250076E1,-2.227500153E1,-3.928125000E1
1.519319400E-1,1.261875057E1,-2.188125038E1,-3.924375153E1
1.619319400E-1,1.260000038E1,-2.190000153E1,-3.933750153E1
1.719319400E-1,1.297500038E1,-2.175000000E1,-3.930000305E1
1.819319400E-1,1.312500095E1,-2.156250000E1,-3.926250076E1
1.919319400E-1,1.291875076E1,-2.150625038E1,-3.952500153E1
2.019319400E-1,1.260000038E1,-2.158125114E1,-3.924375153E1
2.119319400E-1,1.233750057E1,-2.158125114E1,-3.905625153E1
2.219319400E-1,1.233750057E1,-2.176875114E1,-3.888750076E1
2.319319400E-1,1.252500057E1,-2.208750153E1,-3.883125305E1
2.419319400E-1,1.286250019E1,-2.235000038E1,-3.815625000E1
2.519319400E-1,1.306875038E1,-2.274375153E1,-3.770625305E1
2.619319400E-1,1.348125076E1,-2.326875114E1,-3.740625000E1
2.719319400E-1,1.387500095E1,-2.377500153E1,-3.676875305E1
2.819319400E-1,1.432500076E1,-2.431875038E1,-3.626250076E1
2.919319400E-1,1.477500057E1,-2.506875038E1,-3.577500153E1
3.019319400E-1,1.518750095E1,-2.548125076E1,-3.540000153E1
3.119319400E-1,1.522500038E1,-2.585625076E1,-3.511875153E1
3.219319400E-1,1.569375038E1,-2.585625076E1,-3.474375153E1
3.319319400E-1,1.571250057E1,-2.619375038E1,-3.436875153E1
3.419319400E-1,1.603125000E1,-2.619375038E1,-3.406875229E1
3.519319400E-1,1.618125153E1,-2.636250114E1,-3.405000305E1
3.619319400E-1,1.614375114E1,-2.664375114E1,-3.418125153E1
3.719319400E-1,1.610625076E1,-2.670000076E1,-3.431250000E1
3.819319400E-1,1.584375095E1,-2.686875153E1,-3.438750076E1
3.919319400E-1,1.560000038E1,-2.656875038E1,-3.418125153E1
4.019319400E-1,1.483125019E1,-2.681250191E1,-3.450000000E1
4.119319400E-1,1.430625057E1,-2.660625076E1,-3.491250229E1
4.219319400E-1,1.342500019E1,-2.641875076E1,-3.517500305E1
4.319319400E-1,1.243125057E1,-2.636250114E1,-3.540000153E1
4.419319400E-1,1.166250038E1,-2.595000076E1,-3.575625229E1
4.519319400E-1,1.076250076E1,-2.555625153E1,-3.585000229E1
4.619319400E-1,9.881250381E0,-2.536875153E1,-3.615000153E1
4.719319400E-1,8.925000191E0,-2.546250153E1,-3.671250153E1
4.819319400E-1,7.893750191E0,-2.536875153E1,-3.720000076E1
4.919319400E-1,6.881250381E0,-2.508750153E1,-3.725625229E1
5.019319400E-1,5.850000381E0,-2.525625038E1,-3.753750229E1
5.119319400E-1,5.006250381E0,-2.497500038E1,-3.774375153E1
5.219319400E-1,4.162500381E0,-2.514375114E1,-3.780000305E1
5.319319400E-1,3.356250048E0,-2.540625191E1,-3.813750076E1
5.419319400E-1,2.662500143E0,-2.520000076E1,-3.826875305E1
5.519319400E-1,2.100000143E0,-2.495625114E1,-3.819375229E1
5.619319400E-1,1.650000095E0,-2.476875114E1,-3.791250229E1
5.719319400E-1,1.106250048E0,-2.495625114E1,-3.783750153E1
5.819319400E-1,6.187500358E-1,-2.473125076E1,-3.778125000E1
5.919319400E-1,2.812500000E-1,-2.465625191E1,-3.780000305E1
6.019319400E-1,-1.500000060E-1,-2.446875191E1,-3.778125000E1
6.119319400E-1,-7.500000000E-1,-2.424375153E1,-3.778125000E1
6.219319400E-1,-1.181250095E0,-2.439375114E1,-3.785625076E1
6.319319400E-1,-1.537500024E0,-2.456250191E1,-3.780000305E1
6.419319400E-1,-1.931250095E0,-2.458125114E1,-3.806250000E1
6.519319400E-1,-2.287500143E0,-2.441250038E1,-3.841875076E1
6.619319400E-1,-2.868750095E0,-2.428125191E1,-3.845625305E1
6.719319400E-1,-3.450000048E0,-2.430000114E1,-3.856875229E1
6.819319400E-1,-3.918750048E0,-2.418750191E1,-3.868125153E1
6.919319400E-1,-4.500000000E0,-2.407500076E1,-3.855000305E1
