Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00363474,10.19820976,-7.881958008,-1.430907965
10.00839016,10.57149029,-8.38923645,-1.509871125
10.01314557,10.99980545,-8.95154953,-1.653440475
10.01790099,11.50229836,-9.487542152,-1.758724689
10.02265641,11.87318611,-9.937392235,-1.820937991
10.02741182,12.4498558,-10.3776722,-1.835294962
10.03216724,12.9882412,-10.7677021,-1.813759565
10.03692266,13.3208437,-10.9806633,-1.852044702
10.04167807,13.62473202,-11.09312534,-1.861616015
10.04643349,13.7539444,-10.96391296,-1.897508383
10.05118896,13.70130253,-10.59541893,-1.914258122
10.05594438,13.53141212,-10.15992451,-1.959721804
10.06069979,13.36391449,-9.674181938,-2.000399828
10.06545521,13.28016567,-9.25783062,-1.895115495
10.07021063,13.22513103,-8.853444099,-1.789831281
10.07496604,13.15573883,-8.508877754,-1.892722726
10.07972146,13.06481171,-8.21216774,-2.038684845
10.08447688,12.92363548,-7.965706348,-2.134397745
10.08923229,12.74417305,-7.70728159,-2.065006018
10.09398771,12.53121185,-7.424928665,-1.887937069
10.09874312,12.27278709,-7.109076023,-1.603191137
10.10349854,11.94497108,-6.836294174,-1.361516118
10.10825396,11.56690502,-6.594619274,-1.217946768
10.11300938,11.16969585,-6.441478729,-1.296909928
10.11776479,10.82512951,-6.422336102,-1.684547186
10.12252021,10.56191921,-6.549155712,-2.378465652
10.12727563,10.36810017,-6.831508636,-3.491128206
10.13203104,10.29153061,-7.235895634,-4.718646049
10.13678646,10.35374355,-7.709674358,-5.685346603
10.14154188,10.50449181,-8.226524353,-6.20458889
10.14629729,10.79880905,-8.690732002,-6.262016773
10.15105271,10.9806633,-9.061619759,-5.855237007
10.15580818,10.97109222,-9.265008926,-5.376672268
10.16056359,10.74138069,-9.451649666,-4.902893543
10.16531901,10.43749237,-9.580862045,-4.445864677
10.17007443,9.803394318,-9.686145782,-4.103690624
10.17482984,9.116654396,-9.736394882,-3.728017569
10.17958526,8.33898735,-9.705288887,-3.376272678
10.18434068,7.724031448,-9.54257679,-3.06999135
10.18909609,7.27178812,-9.372686386,-2.770888567
10.19385151,6.848258495,-9.219545364,-2.478964329
10.19860693,6.472585201,-9.047262192,-2.23728919
10.20336234,6.221338749,-8.946763992,-1.971685886
10.20811776,6.034698486,-8.812766075,-1.734796405
10.21287318,5.754738331,-8.626125336,-1.574477315
10.21762859,5.359922886,-8.367700577,-1.464407444
10.22238401,4.941178799,-8.066205025,-1.347159147
10.22713943,4.699503899,-7.76949501,-1.194018483
10.23189484,4.520041943,-7.525427341,-0.9786644578
10.23665026,4.445864677,-7.314858913,-0.7824530005
10.24140568,4.469792843,-7.133004189,-0.6460621357
10.24616109,4.508078098,-7.027719975,-0.5838487148
10.25091656,4.563112736,-6.943971157,-0.5838487148
10.25567198,4.601397991,-6.915257454,-0.6245267391
10.2604274,4.65403986,-6.934400082,-0.7274180651
10.26518281,4.802394867,-7.042077065,-0.8207381964
10.26993823,4.998606682,-7.171289444,-0.8925228715
10.27469365,5.2737813,-7.38664341,-0.890130043
10.27944906,5.670989513,-7.597211838,-0.8757730722
10.28420448,6.151947021,-7.831708431,-0.9140582681
10.2889599,6.802794933,-8.008777618,-0.9714859724
10.29371531,7.534998417,-8.10449028,-1.016949654
10.29847073,8.334200859,-8.109275818,-1.019342422
10.30322615,9.131011009,-8.049455643,-0.9523434043
10.30798156,9.949356079,-7.939385414,-0.8039883971
10.31273698,10.75573826,-7.874779224,-0.5862415433
10.3174924,11.45204926,-7.802994728,-0.3565305769
10.32224781,12.04068375,-7.740781307,-0.2177468538
10.32700323,12.61735344,-7.67138958,-0.3397808075
10.33175865,13.11027527,-7.506284714,-0.7130611539
10.33651406,13.05524063,-7.197610378,-1.430907965
10.34126953,13.54337597,-6.939185619,-2.230110645
10.34602495,14.05065441,-6.608976364,-3.05324173
10.35078036,14.2564373,-6.161518097,-3.775874138
10.35553578,14.8522501,-5.761917114,-4.36211586
10.3602912,15.18963814,-5.43649292,-4.587040901
10.36504662,15.45763397,-5.182853699,-4.689932346
10.36980203,15.77109432,-5.063212872,-4.567898273
10.37455745,16.07498169,-5.010570526,-4.457828522
10.37931287,16.12044525,-5.024927616,-4.340580463
10.38406828,15.21356678,-5.027320385,-4.206582069
10.3888237,12.98106289,-4.953142643,-4.192225456
10.39357912,10.00917721,-4.926821709,-4.252045631
10.39833453,7.829315662,-5.06560564,-4.218546391
10.40308995,6.740581512,-5.268995285,-4.000799656
10.40784536,6.319444656,-5.448457241,-3.653840065
10.41260083,6.211767673,-5.575276852,-3.273381472
10.4173562,6.053841114,-5.513063431,-2.926422119
10.42211162,5.800201893,-5.302495003,-2.591426849
10.42686708,5.508277893,-5.103890896,-2.213361025
10.4316225,5.127819061,-5.015356064,-1.801795483
10.43637792,4.79521656,-4.969892502,-1.442872047
10.44113333,4.601397991,-4.917250633,-1.194018483
10.44588875,4.548755646,-4.869394302,-1.05523479
10.45064417,4.642076015,-4.847858906,-1.031306505
10.45539958,4.857429981,-4.881358147,-1.088734269
10.460155,4.965106964,-4.981856823,-1.26341033
10.46491042,5.106283665,-5.182853699,-1.567298889
10.46966583,5.213960648,-5.448457241,-1.892722726
10.47442125,5.312066078,-5.644668579,-2.005185366
10.47917667,5.206781864,-5.852844238,-1.792224169
10.48393208,4.986642361,-5.986842155,-1.473978758
10.4886875,4.508078098,-6.118447304,-1.162911773
10.49344292,4.067798615,-6.24766016,-0.7537391186
10.49819839,3.519842148,-6.281159401,-0.457029134
10.5029538,2.935993433,-6.192625046,-0.2703889608
10.50770922,2.445464849,-5.922235966,-0.1268195957
10.51246464,2.108076811,-5.474778175,-0.06939185411
10.51722005,1.926222205,-4.895715237,-0.1411765367
10.52197547,1.873580098,-4.118047714,-0.4283152521
10.52673089,1.804188251,-3.278167009,-0.7680960894
10.5314863,1.813759565,-2.419143677,-1.107876897
10.53624172,2.01475668,-1.473978758,-1.383051515
10.54099714,2.268395901,-0.5383850932,-1.634297848
10.54575255,2.715853691,0.2823530734,-1.799402595
10.55050797,3.294916868,1.060020447,-1.856830359
10.55526339,3.792623997,1.80658114,-1.842473388
10.5600188,4.115654945,2.419143677,-1.763510346
10.56477422,4.572684288,2.876172781,-1.691725612
10.56952969,4.843072891,3.199203968,-1.47158587
10.57428505,5.089533806,3.297309637,-1.174875975
10.57904052,5.312066078,3.208775282,-0.9595218897
10.58379594,5.69252491,3.046063185,-0.8063812256
10.58855135,5.915057659,2.617748022,-0.7776673436
10.59330677,6.003592014,1.85443759,-0.6699903607
10.59806219,5.996413708,0.8422735929,-0.6317051649
10.6028176,5.69252491,-0.2560320199,-0.6747759581
10.60757302,5.170889854,-1.277767301,-0.9355936646
10.61232844,4.606183529,-2.038684845,-1.287338614
10.61708385,4.194618225,-2.54117775,-1.653440475
10.62183927,4.082155228,-2.739781857,-2.012363911
10.62659469,4.359723091,-2.648854733,-2.443071842
10.6313501,4.826323509,-2.304288149,-2.821137905
10.63610552,5.206781864,-1.871187329,-3.141776085
10.64086094,5.534598827,-1.433300734,-3.347558975
10.64561635,5.874379635,-1.045663476,-3.510270834
10.65037182,6.300302029,-0.70348984,-3.684946775
10.65512724,6.690331936,-0.4450650215,-3.826123476
10.65988266,7.073183537,-0.327816695,-3.830909014
10.66463807,7.295716286,-0.2967100143,-3.69212532
10.66939349,7.384250641,-0.3326023519,-3.412165165
10.67414891,7.41535759,-0.4139583111,-3.072384357
10.67890432,7.350750923,-0.5024927258,-2.74935317
10.68365974,7.32203722,-0.6364908218,-2.519642353
10.68841516,7.403393269,-0.7944171429,-2.476571321
10.69317057,7.609176159,-0.9140582681,-2.550748825
