"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.239066000E-3,4.271472096E-1,-8.542944193E-1,2.867246568E-1
1.399380500E-2,4.068359435E-1,-9.549343586E-1,3.394880891E-1
1.874844100E-2,4.080576599E-1,-9.995275140E-1,3.767508566E-1
2.350312800E-2,4.349357188E-1,-9.848667383E-1,3.987419903E-1
2.825781600E-2,4.783071280E-1,-9.384410381E-1,4.079049528E-1
3.301245100E-2,5.314523578E-1,-8.852958083E-1,4.048506320E-1
3.776713900E-2,5.803215504E-1,-8.333722949E-1,3.871355653E-1
4.252177400E-2,6.157516837E-1,-7.875574231E-1,3.523162603E-1
4.727646200E-2,6.395754218E-1,-7.350230217E-1,2.955058515E-1
5.203109700E-2,6.713404059E-1,-6.641627550E-1,2.099847645E-1
5.678578500E-2,6.823359728E-1,-6.543889046E-1,1.171333194E-1
6.154042000E-2,6.640099883E-1,-7.173079848E-1,4.199695215E-2
6.629510800E-2,6.230821013E-1,-8.162680864E-1,-1.359174121E-2
7.104979500E-2,5.711585879E-1,-9.213368297E-1,-5.207622424E-2
7.580443000E-2,5.082395077E-1,-1.033735871E0,-8.078686893E-2
8.055911800E-2,4.349357188E-1,-1.162628412E0,-8.933897316E-2
8.531375300E-2,3.561341763E-1,-1.295796871E0,-8.139773458E-2
9.006844100E-2,2.785543501E-1,-1.430798054E0,-5.940660089E-2
9.482307600E-2,2.046397030E-1,-1.575572968E0,-2.947422490E-2
9.957776400E-2,1.368337125E-1,-1.730121732E0,5.955931731E-3
1.043324510E-1,7.574722916E-2,-1.873064160E0,3.649916872E-2
1.090870870E-1,1.160643063E-2,-1.983630657E0,5.726857483E-2
1.138417740E-1,-5.009091273E-2,-2.030667305E0,6.215549260E-2
1.185964100E-1,-1.056796089E-1,-2.017228127E0,4.382954910E-2
1.233510970E-1,-1.569922417E-1,-1.980576277E0,-7.635809598E-4
1.281057330E-1,-2.046397030E-1,-1.956752658E0,-6.551524997E-2
1.328604200E-1,-2.474002391E-1,-1.946978807E0,-1.388190240E-1
1.376151080E-1,-2.877173126E-1,-1.934150577E0,-2.072358727E-1
1.423697430E-1,-3.262017965E-1,-1.913992047E0,-2.689332068E-1
1.471244300E-1,-3.622428179E-1,-1.891390085E0,-3.269653618E-1
1.518790660E-1,-3.995055556E-1,-1.855349064E0,-3.801106215E-1
1.566337530E-1,-4.422661066E-1,-1.797927737E0,-4.283689260E-1
1.613884410E-1,-4.862483740E-1,-1.733786941E0,-4.723511934E-1
1.661430760E-1,-5.296197534E-1,-1.664759278E0,-5.108356476E-1
1.708977640E-1,-5.711585879E-1,-1.590844631E0,-5.383245945E-1
1.756523990E-1,-6.059778333E-1,-1.512042999E0,-5.578722358E-1
1.804070870E-1,-6.279689670E-1,-1.424078465E0,-5.737547278E-1
1.851617220E-1,-6.365211010E-1,-1.311679363E0,-5.847502947E-1
1.899164100E-1,-6.285798550E-1,-1.171791315E0,-5.914698243E-1
1.946710970E-1,-5.980366468E-1,-1.017242551E0,-5.933024287E-1
1.994257330E-1,-5.510000587E-1,-8.669698238E-1,-5.890263915E-1
2.041804200E-1,-4.874700904E-1,-7.692314982E-1,-5.694786906E-1
2.089350550E-1,-4.080576599E-1,-7.160862088E-1,-5.383245945E-1
2.136897430E-1,-3.262017965E-1,-6.794343591E-1,-5.102248192E-1
2.184444300E-1,-2.449567765E-1,-6.604975462E-1,-4.882336855E-1
2.231990660E-1,-1.747073233E-1,-6.537780166E-1,-4.772381186E-1
2.279537530E-1,-1.209512278E-1,-6.574432254E-1,-4.766272306E-1
2.327083890E-1,-8.491020650E-2,-6.617192626E-1,-4.851793647E-1
2.374630760E-1,-6.597339362E-2,-6.666061878E-1,-5.010618567E-1
2.422177120E-1,-6.536252797E-2,-6.830995679E-1,-5.242747068E-1
2.469723990E-1,-8.979712427E-2,-7.093667388E-1,-5.627591610E-1
2.517270870E-1,-1.313359290E-1,-7.619010806E-1,-6.097957492E-1
2.564817220E-1,-1.863137633E-1,-8.358157277E-1,-6.568323374E-1
2.612364100E-1,-2.522871494E-1,-9.011782408E-1,-7.050906420E-1
2.659910450E-1,-3.182605505E-1,-9.451605082E-1,-7.527381182E-1
2.707457330E-1,-3.872882724E-1,-9.689842463E-1,-7.942769527E-1
2.755003680E-1,-4.581485987E-1,-9.702059627E-1,-8.290961981E-1
2.802550550E-1,-5.265654325E-1,-9.469931126E-1,-8.565851450E-1
2.850097430E-1,-5.894845128E-1,-9.091194868E-1,-8.761327863E-1
2.897643780E-1,-6.536253095E-1,-8.761327863E-1,-8.907935619E-1
2.945190660E-1,-7.183769941E-1,-8.657481074E-1,-9.060651660E-1
2.992737010E-1,-7.904590368E-1,-8.926261663E-1,-9.225585461E-1
3.040283890E-1,-8.723149300E-1,-9.433279634E-1,-9.445496798E-1
3.087830760E-1,-9.645555019E-1,-9.970840216E-1,-9.708168507E-1
3.135377120E-1,-1.062904716E0,-1.033735871E0,-9.989166260E-1
3.182923990E-1,-1.158199668E0,-1.024572968E0,-1.022740364E0
3.230470350E-1,-1.239444613E0,-9.665408134E-1,-1.034957647E0
3.278017220E-1,-1.304196358E0,-8.889609575E-1,-1.033125043E0
3.325564100E-1,-1.347567677E0,-7.979421020E-1,-1.024572968E0
3.373110450E-1,-1.358563304E0,-7.002037764E-1,-1.009912252E0
3.420657330E-1,-1.347567677E0,-6.488910913E-1,-9.946405888E-1
3.468203680E-1,-1.324354887E0,-6.354520917E-1,-9.848667383E-1
3.515750550E-1,-1.303585410E0,-5.743656158E-1,-9.848667383E-1
3.563297430E-1,-1.290757298E0,-5.487092733E-1,-1.001971006E0
3.610843780E-1,-1.246775031E0,-7.075341344E-1,-1.023962140E0
3.658390660E-1,-1.159421325E0,-9.970840216E-1,-1.037401080E0
3.705937010E-1,-1.048854828E0,-1.248149514E0,-1.040455461E0
3.753483890E-1,-9.395100474E-1,-1.372765899E0,-1.041677117E0
3.801030240E-1,-8.405499458E-1,-1.403309107E0,-1.040455461E0
3.848577120E-1,-7.519745231E-1,-1.438739300E0,-1.033735871E0
3.896123990E-1,-6.688969135E-1,-1.519373417E0,-1.011744738E0
3.943670350E-1,-5.980366468E-1,-1.627496481E0,-9.744820595E-1
3.991217220E-1,-5.522217751E-1,-1.729510903E0,-9.237802625E-1
4.038764100E-1,-5.827649832E-1,-1.681252599E0,-8.657481074E-1
4.086310450E-1,-6.725621223E-1,-1.494938850E0,-8.425352573E-1
4.133857330E-1,-7.043271065E-1,-1.367268085E0,-8.138245940E-1
4.181403680E-1,-7.232639194E-1,-1.235932112E0,-7.399099469E-1
