"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.800224000E-3,-2.931207657E0,3.512663603E0,8.061419487E0
6.649808000E-3,-2.713460922E0,3.835694790E0,8.370093346E0
1.149991200E-2,-2.569891453E0,4.048655987E0,8.554341316E0
1.634996400E-2,-2.419143677E0,4.223331928E0,8.559126854E0
2.120001600E-2,-2.416750908E0,4.256831646E0,8.544769287E0
2.605012000E-2,-2.342573404E0,4.170690060E0,8.484949112E0
3.090017200E-2,-2.069791555E0,3.785445452E0,8.410771370E0
3.575022400E-2,-2.249253273E0,3.768695593E0,8.401200294E0
4.060032900E-2,-2.598605394E0,3.747160196E0,8.367700577E0
4.545038100E-2,-2.991028309E0,3.627519131E0,8.365307808E0
5.030043300E-2,-3.268595695E0,3.407379389E0,8.463413239E0
5.515053700E-2,-3.452843189E0,3.223132133E0,8.547162056E0
6.000058900E-2,-3.591626883E0,3.041277647E0,8.666803360E0
6.485064100E-2,-3.596412420E0,2.797209740E0,8.752944946E0
6.970074500E-2,-3.775874138E0,2.696711063E0,9.013762474E0
7.455079700E-2,-4.003192425E0,2.667997360E0,9.422935486E0
7.940084900E-2,-4.182653904E0,2.782852650E0,9.894321442E0
8.425095400E-2,-4.058227062E0,2.907279491E0,1.035135078E1
8.910100600E-2,-3.950550079E0,3.108276606E0,1.087298584E1
9.395105800E-2,-3.816552162E0,3.326023579E0,1.128933716E1
9.880116200E-2,-3.668197155E0,3.500699520E0,1.157169056E1
1.036512140E-1,-3.524627686E0,3.637090445E0,1.167218876E1
1.085012660E-1,-2.885744095E0,3.445664644E0,1.156690502E1
1.133513700E-1,-2.490928411E0,3.259024382E0,1.143529987E1
1.182014220E-1,-2.435893536E0,3.113062143E0,1.118883896E1
1.230514740E-1,-2.134397745E0,2.873780012E0,1.053081226E1
1.279015790E-1,-1.976471543E0,2.627319336E0,9.822537422E0
1.327516310E-1,-1.962114573E0,2.433500528E0,9.200403214E0
1.376016830E-1,-2.009970903E0,2.249253273E0,8.638090134E0
1.424517870E-1,-2.120040894E0,2.139183521E0,8.145168304E0
1.473018390E-1,-2.254039049E0,2.050648928E0,7.767102242E0
1.521519430E-1,-2.416750908E0,1.981257200E0,7.530212879E0
1.570019950E-1,-2.644068956E0,1.931007862E0,7.527820110E0
1.618520470E-1,-2.871387243E0,1.954936147E0,7.767102242E0
1.667020990E-1,-3.239881754E0,2.021935225E0,8.080561638E0
1.715522040E-1,-3.586841106E0,2.134397745E0,8.463413239E0
1.764022560E-1,-3.897907972E0,2.225325108E0,8.815158844E0
1.812523600E-1,-4.254438877E0,2.400001049E0,9.279366493E0
1.861024120E-1,-4.455435753E0,2.574677229E0,9.623932838E0
1.909524640E-1,-4.510470867E0,2.727817774E0,9.851250648E0
1.958025680E-1,-4.429114819E0,2.892922640E0,1.000678444E1
2.006526200E-1,-4.197010994E0,3.012563705E0,1.007139015E1
2.055026720E-1,-3.878765583E0,3.115455151E0,1.004267693E1
2.103527770E-1,-3.464807272E0,3.165704250E0,9.968499184E0
2.152028290E-1,-3.005385160E0,3.259024382E0,9.858428955E0
2.200528810E-1,-2.522035122E0,3.369094372E0,9.803394318E0
2.249029850E-1,-1.981257200E0,3.414557934E0,9.791430473E0
2.297530370E-1,-1.459621787E0,3.462414265E0,9.769894600E0
2.346031410E-1,-9.475577474E-1,3.443271875E0,9.662218094E0
2.394531930E-1,-6.699903607E-1,3.428914785E0,9.456435204E0
2.442115270E-1,-7.345965505E-1,3.304488182E0,9.133403778E0
2.489665790E-1,-4.905286431E-1,3.180061340E0,8.599804878E0
2.537215790E-1,-3.302095234E-1,2.878565550E0,8.422736168E0
2.584765790E-1,-3.828516304E-1,2.457428932E0,8.061419487E0
2.632316310E-1,-6.556333899E-1,2.120040894E0,7.599604607E0
2.679866310E-1,-1.165304661E0,1.921436548E0,7.417750359E0
2.727416310E-1,-1.785045743E0,1.854437590E0,7.544569969E0
2.774966830E-1,-2.411965132E0,1.909472466E0,7.685746193E0
2.822516830E-1,-2.809173822E0,1.718046665E0,7.783852100E0
2.870067350E-1,-3.259024382E0,1.665404558E0,8.384450912E0
2.917617350E-1,-3.656233072E0,1.741974831E0,9.190832138E0
2.965167350E-1,-3.835694790E0,1.873580098E0,9.793823242E0
3.012717870E-1,-3.596412420E0,1.890329838E0,1.001156998E1
3.060267870E-1,-3.220739365E0,1.804188251E0,9.949356079E0
3.107817870E-1,-2.780459881E0,1.641476393E0,9.793823242E0
3.155368390E-1,-2.261217356E0,1.433300734E0,9.499505997E0
3.202918390E-1,-1.746760488E0,1.205982566E0,9.126225471E0
3.250468390E-1,-1.335195065E0,9.786644578E-1,8.712266922E0
3.298018910E-1,-1.067198873E0,7.992027402E-1,8.286344528E0
3.345568910E-1,-9.451649189E-1,7.106683254E-1,7.999206066E0
3.393119430E-1,-9.619147182E-1,6.604190469E-1,7.905886173E0
3.440669430E-1,-9.020941257E-1,6.771687865E-1,7.927421570E0
3.488219430E-1,-7.609176040E-1,7.345965505E-1,7.975277901E0
3.535769950E-1,-6.053841114E-1,8.757730722E-1,8.240880966E0
3.583319950E-1,-4.785645306E-1,1.033699393E0,8.738588333E0
3.630869950E-1,-2.823530734E-1,1.249053478E0,9.410971642E0
3.678420470E-1,3.828516230E-2,1.447657704E0,9.920642853E0
3.725970470E-1,3.708875179E-1,1.572084427E0,1.034177971E1
3.773520470E-1,7.345965505E-1,1.634297848E0,1.083948612E1
3.821070990E-1,1.071984529E0,1.655833244E0,1.137069321E1
3.868620990E-1,1.380658627E0,1.610369682E0,1.181097221E1
3.916171520E-1,1.655833244E0,1.521835208E0,1.215075302E1
3.963721520E-1,1.895115495E0,1.409372568E0,1.243071365E1
4.011271520E-1,2.120040894E0,1.229910851E0,1.263649654E1
4.058822040E-1,2.266003132E0,1.045663476E0,1.283270741E1
4.106372040E-1,2.325823545E0,8.183453679E-1,1.287338543E1
4.153922040E-1,2.557927370E0,6.197410822E-1,1.253599739E1
4.201472560E-1,2.773281336E0,4.809573591E-1,1.220339584E1
4.249022560E-1,2.888136864E0,3.876372576E-1,1.200718403E1
4.296573080E-1,2.955136061E0,2.608176768E-1,1.178704453E1
4.344123080E-1,3.086741209E0,2.057827413E-1,1.132522964E1
4.391673080E-1,3.230310678E0,1.986042857E-1,1.073659515E1
4.439223600E-1,3.416950703E0,2.416750938E-1,1.009771156E1
4.486773600E-1,3.359523058E0,3.158525825E-1,9.580862045E0
4.534323600E-1,3.067598581E0,4.522434771E-1,9.140582085E0
4.581874120E-1,2.033899307E0,5.335994363E-1,8.554341316E0
4.629424120E-1,4.881358147E-1,5.216353536E-1,8.176275253E0
4.676974640E-1,-4.091726840E-1,6.269195080E-1,8.011170387E0
4.724524640E-1,-6.484549642E-1,7.800601721E-1,7.810173035E0
4.772074640E-1,-9.236295223E-1,1.184447169E0,8.190631866E0
4.819625160E-1,-1.050449133E0,1.648654819E0,8.930013657E0
4.867175160E-1,-1.074377418E0,2.184647083E0,9.686145782E0
4.914725680E-1,-6.005984545E-1,2.596212626E0,1.031785107E1
4.962275680E-1,1.890329868E-1,2.943171740E0,1.084427261E1
5.009825680E-1,9.451649189E-1,3.230310678E0,1.115294647E1
5.057376200E-1,1.610369682E0,3.409772158E0,1.108833981E1
5.104926200E-1,2.242074728E0,3.493520975E0,1.065284634E1
5.152476200E-1,2.581855536E0,3.572484255E0,9.875179291E0
5.200026720E-1,2.651247501E0,3.653840065E0,8.925228119E0
5.247576720E-1,2.706282377E0,3.677768469E0,7.948956966E0
5.295127240E-1,2.794816732E0,3.584448338E0,7.022934437E0
5.342677240E-1,2.756531715E0,3.524627686E0,6.163911343E0
5.390227240E-1,2.837887764E0,3.376272678E0,5.615954876E0
5.437777770E-1,3.055634499E0,3.273381472E0,5.402993679E0
5.485327770E-1,3.165704250E0,3.141776085E0,5.474778175E0
5.532878290E-1,2.926422119E0,3.069991350E0,5.546562672E0
5.580428290E-1,2.476571321E0,3.029313564E0,5.525027275E0
5.627978290E-1,2.194218397E0,3.012563705E0,5.304887772E0
5.675528810E-1,1.983649969E0,3.074777126E0,4.869394302E0
5.723078810E-1,1.406979680E0,3.347558975E0,4.316651821E0
5.770629330E-1,5.551348329E-1,3.845266104E0,3.924229145E0
5.818179330E-1,-7.417750359E-2,4.283152580E0,3.854837179E0
5.865729330E-1,2.488535494E-1,4.278367043E0,4.316651821E0
5.913279850E-1,1.239482164E0,4.048655987E0,4.998606682E0
5.960829850E-1,2.352144718E0,3.768695593E0,5.647061348E0
6.008380370E-1,3.381058455E0,3.505485058E0,6.068198204E0
6.055930370E-1,3.840480328E0,3.450450182E0,6.326622963E0
6.103480370E-1,3.921836376E0,3.385843992E0,6.678368092E0
6.151030890E-1,4.007977962E0,3.266202927E0,6.793223381E0
6.198580890E-1,4.213760853E0,3.208775282E0,6.898507595E0
6.246131410E-1,4.366901398E0,3.134597778E0,7.070790768E0
6.293681410E-1,4.620540619E0,3.060420275E0,7.233502865E0
6.341231410E-1,5.163711071E0,3.103491068E0,7.664210796E0
6.388781930E-1,5.754738331E0,3.266202927E0,8.204988480E0
6.436331930E-1,6.022734642E0,3.414557934E0,8.597412109E0
6.483882450E-1,5.922235966E0,3.486342669E0,9.154939651E0
6.531432450E-1,5.359922886E0,3.340380430E0,9.401400566E0
6.578982450E-1,4.838287354E0,2.971885681E0,9.188439369E0
6.626532970E-1,4.790431023E0,2.541177750E0,8.949156761E0
6.674082970E-1,4.663611412E0,2.268395901E0,8.693124771E0
6.721632970E-1,4.448257446E0,2.194218397E0,8.315058708E0
6.769183490E-1,4.185046673E0,2.249253273E0,7.865208149E0
6.816733490E-1,4.063013077E0,2.304288149E0,7.252645493E0
6.864284020E-1,4.168296814E0,2.478964329E0,6.309873104E0
6.911834020E-1,3.873979807E0,2.536391973E0,5.489135265E0
6.959384020E-1,3.376272678E0,2.658426046E0,4.974678040E0
7.006934540E-1,3.203989506E0,2.615355253E0,4.587040901E0
7.054484540E-1,3.110669374E0,2.658426046E0,4.223331928E0
7.102035060E-1,3.115455151E0,2.835494757E0,3.768695593E0
7.149585060E-1,3.395415306E0,2.991028309E0,3.366701365E0
7.197135580E-1,3.885943890E0,3.125026464E0,3.192025423E0
7.244685580E-1,4.493721008E0,3.184846878E0,3.091526747E0
7.292235580E-1,5.134997368E0,3.050848961E0,3.194418192E0
7.339786100E-1,5.355136871E0,2.861815929E0,3.424129248E0
7.387336100E-1,5.194818020E0,2.734996319E0,3.639483213E0
7.434886620E-1,5.230710506E0,2.510071039E0,3.902693748E0
7.482436620E-1,5.477170944E0,2.227717876E0,4.457828522E0
7.529986620E-1,5.974878311E0,1.962114573E0,5.067998409E0
7.577537140E-1,6.752545357E0,1.641476393E0,5.757131100E0
7.625087140E-1,7.360322475E0,1.557727575E0,6.508477688E0
7.672637660E-1,7.640282631E0,1.710868239E0,7.137789726E0
7.720187660E-1,7.707281590E0,1.964507341E0,7.566105366E0
7.767737660E-1,7.551748276E0,2.222932339E0,7.774280548E0
7.815288180E-1,7.094718933E0,2.512463808E0,7.898707390E0
7.862838180E-1,6.455835342E0,2.723032236E0,7.697710514E0
7.910388700E-1,5.575276852E0,2.983849764E0,7.166503906E0
7.957938700E-1,4.761716843E0,3.237488985E0,6.735795975E0
8.005488700E-1,4.192225456E0,3.567698479E0,6.348158360E0
8.053039220E-1,3.828516245E0,3.931407690E0,5.816951752E0
8.100589220E-1,3.481556892E0,4.208974838E0,5.067998409E0
8.148139740E-1,3.553341627E0,4.290330887E0,3.862015724E0
8.195689740E-1,4.106083870E0,4.266402721E0,2.605783939E0
8.243240270E-1,4.754538536E0,4.323830605E0,1.670190215E0
8.290790270E-1,5.331208706E0,4.460221291E0,1.055234790E0
