Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00205663,14.68594933,-10.62413216,9.485747337
10.00684642,13.66840076,-9.855438232,9.198010445
10.01162288,12.77348518,-9.135198593,8.688937187
10.01638606,11.65364456,-8.505886078,7.950153351
10.02117585,11.03569794,-8.184649467,7.363313675
10.02595231,10.53320503,-8.016553879,6.309873104
10.03071549,9.898509026,-7.944769382,5.142175674
10.03550528,9.209974289,-7.719843864,3.950550079
10.04028179,8.094919205,-7.587042332,2.996412039
10.04504497,7.627122402,-7.506284714,2.710469961
10.0498347,7.25743103,-7.50269556,3.048455954
10.05461122,6.555137634,-7.586444378,3.969094515
10.05937439,6.597609997,-7.702496052,5.432305813
10.06416419,6.854240417,-7.871190071,6.894918442
10.06894064,7.661818027,-8.318049431,8.052446365
10.07370382,8.808578491,-8.946763992,9.222537041
10.07849361,10.4668045,-9.502496719,10.24128056
10.08327007,11.77029419,-10.0965147,10.7054882
10.08803325,11.90429306,-10.66002464,10.41236782
10.09282304,11.76909828,-11.1128664,9.923633575
10.0975995,12.44327641,-11.89173031,9.22492981
10.10236267,14.09312725,-13.00977707,8.574081421
10.10715247,16.18445396,-14.17029572,8.357531548
10.11192898,18.46182251,-15.26321697,8.303094864
10.11669215,20.71466637,-16.42852211,8.105088234
10.12148189,23.75295258,-18.1465683,8.379066467
10.1262584,26.41137886,-19.85504341,8.908478737
10.13102158,28.50210762,-21.82074738,9.028717995
10.13581137,28.96990395,-23.6931324,8.197212219
10.14058783,28.10011292,-25.07259369,6.882954121
10.14535101,25.20778847,-26.32643318,5.502295494
10.1501408,20.42812538,-27.36790848,2.101496458
10.15491726,17.72842216,-28.04507828,-5.773880959
10.15968044,8.228319168,-27.91885567,-4.735994339
10.16447023,0.7776673436,-26.09732056,-3.815355778
10.16924669,-2.539382935,-22.26461601,-5.873781204
10.17400986,-7.483552933,-18.03769493,-3.696312666
10.17879965,-12.83390427,-13.53320694,-0.9320043921
10.18357616,-19.32024765,-8.83250618,0.4899304509
10.18833934,-22.31007957,-4.684548378,4.697110653
10.19312908,-25.46681213,-1.596012712,8.373682976
10.19790559,-28.48176765,0.8817551732,10.61456108
10.20266877,-32.63211823,4.605585575,10.77248764
10.20745856,-35.17389297,9.504889488,8.449654579
10.21223502,-36.0173645,14.33659649,4.572684288
10.2169982,-36.09632874,17.96650887,0.5736792088
10.22178799,-34.09712601,18.83869362,-0.4546363056
10.22656445,-29.5794754,17.43709755,0.8087740541
10.23132762,-25.00439835,15.05444336,0.09990034252
10.23611741,-19.26820374,11.66321564,-1.976471543
10.24089392,-13.96570969,8.121239662,-3.383451223
10.24565705,-11.62911797,4.696512699,-3.619144201
10.25044684,-10.666605,2.266003132,-3.037090063
10.25522335,-10.22094154,0.5126622319,-2.001596212
10.25998653,-10.02413273,-0.7160521746,-0.7872386575
10.26477632,-9.595218658,-1.553540111,-0.2464607358
10.26955278,-8.963513374,-2.057827473,0.0239282269
10.27431596,-7.975277901,-2.271985054,-0.2925225794
10.27910575,-7.049853802,-2.356930256,-0.7920243144
10.28388221,-6.280561447,-2.489732027,-0.9834501147
10.28864538,-5.819942951,-2.753540754,-0.5048855543
10.29343517,-5.361717224,-3.128615618,0.2937189937
10.29821163,-4.893322468,-3.629313707,1.141376376
10.30297481,-5.087141037,-4.174279213,1.939382792
10.3077646,-5.414957523,-4.869394302,3.179463148
10.31254111,-5.727818966,-5.689534187,4.491926193
10.31730424,-5.199603558,-6.598806858,4.806582451
10.32209403,-4.276572227,-7.801199913,4.908277512
10.32687054,-2.294118643,-9.309276581,4.697110653
10.33163372,1.783251047,-11.82772255,3.363112211
10.33642351,7.211369038,-15.79203129,-0.3720839322
10.34119997,14.04467297,-21.95833588,2.054238319
10.34596314,19.05584145,-28.70250511,15.91586018
10.35075294,26.35036087,-35.65604782,16.30110359
10.35552939,33.22434235,-42.62633896,8.577073097
10.36029257,32.35993576,-51.45705414,4.000201225
10.36508236,29.47120094,-55.29454041,3.465405464
10.36985882,28.89452934,-49.75216675,7.00139904
10.374622,30.02274513,-36.21895981,12.71605778
10.37941179,28.12643433,-23.75055885,13.44227982
10.3841883,26.95873642,-14.90728474,11.56989574
10.38895148,26.89173698,-8.478966713,9.410971642
10.39374122,28.32922554,-3.864408493,7.304090977
10.39851773,28.6378994,-1.039681435,6.349953175
10.4032809,25.97528648,0.3750749528,6.636493683
10.4080707,22.25564384,0.9577272534,7.850253105
10.41284715,17.27378654,-1.406381488,9.638887405
10.41761033,13.30469227,-4.51406002,10.89033413
10.42240012,10.94357395,-7.169494629,10.83709335
10.42717658,11.06441212,-8.773283958,10.24726295
10.43193976,10.44227791,-9.324232101,10.24606609
10.43672955,9.525827408,-9.065806389,9.857233047
10.44150601,9.101100922,-8.685946465,9.792028427
10.44626918,9.283554077,-8.492725372,9.445069313
10.45105898,8.950352669,-9.101100922,9.0921278
10.45583549,8.91146946,-8.3204422,8.58365345
10.46059866,8.403593063,-7.795217991,7.467401028
10.4653884,7.833503246,-7.791030407,6.011368752
10.47016491,7.779664516,-8.10449028,4.84546566
10.47492809,7.950153351,-7.993224144,3.952344894
10.47971788,7.186842918,-8.071588516,3.639483213
10.48449434,6.698108673,-8.184051514,4.505684853
10.48925752,7.842476368,-8.268398285,5.666203976
10.49404731,9.263215065,-8.424530029,6.906882763
10.49882377,10.42672443,-8.590831757,8.023732185
10.50358694,11.10329533,-8.873783112,8.764310837
10.50837674,11.1003046,-9.09571743,8.932407379
10.51315325,10.58046341,-9.520442963,8.575876236
10.51791637,11.22293663,-10.23230743,8.198408127
10.52270616,11.86421299,-11.62732315,7.327421188
10.52748267,12.52582836,-13.14736366,6.513861656
10.53224585,13.80000687,-14.41615868,6.522834301
10.53703559,15.34636784,-15.46780396,7.456035137
10.5418121,17.64347839,-16.71087456,9.071788788
10.54657528,20.25165367,-17.78884125,10.18205833
10.55136507,22.62174606,-18.85245132,9.008976936
10.55614153,25.39861679,-20.47777557,6.279963017
10.5609047,27.90868759,-22.049263,0.4319044948
10.5656945,31.3358078,-23.41197586,-4.014558315
10.57047096,33.29672623,-24.21177673,-4.341178417
10.57523413,30.11128044,-25.45903397,-0.7052844763
10.58002392,25.36511612,-26.33420944,2.39162612
10.58480038,20.16790581,-26.97907448,4.80897522
10.58956356,14.60578918,-27.11785889,3.888336897
10.59435335,7.204190731,-25.49971199,-1.219143152
10.59912986,-0.6299105883,-22.95434761,-5.11585474
10.60389304,-6.518647194,-20.46341896,-5.100899696
10.60868278,-11.07398319,-18.29372787,-1.2352947
10.61345929,-15.55633831,-15.61316776,3.263810158
10.61822247,-19.20599174,-11.90967655,7.455437183
10.62301226,-21.01257133,-7.188637257,9.481559753
10.62778872,-22.00200462,-2.522633314,9.637691498
10.63255189,-24.36013031,1.05224371,7.904689789
10.63734168,-26.22713089,3.736392498,6.544968128
10.64211814,-27.73221588,5.900700569,6.74835825
10.64688132,-27.96850777,8.631509781,7.625925541
10.65167111,-27.38764954,11.54297638,7.7838521
10.65644757,-26.71347237,14.03510094,7.269993305
10.66121075,-24.84647179,15.10469341,6.477370739
10.66600054,-22.77847481,14.87019634,4.546961308
10.67077705,-19.95614052,12.85902882,2.873780012
10.67554017,-17.03869247,10.16411209,1.616949916
10.68032997,-15.62333679,7.223931789,0.4259224236
10.68510648,-14.35813236,4.60678196,-0.2069791555
10.68986965,-13.53081417,2.61415863,-0.5503492355
10.69465945,-12.59222889,1.398006678,-1.034895778
10.6994359,-12.31346512,0.2039881349,-1.140778184
10.70419908,-11.62193966,-0.5126622319,-0.5437689424
10.70898887,-10.82154083,-1.040877819,0.1962114573
10.71376533,-9.606584549,-1.395015597,1.144965649
10.71852851,-8.344370842,-1.344766378,2.122433662
10.7233183,-7.724031448,-1.502094388,2.344367981
10.72809481,-6.800402164,-1.769492388,2.306680918
10.73285794,-6.253043652,-2.182254314,2.117049932
10.73764773,-5.837290764,-2.66799736,2.100300074
10.74242424,-5.40060091,-3.081357241,2.587837696
10.74718736,-4.990231514,-3.407977581,3.378067255
10.75197715,-5.223531723,-3.848257065,4.727619171
10.75675366,-5.625525951,-4.389034748,6.36251545
10.76151684,-5.369493961,-4.971687317,6.701697826
10.76630663,-4.922634602,-5.934798241,6.844070911
10.77108309,-3.123231649,-7.760521889,6.884150982
10.77584627,1.223330617,-11.05424213,5.572884083
10.78063606,6.660421848,-15.77528191,1.281356573
10.78541252,16.26521111,-23.00818634,2.023729801
10.7901757,25.95075989,-32.32165146,14.10269833
10.79496549,34.89154053,-42.26382828,14.52383518
10.79974195,38.61238098,-55.92505264,9.671789169
10.80450512,34.1730957,-67.80900574,2.451446772
10.80929491,25.88316345,-65.91986847,0.799800992
10.81407142,28.57688332,-50.91268539,3.424129248
10.81883455,31.62234688,-34.435112,8.388039589
10.82362434,31.33281517,-23.28874397,11.27976608
10.82840085,28.4129734,-15.25484276,11.14098263
10.83316403,26.70868683,-8.726025581,11.21695423
10.83795382,28.38485909,-3.562314749,11.1948204
10.84273028,29.98326492,0.6334998012,10.14736271
10.84749346,29.20798874,3.560520172,11.01296616
10.85228325,23.994627,3.990629911,12.19621658
10.85705971,19.05464554,1.709671736,11.51306629
10.86182288,16.20838165,-1.205982566,9.793225288
10.86661267,14.92523098,-4.022933006,9.292527199
10.87138918,14.73440361,-6.336194515,9.564710617
10.87615231,15.23928928,-7.866404533,9.601201057
10.8809421,13.73001671,-8.342576027,9.19621563
10.88571861,11.75952721,-8.303692818,9.091529846
10.89048179,9.944570541,-8.048258781,8.817551613
10.89527158,8.329415321,-7.853842258,8.571688652
10.90004804,6.981060028,-7.881359577,8.17986393
10.90481122,6.365506649,-7.858627796,7.905287743
10.90960101,6.003592014,-7.854440212,7.129415035
10.91437747,5.459823132,-7.995018482,5.96590519
10.91914064,5.374279499,-8.394619942,5.002793789
10.92393044,4.996811867,-8.578269005,4.649254322
10.92870689,4.721637249,-8.891729355,4.612763882
10.93347007,5.673382282,-9.019744873,5.318048477
10.93825986,6.754938126,-9.080761909,6.320641041
10.94303632,7.908876896,-9.034700394,7.615158081
10.9477995,8.972486496,-8.878568649,8.919246674
10.95258929,9.932008743,-8.949156761,10.11924744
10.9573658,9.87757206,-9.031708717,11.33839035
10.96212892,9.281160355,-9.361918449,12.4498558
10.96691872,9.528220177,-10.20479012,13.53380489
10.97169523,10.83769226,-11.50229836,13.77248859
10.9764584,13.4721899,-13.12881947,12.72862053
10.9812482,18.12623024,-15.16929913,11.03569794
10.98602465,22.84487534,-18.12443542,8.556135178
10.99078783,25.64089012,-20.24088669,6.345167637
10.99557762,27.16870689,-21.8991127,5.551348686
11.00035408,27.13042068,-22.98365974,6.540780544
11.00511726,27.60659218,-24.15913391,8.328817368
11.00990705,27.20100975,-24.27339172,4.17069006
11.01468351,27.51087952,-24.89672089,-1.569691658
11.01944668,27.30449867,-27.12802887,-1.451845169
11.02423648,22.17667961,-29.43470955,1.306481123
11.02901299,14.08355618,-29.29413033,-2.543570518
11.03377611,5.666802406,-27.34099007,-7.899903774
11.0385659,-3.54018116,-25.40639305,-9.388837814
11.04334241,-11.56570816,-23.51127625,-3.518047571
11.04810559,-17.80260086,-20.17149544,3.844667673
11.05289533,-19.43390656,-14.63151264,6.805785656
11.05767184,-19.38964081,-8.590831757,7.905287743
11.06243502,-19.72702789,-3.065205812,7.09172821
11.06722481,-22.31187439,1.356730461,5.2737813
11.07200127,-25.74318314,5.6566329,3.493520975
11.07676444,-28.39622498,9.479764938,4.249054909
11.08155424,-29.78884697,12.76152134,5.453841209
11.0863307,-28.96751022,15.22014618,6.479165554
11.09109387,-27.2195549,17.04527283,7.688138962
11.09588366,-26.66202545,17.8701973,8.390432358
11.10066012,-25.36571503,17.97548103,5.652445316
11.1054233,-23.54417801,15.95773411,2.822932482
11.11021309,-22.61157608,12.32782269,1.745564103
11.1149896,-21.40798569,8.481359482,1.967498422
11.11975278,-19.4016037,5.056034088,1.517647743
11.12454252,-17.05245018,2.595614433,0.03888336942
11.12931903,-15.25005722,0.7555337548,-1.836491346
11.1340822,-13.56072426,-0.6221339107,-3.355933666
11.138872,-11.60100269,-1.417747378,-3.111267567
11.14364846,-9.95055294,-2.285743713,-2.010569334
11.14841163,-7.900502205,-2.720041037,-0.7872386575
11.15320142,-7.458428383,-2.877967358,-0.09870393574
11.15797788,-7.374081135,-3.354737282,0.2081755698
11.16274106,-7.09172821,-3.73998189,0.2602194548
11.16753085,-7.339983463,-4.212564468,0.7513462901
11.17230731,-7.147361279,-4.887340069,1.436890006
11.17707049,-7.183851719,-5.513661385,2.219941139
11.18186028,-7.537989616,-6.151348591,3.119642496
11.18663679,-8.186444283,-7.208378315,4.572684288
11.19139991,-8.258229256,-8.475378036,4.622334957
11.1961897,-7.373483181,-10.17368412,3.788436413
11.20096622,-6.287141323,-12.82074356,2.651845694
11.20572939,-2.850450039,-16.74317741,2.320439816
11.21051913,4.471587181,-22.1120739,2.641077995
11.21529564,12.4426775,-28.67199707,9.597013474
11.22005882,21.69991112,-35.3641243,16.88136292
11.22484861,31.87658501,-43.79164505,10.86461163
11.22962507,39.7824707,-55.56313705,2.711068153
11.23438825,36.98286819,-62.40361786,-2.106880426
11.23917804,30.36491966,-59.08297729,1.313659668
11.2439545,36.29971695,-47.50410843,8.631509781
11.24871767,40.33162308,-32.46043396,14.60878086
11.25350747,36.00360489,-20.28694916,15.05444336
11.25828392,29.24747086,-11.8283205,13.19761372
11.2630471,26.45743942,-5.272584915,10.90887833
11.26783689,27.41935539,-1.173679471,8.606983185
11.2726134,29.89173889,2.542374134,7.098906517
11.27737658,29.69014359,4.550550461,8.759525299
11.28216637,25.02892494,3.964308977,11.77388382
11.28694283,19.89512444,0.9738788009,12.36850071
11.29170601,17.47239113,-3.232105255,11.60160065
11.2964958,16.84367752,-6.881159782,11.09910774
11.30127226,16.01037598,-9.08435154,10.60558796
11.30603544,14.67996693,-10.05105114,10.38305569
11.31082523,12.56052399,-9.814760208,10.12044334
11.31560168,10.73539925,-8.947361946,10.11027431
11.32036486,9.693922997,-8.246863365,9.664012909
11.32515465,8.648259163,-7.819744587,9.32303524
11.32993116,7.479365349,-7.788637638,8.753543854
11.33469429,7.24666357,-7.745566845,8.197810173
11.33948408,6.741179466,-7.804191113,7.07737112
11.34426059,6.186643124,-8.11824894,5.74636364
11.34902377,6.030511379,-8.51844883,4.883750916
11.35381356,5.313262463,-8.529216766,4.264009953
11.35859002,4.43748951,-8.651848793,4.138985157
11.3633532,4.248456478,-8.782855988,5.018347263
11.36814299,5.163711071,-9.01675415,6.040082455
11.37291944,6.940382004,-8.979066849,7.226324558
11.37768262,8.446065903,-9.058030128,8.355736732
11.38247241,9.347561836,-9.110074043,9.493523598
11.38724887,9.917651176,-9.21535778,10.81555843
11.39201205,9.760323524,-9.562915802,12.83629704
11.39680184,9.80219841,-10.38784122,14.6697979
11.4015783,11.39821053,-11.29890823,15.31047535
11.40634148,14.1439743,-13.28674603,14.46222019
11.41113127,17.18465424,-15.26321697,11.86182022
11.41590773,21.51685905,-17.63570023,7.881359577
11.4206709,25.71267319,-20.12423706,4.146761417
11.4254607,28.21676254,-21.96730804,1.87956214
11.43023721,28.22932434,-23.80858612,2.89830637
11.43500038,27.30210686,-25.714468,5.975476265
11.43979012,26.28037071,-27.27399063,6.884150982
11.44456663,25.8897419,-26.91985321,0.7004988194
11.44932981,25.01217461,-27.37927437,-0.7106683254
11.4541196,21.78425789,-29.15594482,1.174277663
11.45889606,14.55254936,-29.84148979,-2.382055044
