"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-3.024156996E1,5.324925610E1,1.042235580E1,2.246706297E1,0.000000000E0,0.000000000E0,4.250000000E1,6.233881474E0
1.914643004E1,5.324924140E1,1.042235050E1,2.246704234E1,0.000000000E0,0.000000000E0,6.409999847E1,9.585215569E0
2.311743004E1,5.324925610E1,1.042236210E1,2.246706097E1,0.000000000E0,0.000000000E0,6.000000000E1,8.862071037E0
4.268543004E1,5.324925670E1,1.042236150E1,2.246706207E1,0.000000000E0,0.000000000E0,6.409999847E1,9.585215569E0
4.419025378E1,5.324919251E1,1.042250139E1,4.427087100E0,0.000000000E0,0.000000000E0,6.443363190E1,7.559132385E1
4.518935503E1,5.324919254E1,1.042250139E1,4.373437243E0,0.000000000E0,0.000000000E0,6.893468475E1,7.738173676E1
4.619085080E1,5.324919254E1,1.042250139E1,4.373437243E0,0.000000000E0,0.000000000E0,8.911543274E1,9.569355774E1
4.719102377E1,5.324919253E1,1.042250139E1,4.397912326E0,0.000000000E0,0.000000000E0,1.115268784E2,1.142793961E2
4.819125819E1,5.324918697E1,1.042251001E1,6.118421165E0,0.000000000E0,0.000000000E0,1.106503067E2,1.089299469E2
4.919059688E1,5.324918019E1,1.042251244E1,8.884157170E0,0.000000000E0,0.000000000E0,9.994187164E1,9.128694916E1
5.019062328E1,5.324918019E1,1.042251244E1,8.884157170E0,0.000000000E0,0.000000000E0,9.315562439E1,8.114911652E1
5.119126521E1,5.324917934E1,1.042251143E1,8.698792431E0,0.000000000E0,0.000000000E0,8.890242767E1,7.489138031E1
5.219048723E1,5.324917934E1,1.042251143E1,8.698792431E0,0.000000000E0,0.000000000E0,8.720813751E1,7.004100800E1
5.319039509E1,5.324917934E1,1.042251143E1,8.698792431E0,0.000000000E0,0.000000000E0,8.636073303E1,6.612816620E1
5.419083873E1,5.324917934E1,1.042251143E1,8.698792431E0,0.000000000E0,0.000000000E0,8.619984436E1,6.294031525E1
