"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.096136000E-3,-4.788038254E0,6.953542709E0,7.621738434E0
8.872595000E-3,-5.092525005E0,6.971488953E0,7.743174076E0
1.363577200E-2,-5.182255745E0,7.024130821E0,7.863413334E0
1.842556300E-2,-5.048855782E0,7.087540627E0,7.982456207E0
2.320207400E-2,-4.867599487E0,7.140780926E0,7.981858253E0
2.797853200E-2,-4.682155609E0,7.184450150E0,8.004590034E0
3.275504300E-2,-4.606183529E0,7.170093060E0,7.951349735E0
3.753150100E-2,-4.554139614E0,7.098308563E0,7.879564762E0
4.230801100E-2,-4.597808838E0,6.977470875E0,7.731209755E0
4.708447000E-2,-4.593023300E0,6.866802692E0,7.634898663E0
5.186092800E-2,-4.607379913E0,6.785446644E0,7.587640762E0
5.663743800E-2,-4.899304390E0,6.799205780E0,7.281957626E0
6.141394900E-2,-4.958526611E0,6.789634228E0,7.056434155E0
6.619040700E-2,-4.753940582E0,6.732206345E0,6.944569588E0
7.096686500E-2,-4.540380955E0,6.563512325E0,6.780661106E0
7.574337600E-2,-4.534996986E0,6.506084919E0,6.809374809E0
8.051983400E-2,-4.429114819E0,6.515655994E0,7.053442955E0
8.529634500E-2,-4.677370071E0,6.553342819E0,6.930212498E0
9.007280300E-2,-5.337191105E0,6.629314899E0,6.439683914E0
9.484931300E-2,-5.743372440E0,6.648457527E0,6.148955822E0
9.962577200E-2,-5.777470112E0,6.653243542E0,6.023931026E0
1.044022820E-1,-5.739783287E0,6.667600155E0,5.932405472E0
1.091787400E-1,-5.587839127E0,6.711269379E0,5.893522263E0
1.139551990E-1,-5.398207664E0,6.947560310E0,5.949753284E0
1.187317090E-1,-4.840680122E0,7.049853802E0,6.076572895E0
1.235081680E-1,-4.511068821E0,7.007380962E0,6.271588326E0
1.282846780E-1,-4.972285271E0,6.784848690E0,6.284150600E0
1.330611360E-1,-5.266602516E0,6.475576401E0,6.208776474E0
1.378376470E-1,-5.380261898E0,6.166902065E0,6.157330990E0
1.426141050E-1,-5.732006550E0,6.354140759E0,6.240481377E0
1.473906150E-1,-5.845067501E0,6.396613121E0,6.475576401E0
1.521670740E-1,-5.530411243E0,6.036493301E0,6.421737671E0
1.569435840E-1,-5.100301266E0,5.565705299E0,6.453442574E0
1.617200430E-1,-4.737190723E0,4.987838745E0,6.360720634E0
1.664965530E-1,-4.289732933E0,4.797011375E0,5.566303730E0
1.712730110E-1,-4.166502476E0,4.850251675E0,5.541777134E0
1.760495220E-1,-4.202394962E0,4.893322468E0,5.930611134E0
1.808259800E-1,-4.067200184E0,4.816154003E0,6.232704639E0
1.856024380E-1,-4.221537113E0,4.950749874E0,6.713063717E0
1.903789490E-1,-4.494318962E0,5.161318302E0,7.299903870E0
1.951554070E-1,-3.805186272E0,4.657629490E0,7.627720356E0
1.999185840E-1,-2.695514679E0,3.830909014E0,8.308478355E0
2.047083760E-1,-1.791027784E0,3.506083488E0,8.145766258E0
2.094848860E-1,-8.045865893E-1,4.042674065E0,8.716454506E0
2.142480630E-1,-2.427518606E0,3.980460405E0,9.324232101E0
2.190378550E-1,-2.565704107E0,3.908077478E0,9.287142754E0
2.238143130E-1,-2.726621389E0,3.632902861E0,9.316454887E0
2.285774900E-1,-2.755335331E0,3.517449379E0,9.225527763E0
2.333672820E-1,-2.711068153E0,3.440280676E0,9.489934921E0
2.381437930E-1,-2.158325911E0,3.442075491E0,9.568898201E0
2.429202510E-1,-2.076371908E0,3.340978622E0,9.688538551E0
2.476967090E-1,-2.254637241E0,3.137588739E0,9.948160172E0
2.524732200E-1,-2.404786825E0,2.867199659E0,1.017488003E1
2.572363970E-1,-2.625524759E0,2.548954248E0,1.044945621E1
2.620261880E-1,-2.704487801E0,2.317448616E0,1.069053364E1
