"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.574134000E-3,-3.589233875E0,2.845066071E0,8.291130066E0
7.423405000E-3,-3.483949661E0,2.612962246E0,8.410771370E0
1.227278000E-2,-3.177668571E0,2.325823545E0,8.738588333E0
1.712205100E-2,-3.084348440E0,2.246860504E0,8.743373871E0
2.197132200E-2,-2.806781054E0,2.333002090E0,8.896514893E0
2.682059300E-2,-2.268395901E0,2.347358942E0,9.276973724E0
3.166986300E-2,-1.852044702E0,2.438286304E0,9.741181374E0
3.651913400E-2,-1.916650891E0,2.816352367E0,1.022692394E1
4.136840500E-2,-1.978864312E0,3.069991350E0,1.045184898E1
4.621767600E-2,-1.919043779E0,3.132204771E0,1.047099209E1
5.106694700E-2,-1.801795483E0,2.962314367E0,1.046381378E1
5.591621800E-2,-1.674975872E0,2.653640270E0,1.030110168E1
6.076548800E-2,-1.698904037E0,2.287538528E0,1.001156998E1
6.561475900E-2,-1.990828395E0,2.043470621E0,9.640682220E0
7.046403000E-2,-2.469393015E0,1.957328916E0,9.286544800E0
7.531330100E-2,-3.014956474E0,1.978864312E0,8.968298912E0
8.016257200E-2,-3.546163082E0,2.079362869E0,8.707481384E0
8.501184300E-2,-3.926621914E0,2.143969059E0,8.487341881E0
8.986106100E-2,-4.067798615E0,2.230110645E0,8.291130066E0
9.471033200E-2,-4.141975880E0,2.294716835E0,8.231309891E0
9.955960300E-2,-4.247260094E0,2.356930256E0,8.195417404E0
1.044088740E-1,-4.237689018E0,2.433500528E0,8.188239098E0
1.092581450E-1,-4.165904045E0,2.493321180E0,8.271987915E0
1.141074160E-1,-4.122833252E0,2.555534601E0,8.382058144E0
1.189566860E-1,-3.991228104E0,2.608176708E0,8.580661774E0
1.238059570E-1,-3.735196114E0,2.689532757E0,8.855836868E0
1.286552280E-1,-3.381058455E0,2.620140791E0,9.109476089E0
1.335044990E-1,-3.098705292E0,2.471785784E0,9.446864128E0
1.383537700E-1,-2.914458036E0,2.352144718E0,9.741181374E0
1.432030410E-1,-2.854637384E0,2.285145521E0,9.939785004E0
1.480523110E-1,-2.773281336E0,2.239681959E0,1.002831936E1
1.529015820E-1,-2.852244616E0,2.239681959E0,1.014317513E1
1.577508530E-1,-2.991028309E0,2.225325108E0,1.023170948E1
1.626000720E-1,-3.148954630E0,2.222932339E0,1.027717304E1
1.674493430E-1,-3.213560820E0,2.210968018E0,1.022213840E1
1.722986130E-1,-3.192025423E0,2.165504456E0,1.014796066E1
1.771478840E-1,-2.962314367E0,2.069791555E0,1.001635551E1
1.819971550E-1,-2.931207657E0,2.091326952E0,9.920642853E0
1.868464260E-1,-2.981456995E0,2.160718918E0,9.597611427E0
1.916956970E-1,-2.979064226E0,2.294716835E0,9.193224907E0
1.965449680E-1,-2.952743053E0,2.510071039E0,8.989834785E0
2.013942380E-1,-2.940778971E0,2.675175667E0,8.879764557E0
2.062435090E-1,-2.835494757E0,2.818745136E0,8.702695847E0
2.110927800E-1,-2.732603550E0,3.012563705E0,8.561519623E0
2.159420510E-1,-2.416750908E0,3.093919754E0,8.405985832E0
2.207913220E-1,-2.201396942E0,3.220739365E0,8.324629784E0
2.256405930E-1,-1.890329838E0,3.151347399E0,8.327022552E0
2.304898630E-1,-1.615155339E0,2.945564747E0,8.420342445E0
2.353390820E-1,-1.447657704E0,2.653640270E0,8.664410591E0
2.401884050E-1,-1.323230863E0,2.318645239E0,8.963513374E0
2.449440300E-1,-1.186840057E0,2.017149448E0,9.375079155E0
2.496982490E-1,-1.141376376E0,1.777867198E0,9.817750931E0
2.544524680E-1,-1.160519004E0,1.651047587E0,1.021496010E1
2.592066860E-1,-1.222732425E0,1.598405480E0,1.052363396E1
2.639609050E-1,-1.339980721E0,1.672582984E0,1.077488041E1
2.687151240E-1,-1.488335729E0,1.777867198E0,1.095434189E1
2.734693430E-1,-1.718046665E0,1.947757602E0,1.114098263E1
2.782235610E-1,-1.902294040E0,2.072184324E0,1.118644619E1
2.829777800E-1,-1.998006940E0,2.246860504E0,1.111226845E1
2.877319990E-1,-2.050648928E0,2.316252232E0,1.093759251E1
2.924862180E-1,-2.002792597E0,2.155933142E0,1.059063339E1
2.972404360E-1,-2.026720762E0,2.230110645E0,1.038006496E1
3.019946550E-1,-1.919043779E0,2.344966173E0,9.882357597E0
3.067488740E-1,-1.804188251E0,2.435893536E0,9.310472488E0
3.115030410E-1,-1.622333765E0,2.531606436E0,8.891729355E0
