Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00092661,5.364708424,-8.772088051,-6.965506554
10.00568125,5.422136307,-8.595019341,-6.798008919
10.01043583,5.319244862,-8.405985832,-6.702296257
10.01519042,4.632504463,-8.097311974,-6.431907177
10.01994505,3.790230989,-7.987242222,-7.049255371
10.02469964,2.868994236,-7.467999458,-7.097112179
10.02945422,2.177468538,-7.298109055,-7.633104324
10.0342088,1.42372942,-6.920042992,-7.757531166
10.03896338,0.8685946465,-6.635297298,-7.819744587
10.04371802,0.4522434771,-6.259624004,-7.652246952
10.0484726,-0.1986042857,-6.015556335,-7.52782011
10.05322719,-0.6005984545,-5.895915031,-7.601997375
10.05798182,-0.8087740541,-5.938985825,-7.774280548
10.06273641,-1.03848505,-6.049055576,-8.056633949
10.06749099,-1.15094769,-6.211767673,-8.319844246
10.07224557,-1.122233868,-6.429514408,-8.504091263
10.07700021,-1.028913736,-6.630511761,-8.508877754
10.08175479,-0.8709874153,-6.819544315,-8.377271652
10.08650938,-0.6939185858,-6.943971157,-8.185846329
10.09126396,-0.5335994363,-6.970292568,-7.932207108
10.09601854,-0.3852444589,-6.850651264,-7.659425259
10.10077318,-0.2679961324,-6.599404812,-7.350750923
10.10552776,-0.2249253243,-6.293123722,-7.037291527
10.11028234,-0.2177468538,-5.922235966,-6.845865726
10.11503693,-0.2560320199,-5.508277893,-6.726224422
10.11979156,-0.2153540403,-5.106283665,-6.728617191
10.12454614,-0.09571290761,-4.721039295,-6.845865726
10.12930073,0.02153540403,-4.443471432,-7.056434155
10.13405531,0.06221338734,-4.321437836,-7.4010005
10.13880995,0.2081755698,-4.292723656,-7.819744587
10.14356453,0.4833501875,-4.438685894,-8.142775536
10.14831911,0.7226324677,-4.584648132,-8.343772888
10.1530737,0.9499505758,-4.759324074,-8.441878319
10.15782833,1.24666059,-4.945964336,-8.530412674
10.16258292,1.442872047,-4.97467804,-8.561519623
10.1673375,1.452443361,-4.926821709,-8.61655426
10.17209208,1.205982566,-4.800002098,-8.690732002
10.17684672,0.890130043,-4.675575256,-8.731410027
10.1816013,0.5838487148,-4.546362877,-8.72423172
10.18635589,0.2799602449,-4.572684288,-8.858229637
10.19111047,0.0765703246,-4.713860512,-9.025727272
10.19586505,-0.03349951655,-4.917250633,-9.224330902
10.20061969,-0.1220339537,-5.158925533,-9.238688469
10.20537427,-0.1435693651,-5.367101192,-9.111868858
10.21012885,0.01914258115,-5.551348686,-8.77448082
10.21488344,0.3206382394,-5.687739372,-8.523234367
10.21963807,0.5694918036,-5.577669621,-8.36052227
10.22439266,0.6604190469,-5.489135265,-8.499305725
10.22914724,0.4785645306,-5.230710506,-8.738588333
10.23390182,0.2536391914,-4.957928658,-8.851051331
10.23865641,-0.04785645381,-4.639683247,-8.879764557
10.24341104,-0.2177468538,-4.278367043,-8.721838951
10.24816562,-0.1866401732,-4.079762459,-8.738588333
10.25292021,-0.2919243574,-3.687339783,-9.05922699
10.25767479,-0.5407779217,-3.536591768,-9.198010445
10.26242943,-0.4498506486,-3.40498662,-9.518648148
10.26718401,-0.708275497,-2.849851847,-9.51386261
10.27193859,-0.3469592929,-2.694318295,-9.552147865
10.27669318,-0.390030086,-2.249253273,-9.243474007
10.28144776,-0.1555334777,-2.06261301,-9.052047729
10.2862024,0.2991028428,-2.210968018,-9.092725754
10.29095698,0.1148554832,-2.129612207,-8.908478737
10.29571156,0.5024927258,-2.517249346,-8.855836868
10.30046615,0.3206382394,-2.665604353,-8.492127419
10.30522078,0.2009970993,-2.907279491,-8.08295536
10.30997536,0.1507478207,-3.122633457,-8.286344528
10.31472995,-0.9786644578,-2.940778971,-7.762316704
10.31948453,-1.718046665,-2.845066071,-7.587640762
10.32423911,-2.330609322,-2.809173822,-7.601997375
10.32899375,-2.991028309,-2.368894339,-7.422535896
10.33374833,-2.605783939,-2.289931297,-7.561319351
10.33850292,-2.167897224,-2.256431818,-7.238288403
10.3432575,-2.641676188,-1.966900229,-6.649653912
10.34801208,-1.473978758,-2.435893536,-6.742974281
10.35276672,-0.8733802438,-2.689532757,-6.869793892
10.3575213,-0.5551348329,-2.567498684,-6.738188744
10.36227588,0.4737788737,-2.644068956,-6.113661766
10.36703047,0.7441678643,-2.368894339,-5.438885689
10.37178505,0.6197410822,-1.811366796,-5.18046093
10.37653969,0.5527420044,-1.165304661,-5.316852093
10.38129427,0.5288137794,-0.5216353536,-5.635097504
10.38604885,0.6029912829,-0.04307080805,-5.831308842
10.39080344,0.70348984,0.1986042857,-5.91266489
10.39555802,0.679561615,0.3062812984,-5.862415314
10.40031266,0.5168496966,0.2608176768,-5.613562107
10.40506724,0.3349951804,0.2392822653,-5.257031441
10.40982182,0.1698904037,0.2177468538,-4.917250633
10.41457641,0.08374879509,0.2057827413,-4.687539577
10.41933099,-0.07178468257,0.2177468538,-4.615755081
10.42408562,-0.2105683982,0.2632105052,-4.697110653
10.42884021,-0.2249253243,0.2225325108,-5.000999451
10.43359479,-0.2321037948,0.1268195957,-5.393422127
10.43834938,-0.2368894368,-0.01196411345,-5.560919762
10.44310396,-0.3326023519,-0.09571290761,-5.443671703
10.44785854,-0.4283152521,-0.1507478207,-5.173282623
10.45261313,-0.4977070987,-0.1268195957,-4.960321426
10.45736776,-0.5910272002,-0.09571290761,-4.840680122
10.46212234,-0.7441678643,-0.06699903309,-4.699503899
10.46687693,-1.012163997,-0.08853443712,-4.680361271
10.47163151,-1.337587833,-0.0765703246,-4.93878603
10.47638609,-1.555334687,-0.04546362907,-5.343173027
10.48114073,-1.607976794,-0.04785645381,-5.759523869
10.48589531,-1.521835208,-0.01914258115,-6.089733601
10.4906499,-1.430907965,-0.009571290575,-6.403193474
10.49540448,-1.304088354,-0.007178467698,-6.668796539
10.50015906,-1.174875975,-0.01196411345,-6.934400082
10.50491364,-0.9547362328,-0.03110669367,-7.238288403
10.50966828,-0.6580262184,-0.1603191197,-7.57806921
10.51442286,-0.4139583111,-0.3230310678,-7.666603565
10.51917745,-0.1172483116,-0.5790630579,-7.544569969
10.52393203,0.1627119333,-0.9020941257,-7.379465103
10.52868661,0.2033899277,-1.222732425,-7.432106972
10.5334412,0.1842473447,-1.600798368,-7.645068169
10.53819583,0.2608176768,-1.959721804,-7.690532207
10.54295042,0.342173636,-2.292324066,-7.487142086
10.547705,0.4426721931,-2.593819857,-7.197610378
10.55245958,0.4929214716,-2.868994236,-7.020541668
10.55721417,0.4642075896,-3.101098061,-6.905686378
10.56196875,0.4666004181,-3.242274761,-6.73100996
10.56672333,0.5096712112,-3.302095175,-6.699903488
10.57147797,0.5766702294,-3.412165165,-6.752545357
10.57623255,0.5599204898,-3.426522017,-6.752545357
