"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.379689300E-2,4.833467677E-2,-5.549706817E-1,1.314122826E-1
1.845668500E-2,-4.199695308E-3,-4.572322965E-1,1.130863428E-1
2.321100700E-2,-5.062541738E-2,-3.350593448E-1,8.315397054E-2
2.796527800E-2,-7.139482349E-2,-1.750127524E-1,3.000873141E-2
3.271960100E-2,-5.856665969E-2,-2.138026757E-3,-5.490147322E-2
3.747387200E-2,-3.474293277E-2,8.277218044E-2,-1.398116797E-1
4.222819500E-2,-2.130390890E-2,1.029307172E-1,-2.045633495E-1
4.698246600E-2,-9.086613543E-3,1.267544478E-1,-2.497673333E-1
5.173678900E-2,-6.643154658E-3,1.420260668E-1,-2.748127878E-1
5.649106000E-2,-1.886045001E-2,1.255327165E-1,-2.711476088E-1
6.124533000E-2,-5.062541738E-2,8.460476995E-2,-2.461021543E-1
6.599965300E-2,-9.888373315E-2,5.833758786E-2,-2.125045806E-1
7.075392400E-2,-1.453094631E-1,4.856374860E-2,-1.825722158E-1
7.550824700E-2,-1.813504845E-1,3.329212964E-2,-1.581376195E-1
8.026251800E-2,-2.021198869E-1,2.138026757E-3,-1.410334110E-1
8.501678900E-2,-2.094502598E-1,-4.917461425E-2,-1.275943816E-1
8.977111200E-2,-2.033416182E-1,-1.175914705E-1,-1.190422773E-1
9.452538200E-2,-1.862373948E-1,-1.921169758E-1,-1.123227626E-1
9.927970500E-2,-1.605810821E-1,-2.605338395E-1,-1.074358448E-1
1.040339760E-1,-1.324812919E-1,-3.246746361E-1,-9.766200930E-2
1.087882470E-1,-1.043815166E-1,-3.930914998E-1,-8.544471115E-2
1.135425700E-1,-7.994692773E-2,-4.633409381E-1,-7.322741300E-2
1.182968410E-1,-6.162098423E-2,-5.287034512E-1,-6.467530876E-2
1.230511640E-1,-5.001455545E-2,-5.849030018E-1,-5.917752534E-2
1.278054350E-1,-4.451677203E-2,-6.270527244E-1,-5.306887627E-2
1.325597050E-1,-4.024071619E-2,-6.575959325E-1,-4.818195850E-2
1.373140280E-1,-3.474293277E-2,-6.734784245E-1,-4.146244749E-2
1.420682990E-1,-2.802342176E-2,-6.765327454E-1,-3.291033953E-2
1.468226220E-1,-1.519526169E-2,-6.698132157E-1,-1.763872057E-2
1.515768930E-1,8.017600514E-3,-6.502655745E-1,4.352411721E-3
1.563311640E-1,4.039343446E-2,-6.203331947E-1,2.328922041E-2
1.610854870E-1,7.948877662E-2,-5.818486810E-1,3.917170316E-2
1.658397570E-1,1.198058575E-1,-5.372555852E-1,4.650207981E-2
1.705940800E-1,1.625663936E-1,-4.908298552E-1,5.016727000E-2
1.753483510E-1,2.053269297E-1,-4.468475878E-1,5.016727000E-2
1.801026220E-1,2.456440032E-1,-4.083631039E-1,4.528035223E-2
1.848569450E-1,2.798524201E-1,-3.698786199E-1,3.123046272E-2
1.896112160E-1,3.061196208E-1,-3.252854943E-1,6.185005885E-3
1.943655390E-1,3.238346875E-1,-2.788597643E-1,-2.863428742E-2
1.991198100E-1,3.360520005E-1,-2.373209596E-1,-6.772962958E-2
2.038740800E-1,3.415497839E-1,-2.055560052E-1,-1.111010313E-1
2.086284030E-1,3.391063213E-1,-1.792888194E-1,-1.520289779E-1
2.133826740E-1,3.244455457E-1,-1.701258421E-1,-1.813504845E-1
2.181369450E-1,2.987892330E-1,-1.798996776E-1,-1.978438348E-1
2.228912680E-1,2.651916742E-1,-1.927278340E-1,-2.045633495E-1
2.276455390E-1,2.205985487E-1,-2.012799382E-1,-2.063959390E-1
2.323998620E-1,1.662315726E-1,-2.067777216E-1,-2.027307451E-1
2.371541320E-1,1.039233729E-1,-2.153298408E-1,-1.917351782E-1
2.419084030E-1,3.917170316E-2,-2.336557806E-1,-1.740200967E-1
2.466627260E-1,-2.313650399E-2,-2.721402645E-1,-1.556941569E-1
2.514169970E-1,-7.872519642E-2,-3.338375986E-1,-1.459203213E-1
2.561712680E-1,-1.214857325E-1,-4.034761786E-1,-1.471420527E-1
2.609255910E-1,-1.483637840E-1,-4.682278633E-1,-1.624136716E-1
2.656798620E-1,-1.581376195E-1,-5.268708467E-1,-1.886808574E-1
2.704341850E-1,-1.508072466E-1,-5.842921734E-1,-2.228892893E-1
2.751884550E-1,-1.288161129E-1,-6.392700076E-1,-2.638172209E-1
2.799427260E-1,-9.460768104E-2,-6.795870662E-1,-3.102429509E-1
2.846970490E-1,-5.551233515E-2,-7.089085579E-1,-3.646099269E-1
2.894513200E-1,-1.641699113E-2,-7.180715203E-1,-4.330267608E-1
2.942055910E-1,9.239329956E-3,-7.021890879E-1,-5.124391913E-1
2.989599140E-1,1.351538301E-2,-6.765327454E-1,-6.040689349E-1
3.037141850E-1,-7.254019380E-3,-6.466003656E-1,-6.981421113E-1
3.084685070E-1,-5.123628303E-2,-6.038398147E-1,-7.867174745E-1
3.132227780E-1,-1.202640012E-1,-5.482511520E-1,-8.612430096E-1
3.179770490E-1,-2.143371850E-1,-5.195404887E-1,-9.168316722E-1
3.227313720E-1,-3.267363012E-1,-5.739074349E-1,-9.424880147E-1
3.274856430E-1,-4.611265361E-1,-5.995637774E-1,-9.455423355E-1
3.322399140E-1,-6.150645018E-1,-6.209440231E-1,-9.314924479E-1
3.369942370E-1,-7.818305492E-1,-6.716458201E-1,-9.015600681E-1
3.417485070E-1,-9.522618055E-1,-7.565560341E-1,-8.545234799E-1
