"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.230449700E-2,-6.056250095E0,-4.462500095E0,-4.601250076E1
5.230449700E-2,-5.006250381E0,-4.593750000E0,-4.616250229E1
6.230449700E-2,-4.706250191E0,-4.200000286E0,-4.528125000E1
7.230449700E-2,-4.631250381E0,-4.368750095E0,-4.531875229E1
8.230449700E-2,-4.556250095E0,-4.387500286E0,-4.513125229E1
9.230449700E-2,-4.425000191E0,-4.425000191E0,-4.513125229E1
1.023044970E-1,-4.612500191E0,-4.462500095E0,-4.537500000E1
1.123044970E-1,-4.443750381E0,-4.406250000E0,-4.505625153E1
1.223044970E-1,-4.275000095E0,-4.350000381E0,-4.486875153E1
1.323044970E-1,-4.293750286E0,-4.425000191E0,-4.464375305E1
1.423044970E-1,-4.593750000E0,-4.368750095E0,-4.477500153E1
1.523044970E-1,-4.856250286E0,-4.143750191E0,-4.464375305E1
1.623044970E-1,-5.156250000E0,-4.068750381E0,-4.462500000E1
1.723044970E-1,-5.512500286E0,-3.975000143E0,-4.453125000E1
1.823044970E-1,-5.775000095E0,-3.862500191E0,-4.419375229E1
1.923044970E-1,-6.300000191E0,-3.937500238E0,-4.441875076E1
2.023044970E-1,-6.656250477E0,-3.900000095E0,-4.438125229E1
2.123044970E-1,-7.125000477E0,-3.618750095E0,-4.445625305E1
2.223044970E-1,-7.350000381E0,-3.806250095E0,-4.445625305E1
2.323044970E-1,-7.725000381E0,-4.200000286E0,-4.445625305E1
2.423044970E-1,-7.950000286E0,-4.406250000E0,-4.449375153E1
2.523044970E-1,-8.250000000E0,-4.650000095E0,-4.441875076E1
2.623044970E-1,-8.250000000E0,-4.725000381E0,-4.451250076E1
2.723044970E-1,-8.362500191E0,-4.706250191E0,-4.449375153E1
2.823044970E-1,-8.550000191E0,-5.100000381E0,-4.449375153E1
2.923044970E-1,-8.643750191E0,-5.250000000E0,-4.425000000E1
3.023044970E-1,-8.625000000E0,-5.343750000E0,-4.413750076E1
3.123044970E-1,-8.512500763E0,-5.268750191E0,-4.400625229E1
3.223044970E-1,-8.756250381E0,-4.987500191E0,-4.374375153E1
3.323044970E-1,-8.756250381E0,-4.837500095E0,-4.378125000E1
3.423044970E-1,-9.187500000E0,-5.062500000E0,-4.353750229E1
3.523044970E-1,-9.431250572E0,-5.268750191E0,-4.366875076E1
3.623044970E-1,-9.731250763E0,-4.950000286E0,-4.365000153E1
3.723044970E-1,-1.014375019E1,-4.856250286E0,-4.380000305E1
3.823044970E-1,-1.070625019E1,-4.556250095E0,-4.374375153E1
3.923044970E-1,-1.141875076E1,-4.012500286E0,-4.363125229E1
4.023044970E-1,-1.201875019E1,-3.825000048E0,-4.353750229E1
4.123044970E-1,-1.286250019E1,-3.543750048E0,-4.336875153E1
4.223044970E-1,-1.348125076E1,-2.831250191E0,-4.321875000E1
4.323044970E-1,-1.421250057E1,-2.156250000E0,-4.256250000E1
4.423044970E-1,-1.490625095E1,-1.818750024E0,-4.207500076E1
4.523044970E-1,-1.552500057E1,-1.350000024E0,-4.173750305E1
4.623044970E-1,-1.612500000E1,-1.068750024E0,-4.156875229E1
4.723044970E-1,-1.661250114E1,-1.218750000E0,-4.123125076E1
4.823044970E-1,-1.693125153E1,-1.143750072E0,-4.102500153E1
4.923044970E-1,-1.715625000E1,-1.012500048E0,-4.089375305E1
5.023044970E-1,-1.743750000E1,-1.143750072E0,-4.076250076E1
5.123044970E-1,-1.788750076E1,-1.162500024E0,-4.055625153E1
5.223044970E-1,-1.820625114E1,-9.562500119E-1,-4.050000000E1
5.323044970E-1,-1.852500153E1,-9.187500477E-1,-4.020000076E1
5.423044970E-1,-1.897500038E1,-9.375000596E-1,-3.991875076E1
5.523044970E-1,-1.925625038E1,-6.562500000E-1,-3.988125229E1
5.623044970E-1,-1.948125076E1,-4.687500298E-1,-3.984375000E1
5.723044970E-1,-1.970625114E1,-9.375000000E-2,-3.961875153E1
5.823044970E-1,-1.968750000E1,3.750000000E-1,-3.975000000E1
5.923044970E-1,-1.942500114E1,5.437500477E-1,-4.006875229E1
6.023044970E-1,-1.921875000E1,5.625000000E-1,-4.018125153E1
6.123044970E-1,-1.893750000E1,7.687500119E-1,-4.059375000E1
6.223044970E-1,-1.831875038E1,1.143750072E0,-4.091250229E1
6.323044970E-1,-1.777500153E1,1.125000000E0,-4.125000000E1
6.423044970E-1,-1.715625000E1,1.275000095E0,-4.149375153E1
6.523044970E-1,-1.657500076E1,1.068750024E0,-4.177500153E1
6.623044970E-1,-1.595625019E1,7.312500477E-1,-4.188750076E1
6.723044970E-1,-1.563750076E1,6.000000238E-1,-4.209375000E1
6.823044970E-1,-1.524375057E1,3.937500119E-1,-4.233750153E1
6.923044970E-1,-1.470000076E1,1.875000000E-1,-4.239375305E1
7.023044970E-1,-1.430625057E1,-1.312500089E-1,-4.256250000E1
7.123044970E-1,-1.396875095E1,-1.125000045E-1,-4.258125305E1
7.223044970E-1,-1.383750057E1,-2.062500119E-1,-4.275000000E1
7.323044970E-1,-1.368750095E1,-3.000000119E-1,-4.290000153E1
7.423044970E-1,-1.342500019E1,-1.875000000E-1,-4.301250076E1
7.523044970E-1,-1.316250038E1,-3.562500179E-1,-4.316250229E1
7.623044970E-1,-1.275000095E1,-3.562500179E-1,-4.340625000E1
7.723044970E-1,-1.260000038E1,-6.000000238E-1,-4.359375000E1
7.823044970E-1,-1.245000076E1,-5.062500238E-1,-4.365000153E1
7.923044970E-1,-1.228125095E1,-7.125000358E-1,-4.380000305E1
8.023044970E-1,-1.213125038E1,-1.087500095E0,-4.395000076E1
8.123044970E-1,-1.207500076E1,-1.518750072E0,-4.419375229E1
8.223044970E-1,-1.218750095E1,-2.006250143E0,-4.411875153E1
8.323044970E-1,-1.228125095E1,-2.381250143E0,-4.415625000E1
8.423044970E-1,-1.263750076E1,-2.587500095E0,-4.410000229E1
8.523044970E-1,-1.291875076E1,-2.943750143E0,-4.396875000E1
8.623044970E-1,-1.327500057E1,-3.487500191E0,-4.396875000E1
8.723044970E-1,-1.361250019E1,-3.843750238E0,-4.393125153E1
8.823044970E-1,-1.363125038E1,-4.125000000E0,-4.366875076E1
8.923044970E-1,-1.398750019E1,-4.406250000E0,-4.348125076E1
9.023044970E-1,-1.434375095E1,-4.687500000E0,-4.338750076E1
9.123044970E-1,-1.456875038E1,-4.762500286E0,-4.320000076E1
9.223044970E-1,-1.449375057E1,-5.287500381E0,-4.321875000E1
9.323044970E-1,-1.458750057E1,-5.437500000E0,-4.342500305E1
9.423044970E-1,-1.466250038E1,-5.475000381E0,-4.335000229E1
9.523044970E-1,-1.458750057E1,-5.550000191E0,-4.342500305E1
9.623044970E-1,-1.475625038E1,-5.812500000E0,-4.372500229E1
9.723044970E-1,-1.441875076E1,-5.718750000E0,-4.381875229E1
9.823044970E-1,-1.411875057E1,-5.681250095E0,-4.408125305E1
9.923044970E-1,-1.408125019E1,-6.000000000E0,-4.426875305E1
1.002304497E0,-1.421250057E1,-5.962500095E0,-4.440000153E1
1.012304497E0,-1.440000057E1,-6.112500191E0,-4.419375229E1
1.022304497E0,-1.426875019E1,-6.206250191E0,-4.406250000E1
1.032304497E0,-1.451250076E1,-6.393750191E0,-4.410000229E1
1.042304497E0,-1.473750019E1,-6.356250286E0,-4.398750305E1
1.052304497E0,-1.501875019E1,-6.225000381E0,-4.374375153E1
1.062304497E0,-1.530000019E1,-5.943750381E0,-4.344375229E1
1.072304497E0,-1.520625019E1,-5.493750095E0,-4.346250153E1
1.082304497E0,-1.533750057E1,-5.081250191E0,-4.331250000E1
1.092304497E0,-1.545000076E1,-4.800000191E0,-4.336875153E1
1.102304497E0,-1.545000076E1,-4.500000000E0,-4.348125076E1
1.112304497E0,-1.550625038E1,-4.143750191E0,-4.333125305E1
1.122304497E0,-1.569375038E1,-3.881250143E0,-4.323750305E1
1.132304497E0,-1.573125076E1,-3.600000143E0,-4.327500153E1
1.142304497E0,-1.605000114E1,-3.468750238E0,-4.336875153E1
1.152304497E0,-1.633125114E1,-3.225000143E0,-4.331250000E1
1.162304497E0,-1.650000000E1,-3.187500238E0,-4.306875229E1
1.172304497E0,-1.651875114E1,-3.075000048E0,-4.293750000E1
1.182304497E0,-1.717500114E1,-3.281250238E0,-4.301250076E1
1.192304497E0,-1.766250038E1,-3.412500143E0,-4.305000305E1
1.202304497E0,-1.815000153E1,-3.506250143E0,-4.297500229E1
1.212304497E0,-1.905000114E1,-3.750000238E0,-4.282500076E1
1.222304497E0,-1.950000000E1,-3.918750048E0,-4.265625000E1
1.232304497E0,-2.021250153E1,-4.237500191E0,-4.239375305E1
