"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.160450000E-4,-9.678967595E-1,4.626522541E0,7.982456207E0
5.492764000E-3,-9.996016622E-1,4.636094093E0,8.256434441E0
1.026948300E-2,-1.074975610E0,4.616353035E0,8.338388443E0
1.504620200E-2,-1.203589797E0,4.563112736E0,8.319844246E0
1.982292000E-2,-1.341775298E0,4.495515347E0,8.310871124E0
2.459963900E-2,-1.412363529E0,4.442275047E0,8.416753769E0
2.937635800E-2,-1.463809252E0,4.408177376E0,8.575278282E0
3.415307700E-2,-1.411167145E0,4.393820763E0,8.589634895E0
3.892979500E-2,-1.282552958E0,4.360321045E0,8.593822479E0
4.370651400E-2,-1.053440213E0,4.409373760E0,8.732007980E0
4.848323300E-2,-8.662018180E-1,4.375874519E0,8.918049812E0
5.325995200E-2,-6.317051649E-1,4.356731892E0,9.156734467E0
5.803667000E-2,-3.840480447E-1,4.381856441E0,9.314062119E0
6.281338900E-2,-3.218346536E-1,4.353142738E0,9.370891571E0
6.759010800E-2,-3.780659735E-1,4.314259052E0,9.400203705E0
7.236682700E-2,-4.971089065E-1,4.284946918E0,9.381659508E0
7.714354500E-2,-6.400800347E-1,4.226323128E0,9.276973724E0
8.192026400E-2,-7.932206988E-1,4.158725739E0,9.105288506E0
8.669698300E-2,-9.278169870E-1,4.134199142E0,8.913862228E0
9.147370200E-2,-1.047458172E0,4.115056515E0,8.732007980E0
9.625042000E-2,-1.162313581E0,4.085744858E0,8.602795601E0
1.010271390E-1,-1.244267821E0,4.061218262E0,8.502297401E0
1.058038580E-1,-1.292124271E0,4.070789337E0,8.444869041E0
1.105805770E-1,-1.296909928E0,4.070789337E0,8.397012711E0
1.153572950E-1,-1.264606714E0,4.109673023E0,8.320442200E0
1.201340140E-1,-1.255633712E0,4.167698860E0,8.286344528E0
1.249107330E-1,-1.207179070E0,4.234697819E0,8.334200859E0
1.296874520E-1,-1.159322619E0,4.283750534E0,8.372486115E0
1.344641700E-1,-1.073779106E0,4.365705013E0,8.434102058E0
1.392408890E-1,-9.212366939E-1,4.332803726E0,8.438288689E0
1.440176600E-1,-3.272185028E-1,4.010969162E0,8.248059273E0
1.487943270E-1,-7.447660565E-1,4.163511276E0,8.452047348E0
1.535710980E-1,-1.039681435E0,4.298706055E0,8.505886078E0
1.583478160E-1,-1.155733347E0,4.452444553E0,8.338388443E0
1.631245350E-1,-1.170688510E0,4.476373196E0,8.204390526E0
1.679012540E-1,-9.750752449E-1,4.515256405E0,8.352147102E0
1.726779730E-1,-7.501499057E-1,4.487140656E0,8.519046783E0
1.774546910E-1,-5.593222976E-1,4.453640938E0,8.638090134E0
1.822314100E-1,-4.199403822E-1,4.468596458E0,8.877371788E0
1.870081290E-1,-2.997010350E-1,4.511667252E0,9.135796547E0
1.917848480E-1,-1.890329868E-1,4.588835716E0,9.394221306E0
1.965615660E-1,-1.214357466E-1,4.704887390E0,9.667003632E0
2.013382850E-1,-1.968096644E-1,4.661218643E0,9.735198975E0
2.061150040E-1,-2.727817893E-1,4.569693089E0,9.663414001E0
2.108917230E-1,-2.775674164E-1,4.444069862E0,9.605986595E0
2.156684410E-1,-3.732803464E-1,4.309473515E0,9.481559753E0
2.204451600E-1,-5.443671346E-1,4.221537113E0,9.367302895E0
2.252218790E-1,-6.921239495E-1,4.192225456E0,9.324830055E0
2.299985980E-1,-5.539384484E-1,4.245465755E0,9.367302895E0
2.347753160E-1,-1.196411345E-2,4.131208420E0,9.268598557E0
2.395520350E-1,-2.446661144E-1,3.899702787E0,9.265607834E0
2.443287540E-1,-9.236295223E-1,4.028316975E0,9.489336014E0
2.491054730E-1,-1.205384374E0,4.162314892E0,9.404391289E0
2.538821910E-1,-1.336391449E0,4.374678135E0,9.117252350E0
2.586589100E-1,-1.313659668E0,4.470989227E0,9.030512810E0
2.634356290E-1,-1.161117196E0,4.432703972E0,8.948558807E0
2.682123480E-1,-1.038485050E0,4.302893162E0,8.779864311E0
2.729890660E-1,-1.063011408E0,4.191627026E0,8.597412109E0
2.777657850E-1,-1.106680512E0,4.134199142E0,8.372486115E0
2.825425040E-1,-1.136590719E0,4.129413605E0,8.108677864E0
2.873192230E-1,-1.166501045E0,4.100699902E0,7.907082558E0
2.920959410E-1,-1.185045362E0,4.042674065E0,7.912466049E0
2.968726600E-1,-1.188634634E0,3.960719585E0,8.133204460E0
3.016493790E-1,-1.158126116E0,3.902693748E0,8.410771370E0
3.064260980E-1,-1.142572761E0,3.878765583E0,8.622536659E0
3.112028160E-1,-1.146162033E0,3.883551121E0,8.766703606E0
3.159795350E-1,-1.140778184E0,3.912265062E0,8.876773834E0
3.207562540E-1,-1.073779106E0,3.921836376E0,8.977272034E0
3.255329730E-1,-9.158528447E-1,3.936791420E0,9.125029564E0
3.303096910E-1,-7.202396393E-1,3.966103554E0,9.277571678E0
3.350864100E-1,-5.150550604E-1,3.966701746E0,9.420542717E0
3.398631290E-1,-4.289134443E-1,4.004986763E0,9.515657425E0
3.446398480E-1,-4.815555513E-1,4.106083870E0,9.496515274E0
3.494165660E-1,-1.036092162E0,4.688137531E0,9.360123634E0
3.541933370E-1,-1.253839016E0,5.347360611E0,9.192625999E0
3.589700560E-1,-1.150349498E0,5.343173027E0,8.866005898E0
3.637467750E-1,-1.158724308E0,4.996213913E0,8.900103569E0
3.685234930E-1,-9.924231768E-1,4.645066738E0,8.645268440E0
3.733002120E-1,-9.068797827E-1,4.433900356E0,8.586644173E0
3.780769310E-1,-6.969096065E-1,4.299304008E0,8.561519623E0
3.828536500E-1,-4.552344978E-1,4.212564468E0,8.392825127E0
3.876303680E-1,-2.374876440E-1,4.155734539E0,8.228319168E0
3.924070870E-1,-2.392822690E-2,4.112663746E0,8.088338852E0
