"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-2.195188382E1,5.323539360E1,1.040502810E1,2.225144706E1,0.000000000E0,0.000000000E0,1.819099998E1,1.456542611E0
1.267909921E0,5.323528992E1,1.040487552E1,2.298944650E1,0.000000000E0,0.000000000E0,9.643286705E0,1.076370811E1
2.267165541E0,5.323528891E1,1.040488299E1,2.330609301E1,0.000000000E0,0.000000000E0,5.459525108E0,6.786648750E0
3.266288766E0,5.323528883E1,1.040488656E1,2.324725388E1,0.000000000E0,0.000000000E0,4.727353096E0,6.077379227E0
4.267992667E0,5.323528805E1,1.040489042E1,2.367376515E1,0.000000000E0,0.000000000E0,4.303556919E0,5.565190315E0
5.267519173E0,5.323530138E1,1.040489947E1,2.362471036E1,2.210000038E0,5.099999905E0,3.991872787E0,5.061465263E0
6.267098908E0,5.323531684E1,1.040489741E1,2.300217597E1,2.099999905E0,1.700000048E0,3.790092468E0,4.421412468E0
7.267252497E0,5.323534421E1,1.040489208E1,2.357601085E1,3.220000029E0,3.546000061E2,3.790092468E0,4.526983261E0
8.266075618E0,5.323537885E1,1.040488504E1,2.510475236E1,4.170000076E0,3.527000122E2,3.790092468E0,4.687944412E0
9.267172905E0,5.323541578E1,1.040487808E1,2.643055544E1,4.340000153E0,3.538999939E2,3.860438585E0,5.144061089E0
1.026745556E1,5.323545331E1,1.040487344E1,2.636152228E1,4.699999809E0,3.570000000E2,3.821100712E0,5.121336937E0
1.126716425E1,5.323548668E1,1.040488399E1,2.527343505E1,5.230000019E0,6.999999881E-1,3.807172298E0,4.973209381E0
1.226771503E1,5.323555015E1,1.040485883E1,2.684311972E1,5.280000210E0,3.526000061E2,3.790092468E0,4.920362949E0
1.327186731E1,5.323559762E1,1.040486448E1,2.637791928E1,5.639999866E0,3.593999939E2,3.790092468E0,4.956946850E0
1.426680486E1,5.323564329E1,1.040485345E1,2.729394692E1,5.599999905E0,6.000000238E-1,3.790092468E0,4.863228798E0
1.526655725E1,5.323569396E1,1.040485199E1,2.807802116E1,5.579999924E0,3.528999939E2,3.865433693E0,5.054559231E0
1.626720225E1,5.323575005E1,1.040485059E1,2.926743812E1,6.360000134E0,3.583999939E2,4.109045506E0,5.166296482E0
1.726918813E1,5.323580209E1,1.040484667E1,2.832147372E1,6.159999847E0,3.537000122E2,4.043244362E0,5.150682449E0
1.826804172E1,5.323585322E1,1.040486234E1,2.801215951E1,6.150000095E0,3.599989929E2,3.829088688E0,4.684727192E0
1.926643317E1,5.323590389E1,1.040485632E1,2.753598127E1,6.309999943E0,3.543999939E2,3.927106619E0,4.757693768E0
2.026702379E1,5.323596370E1,1.040485649E1,2.968371640E1,6.230000019E0,3.597000122E2,3.840669394E0,4.603571415E0
