"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.610696000E-3,-2.800200701E0,4.786243439E0,7.233502865E0
6.387415000E-3,-2.914458036E0,4.674977303E0,7.186244488E0
1.116413400E-2,-2.971287489E0,4.607379913E0,7.210771084E0
1.594085300E-2,-2.956930637E0,4.602594376E0,7.205985546E0
2.071757100E-2,-2.880958557E0,4.651049137E0,7.205387115E0
2.549429000E-2,-2.786442041E0,4.709074974E0,7.152146816E0
3.027095700E-2,-2.672782898E0,4.786841869E0,7.127620220E0
3.504767500E-2,-2.572882652E0,4.825126648E0,7.088737011E0
3.982439400E-2,-2.520838737E0,4.840082169E0,7.073781967E0
4.460111300E-2,-2.430509567E0,4.830510616E0,7.121040344E0
4.937783200E-2,-2.324028969E0,4.797011375E0,7.231110096E0
5.415455000E-2,-2.179861546E0,4.734797955E0,7.460821152E0
5.893126900E-2,-2.025524378E0,4.638486862E0,7.758129120E0
6.370793600E-2,-1.880758643E0,4.503890514E0,8.121838570E0
6.848465500E-2,-1.783251047E0,4.402793884E0,8.452047348E0
7.326137300E-2,-1.761715651E0,4.296911240E0,8.774480820E0
7.803809200E-2,-1.783849239E0,4.219144344E0,9.052646637E0
8.281481100E-2,-1.796411633E0,4.199403763E0,9.273384094E0
8.759147800E-2,-1.761715651E0,4.161118507E0,9.455238342E0
9.236819600E-2,-1.375872970E0,4.022335052E0,9.525228500E0
9.714491500E-2,-1.341775298E0,3.993621111E0,9.620942116E0
1.019216340E-1,-1.597807288E0,3.833899975E0,9.656235695E0
1.066983530E-1,-1.844866276E0,3.708276987E0,9.604789734E0
1.114750710E-1,-2.078764677E0,3.929014683E0,9.586843491E0
1.162517900E-1,-2.146361828E0,4.107280254E0,9.524630547E0
1.210284570E-1,-2.115255117E0,4.276572227E0,9.265008926E0
1.258051750E-1,-2.084148407E0,4.416552544E0,8.953344345E0
1.305818940E-1,-1.991426587E0,4.537389755E0,8.669795036E0
1.353586130E-1,-1.741974831E0,4.624728203E0,8.269595146E0
1.401353320E-1,-1.492523074E0,4.707280159E0,7.879564762E0
1.449120500E-1,-1.309472203E0,4.765904427E0,7.567301750E0
1.496887170E-1,-1.286740422E0,4.813760757E0,7.379465103E0
1.544654360E-1,-2.046461582E0,4.590630054E0,7.469794273E0
1.592421550E-1,-2.569891453E0,4.305285931E0,7.352545738E0
1.640188730E-1,-2.319243431E0,4.247858524E0,7.001399040E0
1.687955920E-1,-1.878963947E0,4.307080746E0,6.663413048E0
1.735723110E-1,-1.347159147E0,4.395017147E0,6.574280262E0
1.783490300E-1,-1.017547846E0,4.516452789E0,6.850651264E0
1.831256960E-1,-8.297112584E-1,4.651049137E0,7.324429989E0
1.879024150E-1,-7.645068169E-1,4.766502857E0,7.904689789E0
1.926791340E-1,-7.896314859E-1,4.785645485E0,8.465806961E0
1.974558530E-1,-7.435696125E-1,4.752145767E0,8.998807907E0
2.022325710E-1,-9.032905698E-1,4.857429981E0,9.388239861E0
2.069959570E-1,-1.508076429E0,5.438885689E0,9.668798447E0
2.117859570E-1,-1.606780410E0,5.539384365E0,9.905089378E0
2.165626750E-1,-1.483550072E0,5.746961594E0,9.923633575E0
2.213393940E-1,-1.283151150E0,5.602794170E0,9.927223206E0
2.261161130E-1,-1.609173179E0,4.859822750E0,9.886545181E0
2.308928320E-1,-1.427318692E0,4.484747887E0,9.924231529E0
2.356695500E-1,-1.081555843E0,4.210769653E0,1.017667484E1
2.404462170E-1,-7.549355626E-1,3.989433527E0,1.065464115E1
2.452229360E-1,-3.912265003E-1,3.923032761E0,1.103749275E1
2.499863730E-1,-2.895315289E-1,3.826721668E0,1.124327564E1
2.547763730E-1,-5.653043389E-1,3.734597921E0,1.121097183E1
