"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-2.978763117E1,5.323917040E1,1.040446970E1,1.995737796E1,0.000000000E0,0.000000000E0,1.891399956E1,2.158832550E0
1.060220889E0,5.323917977E1,1.040443740E1,2.120895117E1,0.000000000E0,0.000000000E0,8.194318771E0,1.052467632E1
1.987053221E0,5.323918192E1,1.040444821E1,1.880434899E1,0.000000000E0,0.000000000E0,6.199537277E0,8.154950142E0
2.983941550E0,5.323918263E1,1.040446447E1,1.707790453E1,0.000000000E0,0.000000000E0,5.356533051E0,7.066771030E0
3.983837379E0,5.323918674E1,1.040447212E1,1.734689032E1,0.000000000E0,0.000000000E0,4.627280235E0,5.806744099E0
4.983940916E0,5.323919373E1,1.040447256E1,1.798911274E1,9.100000262E-1,3.460000000E2,4.248177528E0,5.109599590E0
5.984834765E0,5.323920361E1,1.040446510E1,1.855895436E1,1.139999986E0,3.205000000E2,4.153101921E0,4.993409634E0
6.984929761E0,5.323921488E1,1.040445487E1,1.965144302E1,2.019999981E0,3.313999939E2,4.088415146E0,4.893724918E0
7.984720069E0,5.323923743E1,1.040444444E1,1.937486933E1,2.619999886E0,3.437999878E2,3.969175816E0,4.559354305E0
8.985119283E0,5.323926711E1,1.040443941E1,1.945151526E1,3.150000095E0,3.508999939E2,3.886937141E0,4.404902458E0
9.985152351E0,5.323929512E1,1.040442799E1,1.978176173E1,3.380000114E0,3.490000000E2,4.142603874E0,5.027803898E0
1.098428865E1,5.323933619E1,1.040442043E1,1.986263724E1,4.170000076E0,3.528999939E2,4.109001637E0,5.088410854E0
1.198370854E1,5.323937984E1,1.040442327E1,2.071951439E1,4.059999943E0,3.585000000E2,4.051951408E0,5.049151421E0
1.298576890E1,5.323942594E1,1.040443172E1,2.171250190E1,4.510000229E0,3.597999878E2,4.226538181E0,5.498970985E0
1.398379395E1,5.323947278E1,1.040443443E1,2.178630289E1,4.400000095E0,3.562999878E2,4.238762856E0,5.568688393E0
1.498501681E1,5.323951633E1,1.040443389E1,2.229839335E1,4.409999847E0,3.572000122E2,4.573819637E0,5.825420380E0
1.598555894E1,5.323955541E1,1.040443155E1,2.300218899E1,4.369999886E0,3.565000000E2,4.924928188E0,6.023884296E0
1.698504623E1,5.323959801E1,1.040442602E1,2.369543191E1,4.880000114E0,3.551000061E2,4.762244701E0,6.026841164E0
1.798514268E1,5.323963588E1,1.040442043E1,2.406927067E1,4.360000134E0,3.511000061E2,4.982388496E0,6.128381252E0
1.898531731E1,5.323967419E1,1.040443858E1,2.527196006E1,5.369999886E0,3.580000000E2,5.183400154E0,6.111429691E0
