"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.501069500E-2,5.324118320E1,1.042224680E1,0.000000000E0,0.000000000E0,0.000000000E0,1.500000000E3,0.000000000E0
4.082054113E0,5.323415632E1,1.041061903E1,3.550527947E1,0.000000000E0,0.000000000E0,1.600000000E1,1.253016090E1
5.087125381E0,5.323408195E1,1.041051097E1,4.069782064E1,0.000000000E0,0.000000000E0,1.200000000E1,1.055381680E1
6.119227881E0,5.323410132E1,1.041055522E1,3.636204357E1,0.000000000E0,0.000000000E0,2.400000000E1,1.690263748E1
7.117433149E0,5.323410649E1,1.041056221E1,3.587700762E1,0.000000000E0,0.000000000E0,3.200000000E1,3.937583160E1
8.139501379E0,5.323422079E1,1.041073138E1,4.455933958E1,0.000000000E0,0.000000000E0,8.000000000E0,1.938349533E1
9.148930071E0,5.323422611E1,1.041078146E1,2.909331211E1,0.000000000E0,0.000000000E0,6.000000000E0,1.002709770E1
1.014522015E1,5.323421917E1,1.041076506E1,2.973412912E1,0.000000000E0,0.000000000E0,6.000000000E0,1.814799500E1
1.115395845E1,5.323420456E1,1.041073771E1,2.500633240E1,2.612855673E0,2.055438080E2,8.000000000E0,1.525873280E1
1.214775849E1,5.323417370E1,1.041072060E1,2.099035084E1,3.419751883E0,2.031799622E2,8.000000000E0,1.336677647E1
1.296320515E1,5.323414007E1,1.041070381E1,1.406862082E1,3.420392990E0,2.034779358E2,8.000000000E0,1.106131363E1
1.395662911E1,5.323409890E1,1.041067973E1,9.808614212E0,4.654311657E0,2.034057007E2,8.000000000E0,9.665440559E0
1.497094107E1,5.323405093E1,1.041064463E1,8.220265018E0,5.417187691E0,2.047734528E2,8.000000000E0,8.855994225E0
1.596451687E1,5.323399921E1,1.041060149E1,7.786660118E0,5.989288807E0,2.061647186E2,8.000000000E0,8.296633720E0
1.695758864E1,5.323394493E1,1.041055481E1,8.076507649E0,6.328742504E0,2.093330078E2,8.000000000E0,7.806646347E0
1.796492753E1,5.323388932E1,1.041050309E1,7.574794768E0,6.591958046E0,2.106963806E2,8.000000000E0,7.439373970E0
1.896389210E1,5.323383594E1,1.041045024E1,7.511792102E0,6.397336483E0,2.096962433E2,6.000000000E0,7.153308392E0
1.996354472E1,5.323378049E1,1.041040246E1,6.815336497E0,6.463817596E0,2.099092255E2,6.000000000E0,6.935015202E0
2.095459687E1,5.323372585E1,1.041035351E1,6.787976311E0,6.415688038E0,2.105516815E2,6.000000000E0,6.885334969E0
2.195864095E1,5.323367196E1,1.041030542E1,7.529432202E0,6.439188480E0,2.102397003E2,6.000000000E0,6.742442131E0
2.296597952E1,5.323361315E1,1.041025975E1,7.641213323E0,6.826287746E0,2.011415710E2,8.000000000E0,6.637247086E0
2.395569248E1,5.323354851E1,1.041022419E1,7.429022103E0,6.821397305E0,1.990721893E2,8.000000000E0,6.524885178E0
2.495986256E1,5.323348694E1,1.041019457E1,7.598799549E0,6.767847061E0,1.960990753E2,8.000000000E0,6.363817692E0
2.595513356E1,5.323342225E1,1.041017115E1,8.360973122E0,6.593579292E0,1.882091980E2,8.000000000E0,6.298414230E0
2.695740244E1,5.323336198E1,1.041017042E1,8.655529155E0,6.224892616E0,1.822912903E2,8.000000000E0,6.298594475E0
2.795555237E1,5.323330218E1,1.041017433E1,9.207625275E0,6.130600929E0,1.756391602E2,8.000000000E0,6.316108704E0
2.895789852E1,5.323324285E1,1.041018799E1,9.131010617E0,5.807665348E0,1.755719910E2,8.000000000E0,6.360117912E0
2.996311856E1,5.323317808E1,1.041019759E1,9.827912987E0,6.280896664E0,1.757751312E2,8.000000000E0,6.312053680E0
3.095257879E1,5.323310907E1,1.041020588E1,1.014463006E1,6.946902275E0,1.767028961E2,8.000000000E0,6.276927471E0
3.195166444E1,5.323303561E1,1.041020921E1,1.024768019E1,6.416627884E0,1.836856842E2,8.000000000E0,6.306925297E0
3.296541240E1,5.323297071E1,1.041019803E1,1.063341500E1,6.914629459E0,1.913921051E2,8.000000000E0,6.360134125E0
3.396684232E1,5.323290889E1,1.041016755E1,1.096126059E1,6.629390717E0,1.998856659E2,8.000000000E0,6.509198189E0
3.496627251E1,5.323285440E1,1.041013122E1,1.121967623E1,7.227059364E0,2.044502716E2,8.000000000E0,6.720664501E0
3.594479548E1,5.323279269E1,1.041006820E1,1.152840268E1,8.435737610E0,2.208265381E2,8.000000000E0,6.896833897E0
3.696441547E1,5.323273292E1,1.040997304E1,1.293782837E1,8.144212723E0,2.257068176E2,8.000000000E0,6.983214855E0
3.796541505E1,5.323268529E1,1.040986519E1,1.306271563E1,7.952167034E0,2.344205322E2,8.000000000E0,7.100702286E0
3.896836778E1,5.323264411E1,1.040975139E1,1.291891025E1,7.384768486E0,2.340209961E2,8.000000000E0,7.169908524E0
3.996345474E1,5.323260450E1,1.040963497E1,1.284048500E1,8.095810890E0,2.345754700E2,8.000000000E0,7.189021111E0
4.095727970E1,5.323255812E1,1.040950457E1,1.196661513E1,8.292044640E0,2.348121796E2,8.000000000E0,7.151263237E0
4.197455447E1,5.323251718E1,1.040938081E1,1.140383737E1,8.263790131E0,2.349634552E2,8.000000000E0,7.140132427E0
4.295980682E1,5.323247385E1,1.040927017E1,1.061087631E1,7.755750179E0,2.349633942E2,8.000000000E0,7.090600491E0
4.396982920E1,5.323243599E1,1.040916134E1,1.144588363E1,6.899787903E0,2.352004852E2,8.000000000E0,6.835545063E0
4.495560474E1,5.323240456E1,1.040907094E1,1.158558432E1,6.402165890E0,2.350006866E2,8.000000000E0,6.654595375E0
4.596406754E1,5.323237167E1,1.040898956E1,1.204916353E1,5.389743805E0,2.294752045E2,8.000000000E0,6.567210674E0
4.694904520E1,5.323233961E1,1.040892193E1,1.251023926E1,4.800248146E0,2.303384857E2,8.000000000E0,6.519155979E0
4.794957685E1,5.323231669E1,1.040885251E1,1.223660755E1,4.555176735E0,2.397319946E2,8.000000000E0,6.428006649E0
4.895274062E1,5.323229875E1,1.040877060E1,1.192292119E1,4.196255207E0,2.395036469E2,8.000000000E0,6.312937260E0
4.996505462E1,5.323228063E1,1.040870125E1,1.213110623E1,3.824723721E0,2.337246399E2,8.000000000E0,6.223284245E0
5.094587958E1,5.323226286E1,1.040864602E1,1.286711797E1,3.636869431E0,2.317653046E2,8.000000000E0,6.175441742E0
5.195650646E1,5.323224863E1,1.040859983E1,1.319298796E1,2.721151829E0,2.321128082E2,8.000000000E0,6.110557556E0
