"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.627058200E-2,-1.604115129E0,9.337685585E0,2.846705914E0
2.125858200E-2,-1.426944256E0,9.313743591E0,3.114856482E0
2.625058200E-2,-1.278503656E0,9.165303230E0,3.363853455E0
3.125658200E-2,-1.094150186E0,9.012074471E0,3.658340216E0
3.626058200E-2,-1.024718285E0,8.904335022E0,3.902548790E0
4.126358200E-2,-9.816226959E-1,8.796596527E0,4.122815132E0
4.626078200E-2,-9.744400978E-1,8.719982147E0,4.355052948E0
5.126228200E-2,-9.600749016E-1,8.602665901E0,4.599261284E0
5.626228200E-2,-9.648633003E-1,8.492532730E0,4.831499100E0
6.126378200E-2,-9.457096457E-1,8.339303970E0,5.052064896E0
6.626511500E-2,-8.475474119E-1,8.150161743E0,5.253177643E0
7.126631500E-2,-6.296750307E-1,7.949048996E0,5.478232861E0
7.626740500E-2,-3.399766386E-1,7.774271965E0,5.729623795E0
8.126848800E-2,-1.197100803E-2,7.695263386E0,5.940313816E0
8.626941100E-2,3.495534360E-1,7.712022781E0,6.206069946E0
9.127026800E-2,5.578489900E-1,7.752724171E0,6.373664379E0
9.627106800E-2,6.871358752E-1,7.803002834E0,6.502951145E0
1.012718180E-1,7.398083210E-1,7.750329971E0,6.603507519E0
1.062725230E-1,7.469909191E-1,7.702445984E0,6.663362503E0
1.112731890E-1,7.876923680E-1,7.702445984E0,6.687304497E0
1.162738200E-1,8.236053586E-1,7.712022781E0,6.732794285E0
1.212744200E-1,8.116343617E-1,7.793426037E0,6.730400085E0
1.262750390E-1,8.212111592E-1,7.791031837E0,6.751947880E0
1.312755840E-1,7.278373241E-1,7.786243439E0,6.778284073E0
1.362761050E-1,6.272808313E-1,7.774271965E0,6.759130478E0
1.412766050E-1,5.746083856E-1,7.793426037E0,6.773495674E0
1.462770850E-1,5.482721925E-1,7.929895401E0,6.783072472E0
1.512775460E-1,4.764461517E-1,8.217199326E0,6.874052525E0
1.562779900E-1,4.189853072E-1,8.375216484E0,7.046434879E0
1.612784180E-1,3.926490843E-1,8.329727173E0,7.245153427E0
1.662788310E-1,4.692635238E-1,8.020874977E0,7.448660851E0
1.712792310E-1,6.655880809E-1,7.484573841E0,7.573159218E0
1.762798970E-1,7.805097699E-1,7.163750648E0,7.604283810E0
1.812798970E-1,9.409212470E-1,6.651391506E0,7.604283810E0
1.862798970E-1,1.103726983E0,6.507739544E0,7.484573841E0
1.912798970E-1,1.199495077E0,6.610690117E0,7.273883820E0
1.962807630E-1,1.175553083E0,6.914753914E0,6.988974094E0
2.012808630E-1,1.127668977E0,7.257124424E0,6.718429089E0
2.062812630E-1,1.070208192E0,7.565976620E0,6.498162746E0
2.112812630E-1,9.624691010E-1,7.781454563E0,6.352116585E0
2.162812630E-1,9.145850539E-1,7.819762230E0,6.301837921E0
2.212812630E-1,8.212111592E-1,7.841310024E0,6.270713329E0
2.262812630E-1,6.895300746E-1,7.848492622E0,6.301837921E0
2.312812290E-1,5.746083856E-1,7.862857819E0,6.486191750E0
2.362812290E-1,5.315127969E-1,7.992144585E0,6.696881294E0
2.412812290E-1,5.865794420E-1,8.135796547E0,6.897994518E0
2.462812290E-1,6.847416759E-1,8.245929718E0,7.087136269E0
2.512812620E-1,9.241618514E-1,8.210017204E0,7.379229069E0
2.562812950E-1,1.221042871E0,8.056788445E0,7.824550629E0
2.612812950E-1,1.525106430E0,7.714416981E0,8.277054787E0
2.662812950E-1,1.855506301E0,7.259518623E0,8.585906982E0
2.712812950E-1,2.138022184E0,6.809409142E0,8.748712540E0
2.762812610E-1,2.145204782E0,6.455067158E0,8.626607895E0
2.812812610E-1,2.090138197E0,6.129455566E0,8.451830864E0
2.862812610E-1,1.980004787E0,6.000168800E0,8.229170799E0
