"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.976877928E-1,5.322867576E1,1.040434767E1,3.211132752E1,0.000000000E0,3.223188790E1,4.808634425E0,4.808634425E0
1.897683740E0,5.322868000E1,1.040434868E1,3.186201429E1,0.000000000E0,3.223188926E1,4.821611369E0,4.821611369E0
2.897679448E0,5.322867717E1,1.040434269E1,3.168369577E1,0.000000000E0,3.223188495E1,4.788313645E0,4.788313645E0
3.897674680E0,5.322868210E1,1.040433656E1,3.174596930E1,0.000000000E0,3.223188186E1,4.800695268E0,4.800695268E0
4.897670507E0,5.322868176E1,1.040434138E1,3.248124519E1,0.000000000E0,7.167531849E1,4.849595358E0,4.849595358E0
5.897665262E0,5.322867675E1,1.040434284E1,3.204102018E1,0.000000000E0,7.167531675E1,4.854310793E0,4.854310793E0
6.897661328E0,5.322868185E1,1.040435595E1,3.236434223E1,7.280782475E-1,5.777183772E1,4.870519294E0,4.870519294E0
7.897656679E0,5.322868653E1,1.040437674E1,3.214631179E1,1.053921741E0,6.094210224E1,4.876643002E0,4.876643002E0
8.897652149E0,5.322868757E1,1.040439807E1,3.229343385E1,1.411878660E0,6.380960679E1,4.851346139E0,4.851346139E0
9.897647619E0,5.322867982E1,1.040443964E1,3.179538395E1,1.973321434E0,7.852443235E1,4.843124161E0,4.843124161E0
1.089764333E1,5.322866952E1,1.040447190E1,3.244754473E1,2.201200141E0,8.820463972E1,4.839304939E0,4.839304939E0
1.189763927E1,5.322866488E1,1.040448944E1,3.204312847E1,1.838822102E0,9.090644161E1,4.834482211E0,4.834482211E0
1.289763391E1,5.322866961E1,1.040451899E1,3.257876700E1,1.997681181E0,8.259862905E1,4.838722949E0,4.838722949E0
1.389762962E1,5.322866322E1,1.040456195E1,3.245164677E1,2.333790471E0,8.671567821E1,4.833845060E0,4.833845060E0
1.489762497E1,5.322866877E1,1.040461419E1,3.273733288E1,2.736232318E0,8.348926850E1,4.839389938E0,4.839389938E0
1.589762104E1,5.322866126E1,1.040466811E1,3.253269141E1,3.084691219E0,9.174844392E1,4.862987143E0,4.862987143E0
1.689761615E1,5.322863518E1,1.040473263E1,3.268776915E1,3.681764855E0,1.084827344E2,4.885945102E0,4.885945102E0
1.789761198E1,5.322861904E1,1.040478064E1,3.228238209E1,3.727653197E0,1.143605049E2,4.900531852E0,4.900531852E0
1.889760709E1,5.322858447E1,1.040481961E1,3.226303416E1,3.944029829E0,1.298801692E2,4.914212719E0,4.914212719E0
1.989760256E1,5.322855291E1,1.040485586E1,3.239496825E1,4.095877481E0,1.398913259E2,4.946240555E0,4.946240555E0
2.089759815E1,5.322852546E1,1.040482212E1,3.290238609E1,3.229159142E0,1.753731904E2,4.957163699E0,4.957163699E0
2.189759350E1,5.322849335E1,1.040475311E1,3.298871943E1,4.389012792E0,2.109077380E2,4.977342366E0,4.977342366E0
2.289758861E1,5.322847897E1,1.040469332E1,3.310779436E1,4.540777094E0,2.248044556E2,5.030700202E0,5.030700202E0
2.389758468E1,5.322848143E1,1.040463362E1,3.335404438E1,4.049764093E0,2.406080892E2,5.059327602E0,5.059327602E0
2.489758003E1,5.322848977E1,1.040458926E1,3.365174249E1,3.682795311E0,2.554904220E2,5.110411835E0,5.110411835E0
2.589757550E1,5.322850251E1,1.040456281E1,3.384873284E1,3.264559831E0,2.685540830E2,5.160296748E0,5.160296748E0
2.689757097E1,5.322850183E1,1.040452013E1,3.308264014E1,3.270201203E0,2.687535855E2,5.173270179E0,5.173270179E0
2.789756632E1,5.322851307E1,1.040446257E1,3.317724056E1,3.546622563E0,2.765992308E2,5.233099656E0,5.233099656E0
2.889756167E1,5.322852773E1,1.040442483E1,3.287168874E1,3.332030136E0,2.822661905E2,5.263816149E0,5.263816149E0
2.989755738E1,5.322856034E1,1.040435692E1,3.394457764E1,3.913723138E0,2.918358144E2,5.344345097E0,5.344345097E0
3.089755273E1,5.322857980E1,1.040431320E1,3.307802034E1,3.617622097E0,2.968055682E2,5.561241245E0,5.561241245E0
3.189754891E1,5.322858707E1,1.040426638E1,3.302608055E1,3.434295442E0,2.925306995E2,5.956622345E0,5.956622345E0
3.289754379E1,5.322860979E1,1.040422534E1,3.275812276E1,3.497182392E0,2.954485178E2,6.426608368E0,6.426608368E0
3.389753926E1,5.322862946E1,1.040422518E1,3.297902558E1,2.930498402E0,3.014265256E2,6.702274612E0,6.702274612E0
3.489753520E1,5.322862669E1,1.040427676E1,3.330994818E1,9.540039957E-1,3.056505122E2,6.186555816E0,6.186555816E0
3.589753020E1,5.322862319E1,1.040427141E1,3.319015954E1,1.025275633E0,2.782864197E2,6.280683330E0,6.280683330E0
3.689752555E1,5.322861376E1,1.040426198E1,3.333052599E1,1.356255377E0,2.699369234E2,6.421811645E0,6.421811645E0
3.789752090E1,5.322861396E1,1.040421960E1,3.313325313E1,2.432535639E0,2.722151486E2,6.626603236E0,6.626603236E0
3.889751709E1,5.322862558E1,1.040424436E1,3.330483129E1,1.044953806E0,2.740803785E2,6.667824626E0,6.667824626E0
3.989751244E1,5.322863603E1,1.040422363E1,3.339519761E1,1.609979846E0,2.758051019E2,7.010528747E0,7.010528747E0
4.089750767E1,5.322864787E1,1.040417623E1,3.298444170E1,2.509000957E0,2.751763863E2,7.438829061E0,7.438829061E0
4.189750302E1,5.322865603E1,1.040419683E1,3.302496052E1,1.091904083E0,2.767040955E2,7.454767230E0,7.454767230E0
4.289749849E1,5.322866814E1,1.040416635E1,3.306474818E1,1.684578449E0,2.713362856E2,7.692069776E0,7.692069776E0
4.389749384E1,5.322869161E1,1.040411896E1,3.290262055E1,2.438500503E0,2.707545612E2,7.835397382E0,7.835397382E0
4.489748979E1,5.322873855E1,1.040413132E1,3.304002682E1,1.072982848E0,2.811796122E2,7.472629284E0,7.472629284E0
4.589748526E1,5.322878274E1,1.040409370E1,3.325673275E1,1.688973117E0,2.851099649E2,7.537158039E0,7.537158039E0
4.689748120E1,5.322883191E1,1.040402907E1,3.335823395E1,2.653608354E0,2.863719531E2,7.611409380E0,7.611409380E0
4.789747584E1,5.322887823E1,1.040403024E1,3.309467254E1,1.100237866E0,2.922209883E2,7.540780606E0,7.540780606E0
4.889747214E1,5.322892086E1,1.040398930E1,3.314510159E1,1.689793353E0,2.858060772E2,7.556326193E0,7.556326193E0
4.989746702E1,5.322896064E1,1.040392810E1,3.324128380E1,2.453874534E0,2.801494945E2,7.542636848E0,7.542636848E0
5.089746249E1,5.322899413E1,1.040393579E1,3.335144292E1,1.051657126E0,2.642348567E2,7.260284022E0,7.260284022E0
5.189745879E1,5.322902913E1,1.040390035E1,3.378900981E1,1.726466155E0,2.663055781E2,7.250352393E0,7.250352393E0
5.289745390E1,5.322907431E1,1.040384264E1,3.338339009E1,2.562484605E0,2.714125860E2,7.225208257E0,7.225208257E0
5.389744902E1,5.322910892E1,1.040383870E1,3.337130393E1,1.054713682E0,2.732298941E2,6.998695879E0,6.998695879E0
5.489744449E1,5.322914345E1,1.040379392E1,3.376012129E1,1.619515596E0,2.792054013E2,6.947328610E0,6.947328610E0
5.589744055E1,5.322917058E1,1.040373484E1,3.442047295E1,2.123483358E0,2.799757782E2,7.015155216E0,7.015155216E0
5.689743578E1,5.322919032E1,1.040372126E1,3.434420622E1,1.019011028E0,2.804354507E2,6.974344489E0,6.974344489E0
5.789743090E1,5.322920309E1,1.040368143E1,3.365843736E1,1.319875610E0,2.776125726E2,7.055166599E0,7.055166599E0
5.889742720E1,5.322921568E1,1.040363693E1,3.394829715E1,1.429969906E0,2.776738999E2,7.093878661E0,7.093878661E0
5.989742219E1,5.322922746E1,1.040360864E1,3.339937874E1,1.126662819E0,2.784767224E2,7.122002611E0,7.122002611E0
6.089741755E1,5.322924243E1,1.040359706E1,3.366115842E1,8.410386448E-1,2.832518472E2,7.026997582E0,7.026997582E0
6.189741325E1,5.322925559E1,1.040358309E1,3.356676191E1,7.926084362E-1,2.943031333E2,6.761753200E0,6.761753200E0
6.289740872E1,5.322927093E1,1.040355701E1,3.355617599E1,6.933848180E-1,3.003455168E2,6.407705359E0,6.407705359E0
6.389740372E1,5.322928488E1,1.040353354E1,3.393127632E1,6.685324092E-1,3.038355550E2,6.292512811E0,6.292512811E0
6.489739978E1,5.322930313E1,1.040350296E1,3.388578996E1,6.071315412E-1,3.043665334E2,6.120689510E0,6.120689510E0
6.589739501E1,5.322931894E1,1.040348228E1,3.393058714E1,0.000000000E0,3.125113357E2,5.970696255E0,5.970696255E0
