"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.735125001E-3,-3.101101227E0,5.595963135E0,7.429200897E0
1.266212500E-2,-3.159479828E0,5.695206757E0,7.704179077E0
2.259012500E-2,-3.307072906E0,5.703739014E0,7.692802734E0
3.251712500E-2,-3.194057922E0,5.545518036E0,7.664212189E0
4.244512500E-2,-2.977158966E0,5.398074646E0,7.890840912E0
5.237212500E-2,-2.732866974E0,5.418582001E0,8.001610565E0
6.229912500E-2,-2.579585724E0,5.261259155E0,8.056546326E0
7.222712500E-2,-2.510579224E0,4.926854553E0,8.241711273E0
8.215412500E-2,-2.435136108E0,4.732109528E0,8.326584778E0
9.208112500E-2,-2.438728638E0,4.758155365E0,8.291707306E0
1.020091250E-1,-2.406395874E0,4.918621674E0,8.382718048E0
1.119361250E-1,-2.386786652E0,5.035528564E0,8.340805206E0
1.218631250E-1,-2.462379456E0,5.069657593E0,8.396489410E0
1.317911250E-1,-2.560275879E0,5.106930084E0,8.450077972E0
1.417181250E-1,-2.639161835E0,5.278922424E0,8.334069214E0
1.516451250E-1,-2.642904053E0,5.406606903E0,8.208031311E0
1.615731250E-1,-2.550546112E0,5.319637756E0,8.214916992E0
1.715001250E-1,-2.406994629E0,5.050497437E0,8.135282593E0
1.814271250E-1,-2.327509918E0,4.806205444E0,8.158933411E0
1.913551250E-1,-2.266436920E0,4.747228088E0,8.164322205E0
2.012821250E-1,-2.244732056E0,4.780908051E0,7.980354767E0
2.112091250E-1,-2.303859100E0,4.833149414E0,8.095914459E0
2.211371250E-1,-2.261796570E0,4.895868988E0,8.275391235E0
2.310641250E-1,-2.204765167E0,4.890031128E0,8.313412170E0
2.409911250E-1,-2.233655090E0,4.823868713E0,8.355624390E0
2.509191250E-1,-2.257904663E0,4.815486145E0,8.352480927E0
2.608461250E-1,-2.236948242E0,4.889731750E0,8.454269257E0
2.707741250E-1,-2.257455597E0,4.940625916E0,8.464897156E0
2.807011250E-1,-2.300865326E0,4.965773621E0,8.467292175E0
2.906281250E-1,-2.246528320E0,4.957840118E0,8.712931366E0
3.005561250E-1,-2.281106415E0,4.931943970E0,8.926986237E0
3.104831250E-1,-2.284549255E0,4.966671753E0,9.030421143E0
3.204101250E-1,-2.104773102E0,5.002597046E0,9.085207214E0
3.303381250E-1,-1.982477417E0,4.803660736E0,8.999884644E0
3.402651250E-1,-1.980531464E0,4.478836212E0,8.636141052E0
3.501921250E-1,-1.997745667E0,4.251608734E0,8.175548859E0
3.601201250E-1,-1.939367065E0,3.905378723E0,7.626340942E0
