Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
10.00028375,6.726262665,2.140848083,-2.036814423
10.01021075,6.898404694,1.554966431,-1.623074799
10.02013875,7.233108673,0.4384382629,-1.632505188
10.03006575,7.552245026,-0.9410929871,-2.016756134
10.03999275,7.678282928,-2.54725296,-2.191293182
10.04992075,7.878566437,-4.178860016,-2.216440887
10.05984775,8.289911041,-5.615123291,-2.490221558
10.06977575,8.896599426,-7.109316101,-2.526745605
10.07970275,9.540560303,-8.469387817,-2.286644897
10.08963075,10.09021729,-9.051976318,-2.565365295
10.09955775,10.47237259,-8.716374207,-3.180436249
10.10948475,10.58284286,-7.729925537,-3.607797546
10.11941275,10.3912413,-6.624474335,-3.507805481
10.12933975,9.889035645,-5.58593399,-3.272644501
10.13926775,9.327702942,-4.911735992,-3.086431732
10.14919475,8.452323303,-4.63002182,-3.199746094
10.15912175,7.604037323,-4.536915436,-3.308420105
10.16904975,7.204667816,-4.284689941,-2.865640869
10.17897675,6.894662476,-4.052073669,-2.332449646
10.18890475,6.566245422,-4.067940674,-2.042801971
10.19883175,6.449338531,-4.309687958,-2.190694427
10.20875875,6.621630249,-4.598886566,-2.637515259
10.21868675,6.908882904,-5.132077789,-2.822680206
10.22861375,7.31304245,-5.764662323,-2.779120789
10.23854175,7.791896667,-6.345454559,-2.842439117
10.24846875,8.270900574,-6.826703796,-3.109334106
10.25839575,8.634793854,-7.158264313,-3.556304626
10.26832375,8.716074829,-7.063211975,-3.902534637
10.27825075,8.132887573,-6.906487885,-3.721860352
10.28817875,7.398514709,-6.672823792,-3.818858643
10.29810575,7.415878601,-6.17451004,-3.679049377
10.30803375,7.707771606,-5.781726837,-3.549568634
10.31796075,7.72723114,-5.626200256,-3.658991089
10.32788775,7.53188736,-5.57425827,-3.427572327
10.33781575,7.138505402,-5.513334961,-3.147804108
10.34774275,6.696324921,-5.453908539,-2.892884216
10.35767075,6.343658295,-5.44328064,-2.62688736
10.36759775,6.227050781,-5.478607178,-2.378703461
10.37752475,6.353687439,-5.569168854,-2.316432953
10.38745275,6.590794373,-5.707481232,-2.536026306
10.39737975,6.828050995,-5.788313141,-2.903063049
10.40730775,7.127727814,-5.766009521,-3.286116486
10.41723475,7.506440277,-5.600304108,-3.689826965
10.42716175,8.007448425,-5.306764526,-4.096381531
10.43708975,8.691226501,-5.059179382,-4.361480255
10.44701675,9.443412323,-4.859195251,-4.45563446
10.45694475,10.06836273,-4.745282135,-4.368665314
10.46687175,10.42147842,-4.624483337,-4.252357178
10.47679975,10.18541931,-4.542753296,-4.45683197
10.48672675,9.254954224,-4.630321198,-4.796625366
10.49665375,8.281229095,-4.599185944,-4.48377594
10.50658137,7.788004761,-4.292174377,-3.53714447
10.51650837,7.407645721,-4.064198456,-2.476450195
10.52643637,6.963070221,-4.017196198,-1.5819104
10.53636338,6.477330322,-4.014950867,-1.098116455
10.54629037,6.278843079,-3.993994446,-0.9794132996
10.55621837,6.430328064,-4.083059235,-1.358724518
