Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00465486,2.375048161,-9.502885818,-0.873883605
10.00965486,2.391807556,-9.493309021,-0.8619126081
10.01465486,2.396595955,-9.488520622,-0.8906430602
10.01965422,2.406172752,-9.483732224,-0.8786720037
10.02465422,2.387019157,-9.469367027,-0.8619126081
10.02965422,2.343923569,-9.474155426,-0.8667010069
10.03465422,2.331952572,-9.478943825,-0.8499416113
10.03965422,2.336740971,-9.474155426,-0.8427590132
10.04465382,2.315192938,-9.45979023,-0.8116343617
10.04965369,2.329558372,-9.443030357,-0.8283938169
10.05465366,2.315192938,-9.450213432,-0.8283938169
10.05965366,2.334346771,-9.447818756,-0.8475474119
10.06465369,2.322375536,-9.466972351,-0.8523358107
10.06965372,2.351106167,-9.49809742,-0.8379706144
10.07465372,2.346317768,-9.512462616,-0.8355764151
10.07965439,2.324769735,-9.522039413,-0.8140285611
10.08465502,2.303221941,-9.502885818,-0.7972691655
10.08965589,2.293645144,-9.502885818,-0.8044517636
10.09465652,2.300827742,-9.486125946,-0.7924807668
10.09965719,2.296039343,-9.493309021,-0.7852981687
10.10465722,2.276885748,-9.481337547,-0.787692368
10.10965792,2.26970315,-9.490914345,-0.7996633649
10.11465885,2.291250944,-9.502885818,-0.7900865674
10.11965975,2.272097349,-9.505280495,-0.8092401624
10.12466065,2.264914751,-9.507674217,-0.8116343617
10.12966152,2.243366957,-9.505280495,-0.806845963
10.13466152,2.260126352,-9.507674217,-0.7972691655
10.13966218,2.250549555,-9.507674217,-0.8116343617
10.14466288,2.260126352,-9.505280495,-0.8331822157
10.14966305,2.284068346,-9.490914345,-0.8331822157
10.15466305,2.303221941,-9.500492096,-0.8427590132
10.15966302,2.30561614,-9.483732224,-0.8523358107
10.16466298,2.343923569,-9.493309021,-0.8595184088
10.16966362,2.33913517,-9.488520622,-0.873883605
10.17466362,2.396595955,-9.481337547,-0.8786720037
10.17966362,2.403778553,-9.45979023,-0.8858546019
10.18466365,2.449268341,-9.455001831,-0.8978256583
10.18966368,2.437297344,-9.445425034,-0.9097966552
10.19466411,2.468421936,-9.45979023,-0.9145850539
10.19966421,2.485181332,-9.445425034,-0.9074024558
10.20466421,2.525882721,-9.409511566,-0.9145850539
10.20966418,2.542642117,-9.411906242,-0.9193734527
10.21466418,2.559401512,-9.419088364,-0.9193734527
10.21966418,2.56658411,-9.39514637,-0.921767652
10.22466421,2.576161146,-9.423876762,-0.9241618514
10.22966421,2.595314741,-9.423876762,-0.921767652
10.23466421,2.578555346,-9.447818756,-0.9074024558
10.23966421,2.571372509,-9.431059837,-0.895431459
10.24466421,2.533065319,-9.450213432,-0.8762778044
10.24966421,2.513911724,-9.414299965,-0.8786720037
10.25466418,2.49236393,-9.431059837,-0.8595184088
10.25966418,2.477998734,-9.452607155,-0.8571242094
10.26466418,2.45405674,-9.447818756,-0.8475474119
10.26966421,2.437297344,-9.445425034,-0.8355764151
10.27466421,2.391807556,-9.476549149,-0.8403648138
10.27966421,2.384624958,-9.476549149,-0.8283938169
10.28466418,2.341529369,-9.486125946,-0.8212111592
10.28966414,2.334346771,-9.495702744,-0.8355764151
10.29466411,2.300827742,-9.481337547,-0.8212111592
10.29966411,2.296039343,-9.493309021,-0.8283938169
10.30466411,2.264914751,-9.478943825,-0.8212111592
10.30966414,2.250549555,-9.517251015,-0.8212111592
10.31466418,2.243366957,-9.507674217,-0.7948749661
10.31966421,2.245761156,-9.512462616,-0.8020575643
10.32466421,2.233790159,-9.529222488,-0.7900865674
10.32966421,2.23139596,-9.526827812,-0.7781155705
10.33466418,2.23139596,-9.529222488,-0.7685387731
10.33966418,2.221819162,-9.526827812,-0.7709329724
10.34466418,2.214636564,-9.514857292,-0.7374141216
