"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.402354000E-3,-3.904942989E0,7.702445984E0,3.581725836E0
1.240235400E-2,-3.849876404E0,7.668927193E0,3.560178041E0
1.740235400E-2,-3.806780815E0,7.649773598E0,3.569754839E0
2.240235400E-2,-3.756502390E0,7.637802601E0,3.593696833E0
2.739535400E-2,-3.699041605E0,7.618649006E0,3.612850428E0
3.239635400E-2,-3.651157618E0,7.585130215E0,3.639186621E0
3.739635400E-2,-3.612850428E0,7.544428825E0,3.679888010E0
4.239635400E-2,-3.615244627E0,7.484573841E0,3.876212597E0
4.739635400E-2,-3.603273630E0,7.410353661E0,4.084507942E0
5.239635400E-2,-3.550601006E0,7.362469673E0,4.216189384E0
5.739646500E-2,-3.447650433E0,7.340921879E0,4.247313976E0
6.239646500E-2,-3.320757866E0,7.324162483E0,4.180276394E0
6.739646500E-2,-3.179499865E0,7.288249016E0,4.091690540E0
7.239563100E-2,-3.031059265E0,7.228394032E0,4.041412354E0
7.739563100E-2,-2.896984100E0,7.139808655E0,4.098873138E0
8.239563100E-2,-2.767697096E0,7.027281284E0,4.297592163E0
8.739563100E-2,-2.592920542E0,6.886023521E0,4.637568474E0
9.239563100E-2,-2.406172752E0,6.732794285E0,4.985027313E0
9.739563100E-2,-2.181117773E0,6.538864136E0,5.336975098E0
1.023956310E-1,-1.946485996E0,6.330568790E0,5.653009415E0
1.073956310E-1,-1.728613615E0,6.117484570E0,5.875670433E0
1.123956310E-1,-1.561019540E0,5.923554420E0,5.925948620E0
1.173956310E-1,-1.431732655E0,5.784690380E0,5.767930984E0
1.223956310E-1,-1.225831270E0,5.698499203E0,5.564424038E0
1.273956310E-1,-1.041477680E0,5.648221016E0,5.327397823E0
1.323956310E-1,-9.313444495E-1,5.612308025E0,5.059247494E0
1.373956710E-1,-8.714894056E-1,5.583577633E0,4.766855717E0
1.423956710E-1,-7.541735172E-1,5.578789234E0,4.489128113E0
1.473956710E-1,-5.913678408E-1,5.571606636E0,4.297592163E0
1.523956710E-1,-4.955997467E-1,5.506963253E0,4.254496574E0
1.573956710E-1,-4.261679053E-1,5.408801079E0,4.422090530E0
1.623956710E-1,-3.040636182E-1,5.277119637E0,4.898836136E0
1.673956710E-1,2.394201700E-3,5.092766285E0,6.117484570E0
1.723956710E-1,2.418143749E-1,4.745307922E0,7.891588211E0
1.773963710E-1,1.221042871E-1,4.177882195E0,9.294589996E0
1.823962370E-1,-1.867477298E-1,3.536235809E0,1.020438671E1
1.873962370E-1,-4.118026793E-1,2.990357876E0,1.101362705E1
1.923962370E-1,-5.099649429E-1,2.664746523E0,1.155232239E1
1.973962370E-1,-4.668693244E-1,2.602497339E0,1.184202099E1
2.023962370E-1,-3.327940404E-1,2.681505919E0,1.188032818E1
2.073962030E-1,-1.580173075E-1,2.825158119E0,1.174625301E1
2.123962030E-1,4.788403399E-3,2.956839085E0,1.146852589E1
2.173962030E-1,1.723825186E-1,3.031059265E0,1.107587624E1
2.223965360E-1,3.567360640E-1,3.038241863E0,1.059464169E1
2.273965360E-1,5.578489900E-1,3.021482468E0,1.001763916E1
2.323965360E-1,7.230489254E-1,3.028665066E0,9.459790230E0
2.373965360E-1,8.427590132E-1,3.066972494E0,8.925883293E0
2.423965360E-1,9.289502501E-1,3.095702887E0,8.451830864E0
2.473965360E-1,9.888052940E-1,3.105279684E0,8.073547363E0
2.523965360E-1,1.036689281E0,3.100491285E0,7.841310024E0
2.573965360E-1,1.065419793E0,3.107673883E0,7.798214436E0
2.623965360E-1,1.007958889E0,3.148375273E0,7.889194012E0
2.673965360E-1,8.164227605E-1,3.227383852E0,8.023268700E0
2.723965360E-1,5.171475410E-1,3.325546265E0,8.183680534E0
2.773965360E-1,1.484405100E-1,3.380612850E0,8.447042465E0
2.823965360E-1,-2.250549644E-1,3.464409828E0,8.973767281E0
2.873965020E-1,-7.015010715E-1,3.813963413E0,9.548376083E0
2.923965020E-1,-1.177947283E0,4.139574528E0,9.890746117E0
2.973965020E-1,-1.429338455E0,4.393360138E0,1.011580181E1
3.023965020E-1,-1.393425345E0,4.623203278E0,1.023551178E1
3.073965020E-1,-1.204283476E0,4.776432514E0,1.018523312E1
3.123965020E-1,-1.027112484E0,4.800374508E0,9.979331970E0
3.173965020E-1,-9.313444495E-1,4.687847137E0,9.632172585E0
3.223965020E-1,-8.547300100E-1,4.446032524E0,9.155726433E0
3.273965020E-1,-7.302315235E-1,4.094084740E0,8.528446198E0
3.323965020E-1,-5.793967843E-1,3.754108191E0,7.884405613E0
3.373965020E-1,-3.902548850E-1,3.402160645E0,7.161356449E0
3.423965020E-1,-2.035071403E-1,3.069366693E0,6.423942566E0
3.473965020E-1,-2.873042040E-2,2.760514498E0,5.679345608E0
3.523965020E-1,1.723825186E-1,2.504334927E0,4.953902721E0
3.573965020E-1,4.453215301E-1,2.291250944E0,4.247313976E0
3.623965020E-1,8.379706144E-1,2.140416384E0,3.627215624E0
3.673965020E-1,1.403002143E0,2.085349798E0,3.287238836E0
3.723965020E-1,1.877054095E0,1.934514999E0,3.275267839E0
3.773965020E-1,2.214636564E0,1.666364431E0,3.541024208E0
3.823965020E-1,2.415749550E0,1.302445769E0,4.029441357E0
3.873965020E-1,2.454056740E0,8.619126081E-1,4.759673119E0
3.923965020E-1,2.384624958E0,4.572925270E-1,5.588366032E0
3.973965020E-1,2.214636564E0,1.268926859E-1,6.467038155E0
4.023965020E-1,1.968033791E0,-1.173158810E-1,7.340921879E0
4.073965020E-1,1.659181833E0,-2.896983922E-1,8.174103737E0
4.123965020E-1,1.302445769E0,-4.141969085E-1,8.928277016E0
4.173965020E-1,9.050082564E-1,-5.123591423E-1,9.591471672E0
4.223965020E-1,4.596867263E-1,-5.746083856E-1,1.014213753E1
4.273965020E-1,-3.591302410E-2,-5.793967843E-1,1.050845051E1
4.323965020E-1,-5.075707436E-1,-5.363011956E-1,1.069519806E1
4.373965020E-1,-9.097966552E-1,-4.309563041E-1,1.072871685E1
4.423965020E-1,-1.235408068E0,-2.873041928E-1,1.063294888E1
4.473956350E-1,-1.477222443E0,-1.316810995E-1,1.043662453E1
4.523956350E-1,-1.642422318E0,-1.197100803E-2,1.017326260E1
4.573956350E-1,-1.750161409E0,4.788403213E-2,9.871592522E0
4.623956350E-1,-1.848323703E0,3.591302410E-2,9.543587685E0
4.673956350E-1,-1.984793186E0,-4.309562966E-2,9.198822021E0
4.723956350E-1,-2.197877169E0,-1.556231081E-1,8.858845711E0
4.773956350E-1,-2.468421936E0,-2.633621991E-1,8.545205116E0
4.823956350E-1,-2.772485495E0,-3.974374831E-1,8.248324394E0
4.873956350E-1,-3.107673883E0,-5.434837937E-1,7.987356186E0
4.923956350E-1,-3.435679436E0,-6.775590777E-1,7.771877766E0
4.973956350E-1,-3.727771997E0,-7.972691655E-1,7.604283810E0
5.023956350E-1,-3.955221176E0,-9.217676520E-1,7.479785442E0
5.073956350E-1,-4.101267338E0,-1.063025594E0,7.393594265E0
5.123956350E-1,-4.206612587E0,-1.235408068E0,7.316979885E0
5.173956350E-1,-4.335899353E0,-1.446097851E0,7.230788231E0
5.223956350E-1,-4.501099110E0,-1.709460020E0,7.163750648E0
5.273956350E-1,-4.618414879E0,-2.044648170E0,7.237970829E0
5.323956350E-1,-4.630385876E0,-2.360682964E0,7.451055050E0
5.373956350E-1,-4.537012100E0,-2.612074137E0,7.798214436E0
5.423956680E-1,-4.386177540E0,-2.786850691E0,8.243535995E0
5.473948010E-1,-4.206612587E0,-2.901772499E0,8.739135742E0
5.523939340E-1,-4.041412354E0,-2.997540474E0,9.239523888E0
5.573930340E-1,-3.921702385E0,-3.100491285E0,9.696816444E0
5.623925340E-1,-3.885789394E0,-3.239354849E0,1.006312943E1
5.673920340E-1,-3.960009575E0,-3.423708439E0,1.032649136E1
5.723915340E-1,-4.101267338E0,-3.610456228E0,1.051084518E1
5.773910340E-1,-4.364629745E0,-3.806780815E0,1.057309437E1
5.823905340E-1,-4.687847137E0,-3.986345768E0,1.052521038E1
5.873900340E-1,-5.028122902E0,-4.118026733E0,1.039831734E1
5.923895670E-1,-5.377676487E0,-4.213795185E0,1.020199299E1
5.973899670E-1,-5.717652798E0,-4.311957359E0,9.974543571E0
6.023895000E-1,-6.048052788E0,-4.438849926E0,9.720758438E0
6.073890000E-1,-6.376058578E0,-4.699818134E0,9.471760750E0
6.123890000E-1,-6.696881294E0,-5.004180908E0,9.292196274E0
6.173890000E-1,-6.967426300E0,-5.114314079E0,9.239523888E0
6.223890330E-1,-7.180510044E0,-5.171774864E0,9.342473984E0
6.273890660E-1,-7.350498676E0,-5.396830082E0,9.577106476E0
6.323890990E-1,-7.503727436E0,-5.708076000E0,9.885957718E0
6.373890990E-1,-7.692869186E0,-6.024110794E0,1.025227070E1
6.423890990E-1,-7.939472198E0,-6.299443722E0,1.064970875E1
6.473890990E-1,-8.224382401E0,-6.505345345E0,1.106869411E1
6.523895320E-1,-8.549993515E0,-6.617872715E0,1.145894814E1
6.573895320E-1,-8.904335022E0,-6.620266914E0,1.179653072E1
6.623895320E-1,-9.280224800E0,-6.531681538E0,1.209820080E1
6.673895650E-1,-9.660902977E0,-6.364087582E0,1.237353325E1
6.723895980E-1,-9.998485565E0,-6.170156956E0,1.259380054E1
6.773896310E-1,-1.025705910E1,-5.969044209E0,1.272308731E1
6.823896310E-1,-1.043662453E1,-5.806238174E0,1.274702930E1
6.873896310E-1,-1.051802731E1,-5.693710804E0,1.265604973E1
6.923895970E-1,-1.049169159E1,-5.633855820E0,1.245493698E1
6.973904630E-1,-1.035282707E1,-5.609913826E0,1.214847851E1
7.023913290E-1,-1.013974380E1,-5.600337029E0,1.175343513E1
7.073922290E-1,-9.933841705E0,-5.583577633E0,1.130093098E1
7.123927290E-1,-9.802161217E0,-5.545270443E0,1.085800362E1
7.173932620E-1,-9.759065628E0,-5.509357452E0,1.045338345E1
7.223937950E-1,-9.783007622E0,-5.480627060E0,1.009185982E1
7.273943280E-1,-9.840468407E0,-5.449502468E0,9.766247749E0
7.323948280E-1,-9.921871185E0,-5.413589478E0,9.486125946E0
7.373953280E-1,-1.002242756E1,-5.387253284E0,9.241917610E0
7.423957940E-1,-1.016847420E1,-5.396830082E0,9.012074471E0
7.473962940E-1,-1.036479855E1,-5.435137272E0,8.770259857E0
7.523967940E-1,-1.057548809E1,-5.463867664E0,8.492532730E0
7.573975270E-1,-1.075265884E1,-5.442319870E0,8.157344818E0
