"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.287986428E0,5.322947590E1,1.040128680E1,3.954359568E1,0.000000000E0,0.000000000E0,4.083300018E1,5.012376308E0
2.050459922E0,5.322931504E1,1.040160820E1,4.033031924E1,0.000000000E0,0.000000000E0,1.200000000E1,8.500020599E1
3.077514806E0,5.322937842E1,1.040170060E1,4.422280688E1,0.000000000E0,0.000000000E0,1.200000000E1,8.182187653E1
4.105454189E0,5.322936519E1,1.040169738E1,4.394221833E1,0.000000000E0,0.000000000E0,1.200000000E1,8.789099884E1
5.094142266E0,5.322935645E1,1.040165637E1,6.086119769E1,0.000000000E0,0.000000000E0,8.000000000E0,3.824457169E1
6.119497726E0,5.322935860E1,1.040154089E1,5.654477895E1,0.000000000E0,0.000000000E0,4.000000000E0,4.049641037E1
7.128906187E0,5.322939156E1,1.040153641E1,2.593731652E1,0.000000000E0,0.000000000E0,4.000000000E0,1.222686577E1
8.130529533E0,5.322940305E1,1.040153685E1,2.155280131E1,0.000000000E0,0.000000000E0,4.000000000E0,9.060528755E0
9.140157494E0,5.322940705E1,1.040151301E1,2.120828766E1,0.000000000E0,0.000000000E0,3.000000000E0,2.373115540E1
1.013050853E1,5.322940866E1,1.040150651E1,2.239310254E1,0.000000000E0,0.000000000E0,6.000000000E0,1.856749153E1
1.113538157E1,5.322941016E1,1.040150345E1,2.431296985E1,0.000000000E0,0.000000000E0,6.000000000E0,1.589750385E1
1.186268195E1,5.322941118E1,1.040150183E1,2.661448919E1,0.000000000E0,0.000000000E0,6.000000000E0,1.403030014E1
1.283071353E1,5.322941118E1,1.040150170E1,2.831651896E1,0.000000000E0,0.000000000E0,6.000000000E0,1.265404510E1
1.386173553E1,5.322941112E1,1.040150149E1,2.975347367E1,0.000000000E0,0.000000000E0,6.000000000E0,1.140874004E1
1.486415391E1,5.322941099E1,1.040150129E1,3.084278416E1,0.000000000E0,0.000000000E0,6.000000000E0,1.046455765E1
1.586351510E1,5.322941083E1,1.040150100E1,3.181100666E1,0.000000000E0,0.000000000E0,6.000000000E0,9.753675461E0
1.685996353E1,5.322941066E1,1.040150073E1,3.259074375E1,0.000000000E0,0.000000000E0,6.000000000E0,9.172882080E0
1.785993603E1,5.322941048E1,1.040150044E1,3.252750428E1,0.000000000E0,0.000000000E0,6.000000000E0,8.613921165E0
1.886785418E1,5.322940799E1,1.040149648E1,3.269252617E1,0.000000000E0,0.000000000E0,6.000000000E0,8.125980377E0
1.985348614E1,5.322940393E1,1.040149243E1,3.318064154E1,0.000000000E0,0.000000000E0,6.000000000E0,7.668996334E0
2.084963722E1,5.322940172E1,1.040148994E1,3.340495109E1,0.000000000E0,0.000000000E0,6.000000000E0,7.320343971E0
2.187338352E1,5.322940006E1,1.040148750E1,3.348283483E1,0.000000000E0,0.000000000E0,6.000000000E0,7.034340382E0
2.287246002E1,5.322939592E1,1.040148213E1,3.382915580E1,0.000000000E0,0.000000000E0,6.000000000E0,6.754512310E0
2.387153971E1,5.322939541E1,1.040148111E1,3.389979947E1,0.000000000E0,0.000000000E0,6.000000000E0,6.527458668E0
2.487143691E1,5.322939538E1,1.040148107E1,3.406246037E1,0.000000000E0,0.000000000E0,6.000000000E0,6.316217422E0
2.586143641E1,5.322939533E1,1.040148099E1,3.435953994E1,0.000000000E0,0.000000000E0,6.000000000E0,6.118519783E0
2.686705102E1,5.322939524E1,1.040148084E1,3.455631173E1,0.000000000E0,0.000000000E0,6.000000000E0,5.928526402E0
2.786303321E1,5.322939523E1,1.040148081E1,3.461249994E1,0.000000000E0,0.000000000E0,6.000000000E0,5.777421951E0
2.885318240E1,5.322939515E1,1.040148070E1,3.470381174E1,0.000000000E0,0.000000000E0,6.000000000E0,5.629958630E0
2.986373690E1,5.322939506E1,1.040148058E1,3.477595216E1,0.000000000E0,0.000000000E0,6.000000000E0,5.494827271E0
3.086028786E1,5.322939511E1,1.040148062E1,3.484017409E1,0.000000000E0,0.000000000E0,6.000000000E0,5.371759415E0
3.186891736E1,5.322939511E1,1.040148062E1,3.478314692E1,0.000000000E0,0.000000000E0,6.000000000E0,5.234256744E0
3.285756490E1,5.322939511E1,1.040148062E1,3.469093078E1,0.000000000E0,0.000000000E0,6.000000000E0,5.105878830E0
3.385429898E1,5.322939511E1,1.040148062E1,3.465841283E1,0.000000000E0,0.000000000E0,6.000000000E0,4.990401745E0
3.486603940E1,5.322939511E1,1.040148062E1,3.459510553E1,0.000000000E0,0.000000000E0,6.000000000E0,4.880741119E0
3.587383582E1,5.322939511E1,1.040148062E1,3.462202041E1,0.000000000E0,0.000000000E0,6.000000000E0,4.804384708E0
3.686361390E1,5.322939511E1,1.040148062E1,3.473313088E1,0.000000000E0,0.000000000E0,6.000000000E0,4.734577656E0
3.786063755E1,5.322939511E1,1.040148062E1,3.483229321E1,0.000000000E0,0.000000000E0,6.000000000E0,4.670795918E0
3.886925716E1,5.322939511E1,1.040148062E1,3.489726432E1,0.000000000E0,0.000000000E0,6.000000000E0,4.610160828E0
3.985634847E1,5.322939511E1,1.040148062E1,3.504607508E1,0.000000000E0,0.000000000E0,6.000000000E0,4.548595905E0
4.086559797E1,5.322939511E1,1.040148062E1,3.504850821E1,0.000000000E0,0.000000000E0,6.000000000E0,4.484672546E0
4.187882205E1,5.322939511E1,1.040148062E1,3.506059352E1,0.000000000E0,0.000000000E0,6.000000000E0,4.420243740E0
4.286684116E1,5.322939511E1,1.040148062E1,3.517660082E1,0.000000000E0,0.000000000E0,6.000000000E0,4.353593826E0
4.386557389E1,5.322939511E1,1.040148062E1,3.532470532E1,0.000000000E0,0.000000000E0,6.000000000E0,4.295628071E0
4.486713178E1,5.322939511E1,1.040148062E1,3.539339135E1,0.000000000E0,0.000000000E0,6.000000000E0,4.247247696E0
4.585340785E1,5.322939511E1,1.040148062E1,3.564473075E1,0.000000000E0,0.000000000E0,6.000000000E0,4.198781967E0
4.685779970E1,5.322939511E1,1.040148062E1,3.575883242E1,0.000000000E0,0.000000000E0,6.000000000E0,4.154737473E0
4.786770831E1,5.322939511E1,1.040148062E1,3.580506190E1,0.000000000E0,0.000000000E0,6.000000000E0,4.112081051E0
4.886268435E1,5.322939511E1,1.040148062E1,3.589250875E1,0.000000000E0,0.000000000E0,6.000000000E0,4.070102215E0
4.986506408E1,5.322939511E1,1.040148062E1,3.592358382E1,0.000000000E0,0.000000000E0,6.000000000E0,4.036879539E0
5.086610658E1,5.322939511E1,1.040148062E1,3.602473994E1,0.000000000E0,0.000000000E0,6.000000000E0,4.008070946E0
5.187689877E1,5.322939511E1,1.040148062E1,3.604160235E1,0.000000000E0,0.000000000E0,6.000000000E0,3.970860720E0
5.286701989E1,5.322939511E1,1.040148062E1,3.615128369E1,0.000000000E0,0.000000000E0,6.000000000E0,3.919206858E0
