"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.014193300E-2,3.300000191E0,-8.812500238E-1,-4.741875076E1
5.014193300E-2,2.962500095E0,-1.893750072E0,-4.830000305E1
6.014193300E-2,3.018750191E0,-1.762500048E0,-4.770000076E1
7.014193300E-2,3.262500048E0,-1.650000095E0,-4.732500076E1
8.014193300E-2,3.487500191E0,-1.481250048E0,-4.725000000E1
9.014193300E-2,3.618750095E0,-1.631250024E0,-4.734375000E1
1.001419330E-1,3.768750191E0,-1.593750119E0,-4.726875305E1
1.101419330E-1,3.731250048E0,-1.368750095E0,-4.719375229E1
1.201419330E-1,3.693750143E0,-1.612500072E0,-4.726875305E1
1.301419330E-1,3.768750191E0,-1.593750119E0,-4.713750076E1
1.401419330E-1,3.787500143E0,-1.762500048E0,-4.732500076E1
1.501419330E-1,3.862500191E0,-2.043750048E0,-4.740000153E1
1.601419330E-1,3.750000238E0,-2.250000000E0,-4.728750229E1
1.701419330E-1,3.581250191E0,-2.343750000E0,-4.760625076E1
1.801419330E-1,3.600000143E0,-2.456250191E0,-4.773750305E1
1.901419330E-1,3.675000191E0,-2.550000191E0,-4.777500153E1
2.001419330E-1,3.693750143E0,-2.325000048E0,-4.773750305E1
2.101419330E-1,3.975000143E0,-2.268750191E0,-4.783125305E1
2.201419330E-1,4.068750381E0,-2.175000191E0,-4.755000305E1
2.301419330E-1,3.975000143E0,-1.893750072E0,-4.760625076E1
2.401419330E-1,3.956250191E0,-1.725000024E0,-4.785000229E1
2.501419330E-1,4.125000000E0,-1.406250000E0,-4.736250305E1
2.601419330E-1,4.293750286E0,-1.368750095E0,-4.725000000E1
2.701419330E-1,4.443750381E0,-1.650000095E0,-4.743750000E1
2.801419330E-1,4.687500000E0,-1.800000072E0,-4.726875305E1
2.901419330E-1,4.762500286E0,-1.612500072E0,-4.708125305E1
3.001419330E-1,5.231250286E0,-1.425000072E0,-4.708125305E1
3.101419330E-1,5.775000095E0,-1.425000072E0,-4.717500305E1
3.201419330E-1,6.637500286E0,-1.331250072E0,-4.704375076E1
3.301419330E-1,7.275000095E0,-1.425000072E0,-4.713750076E1
3.401419330E-1,7.668750286E0,-1.256250024E0,-4.706250000E1
3.501419330E-1,8.268750191E0,-9.750000238E-1,-4.672500229E1
3.601419330E-1,9.150000572E0,-7.125000358E-1,-4.666875076E1
3.701419330E-1,9.750000000E0,-7.687500119E-1,-4.638750076E1
3.801419330E-1,1.016250038E1,-8.062500358E-1,-4.651875305E1
3.901419330E-1,1.040625000E1,-9.375000596E-1,-4.636875153E1
4.001419330E-1,1.042500019E1,-1.087500095E0,-4.623750305E1
4.101419330E-1,1.051875019E1,-1.218750000E0,-4.623750305E1
4.201419330E-1,1.035000038E1,-1.500000000E0,-4.616250229E1
4.301419330E-1,1.021875000E1,-1.987500072E0,-4.629375076E1
4.401419330E-1,9.750000000E0,-2.268750191E0,-4.646250153E1
4.501419330E-1,9.168750763E0,-2.568750143E0,-4.650000000E1
4.601419330E-1,8.568750381E0,-3.131250143E0,-4.644375229E1
4.701419330E-1,8.062500000E0,-3.318750143E0,-4.636875153E1
