"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.735600000E-5,-5.737988472E0,2.689532757E0,7.664210796E0
4.851783000E-3,-5.678168297E0,2.701496840E0,7.494320393E0
9.700793000E-3,-5.355136871E0,2.744567633E0,7.460821152E0
1.436063700E-2,-4.828716278E0,2.761317253E0,7.520641804E0
1.911516800E-2,-4.228117466E0,2.801995277E0,7.671389580E0
2.386959600E-2,-3.763910055E0,2.835494757E0,7.843672752E0
2.862402300E-2,-3.464807272E0,2.780459881E0,8.003992081E0
3.337845000E-2,-3.259024382E0,2.739781857E0,8.228917122E0
3.813287700E-2,-3.093919754E0,2.651247501E0,8.470592499E0
4.288730400E-2,-2.943171740E0,2.577069998E0,8.685946465E0
4.764173100E-2,-2.866601467E0,2.538784742E0,8.867800713E0
5.239621000E-2,-2.792423964E0,2.486142635E0,9.030512810E0
5.715063700E-2,-2.782852650E0,2.452643156E0,9.133403778E0
6.190506400E-2,-2.837887764E0,2.409572363E0,9.224330902E0
6.665949100E-2,-2.981456995E0,2.340180635E0,9.281759262E0
7.141391800E-2,-3.158525944E0,2.344966173E0,9.334401131E0
7.616834600E-2,-3.323630571E0,2.340180635E0,9.372686386E0
8.092277300E-2,-3.483949661E0,2.354537487E0,9.399007797E0
8.567725200E-2,-3.658625841E0,2.419143677E0,9.365508080E0
9.043167900E-2,-3.780659676E0,2.447857618E0,9.284152031E0
9.518610600E-2,-3.850051641E0,2.488535643E0,9.214759827E0
9.994053300E-2,-3.888336897E0,2.500499725E0,9.147761345E0
1.046949600E-1,-3.952943087E0,2.519642353E0,9.049654961E0
1.094493870E-1,-3.998406649E0,2.526820660E0,8.946763992E0
1.142038140E-1,-4.031906128E0,2.481357098E0,8.851051331E0
1.189582410E-1,-3.979264021E0,2.419143677E0,8.764909744E0
1.237127210E-1,-3.945764542E0,2.368894339E0,8.719446182E0
1.284671480E-1,-3.869194269E0,2.340180635E0,8.671588898E0
1.332215750E-1,-3.847658873E0,2.285145521E0,8.638090134E0
1.379760020E-1,-3.778266907E0,2.270788670E0,8.657232285E0
1.427304290E-1,-3.723232031E0,2.311466694E0,8.688339233E0
1.474848560E-1,-3.658625841E0,2.325823545E0,8.721838951E0
1.522392830E-1,-3.584448338E0,2.380858421E0,8.781659126E0
1.569937620E-1,-3.493520975E0,2.404786825E0,8.855836868E0
1.617481890E-1,-3.357130051E0,2.450250387E0,8.958727837E0
1.665026160E-1,-3.201596737E0,2.459821701E0,9.083154678E0
1.712570430E-1,-2.991028309E0,2.419143677E0,9.231510162E0
1.760114710E-1,-3.026920557E0,2.309073925E0,9.372686386E0
1.807658980E-1,-2.742174864E0,2.325823545E0,9.375079155E0
1.855203250E-1,-2.440679073E0,2.395215511E0,9.561718941E0
1.902747520E-1,-2.189432621E0,2.416750908E0,9.868000984E0
1.950292310E-1,-2.110469580E0,2.306680918E0,1.010728264E1
1.997836580E-1,-1.993221283E0,2.179861546E0,1.012164021E1
2.045380850E-1,-1.890329838E0,2.076970100E0,1.010249710E1
2.092925120E-1,-1.995614052E0,1.909472466E0,1.011446095E1
2.140469390E-1,-2.232503414E0,1.816152334E0,9.956535339E0
