"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.274959600E-2,-1.092684343E-1,-1.092531681E0,3.281107545E-1
2.750402300E-2,-1.569158882E-1,-1.076649189E0,3.012326956E-1
3.225845000E-2,-1.984546930E-1,-1.051603675E0,2.627482116E-1
3.701287700E-2,-2.357174456E-1,-1.025947452E0,2.169333547E-1
4.176730400E-2,-2.632063627E-1,-1.003345370E0,1.613446623E-1
4.652173100E-2,-2.809214294E-1,-9.789108038E-1,1.014799103E-1
5.127621000E-2,-2.864192128E-1,-9.489784241E-1,3.978256881E-2
5.603063700E-2,-2.827540338E-1,-9.147700071E-1,-2.069304511E-2
6.078506400E-2,-2.729802132E-1,-8.750637770E-1,-7.811433077E-2
6.553949100E-2,-2.583194375E-1,-8.292489648E-1,-1.294269711E-1
7.029391800E-2,-2.424369603E-1,-7.791580558E-1,-1.715766490E-1
7.504834600E-2,-2.247218788E-1,-7.296779752E-1,-1.990655661E-1
7.980277300E-2,-2.039524764E-1,-6.801979542E-1,-2.149480432E-1
8.455725200E-2,-1.837939471E-1,-6.337721944E-1,-2.204458266E-1
8.931167900E-2,-1.624136716E-1,-5.983420610E-1,-2.118937224E-1
9.406610600E-2,-1.422551423E-1,-5.739074349E-1,-1.972329617E-1
9.882053300E-2,-1.233183295E-1,-5.616901517E-1,-1.789070219E-1
1.035749600E-1,-1.086575761E-1,-5.690205693E-1,-1.587484777E-1
1.083293870E-1,-9.766200930E-2,-5.971203446E-1,-1.379790753E-1
1.130838140E-1,-8.972076327E-2,-6.429351568E-1,-1.147662178E-1
1.178382410E-1,-8.239039034E-2,-7.052434087E-1,-8.910989761E-2
1.225927210E-1,-7.689260691E-2,-7.840449214E-1,-6.406444311E-2
1.273471480E-1,-7.200568914E-2,-8.756746650E-1,-3.901898861E-2
1.321015750E-1,-6.834049523E-2,-9.752455950E-1,-1.458439697E-2
1.368560020E-1,-6.589704007E-2,-1.080314398E0,1.046105940E-2
1.416104290E-1,-6.162098423E-2,-1.191491723E0,3.367391974E-2
1.463648560E-1,-5.917752534E-2,-1.302058220E0,5.383246019E-2
1.511192830E-1,-5.551233515E-2,-1.402850986E0,6.910407543E-2
1.558737620E-1,-4.879282415E-2,-1.483485103E0,8.193223923E-2
1.606281890E-1,-3.840812296E-2,-1.531743407E0,8.865175396E-2
