Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00343064,3.036491871,-9.12861824,1.672582984
10.00818512,3.017349243,-9.095118523,1.696511269
10.0129396,3.017349243,-9.126225471,1.667797327
10.01769408,3.010170937,-9.104690552,1.691725612
10.02244855,2.986242771,-9.111868858,1.715653777
10.02720298,3.010170937,-9.142974854,1.701296926
10.03195746,2.983849764,-9.142974854,1.720439434
10.03671194,2.964707375,-9.15733242,1.730010748
10.04146642,2.964707375,-9.166903496,1.732403636
10.0462209,2.97427845,-9.205188751,1.727617979
10.05097538,2.955136061,-9.243474007,1.730010748
10.05572986,2.947957516,-9.233902931,1.730010748
10.06048428,2.931207657,-9.253045082,1.722832322
10.06523876,2.919243574,-9.2362957,1.727617979
10.06999324,2.90967226,-9.231510162,1.722832322
10.07474772,2.888136864,-9.229117393,1.715653777
10.0795022,2.861815929,-9.221938133,1.720439434
10.08425668,2.847458839,-9.238688469,1.708475351
10.08901116,2.81395936,-9.262616158,1.691725612
10.09376564,2.801995277,-9.303294182,1.696511269
10.09852012,2.801995277,-9.300901413,1.696511269
10.10327454,2.770888567,-9.339186668,1.715653777
10.10802902,2.751745939,-9.327222824,1.694118381
10.1127835,2.76371026,-9.3367939,1.701296926
10.11753798,2.73260355,-9.310472488,1.718046665
10.12229246,2.71824646,-9.267401695,1.720439434
10.12704694,2.70149684,-9.233902931,1.715653777
10.13180142,2.691925526,-9.198010445,1.734796405
10.1365559,2.708675146,-9.205188751,1.751546144
10.14131033,2.74935317,-9.253045082,1.763510346
10.1460648,2.811566591,-9.291330338,1.818545222
10.15081928,2.876172781,-9.367900848,1.842473388
10.15557376,2.926422119,-9.41336441,1.878365755
10.16032824,2.969492912,-9.473184586,1.911865234
10.16508272,3.041277647,-9.54257679,1.954936147
10.1698372,3.101098061,-9.628718376,1.962114573
10.17459168,3.160918713,-9.6693964,1.971685886
10.17934616,3.232703447,-9.717252731,1.957328916
10.18410059,3.318845034,-9.736394882,1.962114573
10.18885506,3.354737282,-9.712467194,1.923829436
10.19360954,3.321237803,-9.659825325,1.904686809
10.19836402,3.259024382,-9.583254814,1.849651933
10.2031185,3.108276606,-9.521040916,1.768295884
10.20787298,2.986242771,-9.437292099,1.689332843
10.21262746,2.861815929,-9.343972206,1.612762451
10.21738194,2.734996319,-9.260223389,1.548156261
10.22213642,2.581855536,-9.164510727,1.478764415
10.2268909,2.457428932,-9.090332985,1.409372568
10.23164532,2.316252232,-8.968298912,1.387837172
10.2363998,2.20618248,-8.889336586,1.368694544
10.24115428,2.079362869,-8.807980537,1.35912323
10.24590876,1.952543259,-8.748159409,1.387837172
10.25066324,1.856830359,-8.74576664,1.414158225
10.25541772,1.773081541,-8.798408508,1.428515077
10.2601722,1.720439434,-8.863015175,1.459621787
10.26492668,1.641476393,-8.961120605,1.497906923
10.26968111,1.574477315,-9.03051281,1.562513232
10.27443558,1.526620865,-9.109476089,1.629512191
10.27919006,1.497906923,-9.200403214,1.670190215
10.28394454,1.478764415,-9.233902931,1.734796405
10.28869902,1.485942841,-9.2865448,1.756331801
10.2934535,1.47158587,-9.320044518,1.801795483
10.29820798,1.45483613,-9.279366493,1.828116536
10.30296246,1.457229018,-9.209974289,1.883151412
10.30771694,1.485942841,-9.159725189,1.904686809
10.31247142,1.538584948,-9.116654396,1.940579176
10.3172259,1.596012712,-9.052047729,1.974078655
10.32198032,1.741974831,-9.102297783,2.033899307
10.3267348,1.974078655,-9.195617676,2.091326952
10.33148928,2.163111687,-9.322437286,2.14157629
10.33624376,2.368894339,-9.46361351,2.196611166
10.34099824,2.54117775,-9.609575272,2.251646042
10.34575272,2.711068153,-9.729216576,2.292324066
10.3505072,2.866601467,-9.834501266,2.321038008
10.35526168,3.041277647,-9.875179291,2.36650157
10.36001616,3.199203968,-9.923035622,2.411965132
10.36477064,3.385843992,-9.942177773,2.440679073
10.36952506,3.572484255,-9.951749802,2.476571321
10.37427954,3.744767427,-9.932606697,2.483749866
10.37903402,3.890729666,-9.863214493,2.452643156
10.3837885,3.98165679,-9.779465675,2.376072884
10.38854298,4.003192425,-9.664610863,2.318645239
10.39329746,4.015156269,-9.521040916,2.246860504
10.39805194,3.976871252,-9.346364975,2.136790514
10.40280642,3.893122435,-9.176474571,2.04586339
10.4075609,3.766302824,-9.004191399,1.926222205
10.41231538,3.637090445,-8.853444099,1.794616938
10.41706986,3.493520975,-8.738588333,1.639083505
10.42182428,3.390629768,-8.633303642,1.493121386
10.42657876,3.326023579,-8.590232849,1.361516118
10.43133324,3.282952785,-8.559126854,1.256231904
10.43608772,3.282952785,-8.571090698,1.15094769
10.4408422,3.285345554,-8.580661774,1.031306505
10.44559668,3.292523861,-8.609375954,0.9308080077
10.45035116,3.294916868,-8.638090134,0.8494520187
10.45510564,3.438486099,-8.568697929,0.8446664214
10.45986012,3.536591768,-8.628518105,0.7992027402
10.4646146,3.515056372,-8.697910309,0.7106683254
10.46936908,3.471985579,-8.755337715,0.6699903607
10.4741235,3.464807272,-8.800801277,0.7106683254
10.47887798,3.50069952,-8.824729919,0.7633104324
10.48363246,3.555734396,-8.841479301,0.8518448472
10.48838694,3.603590965,-8.855836868,0.9858429432
10.49314142,3.672982693,-8.853444099,1.129412293
10.4978959,3.708875179,-8.889336586,1.234696507
10.50265038,3.778266907,-8.956335068,1.361516118
10.50740486,3.857230186,-9.061619759,1.509871125
10.51215934,3.921836376,-9.202795982,1.636690736
10.51691381,3.972085476,-9.334401131,1.737189293
10.52166829,4.015156269,-9.456435204,1.842473388
10.52642272,4.048655987,-9.552147865,1.916650891
10.5311772,4.07736969,-9.643074989,1.995614052
10.53593168,4.09172678,-9.6693964,2.074577332
10.54068616,4.074976921,-9.64068222,2.124826431
10.54544064,3.986442566,-9.561718941,2.155933142
10.55019512,3.888336897,-9.446864128,2.14157629
10.5549496,3.747160196,-9.298508644,2.117648125
10.55970408,3.620340586,-9.121439934,2.060220242
10.56445855,3.486342669,-9.025727272,1.974078655
10.56921303,3.337987661,-8.95154953,1.856830359
10.57396751,3.206382275,-8.92283535,1.751546144
10.57872199,3.060420275,-8.934800148,1.648654819
10.58347647,2.933600664,-8.987442017,1.545763373
10.5882309,2.842673302,-9.047262192,1.462014675
10.59298538,2.787638426,-9.090332985,1.397408366
10.59773986,2.715853691,-9.176474571,1.325623751
10.60249434,2.651247501,-9.238688469,1.292124271
