"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.619827200E-2,-1.972882271E0,5.568098068E0,6.696314335E0
3.097478200E-2,-1.967498422E0,5.505286694E0,6.806384087E0
3.575129200E-2,-2.066800594E0,5.510072231E0,7.027719975E0
4.052780300E-2,-2.240280151E0,5.538187981E0,7.393822193E0
4.530431300E-2,-2.404188633E0,5.575874805E0,7.821538925E0
5.008082400E-2,-2.459821701E0,5.609374523E0,8.152346611E0
5.485728200E-2,-2.420340061E0,5.614160061E0,8.358727455E0
5.963379200E-2,-2.310270309E0,5.580660820E0,8.472985268E0
6.443691700E-2,-2.143969059E0,5.552545071E0,8.467600822E0
6.921342800E-2,-1.967498422E0,5.499902725E0,8.404191017E0
7.398988600E-2,-1.867598057E0,5.442475319E0,8.389236450E0
7.876639700E-2,-1.876571178E0,5.383851051E0,8.428119659E0
8.354290700E-2,-1.800000787E0,5.340780258E0,8.514261246E0
8.829280300E-2,-1.766501307E0,5.297709465E0,8.519046783E0
9.309592800E-2,-1.741974831E0,5.249254704E0,8.576474190E0
9.787243800E-2,-1.670190215E0,5.172684193E0,8.633902550E0
1.026490530E-1,-1.640279889E0,5.129015446E0,8.854042053E0
1.073988440E-1,-1.539183140E0,5.062016487E0,8.944969177E0
1.121753550E-1,-1.453041553E0,4.984847546E0,9.035896301E0
1.169518650E-1,-1.233500123E0,4.913063049E0,9.120841980E0
1.217283760E-1,-9.768698215E-1,4.856233597E0,9.124430656E0
1.265048340E-1,-7.238288522E-1,4.808377266E0,9.132805824E0
1.312813440E-1,-6.000002623E-1,4.832903385E0,9.213563919E0
1.360578550E-1,-3.619144261E-1,4.886143684E0,9.284152031E0
1.408343650E-1,7.716853172E-2,4.950151920E0,9.589237213E0
1.456108760E-1,7.393822074E-1,4.975276470E0,9.677172661E0
1.503873860E-1,1.128814101E0,4.904089928E0,9.511469841E0
1.551638970E-1,1.128215909E0,4.803591251E0,9.363115311E0
1.599404070E-1,9.086744189E-1,4.711467743E0,9.186644554E0
1.647168650E-1,7.112665176E-1,4.561916351E0,8.779864311E0
1.694933760E-1,4.761717021E-1,4.450650215E0,8.296514511E0
1.742698860E-1,1.238285750E-1,4.435096741E0,8.384450912E0
1.790463970E-1,-9.032905847E-2,4.449453831E0,8.304290771E0
1.838229070E-1,-1.226321608E-1,4.430311203E0,7.666603565E0
1.885994170E-1,-1.028913707E-1,4.464408875E0,7.061219692E0
1.933759280E-1,-9.152546525E-2,4.450051785E0,6.514459610E0
1.981524380E-1,9.571290575E-3,4.407579422E0,5.942574978E0
2.029289490E-1,1.495514214E-1,4.369294167E0,5.538786411E0
2.077054070E-1,2.673979402E-1,4.340580463E0,5.221737385E0
2.124819170E-1,3.140579760E-1,4.297509670E0,5.053043365E0
2.172584280E-1,3.284149170E-1,4.268795490E0,5.048257351E0
2.220349380E-1,3.152543902E-1,4.210171223E0,5.207380295E0
2.268114490E-1,2.979064286E-1,4.142574310E0,5.399404526E0
2.315879590E-1,2.566302419E-1,4.051048756E0,5.658427238E0
2.363644690E-1,1.674975902E-1,3.954737663E0,5.922834396E0
2.411409280E-1,3.589234129E-2,3.853042603E0,6.081956863E0
2.459174380E-1,-2.333002165E-2,3.760919094E0,6.442675114E0
2.506939490E-1,-7.417750359E-2,3.683750391E0,6.687341213E0
2.554704590E-1,-1.004985496E-1,3.664607763E0,7.013961315E0
2.602469690E-1,-1.130608693E-1,3.649652719E0,7.277770042E0
2.650234800E-1,-1.240080357E0,3.550350666E0,8.147561073E0
2.697999900E-1,-4.154538155E0,3.513261795E0,1.066780186E1
2.745765010E-1,-4.387240410E0,3.521636724E0,1.244985580E1
2.793396780E-1,-3.299104214E0,3.273381472E0,1.363430309E1
2.841294690E-1,-2.491526604E0,3.395415306E0,1.348116302E1
2.889059800E-1,-1.635494232E0,4.134797573E0,1.216630650E1
2.936692090E-1,8.027920127E-1,4.252045631E0,1.107398319E1
2.984590010E-1,2.216351986E0,3.914059639E0,1.030349445E1
3.032355110E-1,2.110469580E0,3.340978622E0,9.723833084E0
3.079986880E-1,2.403590441E0,2.782852650E0,9.199206352E0
3.127885320E-1,2.278565407E0,2.277369022E0,8.711071014E0
3.175650420E-1,2.067996979E0,1.948953986E0,8.323433876E0
3.223282190E-1,1.630708575E0,1.702493310E0,8.206185341E0
3.271180110E-1,1.397408366E0,1.658226132E0,8.125427246E0
3.318945220E-1,1.415354609E0,1.918445587E0,8.082356453E0
3.366710320E-1,1.575673699E0,2.280359983E0,8.076375008E0
3.414475420E-1,1.974078655E0,2.868994236E0,8.150551796E0
3.462240530E-1,2.182852507E0,3.471985579E0,8.422736168E0
3.509872300E-1,3.136392355E0,3.551547050E0,8.009973526E0
3.557770740E-1,3.482155085E0,3.562314749E0,7.787441254E0
3.605535840E-1,3.019742250E0,3.690928936E0,7.698308468E0
3.653300420E-1,2.292324066E0,3.949353695E0,7.913064480E0
3.701065530E-1,1.694118381E0,4.192823410E0,8.232506752E0
3.748830630E-1,1.066002488E0,4.466203690E0,9.186046600E0
3.796462400E-1,-2.638086975E-1,4.910071850E0,1.135693455E1
3.844360840E-1,-1.815554142E0,5.430510998E0,1.303490162E1
3.892125940E-1,-1.116850019E0,5.220541000E0,1.210528946E1
3.939891050E-1,6.095715761E-1,4.532006264E0,1.000917721E1
3.987656150E-1,1.335195065E0,3.956532240E0,7.783852100E0
4.035420740E-1,1.234696507E0,3.595814228E0,5.946164131E0
4.083053030E-1,1.057627559E0,3.393620729E0,4.843671322E0
4.130950940E-1,1.158724308E0,3.370290756E0,4.277170658E0
4.178716050E-1,1.404586911E0,3.457628727E0,4.026522160E0
