"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-3.361473274E0,5.322960670E1,1.040117450E1,3.634383317E1,0.000000000E0,0.000000000E0,4.961100006E1,7.724891663E0
3.176940632E0,5.322937076E1,1.040129609E1,-2.344629055E0,0.000000000E0,0.000000000E0,1.427073383E1,4.350315094E1
4.178022138E0,5.322940822E1,1.040134035E1,3.019733121E0,0.000000000E0,0.000000000E0,1.204824066E1,3.488237762E1
5.177495883E0,5.322946860E1,1.040132445E1,-2.632135638E1,0.000000000E0,0.000000000E0,1.015308189E1,2.443104935E1
6.179201087E0,5.322944730E1,1.040138456E1,-1.765166882E1,0.000000000E0,0.000000000E0,1.026550007E1,2.241400909E1
7.181129156E0,5.322943734E1,1.040138552E1,-1.917396214E1,0.000000000E0,0.000000000E0,9.652849197E0,2.077220154E1
8.178909672E0,5.322944625E1,1.040137550E1,-2.009734631E1,0.000000000E0,0.000000000E0,8.069767952E0,1.709001923E1
9.177945344E0,5.322945504E1,1.040138024E1,-1.782108927E1,0.000000000E0,0.000000000E0,7.565927029E0,1.662157249E1
1.018158737E1,5.322945657E1,1.040140959E1,-7.525014535E0,0.000000000E0,0.000000000E0,7.084075451E0,1.542685890E1
1.117850679E1,5.322945944E1,1.040141505E1,-4.657397114E0,0.000000000E0,0.000000000E0,6.765024662E0,1.494661808E1
1.217864148E1,5.322945675E1,1.040143433E1,2.803979529E-1,0.000000000E0,0.000000000E0,6.194715500E0,1.355705452E1
1.317871590E1,5.322944799E1,1.040146148E1,4.980693519E0,0.000000000E0,0.000000000E0,5.679986000E0,1.253109455E1
1.417920595E1,5.322944167E1,1.040146580E1,5.874237224E0,0.000000000E0,0.000000000E0,5.410086155E0,1.169644165E1
1.517963891E1,5.322944125E1,1.040145814E1,9.356599811E0,0.000000000E0,0.000000000E0,5.053856373E0,1.056599712E1
1.617865208E1,5.322944119E1,1.040146165E1,1.061636425E1,0.000000000E0,0.000000000E0,4.828531742E0,9.913353920E0
1.717777531E1,5.322944414E1,1.040144807E1,1.293613616E1,0.000000000E0,0.000000000E0,4.763854980E0,9.606665611E0
1.817759952E1,5.322944618E1,1.040144187E1,1.382218857E1,0.000000000E0,0.000000000E0,4.613365650E0,8.936789513E0
1.917901160E1,5.322944838E1,1.040143428E1,1.513963814E1,0.000000000E0,0.000000000E0,4.691683769E0,8.968883514E0
2.017842863E1,5.322944945E1,1.040143434E1,1.470854844E1,0.000000000E0,0.000000000E0,5.015272617E0,9.435706139E0
2.117747362E1,5.322944893E1,1.040143621E1,1.456749482E1,0.000000000E0,0.000000000E0,5.314057350E0,9.514908791E0
2.218088284E1,5.322944856E1,1.040143563E1,1.479637627E1,0.000000000E0,0.000000000E0,5.611767769E0,9.626302719E0
2.317890622E1,5.322944863E1,1.040143676E1,1.491661528E1,0.000000000E0,0.000000000E0,5.887248993E0,9.556253433E0
2.417779064E1,5.322944841E1,1.040144206E1,1.561015578E1,0.000000000E0,0.000000000E0,6.316420078E0,9.396132469E0
2.518025991E1,5.322945013E1,1.040142536E1,1.148382083E1,0.000000000E0,0.000000000E0,5.761352539E0,9.420879364E0
2.617860886E1,5.322944902E1,1.040143064E1,1.198113195E1,0.000000000E0,0.000000000E0,5.951652527E0,1.001986313E1
2.717854781E1,5.322944880E1,1.040143091E1,1.193627069E1,0.000000000E0,0.000000000E0,5.665514469E0,9.778627396E0
2.817830750E1,5.322944696E1,1.040144537E1,1.361009150E1,0.000000000E0,0.000000000E0,5.500039577E0,9.583847046E0
2.917842656E1,5.322944685E1,1.040144573E1,1.356431485E1,0.000000000E0,0.000000000E0,5.616974354E0,9.631993294E0
3.017892077E1,5.322944684E1,1.040144534E1,1.363603127E1,0.000000000E0,0.000000000E0,5.867527962E0,9.407557487E0
3.117811769E1,5.322944654E1,1.040144878E1,1.413993599E1,0.000000000E0,0.000000000E0,6.013581753E0,9.147078514E0
3.217863727E1,5.322944654E1,1.040144866E1,1.414036327E1,0.000000000E0,0.000000000E0,5.532692909E0,8.804721832E0
