Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00365043,1.029511929,-9.746564865,-0.4689932466
10.00842689,1.048654556,-9.746564865,-0.4743770957
10.0132034,1.053440213,-9.741779327,-0.4743770957
10.01797986,1.063011408,-9.756135941,-0.4743770957
10.02275632,1.048654556,-9.760921478,-0.4695914388
10.02753283,1.077368379,-9.765707016,-0.4594219327
10.03230929,1.072582722,-9.770493507,-0.4695914388
10.03708575,1.067797065,-9.775279045,-0.4642075896
10.04186226,1.086939692,-9.760921478,-0.4402793646
10.04663872,1.096511006,-9.770493507,-0.4354937077
10.05141523,1.096511006,-9.780064583,-0.4402793646
10.05619168,1.077368379,-9.775279045,-0.4354937077
10.06096814,1.072582722,-9.780064583,-0.4354937077
10.06574465,1.072582722,-9.770493507,-0.4354937077
10.07052111,1.072582722,-9.760921478,-0.4354937077
10.07529762,1.030110121,-9.760921478,-0.4540380836
10.08007408,1.043868899,-9.751350403,-0.4540380836
10.08485054,1.025324464,-9.751350403,-0.4492524564
10.089627,1.034297585,-9.746564865,-0.4588237405
10.09440351,1.043868899,-9.756135941,-0.4594219327
10.09917997,1.034297585,-9.756135941,-0.4540380836
10.10395648,1.039083242,-9.756135941,-0.4540380836
10.10873293,1.05822587,-9.751350403,-0.4743770957
10.11350939,1.053440213,-9.751350403,-0.4695914388
10.11828585,1.05822587,-9.756135941,-0.4887340367
10.12306236,1.072582722,-9.756135941,-0.4791627228
10.12783882,1.067797065,-9.756135941,-0.4743770957
10.13261533,1.082154036,-9.765707016,-0.4839483798
10.13739179,1.082154036,-9.760921478,-0.4839483798
10.14216825,1.077368379,-9.756135941,-0.4791627228
10.14694476,1.072582722,-9.746564865,-0.4743770957
10.15172122,1.072582722,-9.756135941,-0.4695914388
10.15649773,1.077368379,-9.751350403,-0.4791627228
10.16127418,1.086939692,-9.765707016,-0.4743770957
10.16605064,1.077368379,-9.765707016,-0.4695914388
10.17082715,1.082154036,-9.775279045,-0.4743770957
10.17560361,1.091725349,-9.770493507,-0.4743770957
10.18038007,1.091725349,-9.770493507,-0.4695914388
10.18515658,1.091725349,-9.760921478,-0.4791627228
