"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.615594864E-2,5.322926093E1,1.040152817E1,3.574577713E1,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
2.615594864E-2,5.322925830E1,1.040152969E1,3.574577713E1,-1.000000000E0,-1.000000000E0,3.600000000E1,3.600000000E1
5.757598877E-1,5.322952922E1,1.040148883E1,3.565645027E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.154706717E0,5.322968957E1,1.040146602E1,3.549548531E1,2.614270449E-1,3.290393496E2,2.097795292E1,2.097795292E1
4.154702425E0,5.322967096E1,1.040151698E1,3.489084083E1,1.711836606E-1,3.391642887E1,2.234288396E1,2.234288396E1
5.154698610E0,5.322967096E1,1.040151698E1,3.489084090E1,1.711836606E-1,-1.000000000E0,2.234288396E1,2.234288396E1
6.154694438E0,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.831644669E1,1.831644669E1
7.154690862E0,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.605568495E1,1.605568495E1
8.154686093E0,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.477207082E1,1.477207082E1
9.155771255E0,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.360926074E1,1.360926074E1
1.015470934E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.257972986E1,1.257972986E1
1.110470581E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.635858025E1,1.635858025E1
1.205494678E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.959259111E1,1.959259111E1
1.300503778E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.538998101E1,1.538998101E1
1.395503366E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.744107965E1,1.744107965E1
1.490491462E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,2.015347050E1,2.015347050E1
1.585471225E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.444845635E1,1.444845635E1
1.680470765E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.829698591E1,1.829698591E1
1.775530803E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.444575483E1,1.444575483E1
1.871757483E1,5.322967096E1,1.040151698E1,3.489084090E1,0.000000000E0,-1.000000000E0,1.625475647E1,1.625475647E1
1.971757114E1,5.322948768E1,1.040142975E1,3.519681724E1,8.429685235E-1,3.312522761E2,8.916898257E0,8.916898257E0
2.071718073E1,5.322948659E1,1.040144431E1,3.520356203E1,6.640062332E-1,3.524267494E2,1.134525025E1,1.134525025E1
2.171741915E1,5.322948839E1,1.040145366E1,3.521812465E1,6.640062332E-1,3.385308034E2,1.309670388E1,1.309670388E1
2.271741486E1,5.322948283E1,1.040145730E1,3.521812462E1,0.000000000E0,3.385308064E2,1.086480071E1,1.086480071E1
2.371741092E1,5.322948283E1,1.040145730E1,3.521812462E1,0.000000000E0,-1.000000000E0,1.316486729E1,1.316486729E1
2.471740735E1,5.322947720E1,1.040150727E1,3.560107551E1,6.222020713E-2,-1.000000000E0,4.880504172E0,4.880504172E0
2.571740282E1,5.322948115E1,1.040150591E1,3.559517851E1,1.623101941E-1,-1.000000000E0,4.874212189E0,4.874212189E0
2.671739888E1,5.322948115E1,1.040150591E1,3.559517851E1,0.000000000E0,-1.000000000E0,4.860122705E0,4.860122705E0
2.771739447E1,5.322947431E1,1.040150626E1,3.565125710E1,7.154516058E-2,-1.000000000E0,4.863296382E0,4.863296382E0
2.871739101E1,5.322947429E1,1.040150631E1,3.565704635E1,0.000000000E0,-1.000000000E0,4.853712667E0,4.853712667E0
2.971738660E1,5.322947429E1,1.040150631E1,3.565704635E1,0.000000000E0,-1.000000000E0,4.846960761E0,4.846960761E0
3.071738207E1,5.322947429E1,1.040150631E1,3.565704635E1,0.000000000E0,-1.000000000E0,4.839026482E0,4.839026482E0
3.171737874E1,5.322946089E1,1.040151925E1,3.559285225E1,2.506083280E-1,-1.000000000E0,4.832272816E0,4.832272816E0
3.271737468E1,5.322945342E1,1.040152701E1,3.578070795E1,1.316223658E-1,-1.000000000E0,4.837372804E0,4.837372804E0
3.371737015E1,5.322944740E1,1.040153506E1,3.578418154E1,1.459818061E-1,-1.000000000E0,4.836293845E0,4.836293845E0
3.471736622E1,5.322944284E1,1.040153437E1,3.590901378E1,1.105717053E-1,-1.000000000E0,4.839635610E0,4.839635610E0
3.571736228E1,5.322944062E1,1.040152505E1,3.586938429E1,1.752125701E-1,-1.000000000E0,4.841858336E0,4.841858336E0
3.671735811E1,5.322944298E1,1.040152704E1,3.560603966E1,7.735586049E-2,-1.000000000E0,4.841222687E0,4.841222687E0
3.771735334E1,5.322943485E1,1.040151859E1,3.652978430E1,6.646360472E-1,2.188478165E2,4.828430406E0,4.828430406E0
