"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.423166657E-3,-5.448070679E0,6.685846710E0,6.189329224E0
1.134916666E-2,-5.168452148E0,6.812633057E0,6.313870239E0
2.127516665E-2,-4.542453918E0,6.764732666E0,6.436764679E0
3.120216666E-2,-3.881278839E0,6.006259918E0,6.487060089E0
4.112816666E-2,-2.799029388E0,5.142406311E0,6.968309326E0
5.105516667E-2,-2.169588318E0,4.460424500E0,7.680977325E0
6.098116667E-2,-2.346670074E0,4.191882935E0,7.782915344E0
7.090816667E-2,-2.800675964E0,4.413721619E0,7.512577515E0
8.083416667E-2,-2.991529083E0,4.750371552E0,7.426805878E0
9.076016667E-2,-2.710713043E0,4.755161591E0,7.672145691E0
1.006871667E-1,-2.526895294E0,4.656217346E0,8.286468201E0
1.106131667E-1,-2.962938538E0,4.788392487E0,8.842262421E0
1.205401667E-1,-3.370091858E0,4.985532532E0,9.060508575E0
1.304661667E-1,-3.293451233E0,5.130131836E0,9.183253326E0
1.403931667E-1,-3.480711823E0,5.333558807E0,1.052760773E1
1.503191667E-1,-3.786525879E0,4.838089142E0,6.448440399E0
1.602451667E-1,-2.418969727E0,5.110971680E0,8.122708740E0
1.701721667E-1,-2.169588318E0,5.637127533E0,9.440268860E0
1.800981667E-1,-9.865983582E-1,5.995931396E0,1.026280838E1
1.900251667E-1,-4.318519592E-1,5.821693726E0,1.112666199E1
1.999511667E-1,-1.157093811E-1,5.076094208E0,1.136601425E1
2.098781667E-1,4.195774841E-1,3.783831482E0,1.107666595E1
2.198041667E-1,6.732998657E-1,2.270478516E0,1.031954041E1
2.297311667E-1,6.499484253E-1,1.022972717E0,9.335187378E0
2.396571667E-1,3.258723450E-1,2.204914856E-1,8.664731598E0
2.495831667E-1,-2.829116821E-1,-8.068222046E-2,8.266709290E0
2.595101667E-1,-1.180744629E0,-1.371148682E-1,7.978259125E0
2.694361667E-1,-1.913321228E0,3.517684937E-2,8.023465118E0
2.793631667E-1,-2.421065369E0,-6.855743408E-2,8.590036926E0
2.892891667E-1,-2.156864777E0,-4.349954224E-1,9.169182587E0
2.992161667E-1,-9.065148926E-1,-3.480262756E-1,9.463320923E0
3.091421667E-1,7.445516968E-1,5.075944519E-1,9.913883972E0
3.190681667E-1,4.424798584E-1,1.553170166E0,9.784852295E0
3.289951667E-1,2.037263489E-1,2.487227783E0,9.151369629E0
3.389211667E-1,1.296753387E0,3.282374268E0,8.227041779E0
3.488481667E-1,2.544259186E0,3.775748291E0,7.131470032E0
3.587741667E-1,2.926414490E0,4.108656006E0,6.180048523E0
3.687011667E-1,2.152074738E0,4.173920288E0,5.277575226E0
3.786271667E-1,-1.086740112E-1,3.534001007E0,5.109624481E0
3.885541667E-1,-1.441292816E1,-6.663543091E0,1.630065262E1
3.984801667E-1,-1.036130356E1,-2.744842072E0,1.255214767E1
4.084061667E-1,-1.171164551E0,7.895780640E0,7.772886200E0
4.183331667E-1,-7.409591675E-2,4.646337891E0,1.106244553E1
4.282591667E-1,-3.083587646E-2,2.044897614E0,9.732910309E0
4.381861667E-1,1.709445190E0,3.275338898E0,7.991132355E0
4.481121667E-1,1.254092102E0,2.058818665E0,9.815688171E0
4.580391667E-1,3.022215271E-1,8.524772644E-1,9.746681671E0
4.679651667E-1,1.383572845E0,1.503922577E0,9.297016754E0
4.778911667E-1,-1.227447510E-2,1.943857727E0,9.188941498E0
4.878181667E-1,-1.823208618E0,9.330097961E-1,8.896300049E0
4.977441667E-1,-8.119116211E-1,1.263223114E0,8.123457184E0
5.076711667E-1,8.484356689E-1,1.831142120E0,7.243287506E0
5.175971667E-1,9.836045837E-1,1.779050446E0,6.547833710E0
5.275241667E-1,9.351054382E-1,2.916984100E0,5.197491760E0
5.374501667E-1,1.497186584E0,2.725232849E0,5.170248413E0
5.473771667E-1,2.123334503E0,6.858737183E-1,5.907914429E0
5.573031667E-1,2.811303864E0,-2.972817993E-1,5.799240417E0
5.672291667E-1,3.907773743E0,3.435356140E-1,6.461613007E0
5.771561667E-1,5.275329895E0,1.301244049E0,9.305998077E0
5.870821667E-1,5.576653290E0,1.766177216E0,9.425000610E0
5.970091667E-1,6.096222839E0,1.370699615E0,8.003406830E0
6.069351667E-1,4.226910095E0,1.094673615E0,6.644832001E0
6.168621667E-1,3.087479553E0,1.467099152E0,6.347250824E0
6.267881667E-1,3.926335144E0,1.552122345E0,7.027436371E0
6.367141667E-1,6.414461060E0,1.002914429E0,6.534212036E0
6.466411667E-1,6.063291321E0,-3.303630066E-1,5.947132874E0
6.565671667E-1,4.902604980E0,-6.506968689E-1,5.809269562E0
6.664939167E-1,6.424340515E0,-4.113446045E-1,4.237837372E0
6.764199167E-1,6.030210114E0,-4.155358887E-1,5.241200867E0
6.863469167E-1,5.498964844E0,-7.948471069E-1,6.601272583E0
6.962729167E-1,6.161786499E0,-8.325686646E-1,7.167545013E0
7.061989167E-1,7.056775360E0,-6.897656250E-1,6.482868805E0
7.161259167E-1,8.002508698E0,-1.293609924E0,6.615493011E0
7.260519167E-1,8.954079895E0,-1.709744568E0,7.024292908E0
7.359789167E-1,9.179511108E0,-1.391506348E0,7.001540222E0
7.459049167E-1,9.556127930E0,-1.262025604E0,6.647227020E0
7.558319167E-1,9.958042145E0,-1.112336884E0,6.284082184E0
7.657579167E-1,1.053090088E1,-5.222639465E-1,6.298003235E0
7.756849167E-1,1.078522202E1,-1.829196167E-1,7.002887421E0
7.856109167E-1,9.648336182E0,-6.846762085E-1,8.618926849E0
7.955369167E-1,9.297914886E0,-4.628375244E-1,9.501042480E0
8.054639167E-1,1.016820511E1,8.232879639E-2,1.051189041E1
8.153899167E-1,1.004246658E1,3.876937866E-2,1.187675217E1
8.253169167E-1,7.869435425E0,1.225950623E-1,1.188423660E1
8.352429167E-1,5.765859833E0,-3.085084534E-1,1.147468826E1
8.451699167E-1,4.691693573E0,-1.260079651E0,1.226878693E1
8.550959167E-1,3.974684601E0,-1.559307404E0,1.294762527E1
8.650219167E-1,3.078049164E0,-1.273701324E0,1.185355042E1
8.749489167E-1,1.932182007E0,-1.354084167E0,1.091380463E1
8.848749167E-1,1.686542816E0,-2.056872711E0,1.153471344E1
8.948019167E-1,4.143683167E0,-2.861748962E0,1.243748611E1
9.047279167E-1,6.524033203E0,-2.103425903E0,1.022553589E1
9.146549167E-1,4.256249084E0,-1.435215454E0,1.124865829E1
9.245809167E-1,2.697390747E-1,-3.114273834E0,1.207224564E1
9.345079167E-1,-2.008822632E-1,-3.259920959E0,1.170640640E1
9.444339167E-1,1.132245483E0,-1.863474884E0,1.058553726E1
9.543599167E-1,1.643282776E0,-1.751657410E0,9.303902435E0
9.642869167E-1,1.189276886E0,-2.095193024E0,9.262738037E0
9.742129167E-1,1.195114746E0,-1.590143280E0,1.019470001E1
9.841399167E-1,1.486408997E0,-1.272503815E0,1.060574524E1
9.940659167E-1,1.712888031E0,-1.651515656E0,9.807904358E0
1.003992917E0,1.867067413E0,-2.254761200E0,9.926308136E0
1.013918917E0,1.922601929E0,-2.069446564E0,1.019889130E1
1.023845917E0,-4.170327759E-1,-2.632575531E0,9.233997803E0
1.033771917E0,-1.347348175E0,-3.996389465E0,1.184950882E1
1.043697917E0,1.076261902E-1,-2.118843842E0,1.047491730E1
1.053624917E0,2.008523254E0,2.669698334E0,1.126751907E1
1.063550917E0,2.568808136E0,2.402503967E0,1.256711655E1
1.073477917E0,1.400637360E0,-8.072712708E-1,1.104463257E1
1.083403917E0,8.442443848E-2,-3.238665161E0,8.920998688E0
1.093330917E0,-1.079704742E0,-3.738176422E0,6.570287018E0
1.103256917E0,-2.439626770E0,-2.921474762E0,6.189179535E0
1.113182917E0,-2.950813751E0,-1.675016785E0,6.169121246E0
1.123109917E0,-2.597698059E0,-7.713459778E-1,7.131769409E0
1.133035917E0,-2.510728912E0,-3.113525391E-2,8.452023926E0
1.142962917E0,-2.999013519E0,-1.130149841E-1,1.260274246E1
1.152888917E0,-5.050946503E0,-1.547931061E0,1.690793976E1
1.162815917E0,-5.651797028E0,-2.815345459E0,1.064915497E1
1.172741917E0,-4.255800018E0,-3.520978088E0,7.517367554E0
1.182668917E0,-3.431913300E0,-4.589605865E0,1.046623535E1
1.192594917E0,-2.709515533E0,-4.940625916E0,1.272084686E1
1.202520917E0,-1.461710358E0,-4.919968872E0,1.027104126E1
1.212447917E0,-2.552192688E-1,-5.130730591E0,9.010213165E0
1.222373917E0,1.771566010E0,-5.748346252E0,9.374555511E0
1.232300917E0,2.905009003E0,-5.687572632E0,9.706714783E0
1.242226917E0,2.201022949E0,-5.009333038E0,9.361532593E0
1.252153917E0,2.541714478E-1,-4.263284454E0,8.546477509E0
1.262079917E0,-9.901908875E-1,-3.662433929E0,7.905061340E0
1.272005917E0,-2.706671448E0,-3.447331238E0,7.953710175E0
1.281932917E0,-4.483476562E0,-5.051694946E0,8.395740967E0
1.291858917E0,-4.261637878E0,-6.275100861E0,8.213869171E0
1.301785917E0,-2.814896393E0,-6.651118927E0,7.850724335E0
1.311711917E0,-2.804118805E0,-6.785988464E0,7.195686493E0
1.321638917E0,-3.389850769E0,-6.874753876E0,5.649551697E0
