Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
9.004717917,3.2501230981458256e+28,5.066827781630029e+28,4.2304261440646836e+29
9.014644917,3.2167226255580863e+28,5.0219163313013825e+28,4.1890094264358486e+29
9.024570917,3.1836558250542666e+28,4.9773894803387235e+28,4.14802837164048e+29
9.034497917,3.1509196896624034e+28,4.933243805530522e+28,4.107478116332115e+29
9.044423917,3.1185112354781645e+28,4.889475920850212e+28,4.0673538476455066e+29
9.054349917,3.086427501454175e+28,4.846082476926637e+28,4.0276508027874465e+29
9.064276917,3.054665549193337e+28,4.803060160521419e+28,3.988364268630603e+29
9.074202917,3.0232224627461226e+28,4.760405694013267e+28,3.949489581310276e+29
9.084129917,2.9920953484118134e+28,4.718115834889198e+28,3.9110221258239216e+29
9.094055917,2.9612813345436844e+28,4.676187375242714e+28,3.872957335633382e+29
9.103982917,2.930777571358126e+28,4.634617141278978e+28,3.835290692269783e+29
9.113908917,2.9005812307476624e+28,4.59340199282701e+28,3.798017724941076e+29
9.123835917,2.8706895060978224e+28,4.5525388228588945e+28,3.761134010142173e+29
9.133761917,2.8410996121077955e+28,4.512024557016052e+28,3.724635171267614e+29
9.143688917,2.811808784614846e+28,4.471856153142599e+28,3.688516878226757e+29
9.153614917,2.7828142804224363e+28,4.432030600825794e+28,3.652774847061427e+29
9.163541917,2.7541133771320495e+28,4.392544920943588e+28,3.617404839566006e+29
9.173467917,2.725703372978699e+28,4.35339616521925e+28,3.582402662909905e+29
9.183393917,2.69758158667009e+28,4.314581415783022e+28,3.547764169262438e+29
9.193320917,2.6697453572293876e+28,4.276097784740776e+28,3.513485255420066e+29
9.203246917,2.64219204384156e+28,4.237942413749624e+28,3.4795618624360214e+29
9.213173917,2.6149190257032563e+28,4.2001124736004425e+28,3.445989975252287e+29
9.223099917,2.5879237018761633e+28,4.162605163807245e+28,3.412765622333925e+29
9.233026917,2.5612034911437646e+28,4.125417712203354e+28,3.379884875305766e+29
9.242952917,2.534755831871445e+28,4.088547374544368e+28,3.3473438485914676e+29
9.252879917,2.508578181869869e+28,4.051991434117915e+28,3.3151386990549674e+29
9.262805917,2.4826680182615738e+28,4.015747201360204e+28,3.283265625644354e+29
9.272732917,2.457022837350686e+28,3.9798120134793605e+28,3.251720869038176e+29
9.282658917,2.4316401544956685e+28,3.9441832340855235e+28,3.220500711294232e+29
9.292585917,2.406517503984983e+28,3.908858252827634e+28,3.189601475500847e+29
9.302511917,2.3816524389155573e+28,3.873834485036861e+28,3.159019525430634e+29
9.312438917,2.357042531073981e+28,3.8391093713765855e+28,3.1287512651967395e+29
9.322364917,2.332685370820325e+28,3.804680377498887e+28,3.0987931389115966e+29
9.332290917,2.3085785669744994e+28,3.77054499370742e+28,3.0691416303481857e+29
9.342217917,2.2847197467050755e+28,3.7367007346265852e+28,3.039793262603799e+29
9.352143917,2.2611065554204773e+28,3.7031451388768526e+28,3.0107445977662786e+29
9.362070917,2.237736656662475e+28,3.6698757687560823e+28,2.981992236582678e+29
9.371996917,2.2146077320019024e+28,3.6368902099267106e+28,2.953532818130306e+29
9.381923917,2.1917174809365163e+28,3.6041860711086646e+28,2.9253630194900846e+29
9.391849917,2.1690636207909287e+28,3.5717609837778565e+28,2.897479555422168e+29
9.401776917,2.1466438866185305e+28,3.539612601870139e+28,2.869879178043753e+29
9.411702917,2.1244560311053255e+28,3.5077386014906123e+28,2.8425586765090162e+29
9.421629917,2.10249782447558e+28,3.4761366806281685e+28,2.8155148766911207e+29
9.431555917,2.0807670543991996e+28,3.4448045588751758e+28,2.788744640866251e+29
9.441482917,2.0592615259007186e+28,3.413739977152202e+28,2.762244867399607e+29
9.451408917,2.037979061269783e+28,3.3829406974376793e+28,2.7360124904333254e+29
9.461334917,2.0169174999730145e+28,3.3524045025024135e+28,2.7100444795762702e+29
9.471261917,1.996074698567141e+28,3.3221291956488535e+28,2.6843378395956357e+29
9.481187917,1.9754485306133011e+28,3.292112600455034e+28,2.658889610110285e+29
9.491114917,1.955036886592435e+28,3.2623525605231087e+28,2.6336968652857657e+29
9.501040917,1.934837673821689e+28,3.2328469392323847e+28,2.6087567135309427e+29
9.510967917,1.914848816371751e+28,3.203593619496775e+28,2.584066297196197e+29
9.520893917,1.8950682549850478e+28,3.1745905035265763e+28,2.559622792273138e+29
9.530820917,1.87549394699473e+28,3.145835512594471e+28,2.535423408095771e+29
9.540746917,1.856123866244375e+28,3.1173265868056613e+28,2.511465387043076e+29
9.550673917,1.8369560030083245e+28,3.0890616848720452e+28,2.4877460042429338e+29
9.560599917,1.8179883639125896e+28,3.061038783890351e+28,2.4642625672773553e+29
9.570526917,1.7992189718562612e+28,3.0332558791241517e+28,2.4410124158889416e+29
9.580452917,1.7806458659333622e+28,3.005710983789724e+28,2.4179929216885247e+29
9.590378917,1.762267101355062e+28,2.9784021288456964e+28,2.3952014878639058e+29
9.600305917,1.7440807493721756e+28,2.951327362786417e+28,2.3726355488896066e+29
9.610231917,1.726084897197883e+28,2.9244847514389386e+28,2.3502925702375525e+29
9.620158917,1.708277647930612e+28,2.8978723777635193e+28,2.3281700480886227e+29
9.630084917,1.6906571204770181e+28,2.8714883416575692e+28,2.306265509045005e+29
9.640011917,1.6732214494749975e+28,2.845330759762963e+28,2.2845765098433143e+29
9.649937917,1.65596878521667e+28,2.81939776527662e+28,2.263100637068436e+29
9.659864917,1.6388972935712834e+28,2.7936875077642974e+28,2.241835506868054e+29
9.669786667,1.6220051559079938e+28,2.7681981529775117e+28,2.2207787646678164e+29
9.679713667,1.6052905690184783e+28,2.7429278826735313e+28,2.1999280848871057e+29
9.689639667,1.5887517450393424e+28,2.7178748944383448e+28,2.1792811706553892e+29
9.699566667,1.5723869113743027e+28,2.6930374015125414e+28,2.158835753529114e+29
9.709492667,1.5561943106161274e+28,2.6684136326200117e+28,2.1385895932091286e+29
9.719418667,1.5401722004683115e+28,2.6440018317993797e+28,2.1185404772586113e+29
9.729345667,1.5243188536664582e+28,2.619800258238066e+28,2.0986862208215108e+29
9.739271667,1.5086325578993473e+28,2.5958071861089066e+28,2.0790246663414903e+29
9.749198667,1.4931116157296902e+28,2.5720209044092773e+28,2.0595536832813594e+29
9.759124667,1.4777543445145613e+28,2.548439716802696e+28,2.0402711678429666e+29
9.769051667,1.462559076325497e+28,2.5250619414628487e+28,2.02117504268754e+29
9.778977667,1.4475241578682444e+28,2.5018859109199794e+28,2.0022632566564674e+29
9.788904667,1.4326479504021602e+28,2.478909971909589e+28,1.983533784492503e+29
9.798830667,1.4179288296592703e+28,2.4561324852234232e+28,1.9649846265613803e+29
9.808757667,1.4033651857629937e+28,2.4335518255627254e+28,1.9466138085738087e+29
9.818683667,1.3889554231465275e+28,2.411166381393727e+28,1.9284193813078338e+29
9.828610667,1.3746979604708953e+28,2.388974554805328e+28,1.910399420331571e+29
9.838536667,1.36059123054267e+28,2.366974761368902e+28,1.892552025726316e+29
9.848463667,1.3466336802314023e+28,2.3451654300001665e+28,1.8748753218100568e+29
9.858389667,1.3328237703867863e+28,2.3235450028230364e+28,1.857367456861435e+29
9.868315667,1.3191599757555962e+28,2.3021119350354125e+28,1.8400266028441927e+29
9.878242667,1.3056407848984142e+28,2.2808646947768164e+28,1.8228509551321535e+29
9.888168667,1.2922647001061757e+28,2.2598017629978044e+28,1.8058387322348143e+29
9.898095667,1.2790302373165424e+28,2.2389216333310835e+28,1.7889881755236182e+29
9.908021667,1.265935926030122e+28,2.218222811964253e+28,1.772297548958983e+29
9.917948667,1.252980309226553e+28,2.1977038175141076e+28,1.755765138818158e+29
9.927874667,1.2401619432804808e+28,2.177363180902456e+28,1.7393892534239927e+29
9.937801667,1.2274793978774393e+28,2.157199445233396e+28,1.7231682228747093e+29
9.947727667,1.2149312559296494e+28,2.137211165672006e+28,1.7071003987747685e+29
9.957654667,1.2025161134917484e+28,2.1173969093244036e+28,1.69118415396694e+29
9.967580667,1.1902325796764712e+28,2.097755255119125e+28,1.6754178822656635e+29
9.977507667,1.178079276570299e+28,2.0782847936897987e+28,1.6597999981917875e+29
9.987433667,1.1660548391490981e+28,2.058984127259085e+28,1.644328936708756e+29
9.997359667,1.154157915193763e+28,2.0398518695238833e+28,1.629003152960305e+29
10.00728667,1.1423871652058744e+28,2.020886645541814e+28,1.6138211220097216e+29
10.01721267,1.130741262323382e+28,2.0020870916189696e+28,1.598781338580719e+29
10.02713967,1.1192188922363273e+28,1.9834518551989334e+28,1.5838823167999948e+29
10.03706567,1.1078187531026167e+28,1.964979594753085e+28,1.569122589941525e+29
10.04699267,1.0965395554638544e+28,1.9466689796722189e+28,1.5545007101726411e+29
10.05691867,1.0853800221612303e+28,1.9285186901595072e+28,1.540015248301945e+29
10.06684567,1.0743388882514537e+28,1.9105274171248197e+28,1.5256647935291055e+29
10.07677167,1.0634149009227265e+28,1.8926938620804163e+28,1.5114479531965915e+29
10.08669867,1.052606819410749e+28,1.8750167370380325e+28,1.4973633525433932e+29
10.09662467,1.041913414914745e+28,1.8574947644073746e+28,1.483409634460776e+29
10.10655167,1.0313334705134917e+28,1.840126676896027e+28,1.4695854592500982e+29
10.11647767,1.0208657810813444e+28,1.8229112174107918e+28,1.4558895043827028e+29
10.12640467,1.0105091532042553e+28,1.8058471389604582e+28,1.4423204642619039e+29
10.13633067,1.0002624050957862e+28,1.7889332045599925e+28,1.4288770499870839e+29
10.14625667,9.901243665131231e+27,1.772168187136138e+28,1.4155579891199255e+29
10.15618367,9.800938786731013e+27,1.7555508694344126e+28,1.4023620254527961e+29
10.16610967,9.701697941682494e+27,1.739080043927465e+28,1.3892879187792892e+29
10.17603667,9.60350976882865e+27,1.7227545127247434e+28,1.376334444666929e+29
10.18596267,9.506363019091314e+27,1.7065730874834323e+28,1.3635003942320388e+29
10.19588967,9.410246554632884e+27,1.6905345893206312e+28,1.3507845739167784e+29
10.20581567,9.31514934801868e+27,1.674637848726764e+28,1.3381858052683527e+29
10.21574267,9.221060481380126e+27,1.658881705480204e+28,1.3257029247203927e+29
10.22566867,9.12796914557893e+27,1.6432650085631095e+28,1.31333478337651e+29
10.23559567,9.035864639372377e+27,1.6277866160784584e+28,1.3010802467960152e+29
10.24552167,8.944736368579828e+27,1.61244539516826e+28,1.2889381947817971e+29
10.25544867,8.854573845250586e+27,1.5972402219329196e+28,1.2769075211703605e+29
10.26537467,8.765366686833269e+27,1.5821699813517495e+28,1.2649871336240206e+29
10.27530067,8.677104615346843e+27,1.5672335672046055e+28,1.2531759534252443e+29
10.28522767,8.58977745655347e+27,1.5524298819946333e+28,1.2414729152731316e+29
10.29515367,8.503375139133383e+27,1.5377578368720989e+28,1.2298769670820296e+29
10.30508067,8.41788769386194e+27,1.5232163515592739e+28,1.2183870697822767e+29
10.31500667,8.33330525278896e+27,1.508804354276346e+28,1.2070021971230772e+29
10.32493367,8.249618048420437e+27,1.4945207816683267e+28,1.1957213354775093e+29
10.33485967,8.166816412902695e+27,1.4803645787329222e+28,1.184543483649663e+29
