"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.616250030E-4,-1.508113861E0,5.440885620E0,8.316106567E0
9.264374996E-3,-1.352287903E0,5.530100098E0,8.484356689E0
1.918937502E-2,-1.369352417E0,5.472170563E0,8.436156921E0
2.911537501E-2,-1.447789307E0,5.169499969E0,8.354576569E0
3.904037501E-2,-1.347946930E0,4.965773621E0,8.388855286E0
4.896637500E-2,-1.614093475E0,4.980443115E0,8.794062653E0
5.889137500E-2,-2.025438080E0,4.848717041E0,9.327702942E0
6.881637502E-2,-2.241139526E0,4.808899841E0,9.260941772E0
7.874237502E-2,-2.372266846E0,4.971162415E0,9.370962982E0
8.866737501E-2,-2.086361389E0,4.905299377E0,9.495653687E0
9.859337501E-2,-1.679956512E0,4.711602173E0,9.513466644E0
1.085183750E-1,-1.321002960E0,4.421954498E0,9.570498047E0
1.184443750E-1,-1.378034363E0,4.122726746E0,9.503587189E0
1.283693750E-1,-4.679269409E-1,3.742367706E0,9.401649170E0
1.382953750E-1,7.116201782E-1,3.201242981E0,1.035486694E1
1.482203750E-1,1.019829254E0,2.644550629E0,1.116737732E1
1.581463750E-1,3.213816833E-1,3.722608795E0,1.140957367E1
1.680713750E-1,9.122030640E-1,4.646637268E0,1.127994324E1
1.779973750E-1,1.486109619E0,4.652475128E0,1.121213425E1
1.879223750E-1,1.624571686E0,3.885170746E0,1.093640762E1
1.978483750E-1,2.210752716E0,2.983595581E0,9.741592255E0
2.077733750E-1,2.805915070E0,3.427572327E0,6.693031769E0
2.176993750E-1,2.277663574E0,3.077899475E0,3.209775238E0
2.276243750E-1,2.243534546E0,1.317859497E0,3.645668793E0
2.375493750E-1,3.002156982E0,-5.965095520E-1,4.752766571E0
2.474753750E-1,4.063899078E0,-1.010548553E0,5.358407135E0
2.574003750E-1,5.354365540E0,-2.785707092E-1,5.932164001E0
2.673263750E-1,6.015989685E0,4.415817261E-1,6.819369049E0
2.772513750E-1,5.695057068E0,3.532653809E-2,7.991431732E0
2.871773750E-1,4.999004517E0,-7.095245361E-2,8.825497284E0
2.971023750E-1,3.750899963E0,6.288423157E-1,8.059839478E0
3.070283750E-1,2.304607544E0,8.165519714E-1,7.063511353E0
3.169533750E-1,1.388213196E0,3.791615295E-1,7.022945709E0
3.268793750E-1,8.056246948E-1,3.342549133E-1,7.302863617E0
3.368043750E-1,7.994874573E-1,9.924362183E-1,7.077133026E0
3.467303750E-1,1.060694275E0,1.262025604E0,6.271059265E0
3.566553750E-1,6.369255066E-1,1.234482880E0,5.823789368E0
3.665803750E-1,2.567161560E-1,1.353635101E0,6.122717743E0
3.765063750E-1,1.411564636E0,7.229965210E-2,5.789061584E0
3.864313750E-1,4.272116089E0,-1.410067749E-1,5.112169189E0
3.963573750E-1,5.692362671E0,2.025288391E-1,5.026547241E0
4.062823750E-1,5.520220642E0,4.843927002E-1,4.874912567E0
4.162083750E-1,4.742138672E0,3.233276367E-2,4.787494354E0
4.261333750E-1,4.281247101E0,-6.200106812E-1,4.418212280E0
4.360593750E-1,3.699856110E0,-1.680405579E0,3.667074280E0
4.459843750E-1,2.874173126E0,-3.173999634E0,3.013383636E0
4.559103750E-1,3.432362366E0,-4.134552155E0,2.012864227E0
4.658353750E-1,4.272864532E0,-3.654949493E0,7.610174561E-1
4.757613750E-1,5.256918182E0,-3.452420654E0,7.318281555E-1
4.856863750E-1,6.728058929E0,-3.971092072E0,1.142723694E0
4.956123750E-1,8.073760529E0,-3.680995331E0,1.872007141E0
