"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.245305061E-2,5.322986509E1,1.040066059E1,4.032693100E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.281899929E-1,5.322985955E1,1.040029953E1,4.015005875E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.847943068E0,5.322986435E1,1.040010497E1,3.868640137E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.327914405E1,5.322984736E1,1.040010969E1,3.741249847E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.969426405E1,5.322974225E1,1.040010651E1,3.678084373E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.610443103E1,5.322983882E1,1.040017653E1,3.635558319E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.792707312E1,5.322979263E1,1.040013032E1,3.517167049E1,4.387036562E-1,1.410259667E2,1.965224802E1,1.965224802E1
2.892705715E1,5.322979263E1,1.040013032E1,3.517167056E1,4.387036562E-1,-1.000000000E0,1.965224802E1,1.965224802E1
2.992704046E1,5.322979207E1,1.040013962E1,3.514365548E1,4.387036562E-1,-1.000000000E0,1.842924331E1,1.842924331E1
3.092702413E1,5.322979933E1,1.040015379E1,3.512456588E1,5.476254821E-1,-1.000000000E0,1.781596509E1,1.781596509E1
3.192700708E1,5.322980280E1,1.040016514E1,3.510500177E1,5.636144280E-1,-1.000000000E0,1.772767582E1,1.772767582E1
3.292699087E1,5.322981635E1,1.040016382E1,3.508488306E1,3.343376219E-1,-1.000000000E0,1.768206208E1,1.768206208E1
3.392697430E1,5.322981638E1,1.040017069E1,3.506957070E1,3.343376219E-1,-1.000000000E0,2.704091005E1,2.704091005E1
3.492695856E1,5.322982549E1,1.040018428E1,3.505462205E1,3.310543001E-1,-1.000000000E0,3.628262292E1,3.628262292E1
3.592724752E1,5.322983172E1,1.040019732E1,3.503452902E1,3.310543001E-1,-1.000000000E0,3.637108412E1,3.637108412E1
3.692712986E1,5.322983806E1,1.040020900E1,3.501147060E1,4.576871991E-1,-1.000000000E0,1.880301498E1,1.880301498E1
3.792711353E1,5.322984298E1,1.040022148E1,3.498728506E1,5.317372680E-1,-1.000000000E0,1.937814610E1,1.937814610E1
3.892711508E1,5.322984752E1,1.040023306E1,3.496493590E1,5.317372680E-1,-1.000000000E0,5.540771102E1,5.540771102E1
3.992680824E1,5.322985723E1,1.040023270E1,3.494059416E1,5.317372680E-1,-1.000000000E0,5.691973613E1,5.691973613E1
4.092679119E1,5.322986427E1,1.040021346E1,3.492166264E1,4.909345210E-1,-1.000000000E0,2.061576362E1,2.061576362E1
4.192735589E1,5.322986703E1,1.040022200E1,3.490994411E1,4.600911438E-1,-1.000000000E0,2.078863027E1,2.078863027E1
4.292681324E1,5.322985870E1,1.040022379E1,3.489896644E1,4.600911438E-1,-1.000000000E0,2.078968863E1,2.078968863E1
4.392679727E1,5.322985320E1,1.040021054E1,3.489142610E1,3.869813979E-1,-1.000000000E0,2.057352358E1,2.057352358E1
4.492704797E1,5.322984695E1,1.040016652E1,3.489327904E1,7.900971919E-2,-1.000000000E0,1.990620373E1,1.990620373E1
4.592689979E1,5.322983310E1,1.040012269E1,3.490898445E1,3.462607861E-1,-1.000000000E0,1.954227116E1,1.954227116E1
4.692688334E1,5.322982064E1,1.040012908E1,3.493917243E1,4.188622832E-1,-1.000000000E0,1.917450062E1,1.917450062E1
4.792733347E1,5.322981811E1,1.040012012E1,3.496316906E1,3.667652607E-1,-1.000000000E0,1.814607425E1,1.814607425E1
4.892680943E1,5.322982182E1,1.040011827E1,3.499127747E1,3.667652607E-1,-1.000000000E0,1.776483936E1,1.776483936E1
4.992679286E1,5.322981704E1,1.040013735E1,3.501567526E1,3.667652607E-1,-1.000000000E0,1.716978824E1,1.716978824E1
5.092677605E1,5.322981126E1,1.040013567E1,3.502905884E1,4.742908776E-1,-1.000000000E0,1.643720924E1,1.643720924E1
5.192675996E1,5.322980857E1,1.040013101E1,3.503963191E1,4.742908776E-1,-1.000000000E0,1.609385032E1,1.609385032E1
5.292674410E1,5.322980857E1,1.040013101E1,3.503963191E1,0.000000000E0,-1.000000000E0,1.602780246E1,1.602780246E1
5.392672718E1,5.322980857E1,1.040013101E1,3.503963191E1,0.000000000E0,-1.000000000E0,1.589011926E1,1.589011926E1
5.492671096E1,5.322977938E1,1.040011910E1,3.506489855E1,3.820695281E-1,-1.000000000E0,1.575574896E1,1.575574896E1
5.592669451E1,5.322977593E1,1.040011335E1,3.507900317E1,3.203158677E-1,-1.000000000E0,1.579812662E1,1.579812662E1
5.692667758E1,5.322976766E1,1.040011141E1,3.509377018E1,3.349747956E-1,-1.000000000E0,1.611078949E1,1.611078949E1
