"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.112083351E-3,-4.161196747E0,3.285517731E0,7.790549469E0
8.813916647E-3,-3.833827515E0,3.476071472E0,8.879834290E0
1.873991665E-2,-3.679947510E0,3.793710938E0,9.824819183E0
2.866491667E-2,-3.548221436E0,3.539240112E0,9.442813568E0
3.859091667E-2,-3.768413544E0,3.026556244E0,8.591084747E0
4.851691666E-2,-4.278852081E0,2.791245575E0,8.311915283E0
5.844291666E-2,-4.430187378E0,3.015628967E0,8.585246887E0
6.836891666E-2,-4.092789001E0,3.343447266E0,8.754544830E0
7.829491666E-2,-3.817960510E0,3.431164856E0,8.416996765E0
8.822091666E-2,-3.921545105E0,3.288661194E0,8.167765045E0
9.814691666E-2,-4.176165619E0,3.081192627E0,8.270301819E0
1.080729167E-1,-4.143533478E0,2.801274719E0,8.378975830E0
1.179989167E-1,-3.976331177E0,2.642604675E0,8.314909058E0
1.279249167E-1,-3.895948334E0,2.788700867E0,8.270152130E0
1.378509167E-1,-3.894601135E0,3.049458618E0,8.347092133E0
1.477769167E-1,-3.934717712E0,3.157384186E0,8.428672485E0
1.577019167E-1,-3.980372772E0,3.173550568E0,8.545130310E0
1.676279167E-1,-4.002975769E0,3.166215820E0,8.532107391E0
1.775539167E-1,-3.905079346E0,3.291205902E0,8.551866302E0
1.874799167E-1,-3.869004364E0,3.345692596E0,8.813821564E0
1.974059167E-1,-3.777843933E0,3.156486053E0,8.875193939E0
2.073283333E-1,-3.540737000E0,2.823877716E0,8.918154602E0
2.172543333E-1,-3.656895447E0,2.861599274E0,8.988059235E0
2.271803333E-1,-3.720213776E0,3.030747528E0,8.860823822E0
2.371063333E-1,-3.786376190E0,3.106939087E0,8.843759308E0
2.470323333E-1,-4.079466705E0,3.003204803E0,8.734636230E0
2.569583333E-1,-4.507875824E0,2.707719269E0,8.599617004E0
2.668843333E-1,-4.681365051E0,2.474504242E0,8.488997040E0
2.768093333E-1,-4.577630768E0,2.482886810E0,8.341853027E0
2.867353333E-1,-4.210444336E0,2.575693817E0,8.259224854E0
2.966613333E-1,-3.423081665E0,2.774181061E0,7.884254608E0
3.065873333E-1,-2.571053467E0,3.018622742E0,7.506140900E0
3.165133333E-1,-3.046165466E0,2.716550903E0,7.860753479E0
3.264393333E-1,-3.495381317E0,2.133962402E0,8.065827026E0
3.363653333E-1,-3.332819366E0,1.542841644E0,7.843090210E0
3.462913333E-1,-3.124452667E0,1.026864624E0,7.391329651E0
3.562173333E-1,-2.902913361E0,5.770500183E-1,6.741081848E0
3.661433333E-1,-2.819087677E0,-3.532653809E-2,6.292165375E0
3.760693333E-1,-2.868335266E0,-6.508465576E-1,6.333180084E0
3.859953333E-1,-2.485132141E0,-1.506467285E0,6.467450867E0
3.959213333E-1,-1.391506348E0,-2.755020905E0,6.468648376E0
4.058463333E-1,-1.575773163E0,-2.581831055E0,5.915698242E0
4.157723333E-1,-1.445543976E0,-2.109563141E0,5.347779236E0
4.256983333E-1,-1.039588165E0,-1.853445740E0,5.036576385E0
4.356243333E-1,-4.206253052E-1,-2.597698059E0,5.207520905E0
4.455503333E-1,-3.025209045E-1,-3.203338623E0,4.983885956E0
4.554763333E-1,-4.379891968E-1,-3.166066132E0,4.345164185E0
4.654023333E-1,-7.030879211E-1,-3.193459167E0,3.905378723E0
4.753283333E-1,-1.211879883E0,-4.007616119E0,4.061653748E0
4.852543333E-1,-1.906884613E0,-5.284760284E0,4.798271942E0
4.951803333E-1,-2.141147461E0,-5.921236725E0,5.582640839E0
5.051063333E-1,-1.970801697E0,-6.047124939E0,6.016289062E0
5.150323333E-1,-2.210752716E0,-6.371350708E0,6.410269775E0
5.249583333E-1,-4.092339935E0,-7.141798553E0,6.438261566E0
5.348833333E-1,-5.944438477E0,-7.622748413E0,6.431076508E0
5.448093333E-1,-7.746241608E0,-8.114475861E0,6.254144440E0
5.547353333E-1,-9.312584381E0,-8.571774902E0,5.746999054E0
5.646613333E-1,-9.485175476E0,-8.829239502E0,5.863456879E0
5.745873333E-1,-9.701176300E0,-9.059311066E0,5.493576050E0
5.845133333E-1,-9.847422180E0,-9.435329132E0,5.609135742E0
5.944393333E-1,-9.987081757E0,-9.670639801E0,6.070775757E0
6.043653333E-1,-1.032148636E1,-9.750124512E0,6.488856354E0
6.142913333E-1,-1.064541275E1,-1.003258713E1,6.677015076E0
6.242173333E-1,-1.100242035E1,-1.043764481E1,6.558760986E0
6.341433333E-1,-1.150806885E1,-1.088865692E1,6.137536926E0
6.440693333E-1,-1.203826630E1,-1.128069168E1,5.843398590E0
6.539953333E-1,-1.271351212E1,-1.128712830E1,5.918242950E0
6.639203333E-1,-1.342273727E1,-1.121991806E1,5.947132874E0
6.738463333E-1,-1.395413223E1,-1.082354233E1,5.911207581E0
6.837723333E-1,-1.420441177E1,-1.003947281E1,5.653293915E0
6.936983333E-1,-1.421698563E1,-9.360335083E0,5.401517487E0
7.036243333E-1,-1.403840698E1,-8.648415527E0,5.137316895E0
7.135503333E-1,-1.406849442E1,-7.902217255E0,4.617897034E0
7.234763333E-1,-1.469419327E1,-6.992109833E0,4.336482239E0
7.334023333E-1,-1.349518661E1,-6.718927917E0,3.731141052E0
7.433283333E-1,-1.316871552E1,-6.580316162E0,3.161874847E0
7.532543333E-1,-1.301827835E1,-6.251000977E0,3.029100952E0
7.631803333E-1,-1.271485931E1,-5.917344818E0,2.893932037E0
7.731063333E-1,-1.272503815E1,-5.783223724E0,2.720592499E0
7.830313333E-1,-1.274554550E1,-5.485193481E0,2.414628754E0
7.929573333E-1,-1.266576141E1,-4.832251282E0,2.240391083E0
8.028833333E-1,-1.255663834E1,-4.306095428E0,2.562970276E0
8.128093333E-1,-1.200204163E1,-3.825145569E0,2.871029663E0
8.227353333E-1,-1.139490417E1,-3.360212402E0,3.034340057E0
8.326613333E-1,-1.100810852E1,-3.189267883E0,2.668201447E0
8.425873333E-1,-1.057940002E1,-3.027005310E0,2.674338684E0
8.525133333E-1,-1.013871643E1,-2.649789734E0,2.703827362E0
8.624393333E-1,-9.751621399E0,-2.315235443E0,2.906356201E0
8.723653333E-1,-9.550290070E0,-2.073637848E0,3.810625763E0
8.822913333E-1,-9.278904419E0,-1.564845886E0,4.650828552E0
8.922173333E-1,-8.795709229E0,-1.061592407E0,4.790039062E0
9.021433333E-1,-8.451574860E0,-9.315129089E-1,4.237837372E0
9.120683333E-1,-7.858807526E0,-1.264869690E0,3.763324127E0
9.219943333E-1,-6.832242279E0,-1.974992981E0,3.320993958E0
9.319203333E-1,-5.827681274E0,-2.773133240E0,2.812501373E0
9.418463333E-1,-5.326074371E0,-3.167862396E0,2.378404083E0
9.517723333E-1,-5.166805573E0,-3.922742615E0,1.973346405E0
9.616983333E-1,-5.313500519E0,-4.697381744E0,1.525926819E0
9.716243333E-1,-5.397326202E0,-5.505700836E0,1.129251709E0
9.815503333E-1,-5.838907928E0,-6.611750793E0,6.032455444E-1
9.914763333E-1,-6.547983398E0,-6.946604462E0,1.167572021E-1
