"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.903980255E-3,5.322864818E1,1.040454967E1,2.682015610E1,-1.000000000E0,-1.000000000E0,2.866102845E2,2.866102845E2
4.001092911E-2,5.322899838E1,1.040428934E1,2.682015610E1,-1.000000000E0,-1.000000000E0,5.713036186E2,5.713036186E2
8.593039513E-1,5.322864564E1,1.040452121E1,3.253866386E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.277545929E0,5.322865219E1,1.040449000E1,3.254721642E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.490566969E0,5.322865169E1,1.040448812E1,3.255027008E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.491035199E1,5.322865502E1,1.040450079E1,3.253640938E1,-1.000000000E0,-1.000000000E0,6.084264283E1,6.084264283E1
1.612421191E1,5.322865398E1,1.040453028E1,3.253060722E1,-1.000000000E0,-1.000000000E0,6.148104120E1,6.148104120E1
2.254547691E1,5.322865090E1,1.040450401E1,3.257596970E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.895661092E1,5.322835079E1,1.040424535E1,3.270399094E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.015272689E1,5.322827776E1,1.040418366E1,3.275460815E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
