"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.614511100E-2,-2.032652497E-1,-2.443459118E-3,-5.459604040E-2
2.099505900E-2,-2.380845547E-1,-4.337139800E-2,-4.726566374E-2
2.584495500E-2,-2.631300092E-1,-8.674279600E-2,-3.504836559E-2
3.069490300E-2,-2.765690386E-1,-1.270598769E-1,-1.977674663E-2
3.554485100E-2,-2.765690386E-1,-1.588248461E-1,-6.337722298E-3
4.039474600E-2,-2.661843300E-1,-1.826485693E-1,7.101302966E-3
4.524469400E-2,-2.509126961E-1,-2.028071135E-1,1.382081583E-2
5.009459000E-2,-2.325867712E-1,-2.193004489E-1,1.687514037E-2
5.494453800E-2,-2.112064958E-1,-2.296851575E-1,1.626427472E-2
5.979448600E-2,-1.892153621E-1,-2.315177470E-1,1.626427472E-2
6.464438200E-2,-1.666133702E-1,-2.241873741E-1,1.626427472E-2
6.949433000E-2,-1.446222365E-1,-2.095266134E-1,1.748600416E-2
7.434427800E-2,-1.250745654E-1,-1.924224049E-1,1.687514037E-2
7.919417400E-2,-1.085812151E-1,-1.704312712E-1,1.504254527E-2
8.404412100E-2,-9.636391699E-2,-1.466075480E-1,1.198822167E-2
8.889406900E-2,-8.903354406E-2,-1.233946830E-1,7.712167688E-3
9.374396500E-2,-8.475748450E-2,-9.957095981E-2,2.825249685E-3
9.859391300E-2,-8.597921580E-2,-7.819069177E-2,-3.283398226E-3
1.034438610E-1,-8.964440972E-2,-6.047561392E-2,-1.122464053E-2
1.082937570E-1,-9.575305134E-2,-4.520399496E-2,-2.038761228E-2
1.131437050E-1,-1.030834317E-1,-3.237583488E-2,-2.955058403E-2
1.179936010E-1,-1.091920808E-1,-2.260199748E-2,-3.871355578E-2
1.228435490E-1,-1.128572673E-1,-1.404988952E-2,-4.848739132E-2
1.276934960E-1,-1.146898642E-1,-8.552107029E-3,-5.826122686E-2
1.325433920E-1,-1.134681329E-1,-7.330377586E-3,-6.681333482E-2
1.373933400E-1,-1.104138121E-1,-7.941242307E-3,-7.841976732E-2
1.422432880E-1,-1.012508348E-1,-9.162971750E-3,-9.063705802E-2
1.470931840E-1,-8.781181276E-2,-1.038470119E-2,-1.016326249E-1
1.519431320E-1,-7.009673119E-2,-7.941242307E-3,-1.138499230E-1
1.567930800E-1,-4.688387364E-2,-4.886918236E-3,-1.248454899E-1
1.616429760E-1,-2.000582218E-2,-3.054323839E-3,-1.358410567E-1
1.664929240E-1,8.704823442E-3,-1.832594397E-3,-1.450040340E-1
1.713428710E-1,3.924806044E-2,-1.221729559E-3,-1.529452652E-1
1.761927670E-1,6.856957078E-2,1.221729559E-3,-1.633299738E-1
1.810427150E-1,9.300415963E-2,3.665188793E-3,-1.749363989E-1
1.858926630E-1,1.125518382E-1,4.276053514E-3,-1.865428388E-1
1.907425590E-1,1.290451884E-1,6.108647678E-3,-1.987601221E-1
