"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.281262000E-3,-3.594019651E0,3.622733593E0,8.073383331E0
6.035897000E-3,-3.572484255E0,3.756731510E0,8.307880402E0
1.088558500E-2,-3.761517286E0,3.897907972E0,8.293522835E0
1.554511600E-2,-3.773481369E0,4.096512318E0,8.214560509E0
2.029975200E-2,-3.785445452E0,4.249652863E0,8.334200859E0
2.505438700E-2,-3.680161238E0,4.398007870E0,8.628518105E0
2.980897000E-2,-3.830909014E0,4.333401680E0,8.846264839E0
3.456360600E-2,-3.696911097E0,4.094119549E0,8.544769287E0
3.931818900E-2,-3.680161238E0,3.804588079E0,8.429914474E0
4.407282400E-2,-3.515056372E0,3.361915827E0,8.298309326E0
4.882740800E-2,-2.591426849E0,2.787638426E0,8.377271652E0
5.358204300E-2,-1.947757602E0,2.555534601E0,8.362915039E0
5.833667900E-2,-1.205982566E0,2.411965132E0,8.379665375E0
6.309126200E-2,-1.134197950E0,2.395215511E0,8.673981667E0
6.784589700E-2,-1.189232826E0,2.337787628E0,9.064012527E0
7.260053300E-2,-1.138983607E0,2.289931297E0,9.286544800E0
7.735511600E-2,-9.164510965E-1,2.220539331E0,9.444471359E0
8.210975200E-2,-6.915257573E-1,2.153540373E0,9.487542152E0
8.686433500E-2,-5.551348329E-1,1.940579176E0,9.406186104E0
9.161897000E-2,-4.163511395E-1,1.782652855E0,9.221938133E0
9.637360600E-2,-1.770688742E-1,1.856830359E0,9.300901413E0
1.011281890E-1,9.571290575E-3,2.014756680E0,9.387042999E0
1.058828240E-1,1.483550072E-1,2.076970100E0,9.255437851E0
1.106374080E-1,3.014956415E-1,2.065006018E0,9.150154114E0
1.153920430E-1,3.804588020E-1,2.029113531E0,9.245866776E0
1.201466790E-1,2.823530734E-1,1.990828395E0,9.609575272E0
1.249012620E-1,4.307080805E-2,1.947757602E0,1.006421185E1
1.296558970E-1,-2.512463629E-1,1.835294962E0,1.000917721E1
1.344104810E-1,-2.823530734E-1,1.789831281E0,9.734002113E0
1.391651160E-1,-1.021735311E0,1.940579176E0,1.057149029E1
1.439197520E-1,-1.244267747E-1,1.722832322E0,8.810373306E0
1.486743350E-1,4.953143001E-1,1.505085468E0,7.853243828E0
1.534289700E-1,4.354937077E-1,1.363908887E0,8.255238533E0
1.581835540E-1,3.469592929E-1,1.344766378E0,8.774480820E0
1.629381890E-1,6.317051649E-1,1.311266780E0,8.595019341E0
1.676928240E-1,1.002592683E0,1.227517962E0,8.161917686E0
1.724474080E-1,1.354337573E0,1.292124271E0,8.111668587E0
1.772020430E-1,1.770688772E0,1.351944804E0,8.039883614E0
1.819566270E-1,2.091326952E0,1.447657704E0,7.877171993E0
1.867112620E-1,2.232503414E0,1.598405480E0,7.850851059E0
1.914658970E-1,2.143969059E0,1.703689694E0,7.925028801E0
1.962204810E-1,2.019542217E0,1.753939033E0,7.855636597E0
2.009751160E-1,1.859223247E0,1.605584025E0,7.692924976E0
2.057296990E-1,1.627119422E0,1.416550994E0,7.678567886E0
2.104843350E-1,1.469193101E0,1.251446247E0,7.611568928E0
2.152389700E-1,1.323230863E0,1.210768223E0,7.432106972E0
2.199935540E-1,1.411765337E0,1.241874933E0,7.125825882E0
2.247481890E-1,1.780260086E0,1.275374413E0,6.742974281E0
2.295027720E-1,1.686939955E0,1.012163997E0,6.496513367E0
2.342574080E-1,1.531406522E0,8.829515576E-1,6.271588326E0
2.390120430E-1,1.569691658E0,7.489534616E-1,6.293123722E0
2.437666270E-1,1.866401672E0,6.628118753E-1,6.443871498E0
2.485212620E-1,2.299502611E0,6.173482537E-1,6.800402164E0
2.532758450E-1,2.687139750E0,5.718846321E-1,7.470392227E0
2.580304810E-1,2.993421078E0,6.149554253E-1,8.279166222E0
2.627851160E-1,2.864208698E0,9.403793216E-1,9.119047165E0
2.675396990E-1,2.280359983E0,1.485942841E0,9.611968994E0
2.722943350E-1,1.569691658E0,1.820937991E0,9.805787086E0
2.770489180E-1,1.423729420E0,2.012363911E0,9.812965393E0
2.818035540E-1,1.828116536E0,1.921436548E0,9.537791252E0
2.865581890E-1,2.443071842E0,1.753939033E0,9.226723671E0
2.913127720E-1,2.974278450E0,1.600798368E0,8.973084450E0
2.960674080E-1,3.206382275E0,1.462014675E0,8.848658562E0
3.008219910E-1,3.055634499E0,1.361516118E0,8.726624489E0
3.055766270E-1,2.675175667E0,1.215553880E0,8.738588333E0
3.103312620E-1,2.388036966E0,1.069591761E0,8.812766075E0
3.150858450E-1,2.060220242E0,1.055234790E0,9.193224907E0
3.198404810E-1,1.641476393E0,9.332008362E-1,9.762716293E0
3.245950640E-1,1.813759565E0,7.130611539E-1,1.002831936E1
3.293496990E-1,3.007778168E0,6.939185411E-2,1.046620655E1
3.341043350E-1,3.574877024E0,-2.273181528E-1,1.052363396E1
3.388589180E-1,3.493520975E0,-4.785645381E-2,1.078205872E1
3.436135540E-1,3.242274761E0,6.221338734E-2,1.133958626E1
3.483681370E-1,2.756531715E0,2.416750938E-1,1.177986622E1
3.531227720E-1,1.818545222E0,5.742774606E-1,1.182293701E1
3.578774080E-1,8.853443861E-1,1.002592683E0,1.150469112E1
3.626319910E-1,1.866401732E-1,1.519442320E0,1.110030460E1
3.673866270E-1,4.307080805E-2,1.933400750E0,1.056431198E1
3.721412100E-1,8.135596663E-2,2.254039049E0,9.693324089E0
3.768958450E-1,1.103091240E0,2.012363911E0,8.781659126E0
3.816504810E-1,2.500499725E0,1.485942841E0,7.898707390E0
3.864050640E-1,2.981456995E0,1.344766378E0,6.762116909E0
3.911596990E-1,2.888136864E0,1.512263894E0,5.749952793E0
3.959142830E-1,2.840280533E0,1.725225091E0,5.235496044E0
4.006689180E-1,3.120240688E0,1.899901152E0,5.204389095E0
4.054235540E-1,3.486342669E0,2.076970100E0,5.541777134E0
4.101781370E-1,3.866801500E0,2.277967215E0,6.132804394E0
4.149327720E-1,4.019941807E0,2.469393015E0,6.836294174E0
4.196874080E-1,4.070191383E0,2.591426849E0,7.654639721E0
4.244419910E-1,4.017549038E0,2.684746981E0,8.484949112E0
4.291966270E-1,3.888336897E0,2.713460922E0,9.085547447E0
4.339512100E-1,3.706482172E0,2.550748825E0,9.439684868E0
4.387058450E-1,3.574877024E0,2.218146563E0,9.678967476E0
4.434604810E-1,3.381058455E0,1.789831281E0,9.899106979E0
4.482150640E-1,3.180061340E0,1.469193101E0,9.932606697E0
4.529696990E-1,2.988635540E0,1.172483087E0,9.688538551E0
4.577242830E-1,2.742174864E0,9.212366939E-1,9.365508080E0
4.624789180E-1,2.605783939E0,7.465606928E-1,9.181260109E0
4.672335540E-1,2.612962246E0,6.771687865E-1,9.020941734E0
4.719881370E-1,2.730210543E0,6.795616150E-1,8.793622971E0
4.767427720E-1,2.849851847E0,8.159525394E-1,8.468199730E0
4.814973560E-1,3.000599623E0,9.571290612E-1,8.154739380E0
4.862519910E-1,3.280559778E0,1.124626637E0,7.872386456E0
4.910066270E-1,3.586841106E0,1.268195987E0,7.582854748E0
4.957612100E-1,3.835694790E0,1.380658627E0,7.278966427E0
5.005158450E-1,4.063013077E0,1.471585870E0,7.159325123E0
5.052704290E-1,4.323830605E0,1.517049551E0,7.312466145E0
5.100250640E-1,4.594219685E0,1.540977836E0,7.795815945E0
5.147796990E-1,4.823930264E0,1.576870084E0,8.444271088E0
5.195342830E-1,4.977071285E0,1.679761529E0,9.061619759E0
5.242889180E-1,4.996213913E0,1.823330879E0,9.547362328E0
5.290435020E-1,4.960321426E0,1.873580098E0,9.923035622E0
5.337981370E-1,4.912465096E0,1.849651933E0,1.018863869E1
5.385527720E-1,4.835894585E0,1.741974831E0,1.018863869E1
5.433073560E-1,4.728217602E0,1.634297848E0,1.002831936E1
5.480619910E-1,4.529613495E0,1.438086390E0,9.695717812E0
5.528165740E-1,4.354937077E0,1.191625714E0,9.279366493E0
5.575712100E-1,4.292723656E0,9.523434043E-1,8.901300430E0
5.623258450E-1,4.185046673E0,7.561319470E-1,8.382058144E0
5.670804290E-1,3.957728624E0,5.288137794E-1,7.769495010E0
5.718350640E-1,3.754338741E0,4.235295951E-1,7.267002583E0
5.765896470E-1,3.603590965E0,2.344966233E-1,6.781259537E0
5.813442830E-1,3.125026464E0,-3.900300860E-1,6.501298904E0
5.860989180E-1,3.038884640E0,-2.536391914E-1,6.467799664E0
5.908535020E-1,3.701696634E0,-3.110669367E-2,6.357729912E0
5.956081370E-1,4.314259052E0,2.775674164E-1,6.573083878E0
6.003627200E-1,4.522434711E0,6.125625968E-1,6.833901405E0
6.051173560E-1,4.821537495E0,8.422735929E-1,7.030112743E0
6.098719910E-1,5.283352375E0,9.643075466E-1,7.216753006E0
6.146265740E-1,5.632704735E0,9.619147182E-1,7.269395351E0
6.193812100E-1,5.845665932E0,8.805587292E-1,7.324429989E0
6.241357930E-1,5.903093338E0,8.374879360E-1,7.448856831E0
6.288904290E-1,5.862415314E0,8.446664214E-1,7.590033531E0
6.336450640E-1,5.785845280E0,8.231309652E-1,7.714460373E0
6.383996470E-1,5.546562672E0,7.441678643E-1,7.814958572E0
6.431542830E-1,5.211567879E0,5.647061467E-1,7.879564762E0
6.479088660E-1,4.807180882E0,3.062812984E-1,7.867600918E0
6.526635020E-1,4.357329845E0,5.264209956E-2,7.838887215E0
6.574181370E-1,3.979264021E0,-1.579262912E-1,7.865208149E0
6.621727200E-1,3.852444410E0,-3.158525825E-1,7.625925541E0
6.669273560E-1,3.933800459E0,-3.421736360E-1,7.130611420E0
6.716819390E-1,4.084548473E0,-2.129612118E-1,6.587440968E0
6.764365740E-1,4.280759811E0,4.546362907E-2,6.125626087E0
