"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.087479800E-2,-1.456875038E1,-1.848750114E1,-1.333125019E1
4.087479800E-2,-1.505625057E1,-1.813125038E1,-1.464375019E1
5.087479800E-2,-1.513125038E1,-1.790625000E1,-1.496250057E1
6.087479800E-2,-1.509375095E1,-1.794375038E1,-1.513125038E1
7.087479800E-2,-1.471875095E1,-1.820625114E1,-1.539375019E1
8.087479800E-2,-1.462500095E1,-1.800000000E1,-1.569375038E1
9.087479800E-2,-1.458750057E1,-1.805625153E1,-1.554375076E1
1.008747980E-1,-1.449375057E1,-1.811250114E1,-1.565625095E1
1.108747980E-1,-1.449375057E1,-1.837500000E1,-1.586250019E1
1.208747980E-1,-1.434375095E1,-1.845000076E1,-1.571250057E1
1.308747980E-1,-1.425000095E1,-1.856250000E1,-1.560000038E1
1.408747980E-1,-1.400625038E1,-1.852500153E1,-1.552500057E1
1.508747980E-1,-1.421250057E1,-1.854375076E1,-1.545000076E1
1.608747980E-1,-1.404375076E1,-1.886250114E1,-1.515000057E1
1.708747980E-1,-1.387500095E1,-1.895625114E1,-1.515000057E1
1.808747980E-1,-1.374375057E1,-1.878750038E1,-1.488750076E1
1.908747980E-1,-1.370625019E1,-1.845000076E1,-1.477500057E1
2.008747980E-1,-1.346250057E1,-1.837500000E1,-1.471875095E1
2.108747980E-1,-1.366875076E1,-1.841250038E1,-1.438125038E1
2.208747980E-1,-1.385625076E1,-1.871250153E1,-1.411875057E1
2.308747980E-1,-1.378125095E1,-1.867500114E1,-1.398750019E1
2.408747980E-1,-1.374375057E1,-1.861875153E1,-1.419375038E1
2.508747980E-1,-1.378125095E1,-1.863750076E1,-1.421250057E1
2.608747980E-1,-1.368750095E1,-1.906875038E1,-1.426875019E1
2.708747980E-1,-1.350000095E1,-1.942500114E1,-1.438125038E1
2.808747980E-1,-1.329375076E1,-1.991250038E1,-1.449375057E1
2.908747980E-1,-1.291875076E1,-2.017500114E1,-1.477500057E1
3.008747980E-1,-1.276875019E1,-2.034375000E1,-1.500000095E1
3.108747980E-1,-1.243125057E1,-2.062500000E1,-1.498125076E1
3.208747980E-1,-1.239375019E1,-2.092500114E1,-1.466250038E1
3.308747980E-1,-1.224375057E1,-2.116875076E1,-1.455000019E1
3.408747980E-1,-1.209375095E1,-2.113125038E1,-1.432500076E1
3.508747980E-1,-1.188750076E1,-2.124375153E1,-1.385625076E1
3.608747980E-1,-1.203750038E1,-2.122500038E1,-1.368750095E1
3.708747980E-1,-1.194375038E1,-2.124375153E1,-1.357500076E1
3.808747980E-1,-1.168125057E1,-2.143125153E1,-1.331250095E1
3.908747980E-1,-1.171875000E1,-2.154375076E1,-1.323750019E1
4.008747980E-1,-1.162500000E1,-2.163750076E1,-1.318125057E1
4.108747980E-1,-1.164375019E1,-2.176875114E1,-1.271250057E1
4.208747980E-1,-1.147500038E1,-2.223750114E1,-1.258125019E1
4.308747980E-1,-1.132500076E1,-2.238750076E1,-1.263750076E1
4.408747980E-1,-1.132500076E1,-2.272500038E1,-1.200000000E1
4.508747980E-1,-1.117500019E1,-2.308125114E1,-1.173750019E1
4.608747980E-1,-1.111875057E1,-2.321250153E1,-1.138125038E1
4.708747980E-1,-1.110000038E1,-2.349375153E1,-1.087500000E1
4.808747980E-1,-1.102500057E1,-2.373750114E1,-1.050000000E1
4.908747980E-1,-1.106250000E1,-2.383125114E1,-1.036875057E1
5.008747980E-1,-1.138125038E1,-2.405625153E1,-1.010625076E1
5.108747980E-1,-1.140000057E1,-2.422500038E1,-9.825000763E0
5.208747980E-1,-1.108125019E1,-2.415000153E1,-9.843750000E0
5.308747980E-1,-1.093125057E1,-2.433750153E1,-9.543750763E0
5.408747980E-1,-1.096875000E1,-2.443125153E1,-9.150000572E0
5.508747980E-1,-1.074375057E1,-2.448750114E1,-8.568750381E0
5.608747980E-1,-1.081875038E1,-2.488125038E1,-8.100000381E0
5.708747980E-1,-1.068750000E1,-2.518125153E1,-7.762500286E0
5.808747980E-1,-1.044375038E1,-2.508750153E1,-7.218750477E0
5.908747980E-1,-1.068750000E1,-2.525625038E1,-6.956250191E0
6.008747980E-1,-1.074375057E1,-2.551875114E1,-6.543750286E0
6.108747980E-1,-1.078125000E1,-2.563125038E1,-6.056250095E0
6.208747980E-1,-1.081875038E1,-2.593125153E1,-5.887500286E0
6.308747980E-1,-1.113750076E1,-2.641875076E1,-5.756250381E0
6.408747980E-1,-1.091250038E1,-2.656875038E1,-5.400000095E0
6.508747980E-1,-1.091250038E1,-2.681250191E1,-4.818750381E0
6.608747980E-1,-1.093125057E1,-2.713125038E1,-4.500000000E0
6.708747980E-1,-1.072500038E1,-2.748750114E1,-4.031250000E0
6.808747980E-1,-1.076250076E1,-2.793750191E1,-3.693750143E0
6.908747980E-1,-1.095000076E1,-2.850000191E1,-3.318750143E0
7.008747980E-1,-1.072500038E1,-2.859375191E1,-3.112500191E0
7.108747980E-1,-1.036875057E1,-2.857500076E1,-2.812500000E0
7.208747980E-1,-1.053750038E1,-2.872500038E1,-2.587500095E0
7.308747980E-1,-1.035000038E1,-2.885625076E1,-2.493750095E0
7.408747980E-1,-1.021875000E1,-2.902500153E1,-2.306250095E0
7.508747980E-1,-1.006875038E1,-2.910000038E1,-1.987500072E0
7.608747980E-1,-1.021875000E1,-2.923125076E1,-1.818750024E0
7.708747980E-1,-1.025625038E1,-2.913750076E1,-1.818750024E0
7.808747980E-1,-1.023750019E1,-2.940000153E1,-1.518750072E0
7.908747980E-1,-1.029375076E1,-2.943750191E1,-1.331250072E0
8.008747980E-1,-1.010625076E1,-2.930625153E1,-1.275000095E0
8.108747980E-1,-1.023750019E1,-2.968125153E1,-1.293750048E0
8.208747980E-1,-1.048125076E1,-2.983125114E1,-1.500000000E0
8.308747980E-1,-1.055625057E1,-2.994375038E1,-1.237500072E0
8.408747980E-1,-1.053750038E1,-2.983125114E1,-1.312500000E0
8.508747980E-1,-1.042500019E1,-2.996250153E1,-1.481250048E0
8.608747980E-1,-1.065000057E1,-2.998125076E1,-1.575000048E0
8.708747980E-1,-1.085625076E1,-3.001875114E1,-1.837500095E0
8.808747980E-1,-1.110000038E1,-3.028125191E1,-1.931250095E0
8.908747980E-1,-1.115625000E1,-3.009375191E1,-2.381250143E0
9.008747980E-1,-1.117500019E1,-3.018750191E1,-2.531250000E0
9.108747980E-1,-1.158750057E1,-3.030000114E1,-3.131250143E0
9.208747980E-1,-1.185000038E1,-3.050625038E1,-3.243750095E0
9.308747980E-1,-1.192500019E1,-3.041250038E1,-3.506250143E0
9.408747980E-1,-1.211250019E1,-3.039375114E1,-3.712500095E0
9.508747980E-1,-1.233750057E1,-3.020625114E1,-4.031250000E0
9.608747980E-1,-1.276875019E1,-3.011250114E1,-4.443750381E0
9.708747980E-1,-1.321875095E1,-3.007500076E1,-4.631250381E0
9.808747980E-1,-1.351875019E1,-2.977500153E1,-4.912500381E0
9.908747980E-1,-1.393125057E1,-2.962500191E1,-5.156250000E0
1.000874798E0,-1.413750076E1,-2.947500038E1,-5.531250000E0
1.010874798E0,-1.483125019E1,-2.928750038E1,-5.943750381E0
1.020874798E0,-1.550625038E1,-2.925000191E1,-6.243750095E0
1.030874798E0,-1.614375114E1,-2.928750038E1,-6.656250477E0
1.040874798E0,-1.665000153E1,-2.900625038E1,-7.012500286E0
1.050874798E0,-1.698750114E1,-2.898750114E1,-7.256250381E0
1.060874798E0,-1.770000076E1,-2.881875038E1,-7.593750477E0
1.070874798E0,-1.801875114E1,-2.868750191E1,-7.856250286E0
