Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
6.000503952,-1.496112347,-3.49531579,-1.301695466
6.005280827,-1.335195065,-3.403192043,-1.465603828
6.01005765,-1.217946768,-3.282354355,-1.610369682
6.014834473,-1.028315544,-3.233899832,-1.731207132
6.019611348,-1.044467092,-3.017349243,-1.928016901
6.02438817,-0.6035895348,-2.900699139,-2.035693884
6.029164993,-0.1178465188,-2.956930637,-2.091326952
6.033941868,0.02452643216,-3.03350091,-2.168495417
6.038718691,0.0143569354,-3.067598581,-2.302493572
6.043495566,0.09930214286,-3.100499868,-2.423929453
6.048272389,0.2650051117,-3.100499868,-2.529811859
6.053049212,0.5216353536,-3.186043262,-2.617748022
6.057826087,0.6400800347,-3.229114056,-2.670988321
6.06260291,0.8410771489,-3.310470104,-2.653042078
6.067379785,1.022333503,-3.401995659,-2.596212626
6.072156608,1.160519004,-3.492922783,-2.611167669
6.076933431,1.298106313,-3.55992198,-2.717648268
6.081710306,1.411167145,-3.579064369,-2.852244616
6.086487129,1.462612867,-3.603590965,-3.07298255
6.091263952,1.579861164,-3.650849104,-3.299104214
6.096040827,1.568495274,-3.704089403,-3.630510092
6.10081765,1.533799291,-3.751945972,-3.961317778
6.105594525,1.465005636,-3.795614958,-4.287340164
6.110371348,1.434497118,-3.862613916,-4.622933388
6.115134889,1.36211431,-3.944568157,-4.92502737
6.119925045,1.351346612,-4.083950043,-5.131408215
6.124701868,1.384247899,-4.276572227,-5.341976643
6.12946541,1.459621787,-4.48833704,-5.519643784
6.134255566,1.63489604,-4.738387108,-5.842674732
6.139032389,2.953939438,-5.409573555,-5.997610092
6.143795931,3.03888464,-5.876772404,-6.429514408
6.148586087,2.37786746,-5.824728489,-7.036095142
6.15336291,2.897109985,-5.997011662,-7.782057285
6.158126452,3.577269793,-6.230910301,-8.793025017
6.162916608,4.318446636,-6.637690067,-9.952945709
6.167693483,4.985445976,-7.103094101,-10.78205872
6.172456973,5.452046394,-7.602595806,-11.04287624
6.177247129,5.832505226,-8.161319733,-10.60319519
6.182024004,5.979663849,-8.748757362,-9.38465023
6.186787545,5.618945599,-9.17886734,-7.923233986
6.19157765,4.712066174,-9.625128746,-7.040282249
6.196354525,2.948555708,-9.995418549,-6.944569588
6.201118066,1.910070658,-10.47039413,-7.471588612
6.20590817,1.049850941,-11.37248802,-7.758727551
6.210685045,0.5437689424,-12.12562847,-7.698308468
6.215448587,0.6083751321,-12.83330631,-9.113663673
6.220238743,1.162911773,-13.47637749,-11.47777176
6.225015566,2.603989124,-14.30549049,-13.55234909
6.229779108,4.351946354,-15.44267941,-13.82034492
6.234569264,5.82532692,-16.6151619,-12.32004547
6.239346087,6.790232658,-17.71765518,-9.920044899
6.244109629,6.902695179,-18.62453461,-6.771687984
6.248899785,6.108876228,-19.11865234,-3.777668715
6.253676608,4.887938499,-18.80938148,-2.490330219
6.25844015,3.669991732,-17.85344887,-2.810968399
6.263230306,2.332403898,-16.52184296,-3.822534084
6.268007129,1.268794179,-14.98265934,-4.969892502
6.27277067,0.3194418252,-13.28794193,-6.098706722
6.277560827,-0.6472585201,-11.62313557,-6.823731899
6.282337702,-1.593619823,-10.13659477,-6.80997324
6.287101191,-1.430907965,-8.676973343,-5.96291399
6.291891348,-1.971087694,-7.931608677,-5.163711071
6.296668223,-2.620738983,-7.30768013,-4.34476757
6.301431764,-2.496312141,-6.966104984,-3.357130051
6.30622192,-2.068595171,-6.632306099,-2.438884497
6.310998743,-2.461616278,-6.609574318,-2.230110645
6.315762285,-2.248056889,-6.286543369,-2.053640127
6.320552441,-1.871785522,-6.145965099,-1.916650891
6.325329264,-1.192223907,-5.894120216,-1.987837434
6.330092806,-0.670588553,-5.694319725,-2.105684042
6.334882962,-0.09571290761,-5.568098068,-2.175673962
6.339659785,0.1926222295,-5.470590591,-2.383849621
6.344423327,0.6358926296,-5.31027174,-2.894717216
6.349213483,0.9284151793,-5.25643301,-3.347558975
6.353990306,0.87517488,-5.386841774,-3.568296671
6.358767181,0.7764709592,-5.661418438,-3.524627686
6.363544004,0.6323033571,-6.086144447,-3.196810961
6.368320827,0.5132604837,-6.631109715,-2.682354212
6.373097702,0.1052841991,-7.388438225,-2.185245275
6.377874525,0.05862415582,-8.193622589,-1.704886079
6.3826514,0.1525424421,-8.983254433,-1.465005636
6.387414889,0.1028913707,-9.706484795,-1.459023595
6.392205045,0.08554340899,-10.34237766,-1.472782373
6.39698192,0.1190429255,-10.79043388,-1.698305845
