"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.785613900E-2,-2.646461725E0,5.166702271E0,7.722835064E0
3.263259700E-2,-2.608176708E0,5.152345181E0,7.756334782E0
3.740905500E-2,-2.565105915E0,5.109274387E0,7.761120319E0
4.218546200E-2,-2.545963287E0,5.065605640E0,7.756334782E0
4.696192000E-2,-2.522035122E0,5.017749310E0,7.736593723E0
5.173837800E-2,-2.550748825E0,5.012963295E0,7.703094482E0
5.651478500E-2,-2.584846735E0,5.027320385E0,7.645666599E0
6.129124300E-2,-2.594418049E0,5.032105923E0,7.606783390E0
6.606764900E-2,-2.590230465E0,5.065605640E0,7.582854748E0
7.084410800E-2,-2.590230465E0,5.094917774E0,7.568498135E0
7.562056600E-2,-2.633301258E0,5.094917774E0,7.534998417E0
8.039697200E-2,-2.666800737E0,5.089533806E0,7.487740040E0
8.517343000E-2,-2.685943365E0,5.118845940E0,7.439883709E0
8.994988900E-2,-2.715255499E0,5.147559643E0,7.392027378E0
9.472629500E-2,-2.724826813E0,5.181059361E0,7.357929707E0
9.950275300E-2,-2.730210543E0,5.215157032E0,7.295716286E0
1.042792120E-1,-2.321636200E0,5.114658356E0,7.154539585E0
1.090556180E-1,-2.027917147E0,4.836492538E0,6.827321053E0
1.138320760E-1,-2.797807932E0,4.882554531E0,6.951149940E0
1.186085350E-1,-2.996412039E0,5.016552448E0,7.321439266E0
1.233849410E-1,-3.028116941E0,5.122435093E0,7.613961697E0
1.281613990E-1,-2.994019270E0,5.156532764E0,7.782057285E0
1.329378050E-1,-2.982653379E0,5.165505886E0,8.060222626E0
1.377142640E-1,-3.128017426E0,5.131408215E0,8.339585304E0
1.424907220E-1,-3.216551781E0,5.049454212E0,8.599205971E0
1.472671280E-1,-3.187239647E0,4.991427898E0,8.690134048E0
1.520435870E-1,-3.068196774E0,4.886143684E0,8.718249321E0
1.568200450E-1,-2.949153900E0,4.819144726E0,8.688937187E0
1.615964510E-1,-2.834896564E0,4.780859470E0,8.563314438E0
1.663729100E-1,-2.721237659E0,4.819743156E0,8.510073662E0
1.711493680E-1,-2.892324448E0,4.881358147E0,8.669196129E0
1.759257740E-1,-3.233899832E0,4.962714195E0,8.868398666E0
1.807022330E-1,-3.447459221E0,5.058426857E0,9.008378983E0
1.854786910E-1,-3.556930780E0,5.149354458E0,9.018548965E0
1.902550970E-1,-3.534198999E0,5.226522923E0,8.898308754E0
1.950315550E-1,-3.416352510E0,5.279763222E0,8.714659691E0
1.998079620E-1,-3.284747362E0,5.270790100E0,8.517850876E0
2.045844200E-1,-3.133401155E0,5.222933769E0,8.291130066E0
2.093608780E-1,-3.034697294E0,5.136792183E0,8.103892326E0
2.141372850E-1,-2.902493954E0,5.069792747E0,7.853842258E0
2.189137430E-1,-2.846860647E0,5.031507969E0,7.594220638E0
2.236902010E-1,-2.848057270E0,5.070391178E0,7.397411346E0
