"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-2.908565827E0,5.322959160E1,1.040009960E1,3.654414207E1,0.000000000E0,0.000000000E0,2.145100021E1,4.307077408E0
2.056043417E1,5.322959240E1,1.040012360E1,4.024414039E1,0.000000000E0,0.000000000E0,3.690000153E1,4.605515003E0
2.124106061E1,5.322962672E1,1.040015058E1,5.181181891E1,0.000000000E0,0.000000000E0,6.865264130E1,8.230302429E1
2.223985076E1,5.322960658E1,1.040015848E1,3.715938094E1,0.000000000E0,0.000000000E0,4.173192978E1,5.727992630E1
2.324085992E1,5.322964719E1,1.040015802E1,2.461452115E1,0.000000000E0,0.000000000E0,4.243486786E1,5.131275940E1
2.424056237E1,5.322961296E1,1.040016817E1,3.158046920E1,0.000000000E0,0.000000000E0,4.143795013E1,4.272954178E1
2.523998283E1,5.322959869E1,1.040017937E1,3.204193076E1,0.000000000E0,0.000000000E0,3.390327072E1,3.277957153E1
2.624164960E1,5.322959793E1,1.040017953E1,3.181384117E1,0.000000000E0,0.000000000E0,3.049830627E1,2.838578415E1
2.723953595E1,5.322959265E1,1.040018424E1,3.144731554E1,0.000000000E0,0.000000000E0,2.810519028E1,2.532487679E1
2.824075313E1,5.322959265E1,1.040018424E1,3.144731554E1,0.000000000E0,0.000000000E0,2.720958900E1,2.339906883E1
2.923991599E1,5.322959265E1,1.040018424E1,3.144731554E1,0.000000000E0,0.000000000E0,2.710835648E1,2.208916664E1
3.024018411E1,5.322959265E1,1.040018424E1,3.144731554E1,0.000000000E0,0.000000000E0,2.756377220E1,2.115435982E1
3.124083707E1,5.322959265E1,1.040018424E1,3.144731554E1,0.000000000E0,0.000000000E0,2.868090057E1,2.063524628E1
3.223917722E1,5.322959331E1,1.040018441E1,3.064470419E1,0.000000000E0,0.000000000E0,3.620628357E1,2.440929794E1
3.324011003E1,5.322959331E1,1.040018441E1,3.064464315E1,0.000000000E0,0.000000000E0,4.540646362E1,2.858668137E1
3.424025633E1,5.322959331E1,1.040018441E1,3.064464315E1,0.000000000E0,0.000000000E0,5.636285019E1,3.309997559E1
3.524038919E1,5.322958907E1,1.040018698E1,2.816764614E1,0.000000000E0,0.000000000E0,6.903684998E1,3.760244370E1
3.623945570E1,5.322958674E1,1.040019122E1,2.739090786E1,0.000000000E0,0.000000000E0,7.491430664E1,3.856744003E1
3.724161996E1,5.322958177E1,1.040019456E1,2.594662434E1,0.000000000E0,0.000000000E0,7.109548950E1,3.636296082E1
3.824101980E1,5.322957911E1,1.040019716E1,2.619387289E1,0.000000000E0,0.000000000E0,6.400474548E1,3.268911743E1
3.924020454E1,5.322959407E1,1.040018394E1,2.891802092E1,0.000000000E0,0.000000000E0,5.457808685E1,2.894387627E1
4.024075542E1,5.322958469E1,1.040019030E1,2.604990161E1,0.000000000E0,0.000000000E0,4.756167603E1,2.574116707E1
4.124025661E1,5.322958469E1,1.040019030E1,2.604990161E1,0.000000000E0,0.000000000E0,4.655099869E1,2.420182800E1
4.224318640E1,5.322959011E1,1.040014439E1,2.495287828E1,0.000000000E0,0.000000000E0,2.093127251E1,2.092544365E1
4.323909764E1,5.322958975E1,1.040014459E1,2.472234788E1,0.000000000E0,0.000000000E0,2.186743546E1,2.045643425E1
4.424093212E1,5.322959537E1,1.040014142E1,2.822022121E1,0.000000000E0,0.000000000E0,2.384982109E1,2.037030792E1
4.523982024E1,5.322959489E1,1.040014134E1,2.841693681E1,0.000000000E0,0.000000000E0,2.663137054E1,2.117742920E1
4.624034492E1,5.322959489E1,1.040014134E1,2.841693681E1,0.000000000E0,0.000000000E0,3.138555336E1,2.295840645E1
4.723990382E1,5.322959489E1,1.040014134E1,2.841693681E1,0.000000000E0,0.000000000E0,3.690843201E1,2.472855759E1
4.823939179E1,5.322959567E1,1.040014092E1,2.888684780E1,0.000000000E0,0.000000000E0,4.280228424E1,2.596347618E1
4.924000658E1,5.322959643E1,1.040012817E1,3.053571768E1,0.000000000E0,0.000000000E0,3.544610596E1,2.418224335E1
5.023928355E1,5.322959584E1,1.040014900E1,3.087848373E1,0.000000000E0,0.000000000E0,2.799222374E1,1.881838989E1
