"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.375435697E0,5.322980730E1,1.040005840E1,3.654448389E1,0.000000000E0,0.000000000E0,1.557400036E1,2.504826307E0
2.130343570E1,5.322982400E1,1.040006680E1,3.984450979E1,0.000000000E0,0.000000000E0,1.439400005E1,2.963425636E0
2.310748668E1,5.322986731E1,1.039980412E1,-5.000382372E0,0.000000000E0,0.000000000E0,2.500000000E2,2.066000214E2
2.410049368E1,5.322989983E1,1.039940801E1,-1.915744145E1,0.000000000E0,0.000000000E0,2.500000000E2,1.727287598E2
2.511562425E1,5.322986949E1,1.040047009E1,5.394380641E1,0.000000000E0,0.000000000E0,1.280000000E2,1.241466751E2
2.611624344E1,5.322991104E1,1.040079715E1,6.662248837E1,0.000000000E0,0.000000000E0,2.500000000E2,1.781206665E2
2.711027052E1,5.322986107E1,1.040060867E1,5.392147320E1,0.000000000E0,0.000000000E0,2.500000000E2,1.585477448E2
2.810547483E1,5.322982314E1,1.040044641E1,4.360285820E1,0.000000000E0,0.000000000E0,1.920000000E2,1.249640274E2
2.911736979E1,5.322981610E1,1.040049276E1,4.602278622E1,0.000000000E0,0.000000000E0,2.000000000E2,1.562216034E2
3.011175306E1,5.322977864E1,1.040118398E1,8.814891877E1,0.000000000E0,0.000000000E0,3.200000000E1,2.510770416E1
3.112610086E1,5.322981904E1,1.040120491E1,7.780476437E1,0.000000000E0,0.000000000E0,1.200000000E1,5.763069630E0
3.509867159E1,5.322980643E1,1.040119094E1,7.708944651E1,0.000000000E0,0.000000000E0,3.200000000E1,9.339049339E0
3.611167405E1,5.322981257E1,1.040110762E1,7.330613614E1,0.000000000E0,0.000000000E0,3.200000000E1,3.190022278E1
3.812214694E1,5.322980020E1,1.040071821E1,6.084739721E1,0.000000000E0,0.000000000E0,1.600000000E1,1.604020691E1
3.912566963E1,5.322979236E1,1.040032853E1,3.891000071E1,0.000000000E0,0.000000000E0,1.600000000E1,1.322055340E1
4.011398832E1,5.322980033E1,1.040031918E1,4.122108905E1,0.000000000E0,0.000000000E0,1.600000000E1,2.228635216E1
4.113621228E1,5.322984914E1,1.040024619E1,4.502740984E1,0.000000000E0,0.000000000E0,8.000000000E0,1.342787075E1
4.212156866E1,5.322985968E1,1.040022499E1,4.665359305E1,0.000000000E0,0.000000000E0,1.600000000E1,2.727170563E1
4.313564978E1,5.322987618E1,1.040019387E1,4.701043877E1,0.000000000E0,0.000000000E0,1.600000000E1,2.076728821E1
4.413532543E1,5.322987963E1,1.040018343E1,4.724691894E1,0.000000000E0,0.000000000E0,4.800000000E1,7.146166992E1
4.511824235E1,5.322988340E1,1.040017319E1,4.783910686E1,0.000000000E0,0.000000000E0,2.400000000E1,4.156475830E1
4.613244397E1,5.322989286E1,1.040016931E1,4.918333521E1,0.000000000E0,0.000000000E0,2.400000000E1,3.153737259E1
4.713180100E1,5.322989488E1,1.040016349E1,4.957949418E1,0.000000000E0,0.000000000E0,3.200000000E1,5.044210815E1
4.811806550E1,5.322989508E1,1.040015869E1,4.960524578E1,0.000000000E0,0.000000000E0,1.600000000E1,7.986078262E0
4.912800131E1,5.322990474E1,1.040012650E1,5.083512019E1,0.000000000E0,0.000000000E0,1.600000000E1,2.723505402E1
5.012664416E1,5.322990585E1,1.040011494E1,5.091039764E1,0.000000000E0,0.000000000E0,1.600000000E1,9.108289719E0
