"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.069427600E-2,-2.552218914E0,6.814197540E0,4.898836136E0
1.569427600E-2,-2.619256735E0,6.826168537E0,4.730942726E0
2.066727600E-2,-2.554613113E0,6.826168537E0,4.659116745E0
2.565777600E-2,-2.384624958E0,6.799831867E0,4.656722069E0
3.065777600E-2,-2.123656988E0,6.737582684E0,4.721365929E0
3.565777600E-2,-1.812410712E0,6.646603107E0,4.843470097E0
4.065777600E-2,-1.482010841E0,6.541258335E0,5.011363506E0
4.565327600E-2,-1.194706678E0,6.383241177E0,5.200505257E0
5.065327600E-2,-9.074024558E-1,6.213252544E0,5.387253284E0
5.565340100E-2,-4.501099288E-1,6.079177380E0,5.696105003E0
6.065340100E-2,-1.005564705E-1,5.961861610E0,6.091148376E0
6.565340100E-2,9.576806799E-3,5.803843975E0,6.486191750E0
7.065340100E-2,3.112462163E-2,5.645826817E0,6.886023521E0
7.565340100E-2,5.985504389E-2,5.514145851E0,7.257124424E0
8.065340100E-2,6.703764945E-2,5.399224281E0,7.601889610E0
8.565340100E-2,5.506663769E-2,5.298667431E0,7.915530205E0
9.065340100E-2,0.000000000E0,5.229235649E0,8.157344818E0
9.565340100E-2,-7.661445439E-2,5.193322659E0,8.296208382E0
1.006534010E-1,-1.292868853E-1,5.181351662E0,8.305785179E0
1.056534010E-1,-1.316810995E-1,5.169380665E0,8.119037628E0
1.106534010E-1,-1.197100878E-1,5.152621269E0,7.838915825E0
1.156534010E-1,-1.125274822E-1,5.111919880E0,7.506121635E0
1.206534010E-1,-1.292868853E-1,5.052064896E0,7.173327446E0
1.256534010E-1,-1.651999205E-1,4.970662117E0,6.871658325E0
1.306534010E-1,-2.059013397E-1,4.845864296E0,6.610690117E0
1.356534010E-1,-2.370259613E-1,4.678270340E0,6.388029575E0
1.406534010E-1,-2.202665508E-1,4.477157116E0,6.241982937E0
1.456534010E-1,-1.604115069E-1,4.232948780E0,6.210858345E0
1.506534010E-1,-8.140286058E-2,3.938461781E0,6.318597794E0
1.556534010E-1,2.633621916E-2,3.634398222E0,6.490980148E0
1.606534010E-1,1.819593310E-1,3.337517262E0,6.701669693E0
1.656534010E-1,3.830722570E-1,3.062183857E0,6.933907509E0
1.706543010E-1,5.937620401E-1,2.801215887E0,7.163750648E0
1.756549340E-1,8.212111592E-1,2.521094322E0,7.285854816E0
1.806549340E-1,1.039083481E0,2.238578558E0,7.273883820E0
1.856549340E-1,1.254561663E0,1.984793186E0,7.158962250E0
1.906549340E-1,1.477222443E0,1.774103403E0,6.977003098E0
1.956558670E-1,1.697489023E0,1.611297727E0,6.778284073E0
2.006559000E-1,1.908178806E0,1.486799240E0,6.617872715E0
2.056558660E-1,2.104503393E0,1.391031146E0,6.519710541E0
2.106558660E-1,2.262520552E0,1.307234168E0,6.495768547E0
2.156558660E-1,2.360682964E0,1.216254473E0,6.548440933E0
2.206558660E-1,2.365471363E0,1.074996591E0,6.677727699E0
2.256558660E-1,2.224213362E0,8.571242094E-1,6.881235123E0
2.306558660E-1,1.857900500E0,5.746083856E-1,7.158962250E0
2.356558660E-1,1.493981838E0,3.256114423E-1,7.415142059E0
2.406558660E-1,1.187524080E0,1.915361285E-1,7.628225803E0
2.456558660E-1,9.624691010E-1,1.340752989E-1,7.788637638E0
2.506558660E-1,8.379706144E-1,1.268926859E-1,7.884405613E0
2.556558660E-1,8.092401624E-1,1.268926859E-1,8.006509781E0
2.606558660E-1,8.954314590E-1,7.900865376E-2,8.260294914E0
2.656558660E-1,1.125274777E0,-3.830722719E-2,8.700828552E0
2.706558660E-1,1.465251446E0,-2.346317619E-1,9.306561470E0
2.756558660E-1,1.848323703E0,-4.955997467E-1,9.967360497E0
2.806558660E-1,2.190694571E0,-7.972691655E-1,1.055394077E1
2.856558660E-1,2.442085743E0,-1.086967587E0,1.098968506E1
2.906558660E-1,2.566584110E0,-1.347935557E0,1.119319248E1
2.956558660E-1,2.571372509E0,-1.551442742E0,1.118600941E1
3.006558660E-1,2.489969730E0,-1.659181833E0,1.099686813E1
3.056558660E-1,2.353500366E0,-1.695094824E0,1.069759274E1
3.106558660E-1,2.207453966E0,-1.673547029E0,1.034325027E1
3.156558660E-1,2.097320795E0,-1.616086125E0,9.993697166E0
3.206558660E-1,2.039859772E0,-1.532289028E0,9.670479774E0
3.256558660E-1,2.037465572E0,-1.424550056E0,9.356839180E0
3.306558660E-1,2.090138197E0,-1.297657371E0,9.050381660E0
3.356558660E-1,2.195482969E0,-1.180341482E0,8.765471458E0
3.406558660E-1,2.296039343E0,-1.122880578E0,8.499714851E0
3.456558320E-1,2.346317768E0,-1.151610970E0,8.236352921E0
3.506557980E-1,2.377442360E0,-1.233013868E0,7.999327183E0
3.556557980E-1,2.396595955E0,-1.343147159E0,7.805397034E0
3.606557980E-1,2.408566952E0,-1.479616642E0,7.676109791E0
3.656557980E-1,2.422932148E0,-1.616086125E0,7.647379398E0
3.706557980E-1,2.353500366E0,-1.838746905E0,7.956231594E0
3.756557980E-1,2.212242365E0,-2.020706177E0,8.509291649E0
3.806557980E-1,2.126051188E0,-2.102109194E0,8.959402084E0
3.856557980E-1,1.999158382E0,-2.152387381E0,9.308955193E0
3.906557980E-1,1.747767210E0,-2.286462545E0,9.514857292E0
3.956557980E-1,1.587355733E0,-2.303221941E0,9.668086052E0
4.006557980E-1,1.541865945E0,-2.231395960E0,9.737517357E0
4.056557980E-1,1.539471745E0,-2.126051188E0,9.555558205E0
4.106557980E-1,1.482010841E0,-2.003946781E0,8.985737801E0
4.156557980E-1,1.376665950E0,-1.836352706E0,8.269871712E0
4.206557980E-1,1.209071875E0,-1.503558636E0,7.913136005E0
4.256557980E-1,1.005564690E0,-1.031900883E0,8.193257332E0
4.306557980E-1,7.422025204E-1,-5.602431893E-1,8.837297440E0
4.356557980E-1,4.046200812E-1,-1.891419291E-1,9.562741280E0
4.406557980E-1,-5.746084079E-2,4.309562966E-2,1.036240387E1
4.456557980E-1,-5.746083856E-1,1.628057212E-1,1.108066463E1
4.506557980E-1,-1.168370485E0,1.340752989E-1,1.154035187E1
4.556557980E-1,-1.790862918E0,-3.112462163E-2,1.164809036E1
4.606557980E-1,-2.398990154E0,-3.327940404E-1,1.141585255E1
4.656557980E-1,-2.987963676E0,-7.805097699E-1,1.085800362E1
4.706557980E-1,-3.572149038E0,-1.338358760E0,9.996091843E0
4.756557980E-1,-4.094084740E0,-1.831564307E0,9.162909508E0
4.806557980E-1,-4.537012100E0,-2.214636564E0,8.389581680E0
4.856557980E-1,-4.886565685E0,-2.489969730E0,7.702445984E0
4.906557980E-1,-5.131073475E0,-2.698265314E0,7.228394032E0
4.956557980E-1,-5.339369297E0,-2.889801502E0,6.905177116E0
5.006557980E-1,-5.411195278E0,-3.098097086E0,6.809409142E0
5.056557980E-1,-5.449502468E0,-3.323152065E0,7.008127689E0
5.106557980E-1,-5.564424038E0,-3.538630009E0,7.482179642E0
5.156557980E-1,-5.705681801E0,-3.758896589E0,8.020874977E0
5.206557980E-1,-5.715258598E0,-3.950432777E0,8.770259857E0
5.256557980E-1,-5.808632374E0,-4.108449936E0,9.785401344E0
5.306557980E-1,-6.062417984E0,-4.283226967E0,1.075265884E1
5.356551310E-1,-6.361693382E0,-4.429273129E0,1.144697762E1
5.406551310E-1,-6.799831867E0,-4.520252705E0,1.179174232E1
5.456542310E-1,-7.273883820E0,-4.560954094E0,1.195933723E1
5.506533310E-1,-7.601889610E0,-4.565742493E0,1.215566158E1
5.556528640E-1,-7.704840183E0,-4.563348293E0,1.248845577E1
5.606523970E-1,-7.558794022E0,-4.604049683E0,1.296969032E1
5.656519300E-1,-7.146991253E0,-4.774038315E0,1.365203762E1
5.706514300E-1,-6.684910297E0,-5.023334503E0,1.439902782E1
5.756509300E-1,-6.328174591E0,-5.176563263E0,1.501942539E1
5.806504300E-1,-6.186916351E0,-5.157409668E0,1.540968037E1
5.856499300E-1,-6.380846977E0,-5.013757706E0,1.552939034E1
5.906494300E-1,-6.730400085E0,-4.836287498E0,1.548150635E1
5.956489300E-1,-7.142202854E0,-4.718971729E0,1.533306599E1
6.006484300E-1,-7.570765018E0,-4.704606533E0,1.509364605E1
6.056484630E-1,-7.956231594E0,-4.778826714E0,1.478718853E1
6.106484960E-1,-8.279448509E0,-4.903624535E0,1.439663410E1
6.156485290E-1,-8.473379135E0,-5.049670696E0,1.392258263E1
6.206485290E-1,-8.478167534E0,-5.147832870E0,1.340543461E1
6.256485290E-1,-8.310573578E0,-5.174169064E0,1.291462326E1
6.306485290E-1,-8.063970566E0,-5.162198067E0,1.247648430E1
6.356485290E-1,-7.834127426E0,-5.181351662E0,1.206468201E1
6.406485290E-1,-7.551611423E0,-5.250783443E0,1.161217785E1
6.456485290E-1,-7.099107265E0,-5.336975098E0,1.106151104E1
6.506485620E-1,-6.483797550E0,-5.363311291E0,1.040549946E1
6.556485950E-1,-5.827786446E0,-5.279513836E0,9.627384186E0
6.606486280E-1,-5.272331238E0,-5.044882298E0,8.710405350E0
6.656486280E-1,-4.802768707E0,-4.683058739E0,7.704840183E0
6.706486280E-1,-4.548983097E0,-4.082113743E0,6.708852291E0
6.756486280E-1,-4.410119534E0,-3.502717018E0,5.858911037E0
6.806487940E-1,-4.309563160E0,-3.143586874E0,5.126285076E0
6.856494940E-1,-4.259284973E0,-3.011905670E0,4.498704910E0
6.906495270E-1,-4.280832767E0,-3.045424461E0,3.986345768E0
6.956504270E-1,-4.338293552E0,-3.145981073E0,3.617638826E0
7.006513270E-1,-4.347870350E0,-3.356670856E0,3.466804028E0
7.056517930E-1,-4.376600742E0,-3.646369219E0,3.564966440E0
7.106522590E-1,-4.592078686E0,-3.962403774E0,3.928884983E0
7.156527250E-1,-4.867412090E0,-4.328716755E0,4.390965939E0
7.206532250E-1,-5.200505257E0,-4.786009312E0,4.874594688E0
7.256537250E-1,-5.514145851E0,-5.188534260E0,5.265148640E0
7.306542580E-1,-5.858911037E0,-5.494992256E0,5.432743073E0
7.356547910E-1,-6.431125164E0,-5.827786446E0,5.394435883E0
7.406553240E-1,-7.010521889E0,-5.959467411E0,5.387253284E0
7.456558240E-1,-7.697657585E0,-6.275501728E0,4.740519524E0
7.506563240E-1,-8.456619263E0,-6.541258335E0,3.438073635E0
