Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
6.004528617,0.7254431248,-11.57147598,3.193865061
6.009528617,0.7182605267,-11.82765579,2.932897091
6.014528583,0.7038952708,-11.99285603,2.846705914
6.019528583,0.624886632,-12.22509289,3.01190567
6.024528583,0.4668693244,-12.30170727,3.229778051
6.029528616,0.3016694188,-12.36156273,3.445256233
6.034528616,-0.02633621916,-12.29452515,3.442862034
6.039527949,-0.3351882398,-12.24664116,3.378218651
6.044527915,-0.5339069963,-12.06707573,3.241749048
6.049527881,-0.6009446383,-11.75822353,2.999934673
6.054527847,-0.5913678408,-11.49246788,2.93768549
6.059527847,-0.3854664862,-10.96334839,2.748543501
6.06452788,-0.2106897533,-10.61858368,2.592920542
6.06952768,0.174776718,-10.10861874,2.336740971
6.074527713,0.5099649429,-9.771036148,2.214636564
6.079527713,0.8331822157,-9.481337547,2.190694571
6.084527713,1.122880578,-9.249100685,2.315192938
6.089527679,1.395819545,-9.043199539,2.499546528
6.094527645,1.620874524,-8.995314598,2.671929121
6.099527645,1.843535304,-9.004891396,2.853888512
6.104527978,1.968033791,-9.014469147,2.966415882
6.109528011,2.128445387,-9.131784439,2.999934673
6.114528011,2.111685991,-9.256282806,2.894589901
6.119528011,2.027888775,-9.519645691,2.86107111
6.124528011,1.951274395,-9.699210167,2.959233284
6.129528011,1.893813491,-9.878775597,3.021482468
6.134528011,1.838746905,-9.998485565,3.040636063
6.139527977,1.766920805,-10.09664822,2.959233284
6.144527977,1.707065821,-10.18762779,2.849100113
6.149527977,1.663970232,-10.20917511,2.71502471
6.15452801,1.613691926,-10.21156979,2.63841033
6.15952801,1.520318031,-10.22114658,2.767697096
6.16452801,1.522712231,-10.22354031,2.853888512
6.169527976,1.335964561,-10.29057789,2.679111719
6.174527976,1.146822572,-10.33127975,2.49236393
6.179527976,1.022324085,-10.39592266,2.257732153
6.184528009,0.8978256583,-10.41747093,2.003946781
6.189528675,0.758961916,-10.32170296,1.800439715
6.194528675,0.6584054828,-10.21875191,1.702277422
6.199528675,0.6177040339,-10.03200436,1.649604917
6.204528675,0.6631938815,-9.912294388,1.594538331
6.209528675,0.7709329724,-9.696816444,1.443703651
6.214528641,0.9002198577,-9.548376083,1.386242747
6.219528841,1.288080573,-9.232340813,1.37427175
6.224528841,1.477222443,-8.980949402,1.33835876
6.229528874,1.647210717,-8.758289337,1.345541358
6.234528907,1.762132406,-8.516474724,1.371877551
6.239528907,1.707065821,-8.332120895,1.319205165
6.244528907,1.740584612,-8.236352921,1.271321058
6.249528873,1.824381709,-8.219594002,1.230619669
6.254528539,1.941697598,-8.114249229,1.369483352
6.259528505,1.987187386,-8.095095634,1.575384736
6.264528505,2.020706177,-8.107066154,1.678335428
6.269528538,1.968033791,-8.169315338,1.697489023
6.274528571,1.944091797,-8.284236908,1.742978811
6.279528604,1.848323703,-8.303390503,1.81959331
6.284528604,1.812410712,-8.348880768,1.963245392
6.289528604,1.881842494,-8.425495148,2.260126352
6.29452857,1.790862918,-8.459013939,2.456450939
6.29952857,1.731007814,-8.468590736,2.588132143
6.30452857,1.735796213,-8.423100471,2.504334927
6.309528603,1.752555609,-8.253112793,2.281674147
6.314528603,1.764526606,-8.147768021,2.140416384
6.319528603,1.912967205,-8.095095634,2.145204782
6.324528569,2.181117773,-8.03763485,2.334346771
6.329528535,2.298433542,-7.937077999,2.583343744
6.334528501,2.327163935,-7.824550629,2.834734917
6.339528501,2.324769735,-7.67850399,3.129221678
6.344528501,2.360682964,-7.635408401,3.174711466
6.349528534,1.991975784,-7.589918613,3.019088268
6.354528567,1.668758631,-7.496544838,2.863465309
6.3595286,1.125274777,-7.384017467,2.602497339
6.3645286,0.758961916,-7.326556683,2.432508945
6.3695286,0.3950432837,-7.288249016,2.298433542
6.374528566,0.1388636976,-7.314585686,2.264914751
6.379528566,-0.2274491638,-7.513304234,2.276885748
6.384528566,-0.3591302633,-7.752724171,2.353500366
6.389528599,-0.4884171486,-8.083124161,2.327163935
6.394528599,-0.5339069963,-8.243535995,2.303221941
6.399528599,-0.5985504389,-8.459013939,2.296039343
6.404528599,-0.6272808313,-8.59548378,2.286462545
6.409528599,-0.5937620401,-8.731952667,2.123656988
6.414528599,-0.5363011956,-8.844480515,1.910573006
6.419528565,-0.383072257,-8.971372604,1.723825216
6.424528565,-0.1939303428,-9.112630844,1.608903527
6.429528565,-0.007182605099,-9.294589996,1.608903527
6.434528598,0.09816227108,-9.423876762,1.625662923
6.439528598,0.2513911724,-9.711181641,1.726219416
6.444528598,0.3663128614,-9.936236382,1.824381709
6.449528564,0.4070142806,-10.35043335,1.951274395
6.454528564,0.4788403511,-10.64492035,2.003946781
6.459528564,0.5003881454,-11.07348251,2.015917778
6.464528597,0.5554547906,-11.38233376,1.968033791
6.46952863,0.6105214357,-11.64330196,1.886630893
6.47452863,0.6895300746,-11.8731451,1.836352706
6.47952863,0.8236053586,-12.22748756,1.817199111
6.48452863,0.9337386489,-12.4525423,1.841141105
6.48952863,1.125274777,-12.91222858,1.912967205
6.49452863,1.256955862,-13.27614784,1.934514999
6.499528596,1.510741234,-13.86512089,2.023100376
6.504528596,1.630451322,-14.21706867,2.109291792
6.509528596,1.613691926,-14.60253525,2.128445387
6.514528629,1.45088625,-14.66957283,2.078166962
6.519528629,1.213860273,-14.55465126,1.908178806
6.524528629,0.9816226959,-14.30086613,1.625662923
6.529528595,0.806845963,-13.8220253,1.161187768
6.534528561,0.8236053586,-13.49402046,0.8164227605
6.539528527,1.091755986,-12.96969032,0.2920926213
6.544528527,1.405396342,-12.69196224,0.08379705995
6.54952856,1.948880196,-12.33283234,-0.1268926859
6.554528593,2.437297344,-12.24424648,-0.1580173075
6.559528626,2.983175278,-12.20833397,-0.1795651317
6.564528626,3.521870613,-12.21072769,-0.04070143029
6.569528626,3.945644379,-12.25861168,0.2657563984
6.574528592,4.419696331,-12.41423512,0.8236053586
6.579528592,5.078401089,-12.63450146,1.776497602
6.584528592,5.406406879,-12.72787571,2.533065319
6.589528625,5.806238174,-12.77815342,4.108449936
6.594528658,5.92355442,-12.73266411,5.22684145
6.599528658,5.861305237,-12.65604973,7.237970829
6.604528624,5.624279022,-12.62253094,8.755894661
6.60952859,5.298667431,-12.59619427,9.787796021
6.614528556,4.903624535,-12.69196224,10.40549946
6.619528522,4.429273129,-12.84279728,10.40071106
6.624528522,4.084507942,-12.96490192,10.02961063
6.629528555,3.387795448,-12.89786339,8.791808128
6.634528588,2.731784105,-12.81406689,7.733570576
6.639528621,1.707065821,-12.74224091,5.274725437
6.644528621,1.108515382,-12.62731934,3.67988801
6.649528621,0.1508347094,-12.60577106,2.422932148
6.654528587,0.1628057212,-12.51957989,2.468421936
6.659528587,0.5841852427,-12.66323185,2.183511972
