"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.839921713E-1,5.322962930E1,1.040388235E1,3.364274891E1,0.000000000E0,3.789732845E1,1.624312002E1,1.624312002E1
1.783983469E0,5.322962926E1,1.040388811E1,3.324035395E1,0.000000000E0,3.789733168E1,1.676557979E1,1.676557979E1
2.783974409E0,5.322963500E1,1.040389344E1,3.314661333E1,0.000000000E0,3.789733646E1,1.762453216E1,1.762453216E1
3.783965468E0,5.322963892E1,1.040389483E1,3.322698769E1,0.000000000E0,3.789733845E1,1.646871006E1,1.646871006E1
4.783957720E0,5.322963987E1,1.040388963E1,3.312180808E1,0.000000000E0,3.789733581E1,1.641520393E1,1.641520393E1
5.783949852E0,5.322963926E1,1.040388582E1,3.523488646E1,1.084596883E0,-1.000000000E0,1.686830586E1,1.686830586E1
6.783941984E0,5.322964169E1,1.040389750E1,3.411378063E1,0.000000000E0,-1.000000000E0,1.768811148E1,1.768811148E1
7.783934593E0,5.322963820E1,1.040389881E1,3.491866552E1,5.705808484E-1,-1.000000000E0,1.871057851E1,1.871057851E1
8.783926725E0,5.322963623E1,1.040389781E1,3.465839239E1,0.000000000E0,-1.000000000E0,2.016485110E1,2.016485110E1
9.783920407E0,5.322963560E1,1.040391110E1,3.380827591E1,0.000000000E0,-1.000000000E0,2.211763626E1,2.211763626E1
1.078391325E1,5.322963377E1,1.040390584E1,3.422053468E1,0.000000000E0,-1.000000000E0,2.457711320E1,2.457711320E1
1.178390634E1,5.322963787E1,1.040390145E1,3.536660861E1,8.405300932E-1,-1.000000000E0,2.596203717E1,2.596203717E1
1.278389978E1,5.322964700E1,1.040389532E1,3.360490109E1,0.000000000E0,-1.000000000E0,2.682246441E1,2.682246441E1
1.378389323E1,5.322962068E1,1.040387999E1,3.387905172E1,0.000000000E0,-1.000000000E0,2.115017239E1,2.115017239E1
1.478388631E1,5.322961137E1,1.040388479E1,3.388546403E1,0.000000000E0,-1.000000000E0,1.952947340E1,1.952947340E1
1.578388095E1,5.322961833E1,1.040386793E1,3.420730256E1,0.000000000E0,-1.000000000E0,1.991960675E1,1.991960675E1
1.678387451E1,5.322962202E1,1.040385853E1,3.338219992E1,0.000000000E0,-1.000000000E0,2.095462250E1,2.095462250E1
1.778386891E1,5.322962440E1,1.040385988E1,3.381998439E1,0.000000000E0,-1.000000000E0,2.257141901E1,2.257141901E1
1.878386223E1,5.322962552E1,1.040386107E1,3.370243279E1,0.000000000E0,-1.000000000E0,2.459059178E1,2.459059178E1
1.978385627E1,5.322962871E1,1.040385326E1,3.568574181E1,1.146555179E0,-1.000000000E0,2.651745573E1,2.651745573E1
2.078385031E1,5.322962665E1,1.040386394E1,3.507856586E1,4.765949955E-1,-1.000000000E0,2.243047887E1,2.243047887E1
2.178384447E1,5.322961626E1,1.040387016E1,3.435724734E1,0.000000000E0,-1.000000000E0,2.320283837E1,2.320283837E1
2.278383875E1,5.322959812E1,1.040388482E1,3.508058667E1,7.047361777E-1,-1.000000000E0,2.401911374E1,2.401911374E1
2.378383398E1,5.322960832E1,1.040391038E1,3.511074957E1,9.128420217E-1,8.085925719E1,2.507338982E1,2.507338982E1
2.478382933E1,5.322961978E1,1.040392024E1,3.505417047E1,9.786174819E-1,7.751773581E1,2.601285253E1,2.601285253E1
2.578382301E1,5.322962711E1,1.040391348E1,3.534546928E1,8.768599042E-1,7.835631948E1,2.664806578E1,2.664806578E1
2.678381765E1,5.322963425E1,1.040391790E1,3.529517614E1,7.963936292E-1,7.460193987E1,2.340991059E1,2.340991059E1
2.778381252E1,5.322963588E1,1.040392288E1,3.507242487E1,6.667694753E-1,8.224232253E1,2.328552922E1,2.328552922E1
2.878380752E1,5.322963131E1,1.040392466E1,3.472669535E1,0.000000000E0,8.295655004E1,2.284961412E1,2.284961412E1
2.978380191E1,5.322963355E1,1.040393680E1,3.480728831E1,0.000000000E0,8.295655988E1,2.159721440E1,2.159721440E1
3.078379619E1,5.322964936E1,1.040393126E1,3.331062473E1,6.317799344E-1,2.576060054E1,2.036014642E1,2.036014642E1
3.178379071E1,5.322965357E1,1.040392793E1,3.426409173E1,0.000000000E0,2.251152998E1,1.915795189E1,1.915795189E1
3.278378594E1,5.322965804E1,1.040393792E1,3.491569589E1,0.000000000E0,2.251154113E1,1.851350198E1,1.851350198E1
3.378378069E1,5.322966398E1,1.040393084E1,3.473237831E1,0.000000000E0,2.251153035E1,1.821117491E1,1.821117491E1
3.478377628E1,5.322967311E1,1.040393284E1,3.436256272E1,0.000000000E0,2.251152999E1,1.734939140E1,1.734939140E1
3.578377128E1,5.322969140E1,1.040393162E1,3.432095018E1,0.000000000E0,2.251152267E1,1.606115553E1,1.606115553E1
3.678376639E1,5.322970691E1,1.040392800E1,3.390665968E1,0.000000000E0,2.251151323E1,1.492488713E1,1.492488713E1
3.778376079E1,5.322971308E1,1.040392059E1,3.479541473E1,0.000000000E0,2.490681594E1,1.399971309E1,1.399971309E1
3.878375638E1,5.322972374E1,1.040392426E1,3.385051674E1,0.000000000E0,-1.000000000E0,1.311909224E1,1.311909224E1
3.978375125E1,5.322972757E1,1.040391965E1,3.386943885E1,0.000000000E0,-1.000000000E0,1.302051991E1,1.302051991E1
4.078374672E1,5.322972823E1,1.040392731E1,3.339296099E1,0.000000000E0,-1.000000000E0,1.284571325E1,1.284571325E1
4.178374207E1,5.322972521E1,1.040392929E1,3.397538112E1,0.000000000E0,-1.000000000E0,1.290327705E1,1.290327705E1
