"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.150079166E-2,-5.222190399E0,5.944438477E0,6.122268677E0
3.142679166E-2,-5.011428680E0,5.807622986E0,6.558162231E0
4.135279166E-2,-4.462819519E0,5.592220917E0,6.695576477E0
5.127879167E-2,-3.919000397E0,5.518125000E0,6.953789520E0
6.120579167E-2,-3.827241211E0,5.469176788E0,7.303462372E0
7.113179166E-2,-4.135001221E0,5.359904022E0,7.341483307E0
8.105779166E-2,-4.250411224E0,5.531297607E0,7.398514709E0
9.098379166E-2,-4.558171234E0,5.794001312E0,7.423363037E0
1.009097917E-1,-5.449118500E0,6.002068634E0,7.540569305E0
1.108367917E-1,-5.711223450E0,5.862558746E0,7.336094513E0
1.207627917E-1,-4.579576721E0,5.569917297E0,7.521558838E0
1.306887917E-1,-3.267555084E0,4.832101593E0,7.965834961E0
1.406147917E-1,-2.320175171E0,3.968247986E0,7.969726868E0
1.505407917E-1,-1.933828583E0,3.847449188E0,8.031099243E0
1.604677917E-1,-1.788331146E0,3.771257629E0,8.011040955E0
1.703937917E-1,-1.640289001E0,3.466042328E0,7.973918152E0
1.803197917E-1,-1.572030945E0,3.664379883E0,8.900341644E0
1.902457917E-1,-2.055375824E0,4.047732697E0,7.828720093E0
2.001717917E-1,-2.018702087E0,4.470753021E0,7.073839874E0
2.100987917E-1,-2.179617462E0,4.770429840E0,9.299112396E0
2.200247917E-1,-2.667902069E0,4.378095703E0,1.111573471E1
2.299507917E-1,-2.718047791E0,3.112477570E0,1.062984512E1
2.398767917E-1,-1.998793488E0,2.134561157E0,7.876620483E0
2.498027917E-1,-1.158890076E0,2.746937714E0,6.769373016E0
2.597297917E-1,-9.024732971E-1,4.172872467E0,7.820187836E0
2.696557917E-1,-1.446591797E0,4.778363342E0,9.142088928E0
2.795817917E-1,-2.439327393E0,4.545747070E0,9.578132172E0
2.895077917E-1,-3.230881348E0,4.174519043E0,9.523046722E0
2.994337917E-1,-3.364253998E0,4.120182037E0,9.940678253E0
3.093607917E-1,-3.400927734E0,4.281845856E0,1.025277924E1
3.192867917E-1,-3.487447815E0,4.504882050E0,1.057760376E1
3.292127917E-1,-3.235970764E0,4.798870697E0,1.111049561E1
3.391387917E-1,-3.148103485E0,4.818330231E0,1.290676025E1
3.490657917E-1,-1.724114685E0,4.414020996E0,7.515720978E0
3.589917917E-1,-1.229543152E0,4.627776489E0,8.150101776E0
3.689177917E-1,-1.683848419E0,4.863386536E0,1.191282715E1
