"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.732499997E-3,-4.092040558E0,3.267255707E0,7.878416748E0
1.265749999E-2,-4.264931030E0,3.516936493E0,8.505612488E0
2.258349999E-2,-4.139491882E0,3.937711487E0,8.924890594E0
3.250949999E-2,-3.723955994E0,3.882775726E0,8.665030975E0
4.243549999E-2,-3.608995056E0,3.615431671E0,8.888216858E0
5.236149998E-2,-3.702700195E0,3.274141388E0,8.960965576E0
6.228650000E-2,-3.908522186E0,3.020269318E0,8.696914673E0
7.221250000E-2,-4.045936432E0,3.023263092E0,8.443341980E0
8.213850000E-2,-4.052522736E0,3.300935669E0,8.314160614E0
9.206450000E-2,-4.035308533E0,3.606450348E0,8.285719757E0
1.019905000E-1,-4.162094879E0,3.688479767E0,8.435707855E0
1.119155000E-1,-4.413721619E0,3.391197968E0,8.498128052E0
1.218415000E-1,-4.455933838E0,2.900817719E0,8.233328705E0
1.317675000E-1,-4.310137024E0,2.597997437E0,7.891589355E0
1.416935000E-1,-4.435276794E0,2.275118866E0,6.523584137E0
1.516185000E-1,-4.508923645E0,1.960173798E0,7.033274231E0
1.615445000E-1,-4.164789276E0,2.051483917E0,8.865464172E0
1.714705000E-1,-3.801644440E0,2.417023773E0,8.866811371E0
1.813965000E-1,-3.654500427E0,2.564916229E0,8.254285126E0
1.913215000E-1,-3.897894287E0,2.383194122E0,7.718249817E0
2.012475000E-1,-4.165088654E0,1.874701538E0,7.532486115E0
2.111735000E-1,-4.132755890E0,1.308429108E0,7.656278687E0
2.210995000E-1,-3.778891754E0,8.614585876E-1,7.514373779E0
2.310255000E-1,-3.394940186E0,4.779560852E-1,6.972500610E0
2.409505000E-1,-3.002755737E0,2.444416809E-1,6.797364807E0
2.508765000E-1,-2.659968567E0,-2.335144043E-2,6.939868469E0
2.608025000E-1,-2.287393341E0,-1.352138214E0,7.112010498E0
2.707285000E-1,-3.197351074E0,-2.587219849E0,5.924829254E0
2.806535000E-1,-2.379751282E0,-2.868934021E0,5.391488342E0
2.905795000E-1,-1.754651184E0,-2.878514099E0,5.287754059E0
3.005055000E-1,-1.775757294E0,-2.472707977E0,5.113666077E0
3.104315000E-1,-1.438508606E0,-3.421135712E0,6.093977509E0
