Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
6.008410167,-1.184187469,-7.541617126,2.381846924
6.018336167,-1.591789856,-7.619455261,2.44202179
6.028262167,-1.947599945,-7.608677673,2.570454712
6.038187167,-2.254312134,-7.577093353,2.832260284
6.048113167,-2.443518677,-7.656278687,3.11008255
6.058039167,-2.551294556,-7.800728302,3.187172241
6.067965167,-2.623145142,-7.979606323,2.860252075
6.077891167,-2.544408875,-8.155640259,2.322869568
6.087817167,-2.175426178,-8.233029327,1.726360016
6.097743167,-1.592987366,-8.015681305,1.17939743
6.107669167,-1.049766998,-7.547604675,1.325343933
6.117595167,-0.4965174866,-7.315287781,2.098935242
6.127521167,0.2088157654,-7.319778442,2.699785767
6.137447167,0.83661026,-7.30480957,2.572849731
6.147372167,1.218166809,-7.270680542,2.028132477
6.157298167,1.286574554,-7.439679108,1.464105377
6.167224167,0.9978250122,-7.812853088,0.9568103027
6.177150167,0.47271698,-8.091872864,1.037791901
6.187076167,-0.1760339355,-8.389753418,1.609004059
6.197002167,-0.8879534912,-8.522527313,1.812880096
6.206928167,-1.532962189,-8.318800964,1.688937836
6.216854167,-2.12722641,-8.041876831,1.599573669
6.226780167,-2.737207947,-7.75537262,1.41231308
6.236706167,-3.175795898,-7.516768799,1.06129303
6.246631167,-3.444636841,-7.36797821,0.6875202942
6.256557167,-3.866609344,-7.467221832,0.8249345398
6.266483167,-4.076173553,-8.266559601,1.994003448
6.276409167,-3.296295319,-10.11850845,3.280428314
6.286335167,-2.753673706,-12.22822128,3.90687561
6.296261167,-2.370470581,-14.23898987,4.848717041
6.306187167,-2.033221893,-16.13973724,5.879024506
6.316113167,-1.506317596,-17.33125946,6.474186859
6.326039167,-0.7667056274,-17.64006729,6.380781097
6.335965167,-0.02514770508,-17.56866577,6.383026428
6.345891167,0.8225395203,-17.42750931,6.193670197
6.355816167,1.863025818,-16.90913727,4.901407471
6.365742167,2.496209106,-16.59449158,4.205654297
6.375668167,3.445684662,-17.0998407,4.683011627
6.385594167,4.255500641,-18.20918381,5.737119598
6.395520167,4.402345276,-17.88091644,4.481979675
6.405446167,3.854035492,-15.8364679,2.737507324
6.415372167,3.12175827,-13.11961761,1.732347565
6.425298167,2.170935516,-10.61592407,1.650018768
6.435224167,1.098266144,-9.160800018,1.78324173
6.445150167,0.4849914551,-8.25967392,1.608554993
6.455075167,0.316741333,-7.505093079,1.616189117
6.465001167,0.5655239868,-7.162305908,1.996099091
6.474927167,0.9337582397,-7.130422211,2.365979919
6.484853167,1.090781708,-7.030280457,2.554438019
6.494779167,1.131946106,-6.852450256,2.671644287
6.504705167,1.154399414,-6.729256439,2.549348602
6.514631167,1.263522491,-6.42374176,2.40564743
6.524557167,1.385518799,-5.997727661,2.20446579
6.534483167,1.350341949,-5.438789978,1.821262665
6.544409167,1.22041214,-4.784201202,1.389560394
6.554335167,0.9868977356,-4.069287872,0.9901908875
6.564260167,0.7429051208,-3.392844543,0.7441026306
6.574186167,0.5855822754,-2.841391296,0.7244934082
6.584112167,0.5592370605,-2.465073853,0.798589325
6.594038167,0.5725593567,-2.227966919,0.9563612366
6.603964167,0.5956114197,-2.163900146,1.216819611
6.613890167,0.6668632507,-2.244881744,1.477577362
6.623816167,0.9009764099,-2.567910004,1.618135071
6.633742167,1.164578247,-3.121608582,1.697320404
6.643668167,1.259331207,-3.971391449,1.807191925
6.653594167,1.155297546,-5.121898956,1.843416595
6.663520167,0.9406439209,-6.643035736,1.85105072
6.673445167,0.5457650757,-8.6925737,1.831291809
6.683371167,-0.5348377991,-10.60709244,1.89086792
6.693297167,-2.116897888,-11.30224686,2.203717346
6.703223167,-3.815565491,-11.36331985,3.081791382
6.713149167,-4.677922211,-11.3799353,3.484304352
6.723075167,-4.813540192,-11.00271973,2.967728577
6.733001167,-4.245770874,-10.02644989,2.767594757
